gemeentecode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
GM0119;2022;84.0;7.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0119;2023;82.0;7.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0119;2024;80.0;6.0;n.a.;n.a.;n.a.;2.0;1.0;6.0
GM0141;2022;90.0;3.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0141;2023;87.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0141;2024;85.0;3.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0147;2022;93.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0147;2023;89.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0147;2024;85.0;0.0;n.a.;n.a.;n.a.;5.0;2.0;6.0
GM0148;2022;90.0;1.0;n.a.;n.a.;n.a.;2.0;0.0;6.0
GM0148;2023;85.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;8.0
GM0148;2024;82.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;9.0
GM0150;2022;84.0;5.0;0.0;3.0;4.0;1.0;0.0;2.0
GM0150;2023;82.0;4.0;0.0;2.0;4.0;2.0;1.0;3.0
GM0150;2024;80.0;4.0;0.0;2.0;4.0;2.0;1.0;4.0
GM0153;2022;72.0;6.0;1.0;2.0;11.0;2.0;0.0;3.0
GM0153;2023;70.0;6.0;1.0;2.0;12.0;2.0;1.0;3.0
GM0153;2024;69.0;6.0;1.0;2.0;13.0;3.0;1.0;4.0
GM0158;2022;89.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0158;2023;85.0;2.0;n.a.;n.a.;n.a.;4.0;1.0;3.0
GM0158;2024;82.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0160;2022;91.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0160;2023;87.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0160;2024;83.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;6.0
GM0163;2022;92.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0163;2023;89.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0163;2024;86.0;1.0;n.a.;n.a.;n.a.;5.0;2.0;5.0
GM0164;2022;88.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0164;2023;86.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0164;2024;83.0;4.0;n.a.;n.a.;n.a.;2.0;2.0;4.0
GM0166;2022;92.0;3.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0166;2023;88.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0166;2024;86.0;4.0;n.a.;n.a.;n.a.;2.0;2.0;4.0
GM0168;2022;91.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0168;2023;87.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0168;2024;85.0;0.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0171;2022;89.0;3.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0171;2023;85.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0171;2024;82.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;7.0
GM0173;2022;88.0;6.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0173;2023;85.0;6.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0173;2024;83.0;6.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0175;2022;89.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0175;2023;85.0;3.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0175;2024;82.0;3.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0177;2022;92.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0177;2023;87.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0177;2024;84.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;6.0
GM0180;2022;89.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
GM0180;2023;85.0;1.0;n.a.;n.a.;n.a.;5.0;1.0;3.0
GM0180;2024;82.0;1.0;n.a.;n.a.;n.a.;5.0;2.0;5.0
GM0183;2022;84.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0183;2023;79.0;0.0;n.a.;n.a.;n.a.;6.0;2.0;5.0
GM0183;2024;74.0;0.0;n.a.;n.a.;n.a.;8.0;3.0;6.0
GM0184;2022;91.0;1.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0184;2023;87.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0184;2024;85.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;5.0
GM0189;2022;90.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0189;2023;84.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;6.0
GM0189;2024;81.0;1.0;n.a.;n.a.;n.a.;5.0;2.0;8.0
GM0193;2022;82.0;9.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0193;2023;80.0;9.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0193;2024;78.0;8.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0197;2022;92.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0197;2023;89.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0197;2024;87.0;1.0;n.a.;n.a.;n.a.;3.0;2.0;5.0
GM0200;2022;84.0;7.0;0.0;0.0;4.0;1.0;0.0;2.0
GM0200;2023;82.0;6.0;0.0;0.0;4.0;3.0;1.0;3.0
GM0200;2024;80.0;6.0;0.0;0.0;4.0;3.0;1.0;4.0
GM0202;2022;76.0;8.0;0.0;1.0;10.0;1.0;0.0;3.0
GM0202;2023;74.0;8.0;0.0;1.0;11.0;1.0;1.0;3.0
GM0202;2024;73.0;8.0;0.0;1.0;11.0;2.0;1.0;3.0
GM0203;2022;89.0;3.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0203;2023;86.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0203;2024;83.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;7.0
GM0209;2022;94.0;1.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0209;2023;91.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
GM0209;2024;89.0;1.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0213;2022;90.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0213;2023;86.0;2.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0213;2024;83.0;2.0;n.a.;n.a.;n.a.;5.0;2.0;6.0
GM0214;2022;92.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0214;2023;89.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0214;2024;86.0;0.0;n.a.;n.a.;n.a.;3.0;2.0;5.0
GM0216;2022;81.0;4.0;0.0;0.0;9.0;1.0;0.0;3.0
GM0216;2023;78.0;3.0;0.0;0.0;9.0;2.0;1.0;5.0
GM0216;2024;76.0;3.0;0.0;0.0;9.0;2.0;1.0;7.0
GM0221;2022;90.0;1.0;0.0;0.0;4.0;1.0;1.0;3.0
GM0221;2023;87.0;1.0;0.0;0.0;4.0;2.0;1.0;4.0
GM0221;2024;84.0;1.0;0.0;0.0;4.0;2.0;2.0;5.0
GM0222;2022;88.0;5.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0222;2023;86.0;5.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0222;2024;83.0;5.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0225;2022;91.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0225;2023;87.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0225;2024;85.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0226;2022;38.0;0.0;0.0;0.0;54.0;1.0;0.0;6.0
GM0226;2023;37.0;0.0;0.0;0.0;54.0;1.0;1.0;6.0
GM0226;2024;37.0;0.0;0.0;0.0;53.0;1.0;1.0;7.0
GM0228;2022;77.0;2.0;1.0;2.0;10.0;1.0;0.0;3.0
GM0228;2023;74.0;2.0;1.0;2.0;12.0;2.0;1.0;3.0
GM0228;2024;72.0;2.0;0.0;2.0;13.0;3.0;1.0;4.0
GM0230;2022;90.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;5.0
GM0230;2023;88.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0230;2024;86.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
GM0232;2022;88.0;7.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0232;2023;85.0;7.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0232;2024;82.0;7.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0233;2022;89.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0233;2023;86.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0233;2024;83.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0243;2022;88.0;4.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0243;2023;85.0;4.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0243;2024;83.0;4.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0244;2022;89.0;5.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0244;2023;86.0;4.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0244;2024;84.0;4.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0246;2022;90.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0246;2023;86.0;3.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0246;2024;83.0;3.0;n.a.;n.a.;n.a.;5.0;2.0;5.0
GM0252;2022;92.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0252;2023;89.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0252;2024;87.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0262;2022;91.0;1.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0262;2023;88.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0262;2024;85.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0263;2022;93.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0263;2023;89.0;1.0;n.a.;n.a.;n.a.;3.0;2.0;3.0
GM0263;2024;86.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
GM0267;2022;91.0;1.0;n.a.;n.a.;n.a.;3.0;0.0;4.0
GM0267;2023;87.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;6.0
GM0267;2024;84.0;1.0;n.a.;n.a.;n.a.;5.0;2.0;7.0
GM0268;2022;78.0;8.0;0.0;0.0;9.0;1.0;0.0;2.0
GM0268;2023;77.0;8.0;0.0;0.0;10.0;2.0;1.0;2.0
GM0268;2024;74.0;8.0;0.0;0.0;11.0;2.0;1.0;3.0
GM0269;2022;91.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0269;2023;86.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0269;2024;83.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;6.0
GM0273;2022;90.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;4.0
GM0273;2023;86.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0273;2024;84.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
GM0274;2022;86.0;9.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0274;2023;84.0;9.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
GM0274;2024;83.0;9.0;n.a.;n.a.;n.a.;4.0;1.0;2.0
GM0275;2022;88.0;8.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0275;2023;87.0;8.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
GM0275;2024;86.0;7.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0277;2022;89.0;0.0;n.a.;n.a.;n.a.;7.0;0.0;3.0
GM0277;2023;83.0;0.0;n.a.;n.a.;n.a.;10.0;1.0;4.0
GM0277;2024;81.0;0.0;n.a.;n.a.;n.a.;11.0;1.0;5.0
GM0279;2022;88.0;0.0;0.0;0.0;4.0;1.0;0.0;3.0
GM0279;2023;87.0;0.0;0.0;0.0;4.0;2.0;1.0;4.0
GM0279;2024;86.0;0.0;0.0;0.0;4.0;2.0;1.0;4.0
GM0281;2022;87.0;6.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0281;2023;85.0;5.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0281;2024;84.0;5.0;n.a.;n.a.;n.a.;4.0;2.0;4.0
GM0285;2022;89.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0285;2023;86.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0285;2024;85.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;5.0
GM0289;2022;60.0;21.0;0.0;0.0;4.0;2.0;0.0;8.0
GM0289;2023;58.0;21.0;0.0;0.0;4.0;3.0;0.0;9.0
GM0289;2024;57.0;20.0;0.0;0.0;4.0;3.0;1.0;11.0
GM0293;2022;54.0;0.0;0.0;2.0;38.0;1.0;0.0;4.0
GM0293;2023;53.0;0.0;0.0;3.0;38.0;1.0;1.0;4.0
GM0293;2024;52.0;0.0;0.0;2.0;38.0;2.0;1.0;5.0
GM0294;2022;90.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
