gemeentecode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
GM0373;2022;89.0;6.0;n.a.;n.a.;n.a.;2.0;0.0;1.0
GM0373;2023;86.0;6.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
GM0373;2024;84.0;6.0;n.a.;n.a.;n.a.;4.0;1.0;3.0
GM0375;2022;92.0;4.0;n.a.;n.a.;n.a.;0.0;0.0;2.0
GM0375;2023;90.0;5.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0375;2024;89.0;4.0;n.a.;n.a.;n.a.;1.0;1.0;3.0
GM0376;2022;70.0;2.0;n.a.;n.a.;n.a.;4.0;0.0;22.0
GM0376;2023;69.0;2.0;n.a.;n.a.;n.a.;4.0;1.0;22.0
GM0376;2024;68.0;2.0;n.a.;n.a.;n.a.;5.0;1.0;23.0
GM0377;2022;89.0;4.0;n.a.;n.a.;n.a.;3.0;0.0;2.0
GM0377;2023;87.0;4.0;n.a.;n.a.;n.a.;4.0;1.0;2.0
GM0377;2024;84.0;5.0;n.a.;n.a.;n.a.;5.0;1.0;3.0
GM0383;2022;90.0;6.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0383;2023;87.0;6.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
GM0383;2024;84.0;6.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0384;2022;53.0;15.0;0.0;0.0;23.0;4.0;1.0;3.0
GM0384;2023;53.0;9.0;0.0;2.0;26.0;4.0;1.0;4.0
GM0384;2024;55.0;7.0;0.0;2.0;25.0;4.0;1.0;5.0
GM0385;2022;92.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0385;2023;89.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0385;2024;85.0;1.0;n.a.;n.a.;n.a.;5.0;2.0;6.0
GM0388;2022;93.0;3.0;n.a.;n.a.;n.a.;0.0;0.0;1.0
GM0388;2023;91.0;3.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0388;2024;90.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0392;2022;83.0;10.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0392;2023;83.0;10.0;n.a.;n.a.;n.a.;1.0;1.0;3.0
GM0392;2024;81.0;10.0;n.a.;n.a.;n.a.;1.0;1.0;5.0
GM0394;2022;91.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0394;2023;89.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0394;2024;87.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;6.0
GM0396;2022;89.0;8.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0396;2023;87.0;8.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0396;2024;84.0;8.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0397;2022;82.0;13.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0397;2023;80.0;12.0;n.a.;n.a.;n.a.;3.0;0.0;2.0
GM0397;2024;79.0;12.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0399;2022;91.0;3.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0399;2023;88.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0399;2024;86.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0400;2022;92.0;5.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0400;2023;90.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0400;2024;88.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0402;2022;85.0;8.0;n.a.;n.a.;n.a.;2.0;0.0;1.0
GM0402;2023;84.0;7.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
GM0402;2024;84.0;7.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
GM0405;2022;92.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0405;2023;90.0;4.0;n.a.;n.a.;n.a.;1.0;1.0;4.0
GM0405;2024;88.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0406;2022;92.0;6.0;n.a.;n.a.;n.a.;0.0;0.0;1.0
GM0406;2023;90.0;6.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
GM0406;2024;89.0;6.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0415;2022;94.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0415;2023;92.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0415;2024;91.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0417;2022;93.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0417;2023;92.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
GM0417;2024;91.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;3.0
GM0420;2022;91.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0420;2023;87.0;1.0;n.a.;n.a.;n.a.;5.0;2.0;3.0
GM0420;2024;85.0;1.0;n.a.;n.a.;n.a.;5.0;3.0;4.0
GM0431;2022;95.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
GM0431;2023;94.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0431;2024;92.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0432;2022;91.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0432;2023;88.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0432;2024;84.0;2.0;n.a.;n.a.;n.a.;5.0;2.0;6.0
GM0437;2022;73.0;12.0;0.0;0.0;7.0;1.0;0.0;1.0
GM0437;2023;71.0;10.0;0.0;0.0;9.0;2.0;0.0;2.0
GM0437;2024;70.0;10.0;0.0;0.0;9.0;2.0;1.0;2.0
GM0439;2022;31.0;2.0;0.0;3.0;57.0;0.0;0.0;6.0
GM0439;2023;30.0;2.0;0.0;2.0;59.0;1.0;0.0;6.0
GM0439;2024;29.0;2.0;0.0;2.0;60.0;1.0;0.0;6.0
GM0441;2022;91.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0441;2023;86.0;2.0;n.a.;n.a.;n.a.;4.0;1.0;5.0
GM0441;2024;80.0;2.0;n.a.;n.a.;n.a.;6.0;3.0;6.0
GM0448;2022;87.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;5.0
GM0448;2023;84.0;4.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
GM0448;2024;82.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;7.0
GM0450;2022;95.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0450;2023;93.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
GM0450;2024;92.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;1.0
GM0451;2022;82.0;10.0;n.a.;n.a.;n.a.;1.0;0.0;6.0
GM0451;2023;80.0;10.0;n.a.;n.a.;n.a.;1.0;1.0;7.0
GM0451;2024;78.0;10.0;n.a.;n.a.;n.a.;2.0;1.0;8.0
GM0453;2022;88.0;7.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0453;2023;87.0;7.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0453;2024;86.0;7.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0457;2022;79.0;13.0;n.a.;n.a.;n.a.;1.0;0.0;4.0
GM0457;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
GM0457;2024;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
GM0473;2022;69.0;21.0;0.0;0.0;6.0;0.0;0.0;1.0
GM0473;2023;68.0;20.0;0.0;0.0;6.0;1.0;0.0;3.0
GM0473;2024;68.0;20.0;0.0;0.0;6.0;2.0;0.0;3.0
GM0479;2022;85.0;8.0;0.0;1.0;2.0;1.0;0.0;3.0
GM0479;2023;82.0;8.0;0.0;2.0;3.0;1.0;1.0;3.0
GM0479;2024;81.0;7.0;0.0;1.0;3.0;1.0;1.0;4.0
GM0482;2022;85.0;10.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0482;2023;84.0;10.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0482;2024;83.0;10.0;n.a.;n.a.;n.a.;1.0;1.0;3.0
GM0484;2022;83.0;12.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0484;2023;81.0;12.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0484;2024;79.0;11.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0489;2022;89.0;3.0;0.0;0.0;4.0;1.0;0.0;1.0
GM0489;2023;87.0;3.0;0.0;0.0;4.0;2.0;1.0;3.0
GM0489;2024;86.0;3.0;0.0;0.0;4.0;3.0;1.0;3.0
GM0498;2022;90.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0498;2023;83.0;1.0;n.a.;n.a.;n.a.;6.0;2.0;6.0
GM0498;2024;80.0;1.0;n.a.;n.a.;n.a.;6.0;4.0;8.0
GM0501;2022;89.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;6.0
GM0501;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
GM0501;2024;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
GM0502;2022;48.0;19.0;0.0;0.0;27.0;0.0;0.0;4.0
GM0502;2023;48.0;19.0;0.0;0.0;28.0;1.0;0.0;4.0
GM0502;2024;47.0;19.0;0.0;0.0;27.0;1.0;1.0;5.0
GM0503;2022;60.0;21.0;0.0;3.0;6.0;1.0;1.0;4.0
GM0503;2023;59.0;21.0;0.0;3.0;7.0;1.0;1.0;5.0
GM0503;2024;58.0;20.0;0.0;3.0;8.0;1.0;1.0;7.0
GM0505;2022;82.0;7.0;0.0;1.0;6.0;0.0;0.0;1.0
GM0505;2023;80.0;7.0;0.0;2.0;7.0;1.0;1.0;2.0
GM0505;2024;78.0;7.0;0.0;2.0;8.0;1.0;1.0;2.0
GM0512;2022;83.0;10.0;n.a.;n.a.;n.a.;1.0;0.0;5.0
GM0512;2023;80.0;10.0;n.a.;n.a.;n.a.;1.0;1.0;6.0
GM0512;2024;79.0;10.0;n.a.;n.a.;n.a.;2.0;1.0;7.0
GM0513;2022;85.0;10.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0513;2023;83.0;10.0;n.a.;n.a.;n.a.;1.0;1.0;4.0
GM0513;2024;82.0;10.0;n.a.;n.a.;n.a.;1.0;1.0;5.0
GM0518;2022;75.0;10.0;0.0;1.0;8.0;1.0;0.0;3.0
GM0518;2023;74.0;10.0;0.0;1.0;9.0;1.0;0.0;4.0
GM0518;2024;73.0;10.0;0.0;1.0;9.0;1.0;0.0;4.0
GM0523;2022;88.0;7.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0523;2023;86.0;7.0;n.a.;n.a.;n.a.;2.0;2.0;2.0
GM0523;2024;84.0;7.0;n.a.;n.a.;n.a.;2.0;2.0;3.0
GM0530;2022;90.0;4.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0530;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
GM0530;2024;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
GM0531;2022;87.0;7.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0531;2023;84.0;7.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0531;2024;82.0;7.0;0.0;0.0;3.0;2.0;2.0;3.0
GM0532;2022;95.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0532;2023;91.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0532;2024;88.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;4.0
GM0534;2022;91.0;5.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0534;2023;89.0;5.0;n.a.;n.a.;n.a.;1.0;1.0;3.0
GM0534;2024;85.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0537;2022;91.0;5.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0537;2023;89.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0537;2024;88.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0542;2022;87.0;2.0;n.a.;n.a.;n.a.;1.0;4.0;3.0
GM0542;2023;86.0;2.0;n.a.;n.a.;n.a.;2.0;5.0;3.0
GM0542;2024;86.0;2.0;n.a.;n.a.;n.a.;3.0;5.0;4.0
GM0546;2022;64.0;7.0;0.0;8.0;12.0;0.0;1.0;5.0
GM0546;2023;63.0;7.0;0.0;8.0;14.0;1.0;1.0;5.0
GM0546;2024;61.0;7.0;0.0;7.0;14.0;1.0;1.0;7.0
GM0547;2022;80.0;6.0;0.0;4.0;6.0;2.0;0.0;1.0
GM0547;2023;79.0;6.0;0.0;4.0;6.0;2.0;1.0;1.0
GM0547;2024;78.0;6.0;0.0;4.0;7.0;3.0;1.0;1.0
GM0553;2022;90.0;5.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0553;2023;88.0;5.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0553;2024;87.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0556;2022;73.0;16.0;n.a.;n.a.;n.a.;1.0;0.0;6.0
GM0556;2023;71.0;16.0;n.a.;n.a.;n.a.;1.0;0.0;8.0
GM0556;2024;70.0;14.0;n.a.;n.a.;n.a.;1.0;1.0;11.0
GM0569;2022;87.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;6.0
GM0569;2023;84.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
GM0569;2024;82.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;7.0
GM0575;2022;86.0;8.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0575;2023;84.0;8.0;n.a.;n.a.;n.a.;1.0;0.0;4.0
GM0575;2024;82.0;7.0;n.a.;n.a.;n.a.;2.0;1.0;6.0
GM0579;2022;77.0;9.0;0.0;0.0;10.0;1.0;0.0;1.0
GM0579;2023;76.0;9.0;0.0;0.0;9.0;2.0;1.0;2.0
GM0579;2024;74.0;9.0;0.0;0.0;9.0;3.0;1.0;3.0
GM0589;2022;89.0;5.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0589;2023;86.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0589;2024;84.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0590;2022;77.0;12.0;0.0;0.0;7.0;1.0;0.0;2.0
GM0590;2023;75.0;11.0;0.0;1.0;9.0;1.0;1.0;2.0
GM0590;2024;74.0;11.0;0.0;1.0;9.0;1.0;1.0;2.0
GM0597;2022;82.0;11.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0597;2023;81.0;11.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0597;2024;80.0;11.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0599;2022;68.0;8.0;0.0;1.0;19.0;0.0;0.0;1.0
GM0599;2023;67.0;8.0;0.0;1.0;20.0;0.0;0.0;1.0
GM0599;2024;66.0;8.0;0.0;1.0;21.0;0.0;0.0;2.0
GM0603;2022;65.0;26.0;n.a.;n.a.;n.a.;0.0;0.0;8.0
GM0603;2023;63.0;26.0;n.a.;n.a.;n.a.;1.0;0.0;9.0
GM0603;2024;62.0;25.0;n.a.;n.a.;n.a.;1.0;0.0;11.0
GM0606;2022;75.0;20.0;n.a.;n.a.;n.a.;0.0;0.0;3.0
GM0606;2023;74.0;20.0;n.a.;n.a.;n.a.;1.0;0.0;4.0
GM0606;2024;73.0;20.0;n.a.;n.a.;n.a.;1.0;1.0;4.0
GM0610;2022;75.0;12.0;0.0;1.0;6.0;1.0;0.0;3.0
GM0610;2023;74.0;9.0;0.0;3.0;8.0;1.0;1.0;3.0
GM0610;2024;73.0;7.0;0.0;3.0;9.0;2.0;1.0;4.0
GM0613;2022;93.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0613;2023;91.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0613;2024;89.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0614;2022;86.0;6.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0614;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
GM0614;2024;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
GM0622;2022;82.0;13.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0622;2023;80.0;13.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0622;2024;78.0;13.0;n.a.;n.a.;n.a.;1.0;1.0;3.0
GM0626;2022;83.0;14.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0626;2023;82.0;14.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
GM0626;2024;81.0;13.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
GM0627;2022;79.0;10.0;n.a.;n.a.;n.a.;1.0;0.0;8.0
GM0627;2023;75.0;10.0;n.a.;n.a.;n.a.;2.0;1.0;11.0
GM0627;2024;72.0;10.0;n.a.;n.a.;n.a.;2.0;1.0;14.0
GM0629;2022;87.0;9.0;n.a.;n.a.;n.a.;2.0;0.0;1.0
GM0629;2023;86.0;9.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
GM0629;2024;84.0;8.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
GM0632;2022;90.0;4.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0632;2023;87.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0632;2024;85.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;6.0
GM0637;2022;72.0;15.0;0.0;0.0;5.0;3.0;0.0;5.0
GM0637;2023;71.0;15.0;0.0;0.0;5.0;4.0;1.0;5.0
GM0637;2024;69.0;15.0;0.0;0.0;5.0;4.0;1.0;7.0
GM0638;2022;86.0;2.0;n.a.;n.a.;n.a.;1.0;1.0;7.0
GM0638;2023;83.0;2.0;n.a.;n.a.;n.a.;2.0;2.0;8.0
GM0638;2024;78.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;12.0
GM0642;2022;77.0;21.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0642;2023;75.0;21.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
GM0642;2024;74.0;19.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
GM0654;2022;94.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0654;2023;89.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0654;2024;87.0;0.0;n.a.;n.a.;n.a.;4.0;2.0;6.0
GM0664;2022;81.0;4.0;n.a.;n.a.;n.a.;2.0;1.0;9.0
GM0664;2023;78.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;10.0
GM0664;2024;76.0;4.0;n.a.;n.a.;n.a.;4.0;1.0;11.0
GM0668;2022;90.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0668;2023;86.0;1.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0668;2024;83.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;7.0
GM0677;2022;93.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;3.0
GM0677;2023;90.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0677;2024;87.0;0.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0678;2022;91.0;1.0;n.a.;n.a.;n.a.;2.0;0.0;4.0
GM0678;2023;88.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0678;2024;85.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;6.0
GM0687;2022;89.0;6.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0687;2023;87.0;6.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0687;2024;85.0;6.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0703;2022;90.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0703;2023;87.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0703;2024;85.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;5.0
GM0715;2022;89.0;5.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0715;2023;86.0;5.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0715;2024;84.0;5.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0716;2022;91.0;1.0;n.a.;n.a.;n.a.;1.0;1.0;4.0
GM0716;2023;88.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0716;2024;86.0;1.0;n.a.;n.a.;n.a.;3.0;2.0;6.0
GM0717;2022;91.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0717;2023;89.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0717;2024;87.0;1.0;n.a.;n.a.;n.a.;3.0;2.0;4.0
GM0718;2022;86.0;8.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0718;2023;84.0;8.0;n.a.;n.a.;n.a.;1.0;1.0;3.0
GM0718;2024;82.0;7.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0736;2022;90.0;3.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0736;2023;87.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0736;2024;85.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0737;2022;90.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;4.0
GM0737;2023;87.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0737;2024;85.0;3.0;n.a.;n.a.;n.a.;4.0;2.0;6.0
GM0743;2022;90.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0743;2023;86.0;2.0;n.a.;n.a.;n.a.;4.0;1.0;6.0
GM0743;2024;83.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;7.0
GM0744;2022;91.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;4.0
GM0744;2023;88.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0744;2024;85.0;0.0;n.a.;n.a.;n.a.;3.0;2.0;6.0
GM0748;2022;83.0;7.0;0.0;1.0;2.0;1.0;0.0;4.0
GM0748;2023;80.0;7.0;0.0;1.0;3.0;2.0;1.0;5.0
GM0748;2024;77.0;6.0;0.0;0.0;3.0;2.0;1.0;8.0
GM0753;2022;88.0;3.0;n.a.;n.a.;n.a.;1.0;1.0;6.0
GM0753;2023;85.0;3.0;n.a.;n.a.;n.a.;3.0;1.0;8.0
GM0753;2024;82.0;3.0;n.a.;n.a.;n.a.;3.0;2.0;10.0
GM0755;2022;82.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;7.0
GM0755;2023;77.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;8.0
GM0755;2024;74.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;11.0
GM0757;2022;91.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0757;2023;87.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0757;2024;85.0;1.0;n.a.;n.a.;n.a.;3.0;2.0;7.0
GM0758;2022;66.0;5.0;0.0;5.0;17.0;1.0;0.0;4.0
GM0758;2023;64.0;5.0;0.0;4.0;18.0;1.0;1.0;5.0
GM0758;2024;63.0;5.0;0.0;4.0;18.0;2.0;1.0;6.0
GM0762;2022;91.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;4.0
GM0762;2023;88.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
GM0762;2024;85.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;6.0
GM0765;2022;94.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0765;2023;92.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0765;2024;89.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;2.0
GM0766;2022;88.0;2.0;n.a.;n.a.;n.a.;1.0;1.0;6.0
GM0766;2023;84.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;8.0
GM0766;2024;82.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;9.0
GM0770;2022;87.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0770;2023;83.0;1.0;n.a.;n.a.;n.a.;5.0;1.0;5.0
GM0770;2024;80.0;1.0;n.a.;n.a.;n.a.;6.0;2.0;7.0
GM0772;2022;76.0;10.0;0.0;0.0;7.0;1.0;0.0;5.0
GM0772;2023;74.0;9.0;0.0;0.0;7.0;2.0;1.0;5.0
GM0772;2024;72.0;9.0;0.0;0.0;7.0;2.0;1.0;6.0
GM0777;2022;84.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;10.0
GM0777;2023;80.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;13.0
GM0777;2024;78.0;1.0;n.a.;n.a.;n.a.;3.0;2.0;15.0
GM0779;2022;84.0;0.0;0.0;1.0;7.0;1.0;0.0;5.0
GM0779;2023;81.0;0.0;0.0;1.0;6.0;2.0;1.0;7.0
GM0779;2024;79.0;0.0;0.0;1.0;6.0;2.0;1.0;7.0
GM0784;2022;89.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;3.0
GM0784;2023;85.0;2.0;n.a.;n.a.;n.a.;4.0;1.0;5.0
GM0784;2024;82.0;2.0;n.a.;n.a.;n.a.;5.0;2.0;7.0
GM0785;2022;86.0;2.0;n.a.;n.a.;n.a.;4.0;0.0;6.0
GM0785;2023;83.0;2.0;n.a.;n.a.;n.a.;4.0;1.0;8.0
GM0785;2024;81.0;2.0;n.a.;n.a.;n.a.;5.0;2.0;9.0
GM0794;2022;75.0;4.0;0.0;1.0;13.0;1.0;0.0;5.0
GM0794;2023;73.0;4.0;0.0;1.0;13.0;2.0;1.0;6.0
GM0794;2024;71.0;3.0;0.0;0.0;13.0;2.0;1.0;8.0
GM0796;2022;83.0;8.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0796;2023;81.0;7.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0796;2024;78.0;7.0;0.0;0.0;3.0;3.0;1.0;6.0
GM0797;2022;90.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;5.0
GM0797;2023;86.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
GM0797;2024;84.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;8.0
GM0798;2022;88.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;4.0
GM0798;2023;84.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
GM0798;2024;81.0;2.0;n.a.;n.a.;n.a.;4.0;2.0;6.0
GM0809;2022;90.0;2.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0809;2023;88.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
GM0809;2024;86.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;6.0
GM0820;2022;93.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0820;2023;91.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
