waterschap;res_gebied;naamgeving;med_uur;gj_exwko;gj_zomer;gj_metwko;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
De Stichtse Rijnlanden;U10/U16;RWZI Zeist;960.0;35632.64;40128.01;75760.64;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0355;;;;GM0355;;;;GM0355;;;False;False;False;52.0871823230714;5.211506058803742;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;RWZI Nieuwegein;1050.0;148348.2;43890.0;192238.2;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0353;;;;GM0353;;;;GM0353;;;False;False;False;52.00391842874025;5.070539000415452;WarmteAtlas:TEA_assets_met_wko;;;
Schieland en de Krimpenerwaard;Midden-Holland;RWZI Haastrecht;1080.0;52586.72;45144.01;97730.72;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1931;2851.0;;;GM1931;2851.0;;;GM1931;2851.0;;False;False;False;52.00262965194176;4.784297020906285;WarmteAtlas:TEA_assets_met_wko;;;
HHS van Delfland;Rotterdam-Den Haag;RWZI Harnaschpolder;3364.0;75279.37;140615.6;15894.57;Specifieke berekening minimaal potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.0154061352828;4.31887752452759;WarmteAtlas:TEA_assets_met_wko;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi Ammerstol;30.0;4.17;1252.8;1256.97;Minimale waarde < 20 m3/uur;;GM1931;2865.0;;;GM1931;2865.0;;;GM1931;2865.0;;False;False;False;51.93069238360864;4.805631299130185;WarmteAtlas:TEA_assets_met_wko;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi Stolwijk;90.0;12715.56;3762.0;16477.56;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1931;2821.0;;;GM1931;2821.0;;;GM1931;2821.0;;False;False;False;51.980248827318626;4.767155701649249;WarmteAtlas:TEA_assets_met_wko;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi De Groote Zaag;688.0;97203.39;28758.41;25961.79;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1931;2931.0;;;GM1931;2931.0;;;GM1931;2931.0;;False;False;False;51.89780648664727;4.59714744669549;WarmteAtlas:TEA_assets_met_wko;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi Bergambacht;79.0;11161.43;3302.2;14463.63;Specifieke berekening minimaal potentieel;;GM1931;2861.0;;;GM1931;2861.0;;;GM1931;2861.0;;False;False;False;51.94045032179333;4.787970088779269;WarmteAtlas:TEA_assets_met_wko;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi Berkenwoude;13.0;1.8;540.0;541.8;Minimale waarde < 20 m3/uur;;GM1931;2825.0;;;GM1931;2825.0;;;GM1931;2825.0;;False;False;False;51.93584263970003;4.712299128930347;WarmteAtlas:TEA_assets_met_wko;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi Kortenoord;1450.0;204861.8;60610.0;265471.8;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1892;2911.0;;;GM1892;2911.0;;;GM1892;2911.0;;False;False;False;51.972345173001685;4.628765904070388;WarmteAtlas:TEA_assets_met_wko;;;
