waterschap;res_gebied;naamgeving;min_uur;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
De Stichtse Rijnlanden;U10/U16;RWZI Nieuwegein;451.5;63789.72;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0353;;;;GM0353;;;;GM0353;;;False;False;False;52.00391842874025;5.070539000415452;WarmteAtlas:TEA_assets_minimale_potentie;;;
Schieland en de Krimpenerwaard;Midden-Holland;RWZI Haastrecht;464.4;65612.28;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1931;2851.0;;;GM1931;2851.0;;;GM1931;2851.0;;False;False;False;52.00262965194176;4.784297020906285;WarmteAtlas:TEA_assets_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;RWZI Harnaschpolder;1446.52;4370.13;Specifieke berekening minimaal potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.0154061352828;4.31887752452759;WarmteAtlas:TEA_assets_minimale_potentie;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi Ammerstol;12.9;0.0;Minimale waarde < 20 m3/uur;;GM1931;2865.0;;;GM1931;2865.0;;;GM1931;2865.0;;False;False;False;51.93069238360864;4.805631299130185;WarmteAtlas:TEA_assets_minimale_potentie;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi Stolwijk;38.7;5467.69;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1931;2821.0;;;GM1931;2821.0;;;GM1931;2821.0;;False;False;False;51.980248827318626;4.767155701649249;WarmteAtlas:TEA_assets_minimale_potentie;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi De Groote Zaag;295.84;41797.45;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1931;2931.0;;;GM1931;2931.0;;;GM1931;2931.0;;False;False;False;51.89780648664727;4.59714744669549;WarmteAtlas:TEA_assets_minimale_potentie;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi Bergambacht;33.97;4799.41;Specifieke berekening minimaal potentieel;;GM1931;2861.0;;;GM1931;2861.0;;;GM1931;2861.0;;False;False;False;51.94045032179333;4.787970088779269;WarmteAtlas:TEA_assets_minimale_potentie;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi Berkenwoude;5.59;0.0;Minimale waarde < 20 m3/uur;;GM1931;2825.0;;;GM1931;2825.0;;;GM1931;2825.0;;False;False;False;51.93584263970003;4.712299128930347;WarmteAtlas:TEA_assets_minimale_potentie;;;
Schieland en de Krimpenerwaard;Midden-Holland;Awzi Kortenoord;623.5;88090.57;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1892;2911.0;;;GM1892;2911.0;;;GM1892;2911.0;;False;False;False;51.972345173001685;4.628765904070388;WarmteAtlas:TEA_assets_minimale_potentie;;;
Vallei en Veluwe;U10/U16;Veenendaal;322.5;45564.09;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.03789212424647;5.5232381132560855;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap Hollandse Delta;Hoeksewaard;rwzi Oud-Beijerland;132.70875;18749.62;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1963;3261.0;;;GM1963;3261.0;;;GM1963;3261.0;;False;False;False;51.82697072008048;4.428862797212639;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Oostvoorne;52.4958333332;7416.82;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1992;3233.0;;;GM1992;3233.0;;;GM1992;3233.0;;False;False;False;51.916575097880234;4.117186914796763;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap Hollandse Delta;Hoeksewaard;rwzi Piershil;14.9245833333;0.0;Minimale waarde < 20 m3/uur;;GM1963;3265.0;;;GM1963;;;;GM1963;;;False;False;False;51.7988432934846;4.345384957220395;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Hellevoetsluis;69.3554166668;9798.81;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1992;3225.0;;;GM1992;3225.0;;;GM1992;3225.0;;False;False;False;51.84251379869752;4.1754641522420215;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Heenvliet;26.82125;3789.41;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1930;3218.0;;;GM1930;3218.0;;;GM1930;3218.0;;False;False;False;51.86574168678694;4.223895718249493;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Spijkenisse-Allemanspolder;208.693333333;29485.02;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1930;3207.0;;;GM1930;3207.0;;;GM1930;3207.0;;False;False;False;51.84107344735901;4.364888161487069;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap Hollandse Delta;Hoeksewaard;rwzi Numansdorp;62.2425;8793.86;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1963;3281.0;;;GM1963;;;;GM1963;;;False;False;False;51.72646018146393;4.4216700010400345;WarmteAtlas:TEA_assets_minimale_potentie;;;
Waterschap Hollandse Delta;Hoeksewaard;rwzi Strijen;10.0333333333;0.0;Minimale waarde < 20 m3/uur;;GM1963;;;;GM1963;;;;GM1963;;;False;False;False;51.74545002862149;4.561466569914767;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Metropoolregio Eindhoven;Elsendorp;4.83875;0.0;Minimale waarde < 20 m3/uur;;GM1652;;;;GM1652;;;;GM1652;;;False;False;False;51.582205231171635;5.766260349946098;WarmteAtlas:TEA_assets_minimale_potentie;;;
Aa en Maas;Noord-oost Brabant;Erp;62.53625;3534.14;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.604088300474615;5.613078769503841;WarmteAtlas:TEA_assets_minimale_potentie;;;
