OBJECTID;Potentieel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1478;0.0;;GM1894;;;;GM1894;;;;GM1894;;;False;False;False;51.35705983592892;6.023940957452022;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1479;0.0;;GM1894;;;;GM1894;;;;GM1894;;;False;False;False;51.33860281587555;5.941882607734086;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1480;0.0;;GM1640;;;;GM1640;;;;GM1640;;;False;False;False;51.31375477828876;5.86986515037499;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1481;0.0;;GM1706;;;;GM1706;;;;GM1706;;;False;False;False;51.30385128023687;5.552847936502035;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1482;0.0;;GM1658;;;;GM1658;;;;GM1658;;;False;False;False;51.30302766784922;5.486882821223617;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1483;0.0;;GM0858;;;;GM0858;;;;GM0858;;;False;False;False;51.30215556149342;5.448164782048647;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1484;0.0;;GM0946;;;;GM0946;;;;GM0946;;;False;False;False;51.29768527393559;5.842453153943757;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1485;0.0;;GM0858;;;;GM0858;;;;GM0858;;;False;False;False;51.29676449783424;5.4438562942564594;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1486;0.0;;GM0946;;;;GM0946;;;;GM0946;;;False;False;False;51.28086535427311;5.770621814457191;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1487;0.0;;GM0988;;;;GM0988;;;;GM0988;;;False;False;False;51.2397943897331;5.674334724744953;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
