waterschap;res_gebied;min_uur;min_gj_ex;type;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.032763678952435;4.316470553529476;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.021833860890176;4.320506812438819;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2287.0;;;GM0603;2287.0;;;GM0603;2287.0;;False;False;False;52.03320129256749;4.3162026109897145;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2284.0;;;GM0603;2284.0;;;GM0603;2284.0;;False;False;False;52.035644284409294;4.313810862123969;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.01901924904883;4.318542722538165;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.01946885572716;4.31838517841843;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.01898057783046;4.318515170777672;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.03170161353905;4.304338098585389;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.03671051675245;4.3013827340813835;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.019427791650166;4.317378303315467;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.01978157359038;4.316044357087761;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.019982817710655;4.315312075592243;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02015963515915;4.3146203015484526;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02017827742024;4.314165279363266;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.020218008042775;4.3136491383159425;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02193712228162;4.312049355600612;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02400010633842;4.310295557953361;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.017744228805725;4.317599603137444;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.018941749210256;4.318531874769217;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.01905298902987;4.318481726114229;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02120393550245;4.319964464467893;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.020482570410046;4.3193379071183475;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02056176946907;4.319414924856908;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.020387171730114;4.319213797755648;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.019809574584265;4.31844187564877;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02008256843696;4.318804425124725;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2284.0;;;GM0603;2284.0;;;GM0603;2284.0;;False;False;False;52.038153822444194;4.3113116722440585;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02643037353208;4.32306394871495;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.027981511466116;4.320850335709491;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02935460640149;4.319452169330234;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.031196885394934;4.31788261776643;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.017713171913606;4.317691120367769;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.031672782540525;4.317369344154801;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.03223841168847;4.3167929969714995;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.03028060151129;4.318672967931956;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.029065469038414;4.3197020780372695;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.04029236767868;4.309524832432048;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.030372465731666;4.304905521451309;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.025347473423565;4.309112365914003;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.02639873253412;4.308191429117562;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2286.0;;;GM0603;2286.0;;;GM0603;2286.0;;False;False;False;52.028415597571026;4.306434213929242;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.04055259216358;4.298855382845862;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;2824.0;319189;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0603;2285.0;;;GM0603;2285.0;;;GM0603;2285.0;;False;False;False;52.04226694603055;4.295400784684287;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;19.845;561;Influent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1992;3225.0;;;GM1992;3225.0;;;GM1992;3225.0;;False;False;False;51.84342129981404;4.177537621835675;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
Waterschap Hollandse Delta;Hoeksewaard;0.0;0;Influent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1963;;;;GM1963;;;;GM1963;;;False;False;False;51.74532956749521;4.561300999732165;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
Waterschap Hollandse Delta;Hoeksewaard;12.4745833333;352;Influent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1963;3265.0;;;GM1963;;;;GM1963;;;False;False;False;51.79892425455992;4.345372687439116;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
Waterschap Hollandse Delta;Hoeksewaard;4.5325;128;Influent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1963;3265.0;;;GM1963;;;;GM1963;;;False;False;False;51.79860296993841;4.345314840346216;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;9.39166666665;265;Influent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1930;3218.0;;;GM1930;3218.0;;;GM1930;3218.0;;False;False;False;51.86586431925556;4.2251405924961265;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
