Referentie;Aanvrager;SDE_ronde;Categorie;Cat_Soort;Cat_SubSrt;Cat_narrat;Status;Realisatie;Instal_Jr;Ingebruikn;E_drager_s;E_bron;Glas;V_MW;E_MWhpa;Eenh_verm;Vollast;Budget;Looptijd;Plaats;Gemeente;Provincie;RES_regio;Zon_PV;SBI_2dig;Klim_tafel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
SDE2316957;Duurzaam Opwekken Veenendaal;2023;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;;warmte;lucht - water;;4.208;14728.0;MWh;3500;17894520.0;15;VEENENDAAL;VEENENDAAL;UTRECHT;Regio FoodValley;Nvt;35;ELEK;BU03450441;GM0345;3905.0;3905LA;BU03450441;GM0345;3905.0;3905LA;BU03450441;GM0345;3905.0;3905LA;False;False;False;52.032036203292805;5.553804126227331;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2318922;3 GS Beheer B.V.;2023;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;;warmte;industriële warmte;;0.55;4400.0;MWh;8000;1568160.0;12;HEUSDEN GEM ASTEN;ASTEN;NOORD-BRABANT;METROPOOLREGIOEINDHOVEN;Nvt;64;GO;BU07430802;GM0743;5725.0;5725RG;BU07430802;GM0743;5725.0;5725RG;BU07430802;GM0743;5725.0;5725RG;False;False;False;51.37384676164956;5.801583809201605;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2217559;Geocombinatie Leeuwarden B.V.;2022;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Geothermische energie;Nog te realiseren;Nee;n.a.;;warmte;aardwarmte;Nee;12.19;73140.0;MWh;6000;95118570.0;15;LEEUWARDEN;LEEUWARDEN;FRIESLAND;FRIESLAND;Nvt;70;GO;BU00801001;GM0080;8911.0;8911HJ;BU00801001;GM0080;8911.0;8911HJ;BU00801001;GM0080;8911.0;8911HJ;False;False;False;53.202300910830196;5.795949431914521;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2316090;McCain Appetizers Europe B.V.;2023;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;;warmte;industriële warmte;;0.8;2400.0;MWh;3000;2122560.0;12;RILLAND;REIMERSWAAL;ZEELAND;ZEELAND;Nvt;64;GO;BU07030406;GM0703;4411.0;4411PB;BU07030406;GM0703;4411.0;4411PB;BU07030406;GM0703;4411.0;4411PB;False;False;False;51.422074353050654;4.1974508068668985;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2318988;De Jong Verpakking;2023;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Elektrische boiler;Nog te realiseren;Nee;n.a.;;warmte;elektriciteit;;7.2;17344.8;MWh;2409;16833129.0;15;DE LIER;WESTLAND;ZUID-HOLLAND;ROTTERDAM/DENHAAG;Nvt;17;IND;BU17830702;GM1783;2678.0;2678HA;BU17830702;GM1783;2678.0;2678HA;BU17830702;GM1783;2678.0;2678HA;False;False;False;51.97705277730103;4.222782322708309;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2219164;Plukon Dedemsvaart B.V.;2022;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Industriele warmtepomp;Nog te realiseren;Nee;n.a.;;warmte;industriële warmte;;0.51;1530.0;MWh;3000;1165860.0;12;DEDEMSVAART;HARDENBERG;OVERIJSSEL;WEST-OVERIJSSEL;Nvt;10;IND;BU01600901;GM0160;7701.0;7701AD;BU01600901;GM0160;7701.0;7701AD;BU01600901;GM0160;7701.0;7701AD;False;False;False;52.60501708704342;6.4757726890475436;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2314272;Rem-Tm B.V.;2023;CO2-arme productie;CO2armEnergieGebruik;CO2armeProductie;CO2-afvang en -opslag;Nog te realiseren;Nee;n.a.;;CCS;co2;;1.5;6000.0;TON;4000;5569326.0;15;ODILIAPEEL;MAASHORST;NOORD-BRABANT;NOORDOOST-BRABANT;Nvt;71;GO;BU19910399;GM1991;5409.0;5409SB;BU19910399;GM1991;5409.0;5409SB;BU19910399;GM1991;5409.0;5409SB;False;False;False;51.65779587884715;5.722731308468733;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2315201;Eneco Heat Production & Industrials B.V.;2023;CO2-arme warmte;CO2armEnergieGebruik;CO2armeWarmte;Elektrische boiler;Nog te realiseren;Nee;n.a.;;warmte;elektriciteit;;9.0;32400.0;MWh;3600;26973000.0;15;BROEK OP LANGEDIJK;DIJK EN WAARD;NOORD-HOLLAND;NOORD-HOLLANDNOORD;Nvt;36;IND;BU19800407;GM1980;1721.0;1721CH;BU19800407;GM1980;1721.0;1721CH;BU19800407;GM1980;1721.0;1721CH;False;False;False;52.67142589672634;4.800066451091513;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2316140;Hygro Energy B.V.;2023;Waterstof;CO2armEnergieGebruik;waterstof;Waterstof;Nog te realiseren;Nee;n.a.;;elektriciteit;elektriciteit;;1.995;6966.54;TON;3492;11515691.0;15;MEDEMBLIK;HOLLANDS KROON;NOORD-HOLLAND;Regio Noord Holland Noord;Nvt;35;ELEK;BU04200101;GM0420;1671.0;1671AX;BU04200101;GM0420;1671.0;1671AX;BU04200101;GM0420;1671.0;1671AX;False;False;False;52.77432200247099;5.1124062806023245;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
SDE2318996;HVC;2023;CO2-arme productie;CO2armEnergieGebruik;CO2armeProductie;CO2-afvang en -opslag;Nog te realiseren;Nee;n.a.;;CCS;co2;;12.962406;51849.62;TON;4000;168706201.0;15;ALKMAAR;ALKMAAR;NOORD-HOLLAND;NOORD-HOLLANDNOORD;Nvt;38;IND;BU03610309;GM0361;1812.0;1812RD;BU03610309;GM0361;1812.0;1812RD;BU03610309;GM0361;1812.0;1812RD;False;False;False;52.61091831845492;4.7617072316181694;WarmteAtlas:SDE_CO2arm;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:54:51;
