Id;Status;Soort;Type;Stakeholder;Sector;Jaar;Woningen;ha_Kas;m2_Gebouw;MWh_FE_Rt;ktCO2eq_Rt;ktCO2_Rind;MWh_DE_P;MWh_FE_sh;patroon;circ_GrSt;beschrijving;weblink;koppeling;wkt;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Transitie2;In uitvoering;aanpassing/uitbreiding netten;W-net;Warmtenetwerk Zaanstad BV;;2019;2200.0;n.a.;1000.0;n.a.;n.a.;n.a.;n.a.;n.a.;;;Het Zaanse warmtenet wordt een open net. Dat wil zeggen dat het niet een initiatief is van ̩̩n marktpartij, maar dat meerdere warmtebronnen of leveranciers gebruik kunnen maken van het leidingennetwerk. In eerste instantie is de biomassacentrale van Bi;https://warmtenet.zaanstad.nl/nieuws/aanleg-zaans-warmtenet-van-start;Transitie1;MULTIPOLYGON(((117741.201929 496391.395036, 117966.078129 496348.437536, 118067.358529 496239.280636, 118002.892028 496194.042036, 118694.004629 495119.631936, 118244.203129 495026.687536, 118054.703129 495011.093736, 117979.914728 494955.111436, 117849.;BU04791310;GM0479;1503.0;1503VR;BU04791311;GM0479;1503.0;1503VR;BU04791311;GM0479;1503.0;1503VR;True;False;False;52.446669559537305;4.844593373948049;MULTIPOLYGON (((4.839079 52.454017, 4.842392 52.453646, 4.843894 52.452672, 4.842951 52.452261, 4.853234 52.442651, 4.846629 52.441786, 4.843844 52.441633, 4.84275 52.441125, 4.840796 52.444248, 4.839079 52.454017)));WarmteAtlas:Transities;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:38;
test2; Operationeel; productie circ grondstoffen; bioproductie;n.a.; energie;2019;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;lorem23;n.a.;n.a.;n.a.;BU01660018;GM1708;7722.0;7954PC;BU01660018;GM1708;7722.0;7954PC;BU01660018;GM1708;7722.0;7954PC;False;False;False;52.65769947821556;6.160485215145145;MULTIPOLYGON (((6.189674 52.916043, 6.478247 52.693433, 6.301282 52.443672, 5.764711 52.574152, 6.18321 52.912221, 6.189674 52.916043)));WarmteAtlas:Transities;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:38;
