BU_CODE;BU_NAAM;GM_NAAM;WONINGEN;P_STADVERW;JAAR;STATUS;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
BU03610301;Oosterhout;Alkmaar;574;32;2023;DEF;BU03610301;GM0361;BU03610301;GM0361;BU03610301;GM0361;False;False;52.62062723207672;4.758957122491266;MULTIPOLYGON (((4.76472 52.624119, 4.766122 52.623519, 4.769397 52.621623, 4.768199 52.61694, 4.763078 52.617338, 4.759571 52.617296, 4.759399 52.618428, 4.752371 52.618487, 4.75044 52.618891, 4.748748 52.619632, 4.747742 52.620463, 4.749145 52.622014, 4.751714 52.624983, 4.755556 52.624015, 4.759049 52.622832, 4.76006 52.622174, 4.758433 52.62057, 4.760184 52.619971, 4.760968 52.620665, 4.763566 52.622326, 4.764154 52.623346, 4.764733 52.623913, 4.76472 52.624119)));WarmteAtlas:WarmteNetten;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:43;
BU03610302;Overdie-Oost;Alkmaar;1322;17;2023;DEF;BU03610302;GM0361;BU03610302;GM0361;BU03610302;GM0361;False;False;52.61645107039144;4.752442783914563;MULTIPOLYGON (((4.759571 52.617296, 4.750553 52.614022, 4.749446 52.613743, 4.747632 52.61356, 4.746259 52.613596, 4.746381 52.614219, 4.75044 52.618891, 4.752371 52.618487, 4.759399 52.618428, 4.759571 52.617296)));WarmteAtlas:WarmteNetten;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:43;
BU03610500;Huiswaard-1-Zuid;Alkmaar;1291;4;2023;DEF;BU03610500;GM0361;BU03610500;GM0361;BU03610500;GM0361;False;False;52.642427750110606;4.749869298129362;MULTIPOLYGON (((4.756514 52.640459, 4.755781 52.640134, 4.753156 52.639454, 4.749212 52.638921, 4.746273 52.638665, 4.744282 52.645181, 4.747946 52.645798, 4.748825 52.645983, 4.74973 52.646053, 4.752893 52.646115, 4.753474 52.645271, 4.75357 52.644097, 4.754326 52.642974, 4.756005 52.64079, 4.756514 52.640459)));WarmteAtlas:WarmteNetten;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:43;
BU03610501;Muiderwaard;Alkmaar;364;65;2023;DEF;BU03610501;GM0361;BU03610501;GM0361;BU03610501;GM0361;False;False;52.64638294016235;4.748489498588532;MULTIPOLYGON (((4.752893 52.646115, 4.74973 52.646053, 4.748825 52.645983, 4.747946 52.645798, 4.744282 52.645181, 4.743886 52.646471, 4.752467 52.647439, 4.753427 52.646381, 4.752822 52.646323, 4.752893 52.646115)));WarmteAtlas:WarmteNetten;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:43;
BU03610602;De Horn-Noord;Alkmaar;1504;6;2023;DEF;BU03610602;GM0361;BU03610602;GM0361;BU03610602;GM0361;False;False;52.660592004684254;4.76716500597779;MULTIPOLYGON (((4.774159 52.664774, 4.769096 52.656311, 4.765658 52.657059, 4.763204 52.658164, 4.762472 52.6582, 4.761721 52.65817, 4.759995 52.657779, 4.759722 52.657698, 4.758153 52.65797, 4.758591 52.658824, 4.758858 52.659022, 4.758871 52.659561, 4.759516 52.660196, 4.760394 52.66037, 4.760904 52.660839, 4.762342 52.66043, 4.76314 52.660449, 4.764267 52.660662, 4.76548 52.660775, 4.765976 52.661212, 4.765965 52.661544, 4.765114 52.661939, 4.764444 52.662526, 4.764576 52.662762, 4.765947 52.663306, 4.767297 52.663767, 4.768773 52.663903, 4.769765 52.664829, 4.771688 52.66537, 4.774159 52.664774)));WarmteAtlas:WarmteNetten;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:43;
BU03610604;De Mare;Alkmaar;1542;6;2023;DEF;BU03610604;GM0361;BU03610604;GM0361;BU03610604;GM0361;False;False;52.65418501081259;4.754890786707942;MULTIPOLYGON (((4.758871 52.659561, 4.758858 52.659022, 4.758591 52.658824, 4.758153 52.65797, 4.759722 52.657698, 4.759995 52.657779, 4.760166 52.657489, 4.759732 52.657433, 4.758977 52.656163, 4.75953 52.656041, 4.759103 52.655318, 4.759273 52.654919, 4.758386 52.653395, 4.759134 52.653197, 4.757358 52.651693, 4.757016 52.651353, 4.756795 52.650608, 4.757489 52.648526, 4.757268 52.647994, 4.752467 52.647439, 4.75201 52.6486, 4.752106 52.649149, 4.752642 52.649642, 4.75261 52.649993, 4.751555 52.650633, 4.750227 52.650408, 4.748123 52.650192, 4.747815 52.651006, 4.749564 52.651812, 4.749644 52.652145, 4.750302 52.652124, 4.750421 52.651885, 4.750991 52.651983, 4.752918 52.653274, 4.752704 52.653704, 4.75273 52.654026, 4.753023 52.655006, 4.75362 52.655926, 4.753948 52.655916, 4.754861 52.657211, 4.7537 52.657485, 4.750982 52.657109, 4.749358 52.656604, 4.748702 52.656766, 4.748455 52.657324, 4.748943 52.657799, 4.753139 52.658496, 4.753952 52.659782, 4.753585 52.660319, 4.754068 52.660892, 4.755784 52.661171, 4.758314 52.659741, 4.758871 52.659561)));WarmteAtlas:WarmteNetten;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:43;
BU03610801;Binnenstad-Oost;Alkmaar;1987;19;2023;DEF;BU03610801;GM0361;BU03610801;GM0361;BU03610801;GM0361;False;False;52.6292075591758;4.752849337893459;MULTIPOLYGON (((4.752831 52.632763, 4.75423 52.63236, 4.755475 52.631869, 4.756595 52.630889, 4.756968 52.630562, 4.754971 52.628301, 4.758198 52.626917, 4.757737 52.626658, 4.75639 52.625975, 4.756139 52.625893, 4.755956 52.625848, 4.755692 52.625886, 4.752973 52.626525, 4.752729 52.626573, 4.747983 52.627639, 4.747341 52.627618, 4.7474 52.628036, 4.748099 52.628938, 4.748823 52.629567, 4.749038 52.629822, 4.749472 52.630179, 4.750078 52.630551, 4.750582 52.631112, 4.750856 52.632082, 4.751532 52.63313, 4.752831 52.632763)));WarmteAtlas:WarmteNetten;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:43;
BU03610803;Overstad;Alkmaar;274;21;2023;DEF;BU03610803;GM0361;BU03610803;GM0361;BU03610803;GM0361;False;False;52.63696152975548;4.751872707972231;MULTIPOLYGON (((4.752831 52.632763, 4.751532 52.63313, 4.749185 52.633789, 4.747069 52.636145, 4.746273 52.638665, 4.749212 52.638921, 4.753156 52.639454, 4.755781 52.640134, 4.756514 52.640459, 4.757779 52.64016, 4.758248 52.639497, 4.756239 52.637462, 4.753506 52.635113, 4.753423 52.63497, 4.753477 52.63355, 4.752831 52.632763)));WarmteAtlas:WarmteNetten;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:43;
BU03611100;Vroonermeer-Zuid;Alkmaar;1246;11;2023;DEF;BU03611100;GM0361;BU03611100;GM0361;BU03611100;GM0361;False;False;52.65101744036616;4.770199596260298;MULTIPOLYGON (((4.774033 52.655222, 4.77366 52.654573, 4.773325 52.654012, 4.773257 52.653885, 4.772998 52.653431, 4.773107 52.653402, 4.773459 52.653348, 4.774309 52.653204, 4.774691 52.653132, 4.774891 52.653089, 4.77523 52.652999, 4.775711 52.652863, 4.775608 52.652646, 4.774248 52.649654, 4.773669 52.648354, 4.768931 52.645958, 4.764617 52.648896, 4.76532 52.649928, 4.769096 52.656311, 4.770958 52.655681, 4.771763 52.655044, 4.77314 52.655469, 4.774033 52.655222)));WarmteAtlas:WarmteNetten;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:43;
BU03611101;Vroonermeer-Noord;Alkmaar;632;79;2023;DEF;BU03611101;GM0361;BU03611101;GM0361;BU03611101;GM0361;False;False;52.65990565853032;4.773761819122003;MULTIPOLYGON (((4.778042 52.664318, 4.778019 52.664273, 4.777993 52.664104, 4.777884 52.663862, 4.777815 52.663755, 4.777608 52.663522, 4.777539 52.663344, 4.777286 52.662656, 4.776766 52.661321, 4.776491 52.660594, 4.776262 52.659973, 4.775992 52.659259, 4.775495 52.658001, 4.775153 52.657255, 4.775112 52.657118, 4.775046 52.656978, 4.774607 52.656202, 4.774304 52.655715, 4.774164 52.655449, 4.774033 52.655222, 4.77314 52.655469, 4.771763 52.655044, 4.770958 52.655681, 4.769096 52.656311, 4.774159 52.664774, 4.774458 52.665337, 4.77449 52.665343, 4.774505 52.665281, 4.774687 52.665153, 4.774844 52.665078, 4.775198 52.664973, 4.775569 52.664883, 4.775958 52.6648, 4.777306 52.664502, 4.777604 52.664455, 4.777784 52.664477, 4.778042 52.664318)));WarmteAtlas:WarmteNetten;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:43;
