Referentie;Aanvrager;SDE_ronde;Categorie;Cat_Soort;Cat_SubSrt;Cat_narrat;Status;Realisatie;Instal_Jr;Ingebruikn;E_drager_s;E_bron;Glas;V_MW;E_MWhpa;Eenh_verm;Vollast;Budget;Looptijd;Plaats;Gemeente;Provincie;RES_regio;Zon_PV;SBI_2dig;Klim_tafel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
SDE2114896;Groenleven;2021;Waterstof;CO2armEnergieGebruik;waterstof;Waterstof;Nog te realiseren;Nee;n.a.;;elektriciteit;elektriciteit;;0.955;2865.0;MWh;3000;1147433.0;15;OOSTERWOLDE FR;OOSTSTELLINGWERF;FRIESLAND;FRIESLAND;Nvt;46;GO;BU00851118;GM0085;8431;8431LL;BU00851118;GM0085;8431;8431LL;BU00851118;GM0085;8431;8431LL;False;False;False;53.00308328909155;6.306769547766249;WarmteAtlas:SDE_hernBrandstof;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:18;
SDE2318851;H2-Go B.V.;2023;Waterstof;CO2armEnergieGebruik;waterstof;Waterstof;Nog te realiseren;Nee;n.a.;;elektriciteit;elektriciteit;;0.742;863.69;TON;1164;1129704.0;15;ZWOLLE;ZWOLLE;OVERIJSSEL;WEST-OVERIJSSEL;Nvt;35;ELEK;BU01934040;GM0193;8028;8028PP;BU01934040;GM0193;8028;8028PP;BU01934040;GM0193;8028;8028PP;False;False;False;52.5335950493855;6.176999291055305;WarmteAtlas:SDE_hernBrandstof;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:18;
SDE2316140;Hygro Energy B.V.;2023;Waterstof;CO2armEnergieGebruik;waterstof;Waterstof;Nog te realiseren;Nee;n.a.;;elektriciteit;elektriciteit;;1.995;6966.54;TON;3492;11515691.0;15;MEDEMBLIK;HOLLANDS KROON;NOORD-HOLLAND;Regio Noord Holland Noord;Nvt;35;ELEK;BU04200101;GM0420;1671;1671AX;BU04200101;GM0420;1671;1671AX;BU04200101;GM0420;1671;1671AX;False;False;False;52.77432200247099;5.1124062806023245;WarmteAtlas:SDE_hernBrandstof;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:18;
SDE2314415;Advanced Methanol Amsterdam B.V.;2023;Hernieuwbare brandstof;CO2armEnergieGebruik;hernieuwbareBrandstof;Hernieuwbare brandstof;Nog te realiseren;Nee;n.a.;;gasvormige energiedragers;lignocellulosehoudende biomassa;;61.375;346624.4;TON;5648;399831241.0;15;SLOTEN;DE FRYSKE MARREN;FRIESLAND;Regio Friesland;Nvt;20;IND;BU19404301;GM1940;8556;8556AK;BU19404301;GM1940;8556;8556AK;BU19404301;GM1940;8556;8556AK;False;False;False;52.8933715106268;5.6590387619309706;WarmteAtlas:SDE_hernBrandstof;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:18;
SDE2218641;Volth2 Terneuzen B.V.;2022;Waterstof;CO2armEnergieGebruik;waterstof;Waterstof;Nog te realiseren;Nee;n.a.;;elektriciteit;elektriciteit;;18.446238;73784.95;MWh;4000;83340102.0;15;SAS VAN GENT;TERNEUZEN;ZEELAND;ZEELAND;Nvt;20;IND;BU07151401;GM0715;4551;4551LT;BU07151401;GM0715;4551;4551LT;BU07151401;GM0715;4551;4551LT;False;False;False;51.257535035812936;3.8045932356228795;WarmteAtlas:SDE_hernBrandstof;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:18;
SDE2315567;Bio LNG ECL B.V.;2023;Hernieuwbare brandstof;CO2armEnergieGebruik;hernieuwbareBrandstof;Hernieuwbare brandstof;Nog te realiseren;Nee;n.a.;;gasvormige energiedragers;allesvergisting;;17.809;142467.1;TON;8000;108559928.0;12;LEEUWARDEN;LEEUWARDEN;FRIESLAND;Regio Friesland;Nvt;35;ELEK;BU00801103;GM0080;8911;8911MA;BU00801103;GM0080;8911;8911MA;BU00801103;GM0080;8911;8911MA;False;False;False;53.19723369691575;5.804418452350215;WarmteAtlas:SDE_hernBrandstof;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:18;
SDE2217411;Volth2 B.V.;2022;Waterstof;CO2armEnergieGebruik;waterstof;Waterstof;Nog te realiseren;Nee;n.a.;;elektriciteit;elektriciteit;;18.446238;73784.95;MWh;4000;83340102.0;15;VLISSINGEN;VLISSINGEN;ZEELAND;ZEELAND;Nvt;20;IND;BU07180103;GM0718;4381;4381NK;BU07180103;GM0718;4381;4381NK;BU07180103;GM0718;4381;4381NK;False;False;False;51.445425680602845;3.5796970351670097;WarmteAtlas:SDE_hernBrandstof;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:55:18;
