PK_UID;LandCode;INST_TYPE;NIC;INRICHTING;STAD;STRAATNAAM;POSTCODE;NR;TOEVOEGING;X;Y;SBI_CODE;SBI;SECTOR;SUBSECTOR;EMISSIE;kton1990;kton2000;kton2010;kton2015;kton2020;kton2021;kton2022;kton2023;kton2024;conv_grp;TJ_Warmte;TJ_W_Ind;legenda;Size;color;Jaar;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
826;NL;;220276;RWZI Horstermeer;Nederhorst den Berg;Middenweg;1394AH;159;;134412;474487;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;1.084415;3.517314;4.660531;5.810313;5.399043;4.735103;4.193645;3.923999;4.83326;Overig;76.583349;76.583349;RWZI;2;Bleu;2024;;GM1696;1394.0;;;GM1696;1394.0;;;GM1696;1394.0;;False;False;False;52.25803132789376;5.085664232994243;WarmteAtlas:CO2EmissieBedrijven;;;
828;NL;;220278;RWZI Huizen;Huizen;IJsselmeerstraat;1271AA;7;;145022;480262;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;1.048837;1.448784;1.155926;0.897003;1.035709;0.916387;0.72445;0.634175;0.58206;Overig;9.222787;9.222787;RWZI;1;Bleu;2024;;GM0406;1271.0;;;GM0406;1271.0;;;GM0406;1271.0;;False;False;False;52.31022944923948;5.24089105186174;WarmteAtlas:CO2EmissieBedrijven;;;
841;NL;;220292;RWZI De Groote Zaag;Krimpen aan de Lek;Zaag;2931LD;8;;100600;434600;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.503968;1.025453;0.541265;0.940447;1.209741;1.312608;0.919397;0.889749;0.452959;Overig;7.177168;7.177168;RWZI;1;Bleu;2024;;GM1931;2931.0;;;GM1931;2931.0;;;GM1931;2931.0;;False;False;False;51.89725252836164;4.596831112127755;WarmteAtlas:CO2EmissieBedrijven;;;
844;NL;;220295;RWZI Leerbroek;Leerbroek;Kerkweg;4245TP;28;A;132100;436000;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.177239;0.179008;0.056848;0.0;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;RWZI;0;Bleu;2024;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;51.9120227647303;5.054385519090185;WarmteAtlas:CO2EmissieBedrijven;;;
845;NL;;220296;RWZI Leerdam;Leerdam;Tiendweg;4142EG;1;;133000;433800;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.590644;0.87458;0.992785;2.175709;2.465611;1.421454;0.745812;0.92494;0.945798;Overig;14.986242;14.986242;RWZI;1;Bleu;2024;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;51.89228511658693;5.067605993783613;WarmteAtlas:CO2EmissieBedrijven;;;
849;NL;;220300;RWZI Leimuiden;Leimuiden;Kerklaan;2451CH;100;;104885;470482;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.061042;0.193615;0.278941;0.279108;0.418387;0.343079;0.508561;0.543803;0.406742;Overig;6.444853;6.444853;RWZI;1;Bleu;2024;;GM1884;2451.0;;;GM1884;2451.0;;;GM1884;2451.0;;False;False;False;52.22014313367109;4.653817642290081;WarmteAtlas:CO2EmissieBedrijven;;;
855;NL;;220306;RWZI Loenen aan de Vecht;Loenen aan de Vecht;Oost Kanaaldijk;3632GA;2;;129000;470700;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.318977;0.270085;0.187954;0.202903;0.285676;0.205306;0.220661;0.213931;0.197522;Overig;3.12975;3.12975;RWZI;1;Bleu;2024;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.22376639947118;5.00669045690968;WarmteAtlas:CO2EmissieBedrijven;;;
859;NL;;220311;RWZI Maarssen;Maarssen;Diependaalsedijk;3601GN;120;;131200;462700;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.52913;0.479866;0.590295;0.336808;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;RWZI;0;Bleu;2024;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.15196377898255;5.0394481615038185;WarmteAtlas:CO2EmissieBedrijven;;;
864;NL;;220316;RWZI Meerkerk;Meerkerk;Burg.Sloblaan;4231AA;49;;127600;436600;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.136151;0.29416;0.125317;0.0;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;RWZI;0;Bleu;2024;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;51.91721227837442;4.988938396539294;WarmteAtlas:CO2EmissieBedrijven;;;
871;NL;;220324;RWZI Nieuw Lekkerland;Nieuw Lekkerland;Koggeplantsoen;2957EN;13;B;104800;433400;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.083257;0.174671;0.262486;0.254764;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;RWZI;0;Bleu;2024;;GM1978;2957.0;;;GM1978;2957.0;;;GM1978;2957.0;;False;False;False;51.886861869056936;4.658022380846714;WarmteAtlas:CO2EmissieBedrijven;;;
