licence_nm;licence_ty;status_cd;resource_c;legenda_cd;area_cd;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
DEN HELDER;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;DEN HELDER-2;BU04009998;GM0400;BU04009998;GM0400;BU04009998;GM0400;False;False;52.940947560036676;4.761063221950034;MULTIPOLYGON (((4.780097 52.960339, 4.810953 52.938644, 4.758831 52.910497, 4.707288 52.959392, 4.780097 52.960339)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
TILBURG 1;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;TILBURG 1;BU08093090;GM0809;BU08093090;GM0809;BU08093090;GM0809;False;False;51.623450562193455;5.052175089222008;MULTIPOLYGON (((5.00952 51.689761, 5.0653 51.689766, 5.079677 51.625734, 5.10004 51.559513, 5.038915 51.559077, 5.021528 51.621234, 5.00952 51.689761)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
MADE 2;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;MADE 2;BU17190102;GM1719;BU17190102;GM1719;BU17190102;GM1719;False;False;51.68208827058171;4.808405563766721;MULTIPOLYGON (((4.779423 51.727669, 4.826028 51.717394, 4.881345 51.659723, 4.82807 51.638843, 4.813076 51.634026, 4.787179 51.675024, 4.725539 51.665473, 4.779423 51.727669)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
SOMEREN;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;SOMEREN;BU07430802;GM0847;BU07430802;GM0847;BU07430802;GM0847;False;False;51.36626308833616;5.747003740517733;MULTIPOLYGON (((5.840177 51.347041, 5.770308 51.333898, 5.677068 51.316055, 5.660153 51.341894, 5.6389 51.389169, 5.692706 51.401241, 5.708275 51.388917, 5.7594 51.404046, 5.779723 51.414554, 5.815445 51.403629, 5.827129 51.400619, 5.839413 51.393156, 5.85397 51.376425, 5.85307 51.372698, 5.856931 51.350211, 5.840177 51.347041)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
DRECHTSTEDEN;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;DRECHTSTEDEN-3;BU19781604;GM0590;BU19781604;GM0590;BU19781604;GM0590;False;False;51.832327035871714;4.724692272269278;MULTIPOLYGON (((4.744066 51.799596, 4.668453 51.837324, 4.706817 51.865174, 4.780393 51.826828, 4.744066 51.799596)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
WESTEINDER 1;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;WESTEINDER 1-W;BU03940240;GM0394;BU03940240;GM0394;BU03940240;GM0394;False;False;52.289334314238445;4.655292410255744;MULTIPOLYGON (((4.727118 52.317723, 4.727582 52.286475, 4.65637 52.239273, 4.567195 52.305569, 4.580469 52.316814, 4.727118 52.317723)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
BRIELLE 2;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;BRIELLE 2-2a;BU19920901;GM1992;BU19920901;GM1992;BU19920901;GM1992;False;False;51.86111464322247;4.151182934113842;MULTIPOLYGON (((4.161667 51.895439, 4.135984 51.885334, 4.139811 51.881501, 4.133272 51.884134, 4.119938 51.871443, 4.160927 51.854933, 4.163926 51.857786, 4.187942 51.866909, 4.197886 51.856101, 4.151343 51.835984, 4.106239 51.878541, 4.158576 51.898729, 4.161667 51.895439)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
BRIELLE 2;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;BRIELLE 2-2b;BU19920901;GM1992;BU19920901;GM1992;BU19920901;GM1992;False;False;51.86985239589725;4.141032329531596;MULTIPOLYGON (((4.139811 51.881501, 4.163596 51.85766, 4.163926 51.857786, 4.160927 51.854933, 4.119938 51.871443, 4.133272 51.884134, 4.139811 51.881501)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
BRIELLE 2;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;BRIELLE 2-2c;BU19923209;GM1992;BU19923209;GM1992;BU19923209;GM1992;False;False;51.881964543651804;4.19636546142229;MULTIPOLYGON (((4.197886 51.856101, 4.187942 51.866909, 4.161667 51.895439, 4.186708 51.904975, 4.183487 51.908323, 4.187465 51.909855, 4.232787 51.871161, 4.197886 51.856101)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
WESTEINDER 1;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;WESTEINDER 1-O;BU07360703;GM0736;BU07360703;GM0736;BU07360703;GM0736;False;False;52.261348861389784;4.923355935774585;MULTIPOLYGON (((4.919568 52.264794, 4.94156 52.264879, 4.908943 52.254371, 4.919568 52.264794)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
WESTEINDER 1;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;WESTEINDER 1-Z;BU07360502;GM0736;BU07360502;GM0736;BU07360502;GM0736;False;False;52.24860826025454;4.874589323362596;MULTIPOLYGON (((4.865424 52.240095, 4.849097 52.24508, 4.86611 52.253947, 4.908943 52.254371, 4.865424 52.240095)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
YPENBURG 1a;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;YPENBURG 1a;BU05184106;GM0518;BU05184106;GM0518;BU05184106;GM0518;False;False;52.046855800965965;4.371441531513885;MULTIPOLYGON (((4.401109 52.026619, 4.391341 52.026833, 4.384372 52.023089, 4.383918 52.021003, 4.377771 52.023796, 4.341409 52.008513, 4.332733 52.016948, 4.32201 52.021854, 4.344318 52.028269, 4.321954 52.048698, 4.358032 52.06619, 4.352835 52.070984, 4.382406 52.08648, 4.425518 52.048954, 4.397009 52.03349, 4.404117 52.028129, 4.401109 52.026619)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
WATERINGEN 1;GEA;EXTENDEDWVA;EARTHHEAT;GEAOTHEREARTHHEAT;WATERINGEN 1;BU05184004;GM0518;BU05184004;GM0518;BU05184004;GM0518;False;False;52.02278783955653;4.2964066782867985;MULTIPOLYGON (((4.276307 52.028186, 4.291634 52.02833, 4.31458 52.019717, 4.30203 52.016105, 4.276307 52.028186)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
ALMERE 1;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;ALMERE 1;BU00500007;GM0050;BU00500007;GM0050;BU00500007;GM0050;False;False;52.40483149073929;5.362481482128765;MULTIPOLYGON (((5.26079 52.415076, 5.352692 52.450393, 5.45299 52.390505, 5.398862 52.35857, 5.26079 52.415076)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
ZOETERMEER 2;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;ZOETERMEER 2;BU19260112;GM0637;BU19260112;GM0637;BU19260112;GM0637;False;False;52.044303508744775;4.473302339156125;MULTIPOLYGON (((4.430308 52.05155, 4.49032 52.067431, 4.500628 52.052933, 4.499703 52.026073, 4.469625 52.021712, 4.430308 52.05155)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
LEEUWARDEN 5;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;LEEUWARDEN 5;BU00808008;GM0080;BU00808008;GM0080;BU00808008;GM0080;False;False;53.152549645620724;5.888315346239703;MULTIPOLYGON (((5.877206 53.245168, 6.020048 53.084551, 5.820002 53.085441, 5.821116 53.196861, 5.791191 53.196966, 5.791342 53.21314, 5.810801 53.213072, 5.811118 53.24542, 5.877206 53.245168)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
ANDIJK 2;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;ANDIJK 2;BU04201610;GM0420;BU04201610;GM0420;BU04201610;GM0420;False;False;52.71137057613992;5.212516030443524;MULTIPOLYGON (((5.262664 52.758271, 5.314802 52.707664, 5.214309 52.640828, 5.097695 52.740582, 5.126039 52.752949, 5.262664 52.758271), (5.168845 52.727063, 5.187929 52.713122, 5.212836 52.720171, 5.204694 52.736049, 5.203289 52.73718, 5.182511 52.732614, 5.168845 52.727063)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
ALKMAAR;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;ALKMAAR-AW-2;BU04410790;GM1980;BU04410790;GM1980;BU04410790;GM1980;False;False;52.70243439941524;4.827430275806386;MULTIPOLYGON (((4.83796 52.739944, 4.876278 52.676693, 4.815602 52.664886, 4.779473 52.729145, 4.83796 52.739944)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
LEIDEN 3;GEA;VALID;EARTHHEAT;GEAOTHEREARTHHEAT;LEIDEN 3;BU05370809;GM0537;BU05370809;GM0537;BU05370809;GM0537;False;False;52.16835167413753;4.44734363975117;MULTIPOLYGON (((4.391754 52.164115, 4.409429 52.179821, 4.417226 52.18674, 4.430266 52.196764, 4.470183 52.194166, 4.485925 52.181207, 4.505062 52.172666, 4.450087 52.133521, 4.391754 52.164115)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
BREDA-MOERDIJK 1;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;BREDA-MOERDIJK 1;BU17190601;GM1709;BU17190601;GM1709;BU17190601;GM1709;False;False;51.67700268391304;4.680022010370291;MULTIPOLYGON (((4.779423 51.727669, 4.725539 51.665473, 4.725897 51.640971, 4.736869 51.641032, 4.765903 51.625531, 4.698633 51.613333, 4.609667 51.671921, 4.584912 51.663507, 4.570479 51.6986, 4.643792 51.713836, 4.779423 51.727669)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
MAASLAND 6;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;MAASLAND 6;BU05992307;GM0599;BU05992307;GM0599;BU05992307;GM0599;False;False;51.929919369872174;4.215932733157799;MULTIPOLYGON (((4.235817 51.923031, 4.204054 51.914625, 4.193626 51.929622, 4.21889 51.948816, 4.240281 51.925675, 4.235817 51.923031)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
ZOETERMEER;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;ZOETERMEER;BU16213312;GM1621;BU16213312;GM1621;BU16213312;GM1621;False;False;52.04296209231003;4.526633253765346;MULTIPOLYGON (((4.576215 52.09009, 4.521193 52.059481, 4.586588 52.014801, 4.539526 52.024755, 4.532753 52.009451, 4.488666 52.014412, 4.503235 52.016795, 4.499703 52.026073, 4.500628 52.052933, 4.49032 52.067431, 4.576215 52.09009)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
KLAZIENAVEEN 2;GEA;EXTENDEDWVA;EARTHHEAT;GEAOTHEREARTHHEAT;KLAZIENAVEEN 2;BU01140309;GM0114;BU01140309;GM0114;BU01140309;GM0114;False;False;52.79931427866043;6.991550299276258;MULTIPOLYGON (((6.943076 52.809841, 7.060332 52.808253, 7.060281 52.794115, 6.962079 52.795453, 6.93227 52.766344, 6.943076 52.809841)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
KWINTSHEUL 2;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;KWINTSHEUL 2-3a;BU18420009;GM1783;BU18420009;GM1783;BU18420009;GM1783;False;False;52.01608707347717;4.291767465907553;MULTIPOLYGON (((4.297293 52.005268, 4.301288 52.008055, 4.269585 52.021684, 4.276347 52.026568, 4.276307 52.028186, 4.306251 52.014121, 4.313592 52.00554, 4.297293 52.005268)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
RENKUM;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;RENKUM-2;BU02282051;GM1734;BU02282051;GM1734;BU02282051;GM1734;False;False;51.96457994015863;5.738887752757743;MULTIPOLYGON (((5.782337 52.040826, 6.054351 51.965074, 5.890454 51.961742, 5.87719 51.927829, 5.861966 51.888292, 5.835475 51.878296, 5.583554 51.863667, 5.584272 52.027553, 5.661483 52.08744, 5.782337 52.040826)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
ROTTERDAM-STAD;GEA;EXTENDED;EARTHHEAT;GEAOTHEREARTHHEAT;ROTTERDAM-STAD;BU05990455;GM0599;BU05990455;GM0599;BU05990455;GM0599;False;False;51.92747773224061;4.471779652444105;MULTIPOLYGON (((4.480103 51.902996, 4.44935 51.902985, 4.42806 51.915222, 4.408939 51.915064, 4.398244 51.932545, 4.381297 51.961159, 4.39278 51.962019, 4.394724 51.962916, 4.405367 51.967164, 4.416388 51.971681, 4.434342 51.971825, 4.446802 51.962657, 4.458761 51.967983, 4.467899 51.972087, 4.485325 51.972219, 4.503989 51.962789, 4.504636 51.929851, 4.513062 51.915893, 4.535663 51.916011, 4.542454 51.90534, 4.576307 51.903028, 4.571555 51.886522, 4.477958 51.873743, 4.48956 51.889248, 4.49878 51.904098, 4.486897 51.909192, 4.480103 51.902996)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
OUDE RIJN;GEA;VALID;EARTHHEAT;GEAOTHEREARTHHEAT;OUDE RIJN-W;BU05379998;GM0537;BU05379998;GM0537;BU05379998;GM0537;False;False;52.20195922063844;4.38055992834208;MULTIPOLYGON (((4.34214 52.190081, 4.39757 52.248013, 4.411049 52.243258, 4.391262 52.208242, 4.390203 52.190694, 4.409429 52.179821, 4.391754 52.164115, 4.34214 52.190081)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
HONSELERSDIJK 5;GEA;EFFECTIVE;EARTHHEAT;GEAOTHEREARTHHEAT;HONSELERSDIJK 5;BU17830257;GM1783;BU17830257;GM1783;BU17830257;GM1783;False;False;52.00744359860304;4.244497467128735;MULTIPOLYGON (((4.248122 52.012659, 4.252215 52.010481, 4.240952 52.002235, 4.236777 52.004452, 4.248122 52.012659)));WarmteAtlas:AardwarmteVergunningen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:38;
