codering;voedingsgebied_id;voedingsgebied_dekking;voedingsgebied_aantal_pc6
BU00340502;OS ALMERE 10-1i;1.0;27
BU00340503;OS ALMERE 10-1i;1.0;15
BU00340504;OS ALMERE 10-1i;1.0;1
BU00340601;OS ALMERE 10-1i;1.0;36
BU00340602;OS ALMERE 10-1i;1.0;36
BU00340603;OS ALMERE 10-1i;1.0;20
BU00340604;OS ALMERE 10-1i;1.0;1
BU00340606;OS ALMERE 10-1i;1.0;3
BU00340701;OS ALMERE 10-1i;1.0;34
BU00340702;OS ALMERE 10-1i;1.0;19
BU00340703;OS ALMERE 10-1i;1.0;35
BU00340704;OS ALMERE 10-1i;1.0;7
BU00340801;OS ALMERE 10-1i;1.0;32
BU00340802;OS ALMERE 10-1i;1.0;40
BU00340803;OS ALMERE 10-1i;1.0;60
BU00340901;OS ALMERE 10-1i;1.0;15
BU00340902;OS ALMERE 10-1i;1.0;27
BU00341001;OS ALMERE 10-1i;1.0;24
BU00341002;OS ALMERE 10-1i;1.0;2
BU00341003;OS ZEEWOLDE 20KV 20-7i;1.0;1
BU00341101;OS ALMERE 10-1i;1.0;3
BU00341102;OS ALMERE 10-1i;1.0;3
BU00341401;OS ALMERE 10-1i;1.0;18
BU00341501;OS ZEEWOLDE 20KV 20-7i;0.8888888888888888;9
BU00341601;OS ALMERE 10-1i;1.0;2
BU00341602;OS ALMERE 10-1i;0.625;8
BU00341701;OS ALMERE 10-1i;0.8260869565217391;23
BU00341702;OS ALMERE 10-1i;0.7096774193548387;31
BU00341703;OS PAMPUS 10-1i;0.9761904761904762;42
BU00341704;OS PAMPUS 10-1i;0.9591836734693877;49
BU00341705;OS ALMERE 10-1i;0.9032258064516129;62
BU00341801;OS ALMERE 10-1i;1.0;22
BU00341802;OS ALMERE 10-1i;1.0;30
BU00341803;OS ALMERE 10-1i;1.0;39
BU00341804;OS ALMERE 10-1i;1.0;44
BU00341805;OS ALMERE 10-1i;1.0;47
BU00341806;OS ALMERE 10-1i;1.0;30
BU00341807;OS ALMERE 10-1i;1.0;2
BU00341808;OS ALMERE 10-1i;1.0;2
BU00341901;OS ALMERE 10-1i;1.0;24
BU00341902;OS ALMERE 10-1i;1.0;40
BU00341903;OS ALMERE 10-1i;1.0;24
BU00341904;OS ALMERE 10-1i;1.0;16
BU00342001;OS ALMERE 10-1i;1.0;54
BU00342002;OS ALMERE 10-1i;1.0;43
BU00342003;OS ALMERE 10-1i;1.0;28
BU00342004;OS ALMERE 10-1i;1.0;15
BU00342005;OS ALMERE 10-1i;1.0;2
BU00342101;OS ALMERE 10-1i;1.0;43
BU00342102;OS ALMERE 10-1i;1.0;33
BU00342103;OS ALMERE 10-1i;0.75;4
BU00342201;OS DE VAART 10-1i;1.0;49
BU00342202;OS DE VAART 10-1i;1.0;50
BU00342203;OS DE VAART 10-1i;1.0;39
BU00342204;OS DE VAART 10-1i;1.0;82
BU00342205;OS DE VAART 10-1i;1.0;70
BU00342206;OS DE VAART 10-1i;1.0;8
BU00342301;OS DE VAART 10-1i;0.5;52
BU00342302;OS ALMERE 10-1i;0.5111111111111111;45
BU00342303;OS DE VAART 10-1i;1.0;39
BU00342304;OS DE VAART 10-1i;1.0;7
BU00342401;OS ALMERE 10-1i;1.0;24
BU00342402;OS ALMERE 10-1i;1.0;50
BU00342403;OS ALMERE 10-1i;1.0;32
BU00342404;OS ALMERE 10-1i;1.0;29
BU00342405;OS ALMERE 10-1i;1.0;52
BU00342406;OS ALMERE 10-1i;1.0;39
BU00342407;OS ALMERE 10-1i;1.0;5
BU00342408;OS ALMERE 10-1i;1.0;3
BU00342501;OS ALMERE 10-1i;1.0;23
BU00342502;OS DE VAART 10-1i;1.0;14
BU00342503;OS DE VAART 10-1i;0.9545454545454546;22
BU00342601;OS DE VAART 10-1i;1.0;34
BU00342602;OS DE VAART 10-1i;1.0;45
BU00342603;OS DE VAART 10-1i;1.0;51
BU00342604;OS DE VAART 10-1i;1.0;34
BU00342605;OS DE VAART 10-1i;1.0;26
BU00342606;OS DE VAART 10-1i;1.0;48
BU00342607;OS DE VAART 10-1i;1.0;4
BU00342608;OS DE VAART 10-1i;1.0;1
BU00342609;OS DE VAART 10-1i;0.6;5
BU00342701;OS PAMPUS 10-1i;1.0;53
BU00342702;OS PAMPUS 10-1i;1.0;36
BU00342703;OS PAMPUS 10-1i;1.0;80
BU00342704;OS PAMPUS 10-1i;1.0;84
BU00342705;OS PAMPUS 10-1i;1.0;75
BU00342706;OS PAMPUS 10-1i;1.0;3
BU00342707;OS PAMPUS 10-1i;1.0;2
BU00342708;OS PAMPUS 10-1i;1.0;1
BU00342801;OS PAMPUS 10-1i;1.0;25
BU00342802;OS PAMPUS 10-1i;0.6;35
BU00342803;OS PAMPUS 10-1i;1.0;16
BU00342804;OS PAMPUS 10-1i;1.0;63
BU00342805;OS PAMPUS 10-1i;1.0;38
BU00342806;OS PAMPUS 10-1i;1.0;43
BU00342807;OS PAMPUS 10-1i;1.0;37
BU00342808;OS PAMPUS 10-1i;1.0;38
BU00342809;OS PAMPUS 10-1i;1.0;5
BU00342810;OS PAMPUS 10-1i;1.0;1
BU00342901;OS PAMPUS 10-1i;1.0;53
BU00342902;OS PAMPUS 10-1i;1.0;91
BU00342903;OS PAMPUS 10-1i;1.0;33
BU00342904;OS PAMPUS 10-1i;1.0;9
BU00343001;OS PAMPUS 10-1i;1.0;44
BU00343002;OS PAMPUS 10-1i;1.0;41
BU00343003;OS PAMPUS 10-1i;1.0;41
BU00343004;OS PAMPUS 10-1i;1.0;55
BU00343005;OS PAMPUS 10-1i;1.0;54
BU00343006;OS PAMPUS 10-1i;1.0;4
BU00343007;OS PAMPUS 10-1i;1.0;11
BU00343101;OS DE VAART 10-1i;1.0;19
BU00343102;OS DE VAART 10-1i;1.0;17
BU00343103;OS DE VAART 10-1i;1.0;20
BU00343104;OS DE VAART 10-1i;1.0;43
BU00343105;OS DE VAART 10-1i;1.0;17
BU00343201;OS ALMERE 10-1i;1.0;4
BU00343401;OS ALMERE 10-1i;1.0;7
BU00343402;OS ALMERE 10-1i;1.0;4
BU00343403;OS ALMERE 10-1i;1.0;8
BU00343501;OS DE VAART 10-1i;1.0;15
BU00343502;OS DE VAART 10-1i;0.75;8
BU00343601;OS PAMPUS 10-1i;1.0;5
BU00343701;OS PAMPUS 10-1i;1.0;18
BU00343702;OS PAMPUS 10-1i;1.0;21
BU00343801;OS ALMERE 10-1i;1.0;17
BU00343802;OS ALMERE 10-1i;1.0;5
BU00343901;OS ALMERE 10-1i;1.0;4
BU00343902;OS ALMERE 10-1i;1.0;3
BU00343903;OS ALMERE 10-1i;1.0;2
BU00344001;OS DE VAART 10-1i;1.0;3
BU00344002;OS ALMERE 10-1i;1.0;2
BU00344003;OS PAMPUS 10-1i;1.0;2
BU00344101;OS DE VAART 10-1i;1.0;67
BU00344102;OS DE VAART 10-1i;1.0;15
BU00344201;OS DE VAART 10-3i;1.0;24
BU00344202;OS DE VAART 10-3i;1.0;38
BU00344203;OS DE VAART 10-3i;1.0;52
BU00344204;OS DE VAART 10-3i;1.0;1
BU00344301;OS DE VAART 10-3i;1.0;31
BU00344302;OS DE VAART 10-3i;1.0;49
BU00344303;OS DE VAART 10-3i;0.8214285714285714;56
BU00344304;OS DE VAART 10-1i;0.5;2
BU00344401;OS DE VAART 10-1i;1.0;54
BU00344402;OS DE VAART 10-1i;1.0;37
BU00344403;OS DE VAART 10-1i;1.0;9
BU00344501;OS DE VAART 10-1i;1.0;41
BU00344502;OS DE VAART 10-1i;1.0;35
BU00344503;OS DE VAART 10-1i;1.0;19
BU00344504;OS DE VAART 10-1i;1.0;4
BU00344505;OS DE VAART 10-1i;0.6666666666666666;3
BU00344601;OS ALMERE 10-1i;1.0;40
BU00344602;OS ALMERE 10-1i;1.0;23
BU00344603;OS ALMERE 10-1i;1.0;30
BU00344701;OS ALMERE 10-1i;1.0;40
BU00344702;OS ALMERE 10-1i;1.0;27
BU00344703;OS ALMERE 10-1i;1.0;33
BU00344704;OS ALMERE 10-1i;1.0;4
BU00344801;OS DE VAART 10-1i;1.0;43
BU00344802;OS DE VAART 10-1i;1.0;42
BU00344803;OS DE VAART 10-1i;1.0;39
BU00344804;OS DE VAART 10-1i;0.5471698113207547;53
BU00344901;OS ALMERE 10-1i;0.9827586206896551;58
BU00344902;OS ALMERE 10-1i;1.0;20
BU00344903;OS ALMERE 10-1i;0.9772727272727273;44
BU00344904;OS DE VAART 10-1i;0.75;4
BU00345001;OS DE VAART 10-3i;1.0;12
BU00345002;OS DE VAART 10-3i;0.8571428571428571;28
BU00345101;OS DE VAART 10-3i;1.0;37
BU00345102;OS DE VAART 10-3i;1.0;39
BU00345103;OS DE VAART 10-3i;1.0;26
BU00345104;OS DE VAART 10-3i;1.0;40
BU00345105;OS DE VAART 10-3i;1.0;3
BU00345201;OS DE VAART 10-3i;1.0;20
BU00345202;OS DE VAART 10-3i;1.0;19
BU00345203;OS DE VAART 10-3i;1.0;25
BU00345204;OS DE VAART 10-3i;1.0;15
BU00345205;OS DE VAART 10-3i;1.0;13
BU00345206;OS DE VAART 10-3i;1.0;33
BU00345207;OS DE VAART 10-3i;1.0;1
