PK_UID;LandCode;INST_TYPE;NIC;INRICHTING;STAD;STRAATNAAM;POSTCODE;NR;TOEVOEGING;X;Y;SBI_CODE;SBI;SECTOR;SUBSECTOR;EMISSIE;kton1990;kton2000;kton2010;kton2015;kton2020;kton2021;kton2022;kton2023;kton2024;conv_grp;TJ_Warmte;TJ_W_Ind;legenda;Size;color;Jaar;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
19;NL;LCP;10059;Gunvor Energy Rotterdam B.V.;Europoort Rotterdam;Moezelweg;3198LS;255;;71000;439203;19.20.1;Aardolieraffinage;Raffinaderijen;Raffinage en verwerking;CO2;731.57138;516.203142;531.079385;554.443567;131.763574;212.532603;233.245981;231.286305;198.800697;Raffinage en verwerking;2564.510604;0.0;Raffinage;3;Purple;2024;BU05992307;GM0599;3198.0;3198LT;BU05992307;GM0599;3198.0;3198LS;BU05992307;GM0599;3198.0;3198LS;False;False;False;51.9349385631359;4.1657290998312515;WarmteAtlas:CO2EmissieBedrijven;;;
2;NL;;10002;Nouryon Performance Formulations B.V.;Europoort Rotterdam;Merwedeweg;3198LH;17;;72450;438450;20.13;Vervaardiging van overige anorganische basischemicaliën;Chemische Industrie;Chemische Industrie basisproducten;CO2;0.0;0.0;0.016;0.521159;0.029324;0.029193;0.025399;0.021001;0.020686;Chemische Industrie;0.280905;0.280905;Chemie;1;Magenta;2024;BU05992307;GM0599;3198.0;3198LR;BU05992307;GM0599;3198.0;3198LR;BU05992307;GM0599;3198.0;3198LR;False;False;False;51.92838877335733;4.1869904142475;WarmteAtlas:CO2EmissieBedrijven;;;
20;NL;;10060;Nerefco Pernis;Vondelingenplaat Rotterdam;Petroleumweg;3196KD;30;;84200;434300;19.20.1;Aardolieraffinage;Raffinaderijen;Raffinage en verwerking;CO2;518.32318;1.184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Raffinage en verwerking;0.0;0.0;Raffinage;0;Purple;2024;BU05992295;GM0599;3196.0;3196KD;BU05992295;GM0599;3196.0;3196KD;BU05992295;GM0599;3196.0;3196KD;False;False;False;51.89271226683972;4.358651444165886;WarmteAtlas:CO2EmissieBedrijven;;;
21;NL;LCP;10061;Esso Nederland BV (Raffinaderij Rotterdam);Botlek Rotterdam;Botlekweg;3197KA;121;;79871;432082;19.20.1;Aardolieraffinage;Raffinaderijen;Raffinage en verwerking;CO2;1615.075537;2134.0;2199.782388;2330.590905;2733.802572;2380.054142;2674.280831;2489.828589;2182.378729;Raffinage en verwerking;28152.483752;0.0;Raffinage;5;Purple;2024;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;False;False;False;51.87221183695835;4.296255704290987;WarmteAtlas:CO2EmissieBedrijven;;;
22;NL;;10062;ExxonMobil Chemical Holland BV (RAP);Botlek Rotterdam;Botlekweg;3197KA;121;;79808;432207;20.14.1;Vervaardiging van petrochemische producten;Chemische Industrie;Chemische Industrie basisproducten;CO2;120.427062;459.52384;411.416541;445.334575;0.0;0.0;0.0;0.0;0.0;Chemische Industrie;0.0;0.0;Chemie;0;Magenta;2024;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;False;False;False;51.873326709922196;4.29531378387075;WarmteAtlas:CO2EmissieBedrijven;;;
23;NL;LCP;10063;AVR-Afvalverwerking B.V.;Botlek Rotterdam;Professor Gerbrandyweg;3197KK;10;;78545;434865;38.21;Behandeling van onschadelijk afval;Afvalverwijdering;AVI's;CO2;0.656;0.0;1759.5;1432.69;1734.4;1942.397001;1788.174999;1213.713154;459.905361;Overig;7287.232833;7287.232833;Afval;4;Maroon;2024;BU05992306;GM0599;3197.0;3197KK;BU05992306;GM0599;3197.0;3197KK;BU05992306;GM0599;3197.0;3197KK;False;False;False;51.89704203984352;4.276386885052627;WarmteAtlas:CO2EmissieBedrijven;;;
24;NL;;10064;Almatis BV;Botlek Rotterdam;THEEMSWEG;3197KM;30;;75900;433620;24.42;Vervaardiging van aluminium;Overige industrie;Basismetaal;CO2;15.208;0.0;19.004772;17.245785;16.813485;0.0;16.730447;12.869563;12.007256;Basismetaal;135.241393;135.241393;Basismetaal;2;Black;2024;BU05992306;GM0599;3197.0;3197KM;BU05992306;GM0599;3197.0;3197KM;BU05992306;GM0599;3197.0;3197KM;False;False;False;51.8854839041057;4.238250763708421;WarmteAtlas:CO2EmissieBedrijven;;;
25;NL;;10066;Kemira Chemicals BV;Rozenburg;Moezelweg;3198LS;151;;72350;437418;20.14.9;Vervaardiging van organische basischemicaliën (geen petrochemische producten);Chemische Industrie;Chemische Industrie basisproducten;CO2;102.888;810.051201;8.955898;5.94747;7.34;7.34;7.85;7.57;5.633361;Chemische Industrie;76.498161;76.498161;Chemie;2;Magenta;2024;BU05992307;GM0599;3198.0;3198LS;BU05992307;GM0599;3198.0;3198LS;BU05992307;GM0599;3198.0;3198LS;False;False;False;51.9190997071225;4.185784801914796;WarmteAtlas:CO2EmissieBedrijven;;;
26;NL;;10069;Standic BV;Dordrecht;Wieldrechtseweg;3316BG;48;;103000;422400;52.10.1;Opslag in tanks;Handel, Diensten en Overheid (HDO);Energiegebruik en processen Handel, Diensten en Overheid (HDO);CO2;1.665692;1.71188;0.0;2.412002;2.358294;2.317268;2.079526;2.285895;1.93143;Overig;30.603644;30.603644;Overige;1;Gray;2024;BU05051905;GM0505;3316.0;3316BG;BU05051905;GM0505;3316.0;3316BG;BU05051905;GM0505;3316.0;3316BG;False;False;False;51.78783185230908;4.633534319934615;WarmteAtlas:CO2EmissieBedrijven;;;
27;NL;;10073;Tronox Pigments (Holland) BV;Botlek Rotterdam;Professor Gerbrandyweg;3197KK;2;;78070;434900;20.12;Vervaardiging van kleurstoffen en pigmenten;Chemische Industrie;Chemische Industrie basisproducten;CO2;26.670346;105.866;95.092609;90.354632;104.6061;95.189579;91.110862;85.16833;90.438487;Chemische Industrie;1228.108473;1228.108473;Chemie;3;Magenta;2024;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;False;False;False;51.8972911418473;4.269479035683858;WarmteAtlas:CO2EmissieBedrijven;;;
28;NL;;10076;HVC afvalcentrale locatie Dordrecht;Dordrecht;Baanhoekweg;3313LA;40;;110212;425400;38.21;Behandeling van onschadelijk afval;Afvalverwijdering;AVI's;CO2;0.0;7.315;141.019603;322.1;322.8;319.1;326.67;283.294;300.09;Overig;4754.947183;4754.947183;Afval;4;Maroon;2024;BU05050608;GM0505;3313.0;3313LA;BU05050608;GM0505;3313.0;3313LA;BU05050608;GM0505;3313.0;3313LA;False;False;False;51.81542054925455;4.737667124251002;WarmteAtlas:CO2EmissieBedrijven;;;
29;NL;;10078;Nedstaal BV (Ruigenhil Vastgoed BV);Alblasserdam;Rapenburg;2952AP;1;;104800;429800;24.34;Koudtrekken van draad;Overige industrie;Basismetaal;CO2;61.971676;43.567;44.876535;40.095106;0.0;0.0;0.0;0.0;0.0;Basismetaal;0.0;0.0;Basismetaal;0;Black;2024;BU04820503;GM0482;2952.0;2952AP;BU04820503;GM0482;2952.0;2952AP;BU04820503;GM0482;2952.0;2952AP;False;False;False;51.85450608331993;4.6585463843069705;WarmteAtlas:CO2EmissieBedrijven;;;
3;NL;;10003;Synres B.V.;Hoek Van Holland;SLACHTHUISWEG;3151XN;30;;70183;442535;20.16;Vervaardiging van kunststof in primaire vorm;Chemische Industrie;Chemische Industrie basisproducten;CO2;11.25116;0.0;5.8941;6.2658;6.9341;6.058094;6.596679;5.650431;6.221386;Chemische Industrie;84.483245;84.483245;Chemie;2;Magenta;2024;BU05991703;GM0599;3151.0;3151XN;BU05991703;GM0599;3151.0;3151XN;BU05991703;GM0599;3151.0;3151XN;False;False;False;51.964757640910726;4.153028610349005;WarmteAtlas:CO2EmissieBedrijven;;;
30;NL;LCP;10079;Chemours Netherlands B.V.;Dordrecht;Baanhoekweg;3313LA;22;;109500;425710;20.16;Vervaardiging van kunststof in primaire vorm;Chemische Industrie;Chemische Industrie basisproducten;CO2;131.294496;273.346951;175.269717;87.055503;45.598356;39.598182;21.057948;25.992666;15.849362;Chemische Industrie;215.226243;215.226243;Chemie;2;Magenta;2024;BU05050608;GM0505;3313.0;3313LA;BU05050608;GM0505;3313.0;3313LA;BU05050608;GM0505;3313.0;3313LA;False;False;False;51.81814919479361;4.727301253117398;WarmteAtlas:CO2EmissieBedrijven;;;
31;NL;;10081;NV Elec.Bed.Zuid-H.C.Dordrecht;Dordrecht;Kerkeplaat;2270AX;2;;108180;425750;35.11.1;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;Energiesector;Opwekking electriciteit;CO2;263.4045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Opwekking electriciteit;0.0;0.0;Energy;0;Yellow;2024;BU05050607;GM0505;3313.0;3313LC;BU05050607;GM0505;3313.0;3313LC;BU05050607;GM0505;3313.0;3313LC;False;False;False;51.81839951251673;4.708152720843624;WarmteAtlas:CO2EmissieBedrijven;;;
32;NL;;10082;Akzo Nobel Car Refinishes B.V.;Sassenheim;Rijksstraatweg;2171AJ;31;;93500;469360;20.30;Vervaardiging van verf, vernis e.d., drukinkt en mastiek;Chemische Industrie;Chemische Industrie overig;CO2;0.0;3.8515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Chemische Industrie;0.0;0.0;Chemie;0;Magenta;2024;BU15251302;GM1525;2171.0;2171AJ;BU15251302;GM1525;2171.0;2171AJ;BU15251302;GM1525;2171.0;2171AJ;False;False;False;52.20890777584109;4.487430332014329;WarmteAtlas:CO2EmissieBedrijven;;;
