gml_id;bronactualiteit;opp_m2;opp_ha;gas_m3;gas_GJ;warmte_m3;warmte_GJ;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
NL.TOP10NL.102434926;2010-01-01;34685.328211;3.469;1040560;32934;1040559.846345;32933.719137;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96510160707816;4.23820904193479;MULTIPOLYGON (((4.236308 51.965611, 4.236699 51.965698, 4.23697 51.965758, 4.236918 51.965848, 4.237278 51.965927, 4.237697 51.966021, 4.237721 51.96596, 4.237821 51.965744, 4.238823 51.965914, 4.238914 51.965709, 4.239475 51.965803, 4.240109 51.964414, 4.239665 51.964339, 4.239589 51.964511, 4.239048 51.96442, 4.239095 51.964316, 4.238818 51.964269, 4.238815 51.964275, 4.23883 51.964278, 4.238767 51.964415, 4.238472 51.964363, 4.238474 51.964359, 4.238448 51.964354, 4.238393 51.964467, 4.237194 51.964207, 4.237134 51.964314, 4.236811 51.964861, 4.236308 51.965611)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.102449900;2018-01-01;113253.757305;11.325;3397613;107534;3397612.71915;107534.442561;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.963649662263265;4.230906842366363;MULTIPOLYGON (((4.22654 51.963001, 4.227605 51.963378, 4.227576 51.963408, 4.227544 51.963443, 4.227708 51.9635, 4.227997 51.963601, 4.228048 51.963544, 4.228198 51.963596, 4.228426 51.963675, 4.229094 51.963908, 4.229131 51.963863, 4.229566 51.964, 4.229586 51.964006, 4.229959 51.964134, 4.229896 51.964201, 4.231765 51.964856, 4.231549 51.965086, 4.231931 51.965211, 4.232238 51.964885, 4.232658 51.965024, 4.23251 51.965188, 4.233624 51.965573, 4.233889 51.9653, 4.234542 51.96553, 4.234312 51.965796, 4.235112 51.966074, 4.235324 51.965841, 4.236155 51.96493, 4.236852 51.964165, 4.235904 51.963816, 4.235403 51.96437, 4.235298 51.964334, 4.234904 51.96477, 4.232588 51.963975, 4.230711 51.963314, 4.229337 51.962829, 4.230186 51.961949, 4.228414 51.961313, 4.228293 51.961437, 4.228079 51.961659, 4.228075 51.961663, 4.22799 51.961628, 4.227957 51.961676, 4.227085 51.961387, 4.226669 51.961787, 4.227439 51.962056, 4.227392 51.962113, 4.226605 51.961837, 4.225865 51.962644, 4.226624 51.96291, 4.22654 51.963001)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.102434269;2012-01-01;37973.240571;3.797;1139197;36056;1139197.21713;36055.591922;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96586698978221;4.224546590606552;MULTIPOLYGON (((4.225686 51.967086, 4.225858 51.966892, 4.225902 51.966907, 4.226176 51.966629, 4.224401 51.966015, 4.224434 51.965979, 4.224947 51.966157, 4.224964 51.966139, 4.226559 51.96673, 4.226876 51.966399, 4.225435 51.965868, 4.225304 51.965819, 4.225415 51.965707, 4.225342 51.96568, 4.224954 51.965536, 4.225209 51.965274, 4.225433 51.965044, 4.224699 51.964771, 4.224011 51.964514, 4.223566 51.964994, 4.223515 51.964975, 4.223017 51.965507, 4.222941 51.965484, 4.222509 51.965988, 4.22392 51.966472, 4.225686 51.967086)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.100839894;2002-01-01;7183.097203;0.718;215493;6820;215492.91609;6820.350794;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.965391590177425;4.2292862453163185;MULTIPOLYGON (((4.228307 51.965371, 4.228559 51.965461, 4.228896 51.965575, 4.229716 51.965867, 4.229918 51.965666, 4.23006 51.965719, 4.230304 51.96546, 4.228796 51.964891, 4.228307 51.965371)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.123360690;2010-01-01;666.143218;0.067;19984;632;19984.296525;632.502985;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96240808949847;4.232101744177127;MULTIPOLYGON (((4.231864 51.962495, 4.232122 51.962579, 4.232347 51.96233, 4.232069 51.962236, 4.232022 51.962294, 4.231997 51.962328, 4.231864 51.962495)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.123360363;2010-01-01;38319.139263;3.832;1149574;36384;1149574.177905;36384.022731;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.963493973935215;4.233237092050677;MULTIPOLYGON (((4.234021 51.963105, 4.233311 51.962857, 4.232767 51.962667, 4.232289 51.962505, 4.232149 51.962661, 4.231594 51.962459, 4.23155 51.962442, 4.231377 51.962628, 4.230769 51.963283, 4.233366 51.964169, 4.233469 51.964204, 4.234758 51.964644, 4.235635 51.963664, 4.234047 51.963114, 4.234021 51.963105)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.100840928;2010-01-01;5817.049958;0.582;174511;5523;174511.498755;5523.288936;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.9676308926365;4.229471396381218;MULTIPOLYGON (((4.229782 51.968039, 4.230057 51.967758, 4.230151 51.967798, 4.23026 51.967835, 4.230421 51.967898, 4.230564 51.967748, 4.228988 51.967192, 4.228578 51.967628, 4.229782 51.968039)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.123360360;2010-01-01;46656.855919;4.666;1399706;44301;1399705.67757;44300.684695;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.966538627330316;4.232229193575391;MULTIPOLYGON (((4.233456 51.967356, 4.233842 51.966937, 4.234197 51.967063, 4.234259 51.966998, 4.234296 51.967011, 4.234538 51.966753, 4.234541 51.966754, 4.23455 51.966744, 4.234764 51.96682, 4.234918 51.966651, 4.234743 51.966588, 4.23495 51.966375, 4.234544 51.966229, 4.234305 51.966496, 4.233354 51.966134, 4.233412 51.966073, 4.233321 51.966037, 4.233261 51.966107, 4.233009 51.966017, 4.232468 51.965812, 4.23249 51.965794, 4.232173 51.965675, 4.232149 51.9657, 4.231891 51.965604, 4.231999 51.965494, 4.231691 51.965378, 4.231597 51.965474, 4.231507 51.965445, 4.231055 51.965277, 4.230206 51.966148, 4.231078 51.966463, 4.231003 51.966541, 4.230201 51.966252, 4.229849 51.966615, 4.230233 51.966757, 4.233015 51.967786, 4.233237 51.96757, 4.233456 51.967356)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.123360315;2010-01-01;1949.617382;0.195;58489;1851;58488.521475;1851.161705;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.96177878397505;4.230358847824394;MULTIPOLYGON (((4.230593 51.962053, 4.230852 51.961811, 4.230342 51.961588, 4.230137 51.961512, 4.229858 51.96177, 4.230098 51.961869, 4.230133 51.96184, 4.230593 51.962053)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
NL.TOP10NL.102434339;2015-01-01;41153.747768;4.115;1234612;39075;1234612.43304;39075.483506;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.97144200844414;4.234963754404672;MULTIPOLYGON (((4.23293 51.971765, 4.233625 51.971976, 4.234546 51.972256, 4.235788 51.972635, 4.236997 51.971119, 4.234139 51.970249, 4.23293 51.971765)));WarmteAtlas:Kassen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
