buurtcode;gemeentecode;scenario;modality;jaar;ev_aantal
BU00140003;GM0014;low;car_bev;2042;48.905641863069015
BU00140003;GM0014;low;car_bev;2043;59.12606322333172
BU00140003;GM0014;low;car_bev;2044;74.02113698620528
BU00140003;GM0014;low;car_bev;2045;98.50080606493931
BU00140003;GM0014;low;car_bev;2046;153.32698695562772
BU00140003;GM0014;low;car_bev;2047;267.2561902297927
BU00140003;GM0014;low;car_bev;2048;268.0977868722462
BU00140003;GM0014;low;car_bev;2049;268.8854397180751
BU00140003;GM0014;low;car_bev;2050;269.61953291013236
BU00140004;GM0014;low;car_bev;2025;0.0
BU00140004;GM0014;low;car_bev;2026;0.0
BU00140004;GM0014;low;car_bev;2027;0.0
BU00140004;GM0014;low;car_bev;2028;0.0
BU00140004;GM0014;low;car_bev;2029;0.0
BU00140004;GM0014;low;car_bev;2030;0.0
BU00140004;GM0014;low;car_bev;2031;0.0
BU00140004;GM0014;low;car_bev;2032;0.0
BU00140004;GM0014;low;car_bev;2033;0.0
BU00140004;GM0014;low;car_bev;2034;0.0
BU00140004;GM0014;low;car_bev;2035;0.0
BU00140004;GM0014;low;car_bev;2036;0.0
BU00140004;GM0014;low;car_bev;2037;0.0
BU00140004;GM0014;low;car_bev;2038;0.0
BU00140004;GM0014;low;car_bev;2039;0.0
BU00140004;GM0014;low;car_bev;2040;0.0
BU00140004;GM0014;low;car_bev;2041;0.0
BU00140004;GM0014;low;car_bev;2042;0.0
BU00140004;GM0014;low;car_bev;2043;0.0
BU00140004;GM0014;low;car_bev;2044;0.0
BU00140004;GM0014;low;car_bev;2045;0.0
BU00140004;GM0014;low;car_bev;2046;0.0
BU00140004;GM0014;low;car_bev;2047;0.0
BU00140004;GM0014;low;car_bev;2048;0.0
BU00140004;GM0014;low;car_bev;2049;0.0
BU00140004;GM0014;low;car_bev;2050;0.0
BU00140005;GM0014;low;car_bev;2025;12.620108627823925
BU00140005;GM0014;low;car_bev;2026;15.789062650238252
BU00140005;GM0014;low;car_bev;2027;19.521622847007947
BU00140005;GM0014;low;car_bev;2028;23.87855463927222
BU00140005;GM0014;low;car_bev;2029;28.930284197445715
BU00140005;GM0014;low;car_bev;2030;34.4704208733342
