Bedrijf;Straat;Nr;Postcode;Stad;Categorie;NettoRuimte;EnergieVerbruik;Warmte_LT;El_MTWP_T40;Warmte_T40;RedCO2_T40;El_HTWP_T70;Warmte_T70;RedCO2_T70;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
NLDC - Almere;Rondebeltweg;62;1329BG;Almere;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU00343903;GM0034;1329;1329BG;BU00343903;GM0034;1329;1329BG;BU00343903;GM0034;1329;1329BG;False;False;False;52.364450238507274;5.268391960915713;WarmteAtlas:DataCentraWarmte;;;
Novoserve Twente;Marssteden;110;7547TD;Enschede;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU01530701;GM0153;7547;7547TD;BU01530701;GM0153;7547;7547TD;BU01530701;GM0153;7547;7547TD;False;False;False;52.21629903906932;6.820980136217407;WarmteAtlas:DataCentraWarmte;;;
Previder - Expolaan;Expolaan;50;7556BE;Hengelo;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU01640700;GM0164;7556;7556BE;BU01640700;GM0164;7556;7556BE;BU01640700;GM0164;7556;7556BE;False;False;False;52.285271919867355;6.7671504708699395;WarmteAtlas:DataCentraWarmte;;;
Previder - Barnsteenstraat;Barnsteenstraat;15;7554TC;Hengelo;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU01640600;GM0164;7554;7554TC;BU01640600;GM0164;7554;7554TC;BU01640600;GM0164;7554;7554TC;False;False;False;52.24399975192408;6.766890772540938;WarmteAtlas:DataCentraWarmte;;;
RDC Datacentrum;De Klencke;12;1083HL;Amsterdam;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU0363KR01;GM0363;1083;1083HL;BU0363KR01;GM0363;1083;1083HL;BU0363KR01;GM0363;1083;1083HL;False;False;False;52.334163439955745;4.885522191568929;WarmteAtlas:DataCentraWarmte;;;
Serverius - Dronten;De Linge;26;8253PJ;Dronten;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU03030102;GM0303;8253;8253PJ;BU03030102;GM0303;8253;8253PJ;BU03030102;GM0303;8253;8253PJ;False;False;False;52.54372354632292;5.705072916827647;WarmteAtlas:DataCentraWarmte;;;
Serverius - Meppel;Ketelskamp;10;7942KG;Meppel;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU01190901;GM0119;7942;7942KG;BU01190901;GM0119;7942;7942KG;BU01190901;GM0119;7942;7942KG;False;False;False;52.717872392242974;6.200115957983661;WarmteAtlas:DataCentraWarmte;;;
Signet;Science Park;5218;5692EG;Son;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU08480002;GM0848;5692;5692EG;BU08480002;GM0848;5692;5692EG;BU08480002;GM0848;5692;5692EG;False;False;False;51.50127081515254;5.460497842173103;WarmteAtlas:DataCentraWarmte;;;
SmartDC B.V. - Heerlen;Kloosterweg;1;6412CN;Heerlen;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU09173103;GM0917;6412;6412CN;BU09173103;GM0917;6412;6412CN;BU09173103;GM0917;6412;6412CN;False;False;False;50.89205039887535;5.972609963895514;WarmteAtlas:DataCentraWarmte;;;
SmartDC B.V. - Rotterdam;Van Nelleweg;1;3044BC;Rotterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU05991853;GM0599;3044;3044BC;BU05991853;GM0599;3044;3044BC;BU05991853;GM0599;3044;3044BC;False;False;False;51.922849570050964;4.434692017352375;WarmteAtlas:DataCentraWarmte;;;
Solcon, locatie Apeldoorn;Laan van de Ram;39;7324BW;Apeldoorn;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU02000706;GM0200;7324;7324BW;BU02000706;GM0200;7324;7324BW;BU02000706;GM0200;7324;7324BW;False;False;False;52.24708261950753;6.001160210926144;WarmteAtlas:DataCentraWarmte;;;
