Bedrijf;Straat;Nr;Postcode;Stad;Categorie;NettoRuimte;EnergieVerbruik;Warmte_LT;El_MTWP_T40;Warmte_T40;RedCO2_T40;El_HTWP_T70;Warmte_T70;RedCO2_T70;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Digital Realty Trust NL - H.J.E. Wenckebachweg;H.J.E. Wenckebachweg;127;1096AM;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363MQ07;GM0363;1096;1096AM;BU0363MQ07;GM0363;1096;1096AM;BU0363MQ07;GM0363;1096;1096AM;False;False;False;52.33649742700797;4.931996077883505;WarmteAtlas:DataCentraWarmte;;;
Digital Realty Trust NL - Amsterdam Science Park;Science park;120;1098SJ;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363MN04;GM0363;1098;1098XG;BU0363MN04;GM0363;1098;1098XG;BU0363MN04;GM0363;1098;1098XG;False;False;False;52.357054740247044;4.950952508835366;WarmteAtlas:DataCentraWarmte;;;
Alticom Haarlem;A. Hofmanweg;1;2031BH;Haarlem;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU03920602;GM0392;2031;2031BH;BU03920602;GM0392;2031;2031BH;BU03920602;GM0392;2031;2031BH;False;False;False;52.38796779701014;4.669905376693223;WarmteAtlas:DataCentraWarmte;;;
Digital Residence;Jonkerbosplein;52;6534AB;Nijmegen;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU02680512;GM0268;6534;6534AB;BU02680512;GM0268;6534;6534AB;BU02680512;GM0268;6534;6534AB;False;False;False;51.8246838625002;5.82527023859283;WarmteAtlas:DataCentraWarmte;;;
EcoRacks;Ambachtsweg;25-27;5627BZ;Eindhoven;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU07725220;GM0772;5627;5627BZ;BU07725220;GM0772;5627;5627BZ;BU07725220;GM0772;5627;5627BZ;False;False;False;51.47792346758437;5.439795548061577;WarmteAtlas:DataCentraWarmte;;;
EdgeConnex;Koolhovenlaan;12;1119NE;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;False;False;False;52.28405622514664;4.7661108964329575;WarmteAtlas:DataCentraWarmte;;;
EFX;De Zaale;11;5612AJ;Eindhoven;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU07721150;GM0772;5612;5612AJ;BU07721150;GM0772;5612;5612AJ;BU07721150;GM0772;5612;5612AJ;False;False;False;51.449483601414165;5.497181277483978;WarmteAtlas:DataCentraWarmte;;;
EKC Limmel;Populierweg;150;6222CT;Maastricht;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU09350404;GM0935;6222;6222CT;BU09350404;GM0935;6222;6222CT;BU09350404;GM0935;6222;6222CT;False;False;False;50.86341096729035;5.7089276184765465;WarmteAtlas:DataCentraWarmte;;;
ENGIE Services;Amerikalaan;35;6199AE;Maastricht-Airport;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU08880109;GM0888;6199;6199AE;BU08880109;GM0888;6199;6199AE;BU08880109;GM0888;6199;6199AE;False;False;False;50.92791923996649;5.781077804882697;WarmteAtlas:DataCentraWarmte;;;
Equinix AM1;Luttenbergweg;4;1101EC;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363TA02;GM0363;1101;1101EB;BU0363TA02;GM0363;1101;1101EB;BU0363TA02;GM0363;1101;1101EB;False;False;False;52.30062924039184;4.9419807709801855;WarmteAtlas:DataCentraWarmte;;;
Equinix AM2;Luttenbergweg;4;1101EC;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363TA02;GM0363;1101;1101EB;BU0363TA02;GM0363;1101;1101EB;BU0363TA02;GM0363;1101;1101EB;False;False;False;52.30062924039184;4.9419807709801855;WarmteAtlas:DataCentraWarmte;;;
Equinix AM3;Telfordstraat;3;8013RL;Zwolle;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU01934110;GM0193;8013;8013RL;BU01934110;GM0193;8013;8013RL;BU01934110;GM0193;8013;8013RL;False;False;False;52.488628565008305;6.142586398861426;WarmteAtlas:DataCentraWarmte;;;
Equinix AM4;Science Park;610;1098XH;Amsterdam;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU0363MN05;GM0363;1098;1098XH;BU0363MN05;GM0363;1098;1098XH;BU0363MN05;GM0363;1098;1098XH;False;False;False;52.35461127128815;4.960388275702983;WarmteAtlas:DataCentraWarmte;;;
Alticom IJsselstein;Hogebiezendijk;21;3401RS;IJsselstein;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU03530015;GM0353;3401;3401RS;BU03530015;GM0353;3401;3401RS;BU03530015;GM0353;3401;3401RS;False;False;False;52.010055442984594;5.0535604061817345;WarmteAtlas:DataCentraWarmte;;;
Equinix AM5;Schepenbergweg;42;1105AT;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363TA04;GM0363;1105;1105AT;BU0363TA04;GM0363;1105;1105AT;BU0363TA04;GM0363;1105;1105AT;False;False;False;52.293749320259195;4.945511518684128;WarmteAtlas:DataCentraWarmte;;;
Alticom Ittervoort;Hunsel/Branskamp;16;6014CB;Ittervoort;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU16401501;GM1640;6014;6014CB;BU16401501;GM1640;6014;6014CB;BU16401501;GM1640;6014;6014CB;False;False;False;51.17702255317348;5.834475091576518;WarmteAtlas:DataCentraWarmte;;;
Alticom Markelo;Larenseweg;58;7475PX;Markelo;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU17350206;GM1735;7475;7475PX;BU17350206;GM1735;7475;7475PX;BU17350206;GM1735;7475;7475PX;False;False;False;52.236900210548974;6.441661672858091;WarmteAtlas:DataCentraWarmte;;;
Alticom Roermond;Op de meuleberg;7;6041NK;Roermond;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU09570002;GM0957;6041;6041NK;BU09570002;GM0957;6041;6041NK;BU09570002;GM0957;6041;6041NK;False;False;False;51.18407899888016;5.975948281359672;WarmteAtlas:DataCentraWarmte;;;
Atom86;Boeing Avenue;271;1119PD;Schiphol-Rijk;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU03940674;GM0394;1119;1119PD;BU03940674;GM0394;1119;1119PD;BU03940674;GM0394;1119;1119PD;False;False;False;52.27497175527366;4.750812539370664;WarmteAtlas:DataCentraWarmte;;;
Switch Datacenters - Amsterdam;Lemelerbergweg;28;1101AH;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363TA02;GM0363;1101;1101AH;BU0363TA02;GM0363;1101;1101AH;BU0363TA02;GM0363;1101;1101AH;False;False;False;52.3040255267329;4.939307645414352;WarmteAtlas:DataCentraWarmte;;;
Switch Datacenters - Woerden;Polanerbaan;1;3447GN;Woerden;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU06320301;GM0632;3447;3447GN;BU06320301;GM0632;3447;3447GN;BU06320301;GM0632;3447;3447GN;False;False;False;52.08235665743739;4.892295522628374;WarmteAtlas:DataCentraWarmte;;;
Systemec Data Centers - nr. 19;Marinus Dammeweg;19;5928PW;Venlo;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU09832803;GM0983;5928;5928PW;BU09832803;GM0983;5928;5928PW;BU09832803;GM0983;5928;5928PW;False;False;False;51.37839744085012;6.158862705328554;WarmteAtlas:DataCentraWarmte;;;
Systemec Data Centers - nr. 25;Marinus Dammeweg;25;5928PW;Venlo;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU09832803;GM0983;5928;5928PW;BU09832803;GM0983;5928;5928PW;BU09832803;GM0983;5928;5928PW;False;False;False;51.37821657921243;6.1591615442549985;WarmteAtlas:DataCentraWarmte;;;
TCN Data Hotels - Eemshaven;Huibertgatweg;2;9979XZ;Eemshaven;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU19661401;GM1966;9979;9979XZ;BU19661401;GM1966;9979;9979XZ;BU19661401;GM1966;9979;9979XZ;False;False;False;53.43682422828422;6.859166856409077;WarmteAtlas:DataCentraWarmte;;;
TCN Data Hotels - Groningen;Zernikelaan;16;9747AA;Groningen;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU00141003;GM0014;9747;9747AA;BU00141003;GM0014;9747;9747AA;BU00141003;GM0014;9747;9747AA;False;False;False;53.24609570296412;6.528620160811361;WarmteAtlas:DataCentraWarmte;;;
"Tele2 &#8211; Spaanse Kubus";Vlaardingweg;62;0;Rotterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU05991853;GM0599;3044;3044CK;BU05991853;GM0599;3044;3044CK;BU05991853;GM0599;3044;3044CK;False;False;False;51.93056007545869;4.413974963971454;WarmteAtlas:DataCentraWarmte;;;
The Datacenter Group (TDCG) - Amsterdam;Kabelweg;48;1014BB;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363EA01;GM0363;1014;1014BB;BU0363EA01;GM0363;1014;1014BB;BU0363EA01;GM0363;1014;1014BB;False;False;False;52.39339314841707;4.849243476187319;WarmteAtlas:DataCentraWarmte;;;
The Datacenter Group (TDCG) - Delft;Heertjeslaan;1;2629JD;Delft;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU05032901;GM0503;2629;2629JG;BU05032901;GM0503;2629;2629JG;BU05032901;GM0503;2629;2629JG;False;False;False;51.987557994584584;4.378285301904107;WarmteAtlas:DataCentraWarmte;;;
Verizon Schiphol;Cateringweg;5;1118AM;Schiphol;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU03941663;GM0394;1118;1118AM;BU03941663;GM0394;1118;1118AM;BU03941663;GM0394;1118;1118AM;False;False;False;52.32230932522524;4.801677928882795;WarmteAtlas:DataCentraWarmte;;;
Verizon Joan Muyskenweg;Joan Muyskenweg;24;1096CJ;Amsterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU0363MQ04;GM0363;1096;1096CJ;BU0363MQ04;GM0363;1096;1096CJ;BU0363MQ04;GM0363;1096;1096CJ;False;False;False;52.33240933286888;4.9140072096525325;WarmteAtlas:DataCentraWarmte;;;
Verizon - Kollenbergweg;Kollenbergweg;13;1101AR;Amsterdam Zuid-Oost;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU0363TA02;GM0363;1101;1101AR;BU0363TA02;GM0363;1101;1101AR;BU0363TA02;GM0363;1101;1101AR;False;False;False;52.30504509212947;4.935617198592856;WarmteAtlas:DataCentraWarmte;;;
Verizon - Koperstraat;Koperstraat;6;3067GL;Rotterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU05991449;GM0599;3067;3067GL;BU05991449;GM0599;3067;3067GL;BU05991449;GM0599;3067;3067GL;False;False;False;51.94983669594182;4.551022859923099;WarmteAtlas:DataCentraWarmte;;;
XS4ALL DC2;Drentestraat;12;1083HK;Amsterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU0363KP05;GM0363;1083;1083HN;BU0363KP05;GM0363;1083;1083HN;BU0363KP05;GM0363;1083;1083HN;False;False;False;52.33634128443435;4.886895130311857;WarmteAtlas:DataCentraWarmte;;;
ATOS - Industrieterrein de Hurk;Hurksestraat;15;5652AH;Eindhoven;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU07726210;GM0772;5652;5652AH;BU07726210;GM0772;5652;5652AH;BU07726210;GM0772;5652;5652AH;False;False;False;51.433481150558535;5.435355445865697;WarmteAtlas:DataCentraWarmte;;;
Equinix - Equinix EN1;Auke Vleerstraat;1;7521 PE;Enschede;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU01530703;GM0153;7521;7521PE;BU01530703;GM0153;7521;7521PE;BU01530703;GM0153;7521;7521PE;False;False;False;52.23706358197346;6.849501309660918;WarmteAtlas:DataCentraWarmte;;;
Eurofiber - Eurofiber Datacenter Utrecht;Safariweg;25-31;3605 MA;Maarssen;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU19041201;GM1904;3605;3605MA;BU19041201;GM1904;3605;3605MA;BU19041201;GM1904;3605;3605MA;False;False;False;52.135231189343976;5.033536152469845;WarmteAtlas:DataCentraWarmte;;;
Keppel Data Centres Holding - Almere Data Centre 2;Rondebeltweg;62;1328 BG;Almere;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU00343903;GM0034;1329;1329BG;BU00343903;GM0034;1329;1329BG;BU00343903;GM0034;1329;1329BG;False;False;False;52.364450238507274;5.268391960915713;WarmteAtlas:DataCentraWarmte;;;
Equinix AM6;Duivendrechtsekade;80;1096AH;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363MQ07;GM0363;1096;1096AH;BU0363MQ07;GM0363;1096;1096AH;BU0363MQ07;GM0363;1096;1096AH;False;False;False;52.33716658534762;4.933068098442351;WarmteAtlas:DataCentraWarmte;;;
Equinix AM7;Kuiperbergweg;13;1101AE;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363TA02;GM0363;1101;1101AE;BU0363TA02;GM0363;1101;1101AE;BU0363TA02;GM0363;1101;1101AE;False;False;False;52.30305864172537;4.937939218057058;WarmteAtlas:DataCentraWarmte;;;
Equinix AM8;Gyroscoopweg;2;1042AB;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363BA05;GM0363;1042;1042AB;BU0363BA05;GM0363;1042;1042AB;BU0363BA05;GM0363;1042;1042AB;False;False;False;52.39672347657774;4.838551023161207;WarmteAtlas:DataCentraWarmte;;;
Equinix ZW1;Telfordstraat;3;8013 RL;Zwolle;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU01934110;GM0193;8013;8013RL;BU01934110;GM0193;8013;8013RL;BU01934110;GM0193;8013;8013RL;False;False;False;52.488628565008305;6.142586398861426;WarmteAtlas:DataCentraWarmte;;;
Ericsson Broadcast Services;Koos Postemalaan;2;1217ZC;Hilversum;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU04020206;GM0402;1217;1217ZC;BU04020206;GM0402;1217;1217ZC;BU04020206;GM0402;1217;1217ZC;False;False;False;52.24127896400154;5.169131411487906;WarmteAtlas:DataCentraWarmte;;;
euNetworks;Paul van Vlissingenstraat;16;1096BK;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363MQ06;GM0363;1096;1096BK;BU0363MQ06;GM0363;1096;1096BK;BU0363MQ06;GM0363;1096;1096BK;False;False;False;52.332871470736684;4.919474661714115;WarmteAtlas:DataCentraWarmte;;;
EvoSwitch;J.W. Lucasweg;35;2031BE;Haarlem;Middel-groot;10000 - 40000 m2;44 - 175 GWh/jr;34 - 135 GWh;11 - 45 GWh;45 - 180 GWh;6 - 22 kton CO2/jr;7 - 27 GWh;40 - 162 GWh;6 - 24 kton CO2/jr;BU03920602;GM0392;2031;2031BE;BU03920602;GM0392;2031;2031BE;BU03920602;GM0392;2031;2031BE;False;False;False;52.39172475368806;4.664735411619385;WarmteAtlas:DataCentraWarmte;;;
Global Switch;Johan Huizingalaan;759;1066VH;Amsterdam;Middel-groot;10000 - 40000 m2;44 - 175 GWh/jr;34 - 135 GWh;11 - 45 GWh;45 - 180 GWh;6 - 22 kton CO2/jr;7 - 27 GWh;40 - 162 GWh;6 - 24 kton CO2/jr;BU0363FQ09;GM0363;1066;1066VH;BU0363FQ09;GM0363;1066;1066VH;BU0363FQ09;GM0363;1066;1066VH;False;False;False;52.344009971362716;4.82886510167032;WarmteAtlas:DataCentraWarmte;;;
Google;Oostpolder;4;9979XT;Eemshaven;Hyperscale;>200000 m2;>876 GWh/jr;> 674 GWh;> 225 GWh;> 898 GWh;> 111 kton CO2/jr;> 135 GWh;> 809 GWh;> 122 kton CO2/jr;BU19661401;GM1966;9979;9979XS;BU19661401;GM1966;9979;9979XS;BU19661401;GM1966;9979;9979XS;False;False;False;53.424297234946685;6.858700183505436;WarmteAtlas:DataCentraWarmte;;;
Globalone;Heathrowstraat;10;1043CH;Amsterdam;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU0363FA08;GM0363;1043;1043CH;BU0363FA08;GM0363;1043;1043CH;BU0363FA08;GM0363;1043;1043CH;False;False;False;52.385747171449246;4.832267834799103;WarmteAtlas:DataCentraWarmte;;;
Greenhouse Datacenters B.V.;Industriestraat;24;2671CT;Naaldwijk;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU17830155;GM1783;2671;2671CT;BU17830155;GM1783;2671;2671CT;BU17830155;GM1783;2671;2671CT;False;False;False;52.001217079708134;4.210810470890112;WarmteAtlas:DataCentraWarmte;;;
Gyrocenter;Gyroscoopweg;134-140;1042AZ;Amsterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU0363BA05;GM0363;1042;1042AZ;BU0363BA05;GM0363;1042;1042AZ;BU0363BA05;GM0363;1042;1042AZ;False;False;False;52.40047788610585;4.843034769385243;WarmteAtlas:DataCentraWarmte;;;
Interconnect Services BV - s-Hertogenbosch;De Steenbok;1;5215MG;s-Hertogenbosch;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU07960212;GM0796;5215;5215MG;BU07960212;GM0796;5215;5215MG;BU07960212;GM0796;5215;5215MG;False;False;False;51.686717924415994;5.359107384101951;WarmteAtlas:DataCentraWarmte;;;
Interconnect Services BV - Eindhoven;Park Forum;1041;5657HJ;Eindhoven;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU07726360;GM0772;5657;5657HJ;BU07726360;GM0772;5657;5657HJ;BU07726360;GM0772;5657;5657HJ;False;False;False;51.44165628272274;5.387453134111527;WarmteAtlas:DataCentraWarmte;;;
Interoute Communications Ltd;Koolhovenlaan;120;1119NH;Schiphol-Rijk;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU03940674;GM0394;1119;1119NH;BU03940674;GM0394;1119;1119NH;BU03940674;GM0394;1119;1119NH;False;False;False;52.279398813398025;4.75607974000283;WarmteAtlas:DataCentraWarmte;;;
Interxion AMS-1 / AMS-4;Gyroscoopweg;58-60;1042AC;Amsterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU0363BA05;GM0363;1042;1042AC;BU0363BA05;GM0363;1042;1042AC;BU0363BA05;GM0363;1042;1042AC;False;False;False;52.399851053622704;4.842823806052445;WarmteAtlas:DataCentraWarmte;;;
Interxion AMS-2;Gyroscoopweg;72;1042 AC;Amsterdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU0363BA05;GM0363;1042;1042AC;BU0363BA05;GM0363;1042;1042AC;BU0363BA05;GM0363;1042;1042AC;False;False;False;52.399568620482775;4.843540947017183;WarmteAtlas:DataCentraWarmte;;;
Interxion AMS-3;Cessnalaan;1-33;1119NJ;Schiphol-Rijk;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU03940674;GM0394;1119;1119NJ;BU03940674;GM0394;1119;1119NJ;BU03940674;GM0394;1119;1119NJ;False;False;False;52.28421974300796;4.770985322202585;WarmteAtlas:DataCentraWarmte;;;
Interxion AMS-5;Tupolevlaan;101;1119PA;Schiphol-Rijk;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU03940674;GM0394;1119;1119PA;BU03940674;GM0394;1119;1119PA;BU03940674;GM0394;1119;1119PA;False;False;False;52.28006620667921;4.754277660444558;WarmteAtlas:DataCentraWarmte;;;
Interxion AMS-6;Koolhovenlaan;25;1119NB;Schiphol-Rijk;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU03940674;GM0394;1119;1119NB;BU03940674;GM0394;1119;1119NB;BU03940674;GM0394;1119;1119NB;False;False;False;52.285321914977345;4.76598220112968;WarmteAtlas:DataCentraWarmte;;;
