bu_naam;gm_naam;wvr50;net_wvr50;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Verspreide huizen Spijkerboor;Aa en Hunze;0.0;0.0;BU16800709;GM1680;BU16800709;GM1680;BU16800709;GM1680;False;False;53.081407864845836;6.77504012870188;MULTIPOLYGON (((6.7801 53.081538, 6.77245 53.079291, 6.770399 53.0816, 6.777379 53.083364, 6.7801 53.081538)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Verspreide huizen Annen;Aa en Hunze;8225.46815207768;7050.4;BU16800009;GM1680;BU16800009;GM1680;BU16800009;GM1680;False;False;53.05933318971997;6.743147484272134;MULTIPOLYGON (((6.748434 53.080287, 6.750522 53.078861, 6.756226 53.076353, 6.75719 53.076103, 6.760824 53.076344, 6.763982 53.075667, 6.763763 53.074874, 6.765057 53.074492, 6.765436 53.074875, 6.767069 53.073901, 6.767629 53.073213, 6.767633 53.072117, 6.767181 53.070862, 6.768061 53.068455, 6.768109 53.067695, 6.76693 53.066003, 6.765244 53.064549, 6.767187 53.063028, 6.770739 53.061378, 6.772045 53.061235, 6.774597 53.06147, 6.775389 53.061169, 6.776401 53.060222, 6.778057 53.05937, 6.778565 53.058746, 6.778478 53.057375, 6.778021 53.056474, 6.778046 53.055804, 6.77519 53.055276, 6.758602 53.047951, 6.74443 53.041667, 6.728478 53.035758, 6.718266 53.044208, 6.710816 53.051273, 6.708067 53.055436, 6.704966 53.059416, 6.703102 53.061148, 6.706932 53.061478, 6.712297 53.056481, 6.712352 53.054733, 6.712786 53.053687, 6.715237 53.051849, 6.716437 53.050702, 6.71772 53.050189, 6.723636 53.05057, 6.727656 53.052421, 6.729205 53.053654, 6.733982 53.052138, 6.735518 53.052234, 6.735716 53.0514, 6.736531 53.050591, 6.738944 53.051129, 6.740109 53.050319, 6.741527 53.050878, 6.740157 53.05343, 6.738936 53.053545, 6.735288 53.055137, 6.737348 53.055498, 6.736735 53.056603, 6.734883 53.056172, 6.731156 53.058362, 6.729732 53.057387, 6.726863 53.058271, 6.727497 53.058994, 6.72188 53.06165, 6.720729 53.061324, 6.719078 53.062769, 6.71795 53.064424, 6.715487 53.069432, 6.726139 53.073666, 6.727174 53.073221, 6.732374 53.075239, 6.732561 53.075154, 6.733656 53.075515, 6.743651 53.079824, 6.745808 53.080624, 6.748211 53.081233, 6.748434 53.080287)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Nieuw-Annerveen;Aa en Hunze;4748.87639715276;4070.46;BU16800800;GM1680;BU16800800;GM1680;BU16800800;GM1680;False;False;53.06831620864903;6.774595175284395;MULTIPOLYGON (((6.770514 53.07474, 6.773526 53.072324, 6.775068 53.070649, 6.776056 53.068612, 6.779033 53.064961, 6.77966 53.064393, 6.782555 53.062548, 6.784466 53.060866, 6.783369 53.060362, 6.781043 53.062206, 6.779961 53.061291, 6.777953 53.062151, 6.778328 53.062537, 6.7768 53.063184, 6.774089 53.065314, 6.773081 53.065, 6.772245 53.065648, 6.773942 53.066428, 6.772733 53.06668, 6.77226 53.067572, 6.772454 53.067852, 6.773348 53.068144, 6.772654 53.069443, 6.771384 53.070831, 6.768951 53.072549, 6.767329 53.074748, 6.766428 53.075363, 6.765892 53.075339, 6.766776 53.076232, 6.767323 53.076006, 6.76941 53.076784, 6.770514 53.07474)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Verspreide huizen Nieuw-Annerveen;Aa en Hunze;184.92509334707;158.5;BU16800809;GM1680;BU16800809;GM1680;BU16800809;GM1680;False;False;53.0696723298731;6.781615249581028;MULTIPOLYGON (((6.801036 53.067495, 6.781127 53.057888, 6.780166 53.05836, 6.780733 53.05886, 6.779734 53.059282, 6.778565 53.058746, 6.778057 53.05937, 6.776401 53.060222, 6.775389 53.061169, 6.774597 53.06147, 6.772045 53.061235, 6.770739 53.061378, 6.767187 53.063028, 6.765244 53.064549, 6.76693 53.066003, 6.768109 53.067695, 6.768061 53.068455, 6.767181 53.070862, 6.767633 53.072117, 6.767629 53.073213, 6.767069 53.073901, 6.765436 53.074875, 6.765892 53.075339, 6.766428 53.075363, 6.767329 53.074748, 6.768951 53.072549, 6.771384 53.070831, 6.772654 53.069443, 6.773348 53.068144, 6.772454 53.067852, 6.77226 53.067572, 6.772733 53.06668, 6.773942 53.066428, 6.772245 53.065648, 6.773081 53.065, 6.774089 53.065314, 6.7768 53.063184, 6.778328 53.062537, 6.777953 53.062151, 6.779961 53.061291, 6.781043 53.062206, 6.783369 53.060362, 6.784466 53.060866, 6.782555 53.062548, 6.77966 53.064393, 6.779033 53.064961, 6.776056 53.068612, 6.775068 53.070649, 6.773526 53.072324, 6.770514 53.07474, 6.76941 53.076784, 6.768526 53.078138, 6.77245 53.079291, 6.7801 53.081538, 6.801036 53.067495)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Blokweer Noord;Alblasserdam;10178.2771378227;8724.23;BU04820303;GM0482;BU04820303;GM0482;BU04820303;GM0482;False;False;51.87161668700632;4.665086215116454;MULTIPOLYGON (((4.664745 51.872497, 4.665198 51.872921, 4.666835 51.872433, 4.667561 51.872624, 4.669341 51.872063, 4.668405 51.87096, 4.66149 51.870361, 4.661364 51.871065, 4.663055 51.872909, 4.664745 51.872497)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Verspreide huizen Annerveenschekanaal;Aa en Hunze;0.0;0.0;BU16801109;GM1680;BU16801109;GM1680;BU16801109;GM1680;False;False;53.0808539548387;6.78812781851101;MULTIPOLYGON (((6.789827 53.086308, 6.787748 53.085753, 6.787269 53.086098, 6.786593 53.085913, 6.788725 53.082871, 6.789922 53.083157, 6.804814 53.073738, 6.804815 53.073272, 6.811524 53.068891, 6.805264 53.065924, 6.804518 53.065186, 6.801036 53.067495, 6.7801 53.081538, 6.777379 53.083364, 6.765285 53.091496, 6.771968 53.093409, 6.771849 53.093524, 6.776509 53.094761, 6.789827 53.086308)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Eexterveenschekanaal;Aa en Hunze;4852.43444942712;4159.22;BU16801200;GM1680;BU16801200;GM1680;BU16801200;GM1680;False;False;53.06079801166051;6.827639095193063;MULTIPOLYGON (((6.83717 53.056228, 6.843273 53.052344, 6.840527 53.051099, 6.812136 53.069181, 6.812085 53.069285, 6.814536 53.070598, 6.83717 53.056228)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Verspreide huizen Eexterveenschekanaal;Aa en Hunze;1997.19100814836;1711.87;BU16801209;GM1680;BU16801209;GM1680;BU16801209;GM1680;False;False;53.05723879850616;6.823573490436431;MULTIPOLYGON (((6.840527 53.051099, 6.844623 53.048599, 6.837952 53.047756, 6.835254 53.046811, 6.833218 53.045877, 6.811166 53.060542, 6.804587 53.064999, 6.804518 53.065186, 6.805264 53.065924, 6.811524 53.068891, 6.812136 53.069181, 6.840527 53.051099)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Eexterzandvoort;Aa en Hunze;3676.31085573975;3151.12;BU16801300;GM1680;BU16801300;GM1680;BU16801300;GM1680;False;False;53.03389313717332;6.785889623411088;MULTIPOLYGON (((6.786821 53.037722, 6.788613 53.036094, 6.791032 53.034572, 6.792108 53.035156, 6.793105 53.034455, 6.793875 53.03484, 6.794601 53.03453, 6.795837 53.033137, 6.79235 53.031255, 6.788383 53.029405, 6.78673 53.028993, 6.784414 53.027987, 6.782635 53.029431, 6.785181 53.03114, 6.78413 53.031955, 6.785232 53.032333, 6.782928 53.034003, 6.778879 53.031534, 6.777177 53.030839, 6.776077 53.031544, 6.778043 53.032205, 6.776407 53.033297, 6.783026 53.036942, 6.779795 53.039506, 6.78259 53.040615, 6.786821 53.037722)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
Verspreide huizen Eexterzandvoort;Aa en Hunze;1974.99999694671;1692.85;BU16801309;GM1680;BU16801309;GM1680;BU16801309;GM1680;False;False;53.03831614369776;6.780779863690875;MULTIPOLYGON (((6.779093 53.05217, 6.779558 53.051574, 6.780662 53.051243, 6.782525 53.050229, 6.783777 53.048105, 6.786497 53.045334, 6.787725 53.044336, 6.79013 53.043553, 6.793786 53.043479, 6.797106 53.043184, 6.79856 53.042749, 6.800449 53.041638, 6.801827 53.041231, 6.804654 53.040011, 6.806692 53.04009, 6.809676 53.039901, 6.813134 53.039277, 6.815593 53.038495, 6.805736 53.034544, 6.78669 53.026326, 6.777576 53.022801, 6.773514 53.01982, 6.766947 53.026419, 6.7617 53.03029, 6.771084 53.035197, 6.763711 53.041159, 6.762963 53.041433, 6.762382 53.041874, 6.764288 53.042877, 6.758602 53.047951, 6.77519 53.055276, 6.778046 53.055804, 6.779093 53.05217), (6.779795 53.039506, 6.783026 53.036942, 6.776407 53.033297, 6.778043 53.032205, 6.776077 53.031544, 6.777177 53.030839, 6.778879 53.031534, 6.782928 53.034003, 6.785232 53.032333, 6.78413 53.031955, 6.785181 53.03114, 6.782635 53.029431, 6.784414 53.027987, 6.78673 53.028993, 6.788383 53.029405, 6.79235 53.031255, 6.795837 53.033137, 6.794601 53.03453, 6.793875 53.03484, 6.793105 53.034455, 6.792108 53.035156, 6.791032 53.034572, 6.788613 53.036094, 6.786821 53.037722, 6.78259 53.040615, 6.779795 53.039506)));WarmteAtlas:warmtevraag_2050;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:37:34;
