Bronhouder;Thema;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Flevoland;Verbodsgebieden;BU00500006;GM0050;3896;3896LR;BU00500006;GM0050;3896;3896LR;BU00500006;GM0050;3896;3896LR;False;False;False;52.32773552545565;5.466938606199542;MULTIPOLYGON (((5.467775 52.325825, 5.460122 52.323554, 5.459287 52.325516, 5.458453 52.327477, 5.459626 52.327759, 5.461358 52.328182, 5.462798 52.328588, 5.4637 52.328847, 5.464574 52.329102, 5.466074 52.32956, 5.467782 52.330066, 5.468993 52.330475, 5.469844 52.330784, 5.47192 52.331581, 5.473348 52.33216, 5.47428 52.330209, 5.47543 52.328096, 5.467775 52.325825)));WarmteAtlas:Verbodsgebieden;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:31;
Gelderland;Verbodsgebieden;BU02001404;GM0200;7361;7361TK;BU02001404;GM0200;7361;7361TK;BU02001404;GM0200;7361;7361TK;False;False;False;52.12655288430151;5.980209732132609;MULTIPOLYGON (((5.978056 52.138656, 5.977875 52.138025, 5.977871 52.138019, 5.977861 52.137979, 5.977853 52.137948, 5.977656 52.137423, 5.977649 52.137395, 5.977642 52.137366, 5.977619 52.137127, 5.978074 52.137195, 5.978262 52.137194, 5.978426 52.137191, 5.978452 52.137176, 5.978525 52.137192, 5.978596 52.137199, 5.978711 52.137186, 5.978801 52.137155, 5.978868 52.137138, 5.978981 52.137127, 5.979095 52.137124, 5.97913 52.137122, 5.978934 52.136997, 5.978939 52.136956, 5.978958 52.136906, 5.978984 52.136849, 5.979007 52.136813, 5.979052 52.136786, 5.979094 52.136766, 5.979148 52.136745, 5.979242 52.136714, 5.979294 52.136685, 5.979324 52.136653, 5.979341 52.136627, 5.979344 52.136567, 5.97934 52.136535, 5.979359 52.136494, 5.979388 52.136465, 5.979409 52.136446, 5.979441 52.13641, 5.979465 52.136381, 5.979478 52.13634, 5.979485 52.136306, 5.979477 52.136271, 5.979453 52.136236, 5.979435 52.13622, 5.979392 52.136198, 5.979359 52.136176, 5.979339 52.136151, 5.979324 52.13612, 5.979323 52.136079, 5.979327 52.136047, 5.979316 52.136008, 5.979288 52.135963, 5.979362 52.135909, 5.97938 52.135862, 5.979408 52.135824, 5.979431 52.135803, 5.979458 52.135788, 5.97948 52.13578, 5.979541 52.135756, 5.979602 52.135748, 5.979645 52.135742, 5.979728 52.135746, 5.979802 52.135754, 5.979894 52.135778, 5.980041 52.135838, 5.980246 52.135936, 5.980479 52.136023, 5.980584 52.13604, 5.980674 52.136052, 5.98077 52.136047, 5.980797 52.136046, 5.980896 52.136033, 5.980931 52.136027, 5.980989 52.136017, 5.981083 52.135991, 5.981194 52.135938, 5.981239 52.135906, 5.981332 52.135857, 5.981288 52.135836, 5.981244 52.135814, 5.981319 52.135759, 5.981346 52.135738, 5.981435 52.135672, 5.981481 52.135637, 5.981558 52.13558, 5.981609 52.135541, 5.981655 52.135507, 5.981758 52.13543, 5.981788 52.135408, 5.981894 52.135341, 5.981959 52.135283, 5.982024 52.135218, 5.982083 52.13515, 5.982118 52.135089, 5.982144 52.135008, 5.982148 52.13495, 5.982145 52.134903, 5.982132 52.134858, 5.982096 52.134791, 5.982047 52.134716, 5.981977 52.134629, 5.981962 52.13461, 5.981944 52.134585, 5.981963 52.134578, 5.981984 52.134571, 5.982309 52.1344, 5.982616 52.134199, 5.982896 52.134079, 5.983095 52.133985, 5.983246 52.133989, 5.983385 52.134051, 5.983701 52.134041, 5.983795 52.134069, 5.983804 52.13401, 5.983807 52.134005, 5.983812 52.134001, 5.983895 52.133951, 5.9839 52.133949, 5.983965 52.133932, 5.983972 52.133931, 5.984141 52.133931, 5.98426 52.133934, 5.984325 52.133932, 5.984425 52.133916, 5.984425 52.133912, 5.984425 52.133886, 5.984384 52.133866, 5.984395 52.133832, 5.984461 52.133763, 5.984467 52.133732, 5.984496 52.133723, 5.984591 52.133706, 5.984687 52.133699, 5.984707 52.133696, 5.984707 52.133619, 5.984747 52.133534, 5.984808 52.133499, 5.985077 52.133441, 5.985307 52.133416, 5.985335 52.133395, 5.985513 52.133239, 5.985562 52.133219, 5.985632 52.133206, 5.985731 52.133198, 5.985821 52.13318, 5.985957 52.133138, 5.986073 52.133096, 5.986174 52.133049, 5.986278 52.132993, 5.986362 52.132951, 5.986423 52.132931, 5.986469 52.132924, 5.986548 52.132925, 5.98677 52.132852, 5.987141 52.132815, 5.987168 52.132809, 5.9872 52.132803, 5.987188 52.132751, 5.987191 52.132736, 5.98719 52.132656, 5.987176 52.132623, 5.987144 52.13257, 5.987107 52.132532, 5.987019 52.132435, 5.986737 52.132164, 5.986762 52.132033, 5.986877 52.131918, 5.986968 52.131831, 5.986967 52.131724, 5.986897 52.131668, 5.986907 52.131589, 5.98693 52.131546, 5.986918 52.131503, 5.986859 52.131475, 5.986731 52.131447, 5.986695 52.13139, 5.986695 52.131333, 5.986705 52.131268, 5.986657 52.131119, 5.986656 52.13104, 5.986678 52.130983, 5.986736 52.130947, 5.986836 52.130919, 5.986964 52.130912, 5.987184 52.130942, 5.987362 52.130986, 5.987482 52.130972, 5.987622 52.130776, 5.987728 52.130617, 5.987689 52.130531, 5.987433 52.130397, 5.987185 52.130319, 5.987205 52.13028, 5.98723 52.130261, 5.987305 52.130207, 5.987435 52.130107, 5.987492 52.130071, 5.987776 52.130011, 5.987909 52.129971, 5.988088 52.129862, 5.988157 52.129772, 5.988209 52.129766, 5.988226 52.129824, 5.988259 52.129857, 5.9883 52.129889, 5.988484 52.129945, 5.98851 52.130052, 5.988609 52.13014, 5.988696 52.130146, 5.988829 52.130126, 5.988881 52.130145, 5.988877 52.130189, 5.988913 52.130233, 5.989021 52.130246, 5.989098 52.130233, 5.989133 52.130201, 5.989215 52.130159, 5.989317 52.130146, 5.98942 52.130104, 5.989425 52.130062, 5.989522 52.130068, 5.989684 52.130039, 5.989811 52.129967, 5.989844 52.129881, 5.98975 52.12981, 5.989761 52.129731, 5.989864 52.129609, 5.989863 52.129552, 5.989793 52.129495, 5.989676 52.129489, 5.989583 52.129425, 5.989512 52.129318, 5.989464 52.129254, 5.989359 52.129176, 5.989031 52.128963, 5.988964 52.128905, 5.988696 52.128771, 5.988574 52.128725, 5.988579 52.12872, 5.988837 52.128725, 5.989056 52.12863, 5.989366 52.128638, 5.98945 52.128499, 5.989632 52.128198, 5.989588 52.128172, 5.989615 52.128137, 5.989638 52.128109, 5.989658 52.128083, 5.989695 52.128028, 5.989741 52.127933, 5.989813 52.127747, 5.989868 52.127636, 5.989907 52.12754, 5.989934 52.127486, 5.989954 52.127444, 5.989987 52.127361, 5.990031 52.127295, 5.990069 52.127239, 5.990137 52.127144, 5.990182 52.127088, 5.990209 52.127056, 5.990255 52.127015, 5.990308 52.126989, 5.990366 52.126978, 5.990423 52.126965, 5.990511 52.126954, 5.990547 52.12695, 5.990644 52.126934, 5.990715 52.126928, 5.990767 52.126925, 5.990826 52.126929, 5.990875 52.126936, 5.990932 52.126953, 5.991003 52.126985, 5.991068 52.127025, 5.991266 52.127113, 5.991443 52.127205, 5.991669 52.127301, 5.991824 52.127374, 5.991987 52.127452, 5.992043 52.127475, 5.992134 52.127513, 5.992185 52.127386, 5.992203 52.127326, 5.99222 52.127244, 5.992242 52.127178, 5.992274 52.127095, 5.992296 52.127056, 5.992339 52.127002, 5.992429 52.126931, 5.992515 52.126875, 5.99261 52.126821, 5.992726 52.12677, 5.992977 52.126671, 5.993031 52.126651, 5.993235 52.126577, 5.993495 52.126486, 5.993645 52.126431, 5.993718 52.126404, 5.993147 52.12613, 5.992463 52.125788, 5.992394 52.125754, 5.992429 52.125727, 5.992459 52.125704, 5.993178 52.125156, 5.993204 52.125136, 5.993232 52.125115, 5.993491 52.124927, 5.993569 52.124191, 5.99348 52.124125, 5.993515 52.124107, 5.993547 52.12409, 5.993603 52.124065, 5.994245 52.122844, 5.994343 52.122531, 5.994367 52.122361, 5.994364 52.122173, 5.994353 52.122, 5.99431 52.121834, 5.994256 52.121611, 5.994246 52.121578, 5.994237 52.121549, 5.994273 52.121546, 5.994324 52.121542, 5.995706 52.119476, 5.995655 52.119485, 5.99561 52.119468, 5.995559 52.119448, 5.995674 52.119425, 5.995802 52.119408, 5.995858 52.119413, 5.995915 52.119419, 5.995639 52.119045, 5.995432 52.118853, 5.995301 52.118754, 5.995151 52.118656, 5.99464 52.11838, 5.994105 52.118112, 5.993286 52.117708, 5.992031 52.11707, 5.991539 52.116813, 5.989935 52.116008, 5.988772 52.115414, 5.988736 52.11544, 5.988701 52.115464, 5.988629 52.115514, 5.988478 52.115617, 5.988376 52.115686, 5.98818 52.1158, 5.988028 52.115729, 5.985972 52.114721, 5.985732 52.114598, 5.985585 52.114528, 5.98538 52.114471, 5.985171 52.114429, 5.980776 52.11738, 5.980723 52.117434, 5.981483 52.117684, 5.983354 52.118312, 5.981686 52.119234, 5.981275 52.119457, 5.980773 52.119745, 5.980736 52.119764, 5.98064 52.119812, 5.980625 52.119837, 5.980606 52.119866, 5.980362 52.12042, 5.980318 52.120531, 5.980229 52.120727, 5.980198 52.120809, 5.980201 52.120898, 5.979861 52.121243, 5.979501 52.121558, 5.979363 52.121671, 5.979177 52.121801, 5.978957 52.121939, 5.978925 52.121953, 5.978911 52.121942, 5.978811 52.121849, 5.978683 52.121757, 5.978539 52.121665, 5.97793 52.121297, 5.977514 52.121043, 5.977285 52.120897, 5.977188 52.120817, 5.977007 52.120688, 5.976892 52.120591, 5.976785 52.12049, 5.976719 52.120419, 5.976616 52.120297, 5.976473 52.12011, 5.97625 52.119803, 5.976101 52.11959, 5.976004 52.119425, 5.975955 52.119436, 5.975896 52.11945, 5.975754 52.11961, 5.975602 52.119764, 5.975208 52.120176, 5.975068 52.12038, 5.974997 52.120491, 5.974918 52.120635, 5.974847 52.120773, 5.974802 52.120893, 5.974691 52.121152, 5.974654 52.121228, 5.974599 52.121217, 5.974549 52.121207, 5.974168 52.121284, 5.973119 52.121532, 5.972607 52.121643, 5.972495 52.121669, 5.972404 52.121677, 5.971904 52.121794, 5.971515 52.121888, 5.971503 52.121892, 5.971454 52.121906, 5.971446 52.121909, 5.971351 52.121937, 5.971276 52.121966, 5.971213 52.121991, 5.971129 52.122043, 5.970979 52.122164, 5.970898 52.122217, 5.970777 52.122243, 5.970578 52.122226, 5.97008 52.122154, 5.969871 52.122137, 5.969813 52.122149, 5.969746 52.122186, 5.969634 52.122301, 5.96955 52.122373, 5.969486 52.122421, 5.969418 52.122451, 5.969334 52.122474, 5.96924 52.122496, 5.969134 52.122528, 5.968988 52.122584, 5.968919 52.122601, 5.968847 52.122614, 5.968752 52.122621, 5.968718 52.12262, 5.968265 52.122615, 5.967407 52.122598, 5.966132 52.122575, 5.965182 52.122559, 5.965155 52.12256, 5.96516 52.122578, 5.965465 52.123303, 5.965579 52.123555, 5.965599 52.12359, 5.965628 52.123656, 5.965695 52.12382, 5.965854 52.124233, 5.965893 52.12437, 5.966017 52.12467, 5.966037 52.124718, 5.966367 52.125502, 5.966545 52.125914, 5.966594 52.126001, 5.966917 52.126414, 5.967216 52.126781, 5.967331 52.126922, 5.96786 52.127586, 5.967864 52.127591, 5.967884 52.12762, 5.967891 52.12763, 5.967924 52.12768, 5.967933 52.127693, 5.968173 52.127979, 5.968193 52.128002, 5.968216 52.128029, 5.968165 52.12803, 5.968117 52.128032, 5.967458 52.128153, 5.967359 52.128238, 5.967359 52.128237, 5.967207 52.128342, 5.967047 52.128452, 5.966912 52.128546, 5.966825 52.128605, 5.966633 52.128738, 5.966563 52.128786, 5.966564 52.128786, 5.966489 52.128839, 5.966377 52.128917, 5.966323 52.128893, 5.966243 52.128858, 5.965543 52.130794, 5.965523 52.130848, 5.96557 52.130859, 5.96566 52.130879, 5.966242 52.131008, 5.966329 52.131027, 5.968148 52.131432, 5.968188 52.131441, 5.968306 52.131468, 5.969347 52.131707, 5.96942 52.131723, 5.969675 52.132305, 5.969694 52.132362, 5.96979 52.132672, 5.969801 52.1327, 5.969636 52.13272, 5.969046 52.132763, 5.969026 52.1327, 5.968607 52.132716, 5.968505 52.133003, 5.968224 52.13304, 5.968212 52.133108, 5.968129 52.133487, 5.968088 52.133679, 5.968044 52.133851, 5.96803 52.133904, 5.967994 52.134048, 5.96799 52.134061, 5.967953 52.134205, 5.967967 52.134246, 5.967975 52.134269, 5.967986 52.134299, 5.967978 52.134315, 5.969558 52.134137, 5.970014 52.134078, 5.970233 52.134049, 5.970278 52.134173, 5.970527 52.134857, 5.970564 52.134958, 5.970572 52.134981, 5.970668 52.135243, 5.970675 52.135263, 5.970688 52.135298, 5.97071 52.135358, 5.970735 52.135426, 5.970943 52.135919, 5.971 52.135931, 5.97106 52.135945, 5.971078 52.135997, 5.971092 52.136036, 5.971476 52.137201, 5.971507 52.13727, 5.971539 52.13734, 5.971551 52.137385, 5.971561 52.137419, 5.971569 52.137489, 5.971602 52.137607, 5.971616 52.13764, 5.971634 52.137684, 5.971645 52.13771, 5.971835 52.137782, 5.972033 52.13785, 5.97226 52.137932, 5.972574 52.138021, 5.972762 52.138066, 5.973049 52.138146, 5.973151 52.138185, 5.973262 52.138232, 5.973353 52.138274, 5.973464 52.138332, 5.973727 52.138446, 5.973839 52.13849, 5.974057 52.138561, 5.974249 52.138617, 5.974651 52.138702, 5.97469 52.138711, 5.97474 52.138722, 5.975015 52.138786, 5.975024 52.138931, 5.975034 52.139047, 5.975083 52.139259, 5.975174 52.139271, 5.975744 52.139423, 5.975521 52.138668, 5.976015 52.138826, 5.978053 52.13947, 5.978186 52.139515, 5.978219 52.139526, 5.978252 52.139537, 5.978238 52.139489, 5.978237 52.139482, 5.978148 52.139102, 5.978119 52.138941, 5.978061 52.138663, 5.978058 52.13866, 5.978056 52.138656)));WarmteAtlas:Verbodsgebieden;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:31;
