buurtcode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
BU03030548;2022;3.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;1.0
BU03030548;2023;3.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;1.0
BU03030548;2024;3.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;1.0
BU03030549;2022;91.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
BU03030549;2023;87.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;7.0
BU03030549;2024;84.0;0.0;n.a.;n.a.;n.a.;4.0;3.0;8.0
BU03030550;2022;88.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
BU03030550;2023;79.0;0.0;n.a.;n.a.;n.a.;4.0;2.0;3.0
BU03030550;2024;78.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;5.0
BU03030601;2022;98.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;0.0
BU03030601;2023;95.0;0.0;n.a.;n.a.;n.a.;2.0;3.0;0.0
BU03030601;2024;96.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;0.0
