buurtcode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
BU02990302;2023;89.0;0.0;n.a.;n.a.;n.a.;6.0;2.0;2.0
BU02990302;2024;85.0;0.0;n.a.;n.a.;n.a.;9.0;3.0;3.0
BU02990400;2022;94.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
BU02990400;2023;91.0;0.0;n.a.;n.a.;n.a.;4.0;2.0;2.0
BU02990400;2024;90.0;0.0;n.a.;n.a.;n.a.;4.0;3.0;3.0
BU02990500;2022;88.0;1.0;n.a.;n.a.;n.a.;3.0;0.0;3.0
BU02990500;2023;86.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;3.0
BU02990500;2024;84.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;4.0
BU02990600;2022;90.0;1.0;n.a.;n.a.;n.a.;7.0;0.0;2.0
BU02990600;2023;88.0;1.0;n.a.;n.a.;n.a.;8.0;1.0;2.0
BU02990600;2024;85.0;1.0;n.a.;n.a.;n.a.;8.0;3.0;2.0
BU02990601;2022;89.0;1.0;n.a.;n.a.;n.a.;7.0;0.0;2.0
BU02990601;2023;87.0;1.0;n.a.;n.a.;n.a.;8.0;1.0;3.0
BU02990601;2024;85.0;1.0;n.a.;n.a.;n.a.;8.0;2.0;3.0
BU02990700;2022;95.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;1.0
BU02990700;2023;90.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;3.0
BU02990700;2024;87.0;0.0;n.a.;n.a.;n.a.;5.0;2.0;5.0
BU02990701;2022;96.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
BU02990701;2023;90.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
BU02990701;2024;87.0;0.0;n.a.;n.a.;n.a.;5.0;2.0;5.0
BU02990800;2022;87.0;0.0;n.a.;n.a.;n.a.;3.0;0.0;9.0
BU02990800;2023;83.0;0.0;n.a.;n.a.;n.a.;5.0;1.0;11.0
BU02990800;2024;80.0;0.0;n.a.;n.a.;n.a.;5.0;2.0;13.0
BU02990801;2022;93.0;1.0;n.a.;n.a.;n.a.;3.0;1.0;2.0
BU02990801;2023;91.0;1.0;n.a.;n.a.;n.a.;5.0;1.0;1.0
BU02990801;2024;87.0;1.0;n.a.;n.a.;n.a.;6.0;3.0;4.0
BU02990900;2022;94.0;0.0;n.a.;n.a.;n.a.;5.0;0.0;0.0
BU02990900;2023;92.0;0.0;n.a.;n.a.;n.a.;5.0;1.0;1.0
BU02990900;2024;90.0;0.0;n.a.;n.a.;n.a.;5.0;3.0;1.0
BU02991000;2022;86.0;6.0;n.a.;n.a.;n.a.;2.0;1.0;6.0
BU02991000;2023;84.0;4.0;n.a.;n.a.;n.a.;3.0;2.0;7.0
BU02991000;2024;82.0;4.0;n.a.;n.a.;n.a.;3.0;2.0;8.0
BU02991001;2022;86.0;6.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
BU02991001;2023;84.0;4.0;n.a.;n.a.;n.a.;3.0;2.0;6.0
BU02991001;2024;82.0;4.0;n.a.;n.a.;n.a.;3.0;2.0;8.0
BU02991100;2022;96.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;1.0
BU02991100;2023;93.0;0.0;n.a.;n.a.;n.a.;4.0;2.0;0.0
BU02991100;2024;90.0;0.0;n.a.;n.a.;n.a.;4.0;4.0;2.0
BU02991101;2022;92.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;2.0
BU02991101;2023;82.0;0.0;n.a.;n.a.;n.a.;4.0;2.0;2.0
BU02991101;2024;80.0;0.0;n.a.;n.a.;n.a.;3.0;3.0;3.0
BU03010000;2022;89.0;10.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU03010000;2023;88.0;9.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU03010000;2024;88.0;9.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
BU03010001;2022;95.0;2.0;n.a.;n.a.;n.a.;0.0;0.0;2.0
BU03010001;2023;94.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
BU03010001;2024;94.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
BU03010002;2022;87.0;0.0;n.a.;n.a.;n.a.;0.0;1.0;4.0
BU03010002;2023;62.0;0.0;0.0;0.0;4.0;0.0;0.0;31.0
BU03010002;2024;52.0;0.0;0.0;0.0;8.0;0.0;1.0;38.0
BU03010003;2022;69.0;28.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
BU03010003;2023;67.0;28.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
BU03010003;2024;66.0;27.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
BU03010004;2022;95.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
BU03010004;2023;94.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
BU03010004;2024;91.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
BU03010100;2022;100.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010100;2023;99.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010100;2024;97.0;0.0;n.a.;n.a.;n.a.;0.0;1.0;0.0
BU03010101;2022;100.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010101;2023;99.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010101;2024;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;0.0
BU03010102;2022;99.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010102;2023;99.0;0.0;n.a.;n.a.;n.a.;0.0;1.0;0.0
BU03010102;2024;99.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010103;2022;99.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010103;2023;98.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
BU03010103;2024;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
BU03010104;2022;80.0;19.0;n.a.;n.a.;n.a.;0.0;0.0;2.0
BU03010104;2023;78.0;19.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
BU03010104;2024;77.0;19.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
BU03010105;2022;96.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010105;2023;95.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010105;2024;95.0;0.0;n.a.;n.a.;n.a.;0.0;1.0;2.0
BU03010106;2022;99.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010106;2023;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;0.0
BU03010106;2024;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;0.0
BU03010200;2022;99.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010200;2023;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;0.0
BU03010200;2024;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;0.0
BU03010201;2022;85.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;12.0
BU03010201;2023;84.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;12.0
BU03010201;2024;82.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;12.0
BU03010202;2022;74.0;24.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03010202;2023;73.0;24.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
BU03010202;2024;78.0;3.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
BU03010203;2022;87.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;1.0
BU03010203;2023;87.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;1.0
