PK_UID;Vergunning;Naam;Drijverna0;Gemeente;kton2013;kton2014;kton2015;kton2016;kton2017;kton2018;kton2019;kton2020;kton2021;kton2022;kton2023;kton2024;kton2025;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
137;NL-200400161i;Chemelot BKG 10;Chemelot Site Permit B.V.;SITTARD-GELEEN;92636;72754;84494;73399;60572;92465;85790;70418;0;0;0;0;0;BU18830503;GM1883;6167.0;6167AC;BU18830503;GM1883;6167.0;6167AC;BU18830503;GM1883;6167.0;6167AC;False;False;False;50.97543306810161;5.821437561261446;WarmteAtlas:CO2emissieETSbedrijven;;;
138;NL-200400161j;Chemelot BKG 11;Chemelot Site Permit B.V.;SITTARD-GELEEN;45070;49479;42849;44211;48318;51747;42722;44452;0;0;0;0;0;BU18830503;GM1883;6167.0;6167AC;BU18830503;GM1883;6167.0;6167AC;BU18830503;GM1883;6167.0;6167AC;False;False;False;50.97543306810161;5.821437561261446;WarmteAtlas:CO2emissieETSbedrijven;;;
139;NL-200400161k;Chemelot BKG 12;Chemelot Site Permit B.V.;SITTARD-GELEEN;52396;67572;71495;78946;54313;78068;96191;74372;0;0;0;0;0;BU18830503;GM1883;6167.0;6167AC;BU18830503;GM1883;6167.0;6167AC;BU18830503;GM1883;6167.0;6167AC;False;False;False;50.97543306810161;5.821437561261446;WarmteAtlas:CO2emissieETSbedrijven;;;
140;NL-200400161l;Chemelot BKG 13;Chemelot Site Permit B.V.;SITTARD-GELEEN;42523;5702;5367;5657;5939;5348;4655;18166;0;0;0;0;0;BU18830503;GM1883;6167.0;6167AC;BU18830503;GM1883;6167.0;6167AC;BU18830503;GM1883;6167.0;6167AC;False;False;False;50.97543306810161;5.821437561261446;WarmteAtlas:CO2emissieETSbedrijven;;;
141;NL-200400161m;Chemelot BKG 14;Chemelot Site Permit B.V.;SITTARD-GELEEN;83402;69457;75619;68970;68484;78070;54346;45217;0;0;0;0;0;BU18830503;GM1883;6167.0;6167AC;BU18830503;GM1883;6167.0;6167AC;BU18830503;GM1883;6167.0;6167AC;False;False;False;50.97543306810161;5.821437561261446;WarmteAtlas:CO2emissieETSbedrijven;;;
142;NL-200400162;TAQA Piekgas B.V.;TAQA Energy B.V.;ALKMAAR;7499;4484;18036;14749;13208;19858;4836;16901;10016;12409;5590;2281;18688;BU03610309;GM0361;1812.0;1812RG;BU03610309;GM0361;1812.0;1812RG;BU03610309;GM0361;1812.0;1812RG;False;False;False;52.60878788397783;4.757858270000433;WarmteAtlas:CO2emissieETSbedrijven;;;
143;NL-200400163;TAQA Offshore B.V.;TAQA Energy B.V.;ALKMAAR;72178;80742;81412;76753;75045;58049;51291;73274;90229;108227;94359;66840;56183;BU03730700;GM0373;1871.0;1871BC;BU03730700;GM0373;1871.0;1871BC;BU03730700;GM0373;1871.0;1871BC;False;False;False;52.70349001811942;4.701582152051527;WarmteAtlas:CO2emissieETSbedrijven;;;
144;NL-200400164;TAQA Onshore B.V.;TAQA Energy B.V.;ALKMAAR;38252;26014;2209;1024;1265;1147;1309;0;0;0;0;0;0;BU03610409;GM0361;1817.0;1817BJ;BU03610409;GM0361;1817.0;1817BJ;BU03610409;GM0361;1817.0;1817BJ;False;False;False;52.657770336502004;4.7447424906437865;WarmteAtlas:CO2emissieETSbedrijven;;;
145;NL-200400165;FUJIFILM Manufacturing Europe B.V.;FUJIFILM Manufacturing Europe B.V.;TILBURG;37944;30929;35313;33141;36315;34635;34541;22716;25353;25512;2450;0;0;BU08556004;GM0855;5047.0;5047TK;BU08556004;GM0855;5047.0;5047TK;BU08556004;GM0855;5047.0;5047TK;False;False;False;51.59429903283798;5.016049549848752;WarmteAtlas:CO2emissieETSbedrijven;;;
146;NL-200400166;Farm Frites B.V.;Farm Frites B.V.;OUDENHOORN;25915;25063;26245;31985;29934;31620;31106;28884;33495;31249;30806;32112;31436;BU19921003;GM1992;3227.0;3227CD;BU19921003;GM1992;3227.0;3227CD;BU19921003;GM1992;3227.0;3227CD;False;False;False;51.82237989995886;4.164371355971706;WarmteAtlas:CO2emissieETSbedrijven;;;
147;NL-200400167;Eastman Chemical Middelburg BV;Eastman Chemical Middelburg B.V.;MIDDELBURG;61051;59089;59488;68344;69327;68834;47687;48946;50397;50831;47342;62634;62121;BU06873247;GM0687;4338.0;4338PL;BU06873247;GM0687;4338.0;4338PL;BU06873247;GM0687;4338.0;4338PL;False;False;False;51.494601275195954;3.6436591567768692;WarmteAtlas:CO2emissieETSbedrijven;;;
148;NL-200400171;Albemarle Catalysts Company B.V.;Albemarle Catalysts Company B.V.;AMSTERDAM;66057;67603;64877;61369;67908;73694;66869;57019;55985;56505;53628;51213;49484;BU0363NP02;GM0363;1022.0;1022AB;BU0363NP02;GM0363;1022.0;1022AB;BU0363NP02;GM0363;1022.0;1022AB;False;False;False;52.384281694365576;4.935809278695394;WarmteAtlas:CO2emissieETSbedrijven;;;
