PK_UID;Vergunning;Naam;Drijverna0;Gemeente;kton2013;kton2014;kton2015;kton2016;kton2017;kton2018;kton2019;kton2020;kton2021;kton2022;kton2023;kton2024;kton2025;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
80;NL-200400102;Nederlandse Gasunie CS Ravenstein N.V.;N.V. Nederlandse Gasunie;RAVENSTEIN;23750;8975;5548;4357;14823;7236;3117;1225;10995;2502;1046;272;556;BU08281601;GM0828;5356.0;5356NG;BU08281601;GM0828;5356.0;5356NG;BU08281601;GM0828;5356.0;5356NG;False;False;False;51.783601174646144;5.662421571303707;WarmteAtlas:CO2emissieETSbedrijven;;;
81;NL-200400103;Nederlandse Gasunie CS Zweekhorst N.V.;N.V. Nederlandse Gasunie;ZEVENAAR;26843;8152;5053;2342;2320;3468;1588;282;2591;419;309;191;11;BU02990017;GM0299;6903.0;6903PC;BU02990017;GM0299;6903.0;6903PC;BU02990017;GM0299;6903.0;6903PC;False;False;False;51.96395033120027;6.084503125992616;WarmteAtlas:CO2emissieETSbedrijven;;;
82;NL-200400104;Nederlandse Gasunie CS Beverwijk N.V.;N.V. Nederlandse Gasunie;HEEMSKERK;8732;1897;328;1121;767;715;402;426;0;0;0;0;0;BU03750902;GM0375;1947.0;1947PH;BU03750902;GM0375;1947.0;1947PH;BU03750902;GM0375;1947.0;1947PH;False;False;False;52.48783744466472;4.700056483692062;WarmteAtlas:CO2emissieETSbedrijven;;;
83;NL-200400105;Nederlandse Gasunie CS Oldeboorn N.V.;N.V. Nederlandse Gasunie;OLDEBOORN;15898;1857;686;611;501;43;23;14;0;0;0;0;0;BU00740903;GM0074;8495.0;8495NG;BU00740903;GM0074;8495.0;8495NG;BU00740903;GM0074;8495.0;8495NG;False;False;False;53.05751053224513;5.894621790885204;WarmteAtlas:CO2emissieETSbedrijven;;;
84;NL-200400106;Nederlandse Gasunie CS Ommen N.V.;N.V. Nederlandse Gasunie;VILSTEREN;30052;4453;7161;4045;12312;7475;3239;4414;6838;3524;605;241;675;BU01750902;GM0175;7734.0;7734PB;BU01750902;GM0175;7734.0;7734PB;BU01750902;GM0175;7734.0;7734PB;False;False;False;52.4979714632771;6.356464499502372;WarmteAtlas:CO2emissieETSbedrijven;;;
85;NL-200400107;Van Houtum Holding B.V.;WEPA Nederland B.V.;SWALMEN;24312;24362;23446;24446;16868;12903;10085;9526;7172;7898;7731;8135;8084;BU09570800;GM0957;6071.0;6071JR;BU09570800;GM0957;6071.0;6071JR;BU09570800;GM0957;6071.0;6071JR;False;False;False;51.232759645352566;6.030581086630264;WarmteAtlas:CO2emissieETSbedrijven;;;
86;NL-200400109;ADM Europoort B.V.;Archer Daniels Midland Europoort B.V.;Europoort Rotterdam;175286;168287;156023;151672;149157;150460;154690;156981;154423;149755;146408;135713;136672;BU05992307;GM0599;3198.0;3198LC;BU05992307;GM0599;3198.0;3198LC;BU05992307;GM0599;3198.0;3198LC;False;False;False;51.95506757873685;4.1217530284755295;WarmteAtlas:CO2emissieETSbedrijven;;;
87;NL-200400110;Shin-Etsu PVC B.V., locatie Botlek;Shin-Etsu PVC B.V.;ROTTERDAM;100189;97346;95563;101945;93615;101946;101529;102509;92753;98050;87511;95910;86576;BU05992306;GM0599;3197.0;3197KS;BU05992306;GM0599;3197.0;3197KS;BU05992306;GM0599;3197.0;3197KS;False;False;False;51.87479460379199;4.278330301382313;WarmteAtlas:CO2emissieETSbedrijven;;;
88;NL-200400113;Air Liquide Industrie B.V., vest. Botlek-Rotterdam;Air Liquide Industrie B.V.;BOTLEK-ROTTERDAM;96169;95386;85179;59083;81609;105055;107273;101779;1164455;936854;888486;945245;932483;BU05992306;GM0599;3197.0;3197KG;BU05992306;GM0599;3197.0;3197KG;BU05992306;GM0599;3197.0;3197KG;False;False;False;51.884617117179715;4.25731628648803;WarmteAtlas:CO2emissieETSbedrijven;;;
89;NL-200400114;B.V. Steenfabriek Huissenswaard;B.V. Steenfabriek Huissenswaard;ANGEREN;16832;20948;21788;21585;21261;22438;21491;22694;25086;24866;23601;23539;22489;BU17050401;GM1705;6687.0;6687ML;BU17050401;GM1705;6687.0;6687ML;BU17050401;GM1705;6687.0;6687ML;False;False;False;51.91088948709566;5.987119019426478;WarmteAtlas:CO2emissieETSbedrijven;;;
90;NL-200400115;Cargill B.V. Multiseed Amsterdam;Cargill B.V.;AMSTERDAM;29380;28845;31700;29540;31351;32883;30495;28306;27639;25285;24537;20859;20132;BU0363BA02;GM0363;1047.0;1047BA;BU0363BA02;GM0363;1047.0;1047BA;BU0363BA02;GM0363;1047.0;1047BA;False;False;False;52.41099840822171;4.769664664955685;WarmteAtlas:CO2emissieETSbedrijven;;;
91;NL-200400117;Nouryon Industrial Chemicals B.V. (Rotterdam);Nouryon Chemicals B.V.;ROTTERDAM;170036;130358;152201;132857;94553;116110;109399;117432;111585;127888;102059;103227;102614;BU05992306;GM0599;3197.0;3197KS;BU05992306;GM0599;3197.0;3197KS;BU05992306;GM0599;3197.0;3197KS;False;False;False;51.87479460379199;4.278330301382313;WarmteAtlas:CO2emissieETSbedrijven;;;
92;NL-200400118;Ardagh Glass Moerdijk B.V.;Ardagh Glass Moerdijk B.V.;MOERDIJK;59333;58871;59227;59512;60149;62069;58189;54277;56141;58578;62855;61136;57746;BU17090303;GM1709;4782.0;4782SC;BU17090303;GM1709;4782.0;4782SC;BU17090303;GM1709;4782.0;4782SC;False;False;False;51.6768281420961;4.595217830180124;WarmteAtlas:CO2emissieETSbedrijven;;;
93;NL-200400119;Veolia Industriediensten B.V.;Veolia Industriediensten B.V.;Arnhem;101824;64277;38722;25380;19439;20462;16246;6783;5237;5554;5472;6904;4988;BU02020322;GM0202;6827.0;6827AV;BU02020322;GM0202;6827.0;6827AV;BU02020322;GM0202;6827.0;6827AV;False;False;False;51.96943558323165;5.938481989616526;WarmteAtlas:CO2emissieETSbedrijven;;;
94;NL-200400120;N.V. Nederlandse Gasunie LNG Maasvlakte;N.V. Nederlandse Gasunie;MAASVLAKTE ROTTERDAM;21474;27436;9115;13112;2733;1053;1881;538;666;703;697;666;299;BU05992308;GM0599;3199.0;3199LB;BU05992308;GM0599;3199.0;3199LB;BU05992308;GM0599;3199.0;3199LB;False;False;False;51.9448191691874;4.067713756449867;WarmteAtlas:CO2emissieETSbedrijven;;;
95;NL-200400121;B.V. Steenfabriek Spijk;Steenfabriek Spijk B.V.;SPIJK;25851;24732;24782;28453;25447;26602;26555;27032;27289;24078;22132;15015;20653;BU02991101;GM0299;6917.0;6917AD;BU02991101;GM0299;6917.0;6917AD;BU02991101;GM0299;6917.0;6917AD;False;False;False;51.8476238038255;6.15729836377318;WarmteAtlas:CO2emissieETSbedrijven;;;
96;NL-200400122;Suiker Unie fabriek Dinteloord;Co̦peratie Koninklijke Cosun U.A.;BREDA;130735;135877;122872;101613;121218;148807;120030;115201;129389;115028;121281;129062;145325;BU07580505;GM0758;4814.0;4814NE;BU07580505;GM0758;4814.0;4814NE;BU07580505;GM0758;4814.0;4814NE;False;False;False;51.582778004459406;4.741590629147422;WarmteAtlas:CO2emissieETSbedrijven;;;
97;NL-200400123;Delesto B.V.;Delesto B.V.;FARMSUM;665494;540259;540026;585394;468468;473394;317898;318719;419661;405706;353297;365007;317750;BU19790831;GM1979;9936.0;9936HD;BU19790831;GM1979;9936.0;9936HD;BU19790831;GM1979;9936.0;9936HD;False;False;False;53.3196070450104;6.943491509137506;WarmteAtlas:CO2emissieETSbedrijven;;;
98;NL-200400126;Academisch Medisch Centrum (AMC);Academisch Medisch Centrum;AMSTERDAM;41633;36620;37052;38047;37856;38009;37831;33417;37127;36906;36845;34479;34783;BU0363TA06;GM0363;1105.0;1105AZ;BU0363TA06;GM0363;1105.0;1105AZ;BU0363TA06;GM0363;1105.0;1105AZ;False;False;False;52.29498987066198;4.957912631896162;WarmteAtlas:CO2emissieETSbedrijven;;;
150;NL-200400174;PPG Industries Chemicals B.V.;PPG Industries Delfzijl B.V.;morris;36103;36442;36296;44005;46321;51277;49189;40214;52870;49684;43822;48621;50356;BU19790831;GM1979;9936.0;9936HV;BU19790831;GM1979;9936.0;9936HV;BU19790831;GM1979;9936.0;9936HV;False;False;False;53.303164362008744;6.987050447728698;WarmteAtlas:CO2emissieETSbedrijven;;;
152;NL-200400177;Nouryon Industrial Chemicals B.V. (Hengelo);Nouryon Chemicals B.V.;HENGELO;267279;264257;258911;291176;297810;255014;262408;252731;239535;217261;214878;102695;25391;BU01640500;GM0164;7554.0;7554RS;BU01640500;GM0164;7554.0;7554RS;BU01640500;GM0164;7554.0;7554RS;False;False;False;52.24532995230158;6.792269368212284;WarmteAtlas:CO2emissieETSbedrijven;;;
153;NL-200400179;Wintershall Noordzee B.V. P6-A;Wintershall Noordzee B.V.;RIJSWIJK;59598;62581;58855;56159;50530;45778;39858;41303;17955;0;0;0;0;BU06030643;GM0603;2284.0;2284DP;BU06030643;GM0603;2284.0;2284DP;BU06030643;GM0603;2284.0;2284DP;False;False;False;52.035493313177675;4.3175822349167055;WarmteAtlas:CO2emissieETSbedrijven;;;
154;NL-200400180;Wintershall Noordzee B.V. L8-P4;Wintershall Noordzee B.V.;RIJSWIJK;46781;45375;51764;47836;43322;48016;46160;45040;42810;24797;0;0;0;BU06030643;GM0603;2284.0;2284DP;BU06030643;GM0603;2284.0;2284DP;BU06030643;GM0603;2284.0;2284DP;False;False;False;52.035493313177675;4.3175822349167055;WarmteAtlas:CO2emissieETSbedrijven;;;
155;NL-200400181;Rendac Son B.V.;Rendac Son B.V.;SON;35948;13869;24653;33887;38080;11781;13399;36158;36502;16240;31561;23710;22239;BU08480009;GM0848;5691.0;5691NM;BU08480009;GM0848;5691.0;5691NM;BU08480009;GM0848;5691.0;5691NM;False;False;False;51.50568704327167;5.447292258075135;WarmteAtlas:CO2emissieETSbedrijven;;;
156;NL-200400182;Cargill B.V. Sas van Gent;Cargill B.V.;SAS VAN GENT;200881;184177;195185;190930;192518;182022;192968;190720;193030;164579;162602;153394;169358;BU07151301;GM0715;4551.0;4551LA;BU07151301;GM0715;4551.0;4551LA;BU07151301;GM0715;4551.0;4551LA;False;False;False;51.23845253476734;3.8045241770043687;WarmteAtlas:CO2emissieETSbedrijven;;;
157;NL-200400184;Ruigenhil Vastgoed B.V. Nedstaal BKG 1;Ruigenhil Vastgoed B.V.;ALBLASSERDAM;25409;23634;21304;19269;0;0;0;0;20488;16693;16296;15337;11332;BU04820503;GM0482;2952.0;2952AP;BU04820503;GM0482;2952.0;2952AP;BU04820503;GM0482;2952.0;2952AP;False;False;False;51.85179169594769;4.661478693871959;WarmteAtlas:CO2emissieETSbedrijven;;;
158;NL-200400184a;FNsteel B.V.;FNsteel B.V.;ALBLASSERDAM;19732;20081;19038;18983;21226;23109;18410;17479;0;0;0;0;0;BU04820503;GM0482;2952.0;2952AP;BU04820503;GM0482;2952.0;2952AP;BU04820503;GM0482;2952.0;2952AP;False;False;False;51.85179169594769;4.661478693871959;WarmteAtlas:CO2emissieETSbedrijven;;;
159;NL-200400186;Tata Steel IJmuiden bv BKG 1;Tata Steel IJmuiden B.V.;VELSEN-NOORD (GEM. VELSEN);5908525;5846528;6206866;6213582;6884447;6512377;6272201;5711530;5957320;5822618;4543687;5894644;5689202;BU04530506;GM0453;1951.0;1951JZ;BU04530506;GM0453;1951.0;1951JZ;BU04530506;GM0453;1951.0;1951JZ;False;False;False;52.473935048801174;4.622486097802777;WarmteAtlas:CO2emissieETSbedrijven;;;
160;NL-200400186a;Tata Steel IJmuiden bv BKG 2;Tata Steel IJmuiden B.V.;VELSEN-NOORD (GEM. VELSEN);84924;85122;87637;86000;85378;81400;76537;74642;0;0;0;0;0;BU04530506;GM0453;1951.0;1951JZ;BU04530506;GM0453;1951.0;1951JZ;BU04530506;GM0453;1951.0;1951JZ;False;False;False;52.473935048801174;4.622486097802777;WarmteAtlas:CO2emissieETSbedrijven;;;
161;NL-200400187;AVEBE U.A. locatie Foxhol;Co̦peratie AVEBE U.A.;FOXHOL;29225;25560;23402;17279;15241;1602;0;0;0;0;0;0;0;BU19520702;GM1952;9607.0;9607PT;BU19520702;GM1952;9607.0;9607PT;BU19520702;GM1952;9607.0;9607PT;False;False;False;53.170046349320266;6.715656481774004;WarmteAtlas:CO2emissieETSbedrijven;;;
162;NL-200400188;AVEBE U.A. locatie Gasselternijveen;Co̦peratie AVEBE U.A.;GASSELTERNIJVEEN;75164;72620;71855;78802;81842;97350;86081;97284;99744;96849;84566;62403;54399;BU16801500;GM1680;9514.0;9514JA;BU16801500;GM1680;9514.0;9514JA;BU16801500;GM1680;9514.0;9514JA;False;False;False;52.989844098769886;6.869607057279595;WarmteAtlas:CO2emissieETSbedrijven;;;
167;NL-200400195;Promelca Dairy Foods;Promelca B.V.;GORINCHEM;32477;33658;38730;46529;52568;50002;52887;53870;53128;54061;54151;53664;51243;BU05120800;GM0512;4202.0;4202MA;BU05120800;GM0512;4202.0;4202MA;BU05120800;GM0512;4202.0;4202MA;False;False;False;51.829382814980384;4.954825458477967;WarmteAtlas:CO2emissieETSbedrijven;;;
168;NL-200400196;Oldambt Groenvoederdrogerij B.V.;B.V. Oldambt;OOSTWOLD GEM. SCHEEMDA;17792;20980;20998;24519;26657;25836;20526;20437;23829;16037;11966;14281;10606;BU18950909;GM1895;9682.0;9682XR;BU18950909;GM1895;9682.0;9682XR;BU18950909;GM1895;9682.0;9682XR;False;False;False;53.225669082312606;7.034259760324343;WarmteAtlas:CO2emissieETSbedrijven;;;
169;NL-200400197;Rixona B.V.;Rixona B.V.;OOSTRUM;32065;34428;35148;35327;34408;38566;38251;39567;38697;35853;36406;35872;38024;BU09840601;GM0984;5807.0;5807EJ;BU09840601;GM0984;5807.0;5807EJ;BU09840601;GM0984;5807.0;5807EJ;False;False;False;51.52114998816987;6.024386376790072;WarmteAtlas:CO2emissieETSbedrijven;;;
170;NL-200400199;Apollo Vredestein B.V.;Apollo Vredestein B.V.;ENSCHEDE;17322;17086;16889;16561;16264;16242;14937;11448;6779;0;0;0;0;BU01530700;GM0153;7547.0;7547RD;BU01530700;GM0153;7547.0;7547RD;BU01530700;GM0153;7547.0;7547RD;False;False;False;52.22655694421719;6.841592402442054;WarmteAtlas:CO2emissieETSbedrijven;;;
171;NL-200400200;Zeeland Refinery N.V.;Zeeland Refinery N.V.;NIEUWDORP;1542691;1326768;1543182;1552162;1600644;1632907;1588718;1166864;1469808;1592627;1464690;1526465;1418506;BU06540903;GM0654;4455.0;4455TM;BU06540903;GM0654;4455.0;4455TM;BU06540903;GM0654;4455.0;4455TM;False;False;False;51.44956487971067;3.7272533100891936;WarmteAtlas:CO2emissieETSbedrijven;;;
172;NL-200400202;Heineken Nederland B.V., brouwerij Zoeterwoude;Heineken Netherlands Supply B.V.;ZOETERWOUDE;47285;46091;45873;39259;37297;35375;38855;38000;38943;38184;33340;32872;24673;BU06381011;GM0638;2382.0;2382PH;BU06381011;GM0638;2382.0;2382PH;BU06381011;GM0638;2382.0;2382PH;False;False;False;52.13746349554433;4.533978254654518;WarmteAtlas:CO2emissieETSbedrijven;;;
173;NL-200400203;Cabot B.V.;Cabot B.V.;BOTLEK-ROTTERDAM;223075;222218;235829;246654;251336;240223;227104;204626;236355;204170;200975;207309;176024;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;False;False;False;51.890596545276296;4.262178150632207;WarmteAtlas:CO2emissieETSbedrijven;;;
174;NL-200400205;BioMethanol Chemie Nederland B.V.;BioMethanol Chemie Nederland B.V.;FARMSUM;258190;294374;266684;255962;353307;217492;433722;409492;274114;1;1;1;1;BU19790831;GM1979;9936.0;9936HD;BU19790831;GM1979;9936.0;9936HD;BU19790831;GM1979;9936.0;9936HD;False;False;False;53.31375260305756;6.962428015125798;WarmteAtlas:CO2emissieETSbedrijven;;;
175;NL-200400207;Nederlandse Gasunie CS Alphen N.V.;N.V. Nederlandse Gasunie;ALPHEN;92;92;84;221;35;70;44;46;0;0;0;0;0;BU17230107;GM1723;5131.0;5131PB;BU17230107;GM1723;5131.0;5131PB;BU17230107;GM1723;5131.0;5131PB;False;False;False;51.51292440794178;4.968180305936801;WarmteAtlas:CO2emissieETSbedrijven;;;
176;NL-200400208;Solidus Solutions Board B.V. locatie Hoogkerk;Solidus Solutions Board B.V.;GRONINGEN;17313;16613;17160;16287;16175;15014;14624;13148;14373;12475;7424;2196;0;BU00140800;GM0014;9745.0;9745BC;BU00140800;GM0014;9745.0;9745BC;BU00140800;GM0014;9745.0;9745BC;False;False;False;53.212567170050804;6.505435427471192;WarmteAtlas:CO2emissieETSbedrijven;;;
177;NL-200400210;Ten Cate Advanced Textiles B.V.;Ten Cate Advanced Textiles B.V.;NIJVERDAL;17821;16310;17210;17542;16533;18376;16251;13602;14427;12283;11193;1864;0;BU01630203;GM0163;7443.0;7443RE;BU01630203;GM0163;7443.0;7443PT;BU01630203;GM0163;7443.0;7443PT;False;False;False;52.367811154600716;6.470998699228563;WarmteAtlas:CO2emissieETSbedrijven;;;
178;NL-200400211;TenCate Outdoor Fabrics B.V.;Ten Cate Outdoor Fabrics B.V.;NIJVERDAL;5828;5158;4926;4895;4492;3530;3232;2148;2741;1153;0;0;0;BU01630405;GM0163;7442.0;7442ZA;BU01630405;GM0163;7442.0;7442ZA;BU01630405;GM0163;7442.0;7442ZA;False;False;False;52.35659648887086;6.4775508675419795;WarmteAtlas:CO2emissieETSbedrijven;;;
179;NL-200400212;Jacobs Douwe Egberts NL B.V.;JACOBS DOUWE EGBERTS NL B.V.;JOURE;12866;10686;9387;8596;9281;9868;15347;13193;14437;13903;13616;12085;12640;BU19401903;GM1940;8501.0;8501ZD;BU19401903;GM1940;8501.0;8501ZD;BU19401903;GM1940;8501.0;8501ZD;False;False;False;52.976039316596676;5.79407524465691;WarmteAtlas:CO2emissieETSbedrijven;;;
180;NL-200400214;DOC Kaas ba, vestiging Alteveerstraat;DOC Kaas B.V.;HOOGEVEEN;18721;15206;9931;0;0;0;0;0;0;0;0;0;0;BU01186204;GM0118;7905.0;7905TC;BU01186204;GM0118;7905.0;7905TC;BU01186204;GM0118;7905.0;7905TC;False;False;False;52.71367853814219;6.521826439602712;WarmteAtlas:CO2emissieETSbedrijven;;;
181;NL-200400215;Cargill Bergen op Zoom BKG 1;Cargill B.V.;BERGEN OP ZOOM;5707;9348;11519;42410;39606;34405;34892;28791;51161;41443;25429;24604;28236;BU07480306;GM0748;4612.0;4612PS;BU07480306;GM0748;4612.0;4612PS;BU07480306;GM0748;4612.0;4612PS;False;False;False;51.507623749620834;4.261652679903896;WarmteAtlas:CO2emissieETSbedrijven;;;
182;NL-200400215a;Cargill Bergen op Zoom BKG 2;Cargill B.V.;BERGEN OP ZOOM;12981;9475;9619;5461;31513;33131;33246;27548;0;0;0;0;0;BU07480306;GM0748;4612.0;4612PS;BU07480306;GM0748;4612.0;4612PS;BU07480306;GM0748;4612.0;4612PS;False;False;False;51.507623749620834;4.261652679903896;WarmteAtlas:CO2emissieETSbedrijven;;;
183;NL-200400216;FrieslandCampina Beilen;FrieslandCampina Nederland B.V.;BEILEN;48559;54149;53045;47986;53669;52554;45161;49417;41542;39344;31781;35229;30512;BU17310000;GM1731;9411.0;9411PZ;BU17310000;GM1731;9411.0;9411PZ;BU17310000;GM1731;9411.0;9411PZ;False;False;False;52.856863831715145;6.5193210682985425;WarmteAtlas:CO2emissieETSbedrijven;;;
184;NL-200400217;Grasdrogerij Hartog B.V.;Grasdrogerij Hartog B.V.;LAMBERTSCHAAG;5441;7521;5260;7334;9034;5487;6920;5350;3179;7;0;0;0;BU04200401;GM0420;1658.0;1658CA;BU04200401;GM0420;1658.0;1658CA;BU04200401;GM0420;1658.0;1658CA;False;False;False;52.751057346333454;5.038767052325004;WarmteAtlas:CO2emissieETSbedrijven;;;
185;NL-200400218;DOC Kaas BV, vestiging Zuivelpark;DOC Kaas B.V.;HOOGEVEEN;47139;46608;49880;45431;46010;45488;42559;38725;44730;47323;41105;40566;41181;BU01186204;GM0118;7905.0;7905TC;BU01186204;GM0118;7905.0;7905TC;BU01186204;GM0118;7905.0;7905TC;False;False;False;52.71367853814219;6.521826439602712;WarmteAtlas:CO2emissieETSbedrijven;;;
186;NL-200400219;ExxonMobil Chemical Holland B.V. (ROP);ExxonMobil Chemical Holland B.V.;EUROPOORT-ROTTERDAM;59024;53022;51551;59802;60302;62154;54950;57781;58163;49934;46772;49802;48320;BU05992307;GM0599;3198.0;3198LH;BU05992307;GM0599;3198.0;3198LR;BU05992307;GM0599;3198.0;3198LR;False;False;False;51.92684462533291;4.184545386950228;WarmteAtlas:CO2emissieETSbedrijven;;;
187;NL-200400220;ExxonMobil Chemical Holland B.V. (RAP);ExxonMobil Chemical Holland B.V.;BOTLEK-ROTTERDAM;427726;391415;447050;391528;474483;429245;452940;87144;0;0;0;0;0;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;BU05992306;GM0599;3197.0;3197KA;False;False;False;51.87030994866415;4.300541975618643;WarmteAtlas:CO2emissieETSbedrijven;;;
188;NL-200400221;Amercentrale;RWE Generation NL B.V.;GEERTRUIDENBERG;5881587;6389014;5669492;3520986;3575313;2251751;1833587;942156;546211;978205;542171;371641;175529;BU07790203;GM0779;4931.0;4931NC;BU07790203;GM0779;4931.0;4931NC;BU07790203;GM0779;4931.0;4931NC;False;False;False;51.70725219744345;4.841943585673772;WarmteAtlas:CO2emissieETSbedrijven;;;
189;NL-200400222;Emmtec Services B.V.;Emmtec Services B.V.;EMMEN;164964;171181;174319;167679;173197;168748;159382;144937;156613;157960;143396;147256;141918;BU01145300;GM0114;7821.0;7821AT;BU01145300;GM0114;7821.0;7821AT;BU01145300;GM0114;7821.0;7821AT;False;False;False;52.77499622537848;6.906986728251183;WarmteAtlas:CO2emissieETSbedrijven;;;
190;NL-200400225;PPG Industries Fiber Glass BV;Electric Glass Fiber NL, B.V.;WESTERBROEK;38785;40810;39908;42477;39010;40422;43013;39330;26565;23620;18763;47;0;BU19520804;GM1952;9608.0;9608PZ;BU19520804;GM1952;9608.0;9608PZ;BU19520804;GM1952;9608.0;9608PZ;False;False;False;53.1751354376977;6.680902179725703;WarmteAtlas:CO2emissieETSbedrijven;;;
191;NL-200400226;Bunge Loders Croklaan B.V.;Bunge Loders Croklaan B.V.;WORMERVEER;19359;18582;18572;18148;18270;19021;18961;18604;18121;16414;14880;15822;12585;BU04795110;GM0479;1521.0;1521AZ;BU04795110;GM0479;1521.0;1521AZ;BU04795110;GM0479;1521.0;1521AZ;False;False;False;52.48424079779089;4.809302863827534;WarmteAtlas:CO2emissieETSbedrijven;;;
192;NL-200400227;Heineken Nederland B.V., locatie Den Bosch;Heineken Netherlands Supply B.V.;'S-HERTOGENBOSCH;18484;17748;18466;18288;19204;17737;15428;13342;12484;11760;8606;7637;5222;BU07961108;GM0796;5222.0;5222AP;BU07961108;GM0796;5222.0;5222AP;BU07961108;GM0796;5222.0;5222AP;False;False;False;51.70040655575139;5.277467246377673;WarmteAtlas:CO2emissieETSbedrijven;;;
193;NL-200400228;Sonac Burgum B.V.;Sonac Burgum B.V.;SUMAR;41412;10671;13525;23162;24640;19939;25575;37463;29540;18557;33385;35861;36720;BU07370600;GM0737;9262.0;9262NC;BU07370600;GM0737;9262.0;9262NC;BU07370600;GM0737;9262.0;9262NC;False;False;False;53.1817842678097;5.993785634530681;WarmteAtlas:CO2emissieETSbedrijven;;;
194;NL-200400229;O-I Manufacturing Netherlands B.V., vestiging Schiedam;O-I Netherlands B.V.;SCHIEDAM;63209;62162;64527;64087;32709;0;0;0;0;0;0;0;0;BU06060104;GM0606;3112.0;3112HD;BU06060104;GM0606;3112.0;3112HD;BU06060104;GM0606;3112.0;3112HD;False;False;False;51.92057065713606;4.40941738828454;WarmteAtlas:CO2emissieETSbedrijven;;;
195;NL-200400230;O-I Manufacturing Netherlands B.V., vestiging Leerdam;O-I Netherlands B.V.;LEERDAM;107068;113733;117830;112948;101739;105311;106992;87949;103091;100588;98712;96214;104525;BU19612408;GM1961;4142.0;4142LD;BU19612408;GM1961;4142.0;4142LD;BU19612408;GM1961;4142.0;4142LD;False;False;False;51.88819005782883;5.085995755483485;WarmteAtlas:CO2emissieETSbedrijven;;;
196;NL-200400231;O-I Manufacturing Netherlands B.V., vestiging Maastricht;O-I Netherlands B.V.;MAASTRICHT;84644;88049;95135;99515;96884;90733;89697;89402;92709;94577;81119;75815;55020;BU09350400;GM0935;6221.0;6221AA;BU09350400;GM0935;6221.0;6221AA;BU09350400;GM0935;6221.0;6221AA;False;False;False;50.860002565174845;5.703668089158248;WarmteAtlas:CO2emissieETSbedrijven;;;
197;NL-200400232;Vlisco Netherlands B.V.;Vlisco Netherlands B.V.;HELMOND;33756;31523;25309;21200;20682;21177;21008;5992;0;0;0;0;0;BU07941004;GM0794;5701.0;5701PH;BU07941004;GM0794;5701.0;5701PH;BU07941004;GM0794;5701.0;5701PH;False;False;False;51.474518389285116;5.655267243189822;WarmteAtlas:CO2emissieETSbedrijven;;;
198;NL-200400234;PURAC Biochem B.V.;Purac Biochem B.V.;GORINCHEM;15556;17858;18294;18488;20865;21827;22105;23850;24172;26362;23639;21605;18906;BU05121409;GM0512;4206.0;4206AC;BU05121409;GM0512;4206.0;4206AC;BU05121409;GM0512;4206.0;4206AC;False;False;False;51.84406444452972;4.9862039549141315;WarmteAtlas:CO2emissieETSbedrijven;;;
199;NL-200400236;Saint-Gobain Construction Products Nederland B.V.;Saint-Gobain Construction Products Nederland B.V.;ETTEN-LEUR;42023;43848;49799;54266;56467;59041;55660;47792;51247;49260;42861;29143;16602;BU07770100;GM0777;4878.0;4878AH;BU07770100;GM0777;4878.0;4878AH;BU07770100;GM0777;4878.0;4878AH;False;False;False;51.56434508364166;4.605199370585892;WarmteAtlas:CO2emissieETSbedrijven;;;
200;NL-200400237;Zwanenberg Food Oss B.V.;Zwanenberg Food Oss B.V.;ALMELO;13557;11899;12018;11211;11005;11405;11176;11240;0;0;0;0;0;BU01411908;GM0141;7609.0;7609RG;BU01411908;GM0141;7609.0;7609RG;BU01411908;GM0141;7609.0;7609RG;False;False;False;52.328694713967714;6.651127700452198;WarmteAtlas:CO2emissieETSbedrijven;;;
201;NL-200400238;Monier Woerden;Monier B.V.;WOERDEN;9895;9495;10850;10359;11368;12271;12920;14210;14985;14565;9825;7031;8041;BU06320106;GM0632;3443.0;3443CA;BU06320106;GM0632;3443.0;3443CA;BU06320106;GM0632;3443.0;3443CA;False;False;False;52.08516642660384;4.868726038126738;WarmteAtlas:CO2emissieETSbedrijven;;;
202;NL-200400239;Monier Tegelen;Monier B.V.;TEGELEN;10515;10467;10550;11091;10676;10273;10765;11801;12680;12815;8731;8374;4168;BU09833202;GM0983;5932.0;5932AC;BU09833202;GM0983;5932.0;5932AC;BU09833202;GM0983;5932.0;5932AC;False;False;False;51.337327920249955;6.141520966958863;WarmteAtlas:CO2emissieETSbedrijven;;;
