waterschap;res_gebied;naamgeving;min_uur;med_uur;gj_exwko;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Vallei en Veluwe;Noord Veluwe;Hattem;166.625;387.5;54747.55;23541.44;Aangeleverd door Waterschap;BU02440109;GM0244;8051;8051KE;BU02440109;GM0244;8051;8051KE;BU02440109;GM0244;8051;8051KE;False;False;False;52.48512450733406;6.040070336671016;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Oijen;591.25;1375.0;194265.5;83534.16;Aangeleverd door Waterschap;BU08282009;GM0828;5394;5394LW;BU08282009;GM0828;5394;5394LW;BU08282009;GM0828;5394;5394LW;False;False;False;51.81222084506408;5.487586571501574;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Chaam;15.7845833333;36.7083333333;5.1;0.0;Aangeleverd door Waterschap;BU17230207;GM1723;4861;4861TA;BU17230207;GM1723;4861;4861TA;BU17230207;GM1723;4861;4861TA;False;False;False;51.51177828617094;4.852482370487898;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Lage zwaluwe;21.9658333333;51.0833333333;7217.25;3103.42;Aangeleverd door Waterschap;BU17190601;GM1719;4926;4926CZ;BU17190601;GM1719;4926;4926CZ;BU17190601;GM1719;4926;4926CZ;False;False;False;51.71687109409496;4.71483060331655;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Nieuwveer;1017.38;2366.0;34277.91;43739.51;Aangeleverd door Waterschap;BU07580609;GM0758;4823;4823ZJ;BU07580609;GM0758;4823;4823ZJ;BU07580609;GM0758;4823;4823ZJ;False;False;False;51.630358452059056;4.707679073812594;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Baarle-Nassau;31.8379166667;74.0416666667;10460.9;4498.18;Aangeleverd door Waterschap;BU07440107;GM0744;5111;5111TA;BU07440107;GM0744;5111;5111TA;BU07440107;GM0744;5111;5111TA;False;False;False;51.44854061131324;4.899124632984633;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;Hart van Brabant;RWZI Waalwijk;153.88625;357.875;50562.01;21741.66;Aangeleverd door Waterschap;BU08670010;GM0867;5145;5145PX;BU08670010;GM0867;5145;5145PX;BU08670010;GM0867;5145;5145PX;False;False;False;51.71130582964813;5.070413892641879;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;Hart van Brabant;RWZI Waspik;30.1716666667;70.1666666667;9913.42;4262.77;Aangeleverd door Waterschap;BU08670202;GM0867;5165;5165NM;BU08670202;GM0867;5165;5165NM;BU08670202;GM0867;5165;5165NM;False;False;False;51.705918468706926;4.941264519552414;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Dongemond;288.458333333;670.833333333;94778.01;40754.54;Aangeleverd door Waterschap;BU08261000;GM0826;4905;4905BP;BU08261000;GM0826;4905;4905BP;BU08261000;GM0826;4905;4905BP;False;False;False;51.67528691731538;4.851200262758725;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Ossendrecht;16.5729166667;38.5416666667;5.36;0.0;Aangeleverd door Waterschap;BU08730208;GM0873;4641;4641JM;BU08730208;GM0873;4641;4641JM;BU08730208;GM0873;4641;4641JM;False;False;False;51.39014121692472;4.320638322229414;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Putte;23.4170833333;54.4583333333;7694.09;3308.45;Aangeleverd door Waterschap;BU08730300;GM0873;4645;4645GZ;BU08730300;GM0873;4645;4645GZ;BU08730300;GM0873;4645;4645GZ;False;False;False;51.365998333836195;4.388738926021403;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Vallei en Veluwe;Stedendriehoek/cleantechregio;Brummen;66.2916666668;154.166666667;21781.28;9365.95;Aangeleverd door Waterschap;BU02130317;GM0213;6971;6971JH;BU02130317;GM0213;6971;6971JH;BU02130317;GM0213;6971;6971JH;False;False;False;52.092955300666674;6.185719377698766;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Willemstad;15.1216666667;35.1666666667;4.89;0.0;Aangeleverd door Waterschap;BU17090909;GM1709;4797;4797SC;BU17090909;GM1709;4797;4797SC;BU17090909;GM1709;4797;4797SC;False;False;False;51.6876816582659;4.455617544577912;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;Hart van Brabant;RWZI Rijen;149.15625;346.875;49007.88;21073.39;Aangeleverd door Waterschap;BU07840113;GM0784;5121;5121PH;BU07840113;GM0784;5121;5121PH;BU07840113;GM0784;5121;5121PH;False;False;False;51.6034258137267;4.9223875690807315;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Nieuw-Vossemeer;8.85083333332;20.5833333333;2.86;0.0;Aangeleverd door Waterschap;BU08510409;GM0851;4681;4681SN;BU08510409;GM0851;4681;4681SN;BU08510409;GM0851;4681;4681SN;False;False;False;51.57379821489662;4.220332459790428;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Dinteloord;21.6970833333;50.4583333333;7128.95;3065.45;Aangeleverd door Waterschap;BU08510309;GM0851;4671;4671RN;BU08510309;GM0851;4671;4671RN;BU08510309;GM0851;4671;4671RN;False;False;False;51.65121281081832;4.361019410843184;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;Hart van Brabant;RWZI Kaatsheuvel;116.010416667;269.791666667;38117.24;16390.41;Aangeleverd door Waterschap;BU08091041;GM0809;5171;5171VH;BU08091041;GM0809;5171;5171VH;BU08091041;GM0809;5171;5171VH;False;False;False;51.65475002911437;4.9972993169717626;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;West-Brabant;RWZI Halsteren;37.1770833333;86.4583333333;12215.17;5252.52;Aangeleverd door Waterschap;BU07480409;GM0748;4661;4661PB;BU07480409;GM0748;4661;4661PB;BU07480409;GM0748;4661;4661PB;False;False;False;51.52763732851347;4.256143603366807;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;Hart van Brabant;RWZI Riel;18.65125;43.375;6.03;0.0;Aangeleverd door Waterschap;BU07852331;GM0785;5133;5133AC;BU07852331;GM0785;5133;5133AC;BU07852331;GM0785;5133;5133AC;False;False;False;51.53426324604157;5.023781941585518;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap De Dommel;Noord-oost Brabant;RWZI ST. OEDENRODE;483.660416668;1124.79166667;58915.06;68333.47;Aangeleverd door Waterschap;BU19480303;GM1948;5492;5492VB;BU19480303;GM1948;5492;5492VB;BU19480303;GM1948;5492;5492VB;False;False;False;51.56116432523864;5.445128699849865;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap De Dommel;Metropoolregio Eindhoven;RWZI SOERENDONK;88.58;206.0;29104.5;12514.93;Aangeleverd door Waterschap;BU17060409;GM1706;6027;6027RC;BU17060409;GM1706;6027;6027RC;BU17060409;GM1706;6027;6027RC;False;False;False;51.31134170242612;5.590608858351208;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap De Dommel;Metropoolregio Eindhoven;RWZI HAPERT;141.04;328.0;46341.15;19926.69;Aangeleverd door Waterschap;BU17280209;GM1728;5527;5527JR;BU17280209;GM1728;5527;5527JR;BU17280209;GM1728;5527;5527JR;False;False;False;51.37746278508631;5.240055772410389;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Vallei en Veluwe;Stedendriehoek/cleantechregio;Terwolde;107.5;250.0;35321.0;15188.03;Aangeleverd door Waterschap;BU02850109;GM0285;7396;7396NB;BU02850109;GM0285;7396;7396BW;BU02850202;GM0285;7396;7396BW;True;False;False;52.26154000960039;6.120816713788874;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap De Dommel;Hart van Brabant;RWZI BIEST-HOUTAKKER;321.783333333;748.333333333;5727.52;45462.83;Aangeleverd door Waterschap;BU07980209;GM0798;5084;5084HW;BU07980209;GM0798;5084;5084HW;BU07980209;GM0798;5084;5084HW;False;False;False;51.50008784375368;5.17187973469966;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap De Dommel;Noord-oost Brabant;RWZI HAAREN;293.95875;683.625;96585.27;41531.66;Aangeleverd door Waterschap;BU08242004;GM0824;5076;5076NA;BU08241701;GM0824;5076;5076NA;BU08241701;GM0824;5076;5076NA;True;False;False;51.586463890135356;5.222790545271608;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap De Dommel;Metropoolregio Eindhoven;RWZI EINDHOVEN;2014.55;4685.0;61915.52;84623.68;Aangeleverd door Waterschap;BU07723370;GM0772;5631;5631AG;BU07723370;GM0772;5631;5631AG;BU07723370;GM0772;5631;5631AG;False;False;False;51.46028553276558;5.503247121588894;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap De Dommel;Noord-oost Brabant;RWZI BOXTEL;504.031666668;1172.16666667;65608.39;71211.6;Aangeleverd door Waterschap;BU07570007;GM0757;5283;5283SC;BU07570007;GM0757;5283;5283SC;BU07570007;GM0757;5283;5283SC;False;False;False;51.60870055808679;5.327657074046705;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap De Dommel;Hart van Brabant;RWZI TILBURG;1914.09125;4451.375;28908.02;70430.46;Aangeleverd door Waterschap;BU08556501;GM0855;5048;5048TD;BU08556501;GM0855;5048;5048TB;BU08556501;GM0855;5048;5048TB;False;False;False;51.60004877457195;5.067584339569449;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Walcheren;0.0;0.0;0.0;0.0;Aangeleverd door Waterschap;BU07180601;GM0718;4389;4389TD;BU07180601;GM0718;4389;4389TD;BU07180601;GM0718;4389;4389TD;False;False;False;51.4435438343867;3.614490177345584;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Willem Annapolder;342.28;796.0;12462.06;48358.68;Aangeleverd door Waterschap;BU06780009;GM0678;4421;4421RT;BU06780009;GM0678;4421;4421RT;BU06780009;GM0678;4421;4421RT;False;False;False;51.45007351528039;3.9347477963256035;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Camperlandpolder;43.7525;101.75;14375.64;6181.52;Aangeleverd door Waterschap;BU16950309;GM1695;4493;4493PD;BU16950309;GM1695;4493;4493PD;BU16950309;GM1695;4493;4493PD;False;False;False;51.57299720484727;3.7341097199021216;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Brabantse Delta;Zeeland;RWZI BATH;1383.70416667;3217.91666667;54640.11;95495.25;Aangeleverd door Waterschap;BU07030409;GM0703;4411;4411PC;BU07030409;GM0703;4411;4411PC;BU07030409;GM0703;4411;4411PC;False;False;False;51.39899796298928;4.249449150764745;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Waarde;77.2925;179.75;25395.79;10920.19;Aangeleverd door Waterschap;BU07030309;GM0703;4414;4414RH;BU07030309;GM0703;4414;4414RH;BU07030309;GM0703;4414;4414RH;False;False;False;51.42635820753435;4.053509160479671;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Land van Cuijk;376.25;875.0;123623.5;53158.1;Aangeleverd door Waterschap;BU19821303;GM1982;5443;5443PL;BU19821303;GM1982;5443;5443PL;BU19821303;GM1982;5443;5443PL;False;False;False;51.69586600213905;5.8937060836766735;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Mastgat;36.9979166667;86.0416666667;12156.31;5227.21;Aangeleverd door Waterschap;BU16760509;GM1676;4311;4311RD;BU16760509;GM1676;4311;4311RD;BU16760509;GM1676;4311;4311RD;False;False;False;51.632169089344394;4.062855518981384;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi De Verseput;60.3970833332;140.458333333;19844.51;8533.14;Aangeleverd door Waterschap;BU16761009;GM1676;4321;4321TD;BU16761009;GM1676;4321;4321TD;BU16761009;GM1676;4321;4321TD;False;False;False;51.67834144178038;3.872639135244112;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Westerschouwen;65.7183333332;152.833333333;21592.9;9284.94;Aangeleverd door Waterschap;BU16761208;GM1676;4328;4328NP;BU16761208;GM1676;4328;4328NP;BU16761208;GM1676;4328;4328NP;False;False;False;51.69009474668677;3.7629422223519993;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Sint Maartensdijk;46.0995833332;107.208333333;15146.82;6513.13;Aangeleverd door Waterschap;BU07160309;GM0716;4695;4695PP;BU07160309;GM0716;4695;4695PP;BU07160309;GM0716;4695;4695PP;False;False;False;51.555042762365076;4.07454181291422;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Tholen;31.1391666667;72.4166666667;10231.31;4399.46;Aangeleverd door Waterschap;BU07160000;GM0716;4691;4691RZ;BU07160000;GM0716;4691;4691RZ;BU07160000;GM0716;4691;4691RZ;False;False;False;51.54104871993535;4.232003959453946;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Hulst;46.1533333332;107.333333333;15164.48;6520.72;Aangeleverd door Waterschap;BU06770303;GM0677;4567;4567PJ;BU06770303;GM0677;4567;4567PJ;BU06770303;GM0677;4567;4567PJ;False;False;False;51.279400693249855;4.075594322783597;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Kloosterzande;19.9233333333;46.3333333333;6.44;0.0;Aangeleverd door Waterschap;BU06771501;GM0677;4588;4588KH;BU06771501;GM0677;4588;4588KH;BU06771501;GM0677;4588;4588KH;False;False;False;51.37618663163887;4.024589180562258;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Terneuzen;68.9433333332;160.333333333;22652.53;9740.58;Aangeleverd door Waterschap;BU07152204;GM0715;4538;4538BJ;BU07152204;GM0715;4538;4538BJ;BU07152204;GM0715;4538;4538BJ;False;False;False;51.29663637842804;3.8385439813305124;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Breskens;29.24;68.0;9607.31;4131.14;Aangeleverd door Waterschap;BU17141009;GM1714;4511;4511PR;BU17141009;GM1714;4511;4511PR;BU17141009;GM1714;4511;4511PR;False;False;False;51.38551196972489;3.5858396341991505;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Retranchement;29.2579166667;68.0416666667;9613.19;4133.67;Aangeleverd door Waterschap;BU17140109;GM1714;4525;4525ND;BU17140109;GM1714;4525;4525ND;BU17140109;GM1714;4525;4525ND;False;False;False;51.36412376449775;3.3801874796791145;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Vinkel;125.416666667;291.666666667;41207.83;17719.36;Aangeleverd door Waterschap;BU07961499;GM0796;5382;5382JK;BU07961499;GM0796;5382;5382JK;BU07961499;GM0796;5382;5382JK;False;False;False;51.7008874062784;5.4471228565957235;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Scheldestromen;Zeeland;rwzi Oostburg;28.0395833333;65.2083333333;9212.89;3961.54;Aangeleverd door Waterschap;BU17140509;GM1714;4501;4501PK;BU17140509;GM1714;4501;4501PK;BU17140509;GM1714;4501;4501PK;False;False;False;51.3391368266224;3.5022235954812597;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Den Bosch;746.05;1735.0;45127.71;5404.92;Aangeleverd door Waterschap;BU07961203;GM0796;5221;5221CD;BU07961203;GM0796;5221;5221CD;BU07961203;GM0796;5221;5221CD;False;False;False;51.72061620443044;5.281902731057455;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Dinther;537.5;1250.0;176605.0;75940.14;Aangeleverd door Waterschap;BU17210504;GM1721;5473;5473XL;BU17210504;GM1721;5473;5473XL;BU17210504;GM1721;5473;5473XL;False;False;False;51.63525196233995;5.529918363552972;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Aa en Maas;Metropoolregio Eindhoven;R.W.Z.I. Aarle-Rixtel;680.833333332;1583.33333333;23699.66;96190.85;Aangeleverd door Waterschap;BU16590109;GM1659;5735;5735SC;BU16590109;GM1659;5735;5735SC;BU16590109;GM1659;5735;5735SC;False;False;False;51.503674635384975;5.662607581579918;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Aa en Maas;Metropoolregio Eindhoven;R.W.Z.I. Asten;163.4;380.0;53687.92;23085.8;Aangeleverd door Waterschap;BU07430702;GM0743;5721;5721TC;BU07430702;GM0743;5721;5721TC;BU07430702;GM0743;5721;5721TC;False;False;False;51.39233906635029;5.744614859849256;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
Waterschap Noorderzijlvest;Groningen;Garmerwolde;1802.78;4240.0;99044.12;54703.96;Aangepast in 2025 na het opheffen van  RWZI Hoogkerk;BU00141502;GM0014;9798;9798TC;BU00141502;GM0014;9798;9798TC;BU00141502;GM0014;9798;9798TC;False;False;False;53.248260153300144;6.670431970708313;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Horstermeer;334.54;778.0;9918.95;47265.14;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;BU16960603;GM1696;1394;1394AH;BU16960603;GM1696;1394;1394AH;BU16960603;GM1696;1394;1394AH;False;False;False;52.25803132789376;5.085664232994243;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Amstelveen;424.84;988.0;39588.59;60023.09;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;BU03620701;GM0362;1183;1183TN;BU03620701;GM0362;1183;1183TN;BU03620701;GM0362;1183;1183TN;False;False;False;52.313064325158834;4.889959309549635;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Weesp;133.3;310.0;43798.03;18833.15;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;BU0363SC01;GM0363;1382;1382JT;BU0363SC01;GM0363;1382;1382JT;BU0363SC01;GM0363;1382;1382JT;False;False;False;52.318460271348435;5.020326190319431;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;WZI Amsterdam-West;3324.33;7731.0;92266.64;69674.63;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;BU0363FA02;GM0363;1046;1046BS;BU0363FA02;GM0363;1046;1046BS;BU0363FA02;GM0363;1046;1046BS;False;False;False;52.39853247711351;4.787161575032389;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Amsterdam-Westpoort;735.3;1710.0;41595.61;3886.12;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;BU0363BA02;GM0363;1045;1045AR;BU0363BA02;GM0363;1045;1045AR;BU0363BA02;GM0363;1045;1045AR;False;False;False;52.41321289568721;4.802233947075692;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Uithoorn;111.37;259.0;36592.55;15734.79;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;BU04517500;GM0451;1422;1422AJ;BU04517500;GM0451;1422;1422AJ;BU04517500;GM0451;1422;1422AJ;False;False;False;52.23978288908446;4.8319356512488705;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Huizen;154.8;360.0;50862.24;21870.76;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;BU04060512;GM0406;1271;1271AA;BU04060512;GM0406;1271;1271AA;BU04060512;GM0406;1271;1271AA;False;False;False;52.31022944923948;5.24089105186174;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Hilversum (HH Amstel, Gooi en Vecht);153.08;356.0;50297.1;21627.75;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;BU04020902;GM0402;1223;1223MP;BU04020902;GM0402;1223;1223MP;BU04020902;GM0402;1223;1223MP;False;False;False;52.22502573196016;5.208387173093924;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Blaricum;165.55;385.0;54394.34;23389.56;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;BU03760102;GM0376;1261;1261JL;BU03760102;GM0376;1261;1261JL;BU03760102;GM0376;1261;1261JL;False;False;False;52.264529644139955;5.2507385304888725;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
HH Amstel, Gooi en Vecht;U10/U16;RWZI Loenen aan de Vecht;26.66;62.0;8759.6;3766.63;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;BU19040301;GM1904;3632;3632AM;BU19040301;GM1904;3632;3632AM;BU19040301;GM1904;3632;3632AM;False;False;False;52.22464750491519;5.008551971531914;WarmteAtlas:TEA_assets_zonder_wko;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:57;
