gml_id;bronactualiteit;type;opp_m2;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
nl.top10nl.118401654;2016-01-01;transformatorstation;11850;BU18950008;GM1895;9672.0;9672DC;BU18950008;GM1895;9672.0;9672DC;BU18950008;GM1895;9672.0;9672DC;False;False;False;53.135693213582606;7.059795427762159;MULTIPOLYGON (((7.05879 53.136064, 7.060193 53.136129, 7.060694 53.136152, 7.060805 53.135323, 7.058893 53.135235, 7.05879 53.136064)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118433818;2011-01-01;watermolen;35;BU19493500;GM1949;9036.0;9036LC;BU19493500;GM1949;9036.0;9036LC;BU19493500;GM1949;9036.0;9036LC;False;False;False;53.20914389829512;5.676930346640514;MULTIPOLYGON (((5.676939 53.209114, 5.67693 53.209114, 5.676921 53.209114, 5.676913 53.209116, 5.676905 53.209118, 5.676898 53.209121, 5.676892 53.209125, 5.676887 53.209129, 5.676883 53.209134, 5.676881 53.209139, 5.67688 53.209144, 5.676881 53.209149, 5.676883 53.209154, 5.676887 53.209159, 5.676892 53.209163, 5.676898 53.209167, 5.676905 53.20917, 5.676913 53.209172, 5.676922 53.209174, 5.676931 53.209174, 5.676939 53.209174, 5.676948 53.209172, 5.676956 53.20917, 5.676963 53.209167, 5.676969 53.209163, 5.676974 53.209159, 5.676978 53.209154, 5.67698 53.209149, 5.676981 53.209144, 5.67698 53.209139, 5.676977 53.209133, 5.676974 53.209129, 5.676969 53.209124, 5.676962 53.209121, 5.676955 53.209118, 5.676947 53.209116, 5.676939 53.209114)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118454076;2010-01-01;elektriciteitscentrale;1630;BU01091013;GM0109;7742.0;7742SX;BU01091013;GM0109;7742.0;7742SX;BU01091013;GM0109;7742.0;7742SX;False;False;False;52.6461187859623;6.743516190328629;MULTIPOLYGON (((6.743843 52.645916, 6.743434 52.645839, 6.743189 52.646322, 6.743599 52.646398, 6.743843 52.645916)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118460519;2018-01-01;transformatorstation;45715;BU00740110;GM0074;8447.0;8447SB;BU00740110;GM0074;8447.0;8447SB;BU00740110;GM0074;8447.0;8447SB;False;False;False;52.97298074957461;5.871444326034299;MULTIPOLYGON (((5.873672 52.972437, 5.869581 52.972063, 5.869429 52.972667, 5.869213 52.973521, 5.873306 52.973901, 5.87352 52.973045, 5.873672 52.972437)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118472280;2016-01-01;transformatorstation;10037;BU19520603;GM1952;9606.0;9606PG;BU19520603;GM1952;9606.0;9606PG;BU19520603;GM1952;9606.0;9606PG;False;False;False;53.159961935525935;6.721129693003066;MULTIPOLYGON (((6.721999 53.159596, 6.721342 53.159576, 6.721344 53.159563, 6.720326 53.15953, 6.720267 53.160193, 6.720293 53.16021, 6.720278 53.160339, 6.721927 53.160389, 6.721956 53.160036, 6.722048 53.160012, 6.722052 53.159956, 6.721967 53.159904, 6.721999 53.159596)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118473405;2017-07-01;windmolen;163;BU04791620;GM0479;1509.0;1509BR;BU04791620;GM0479;1509.0;1509BR;BU04791620;GM0479;1509.0;1509BR;False;False;False;52.4706204342095;4.815022218774282;MULTIPOLYGON (((4.814918 52.470646, 4.814985 52.470685, 4.815065 52.470686, 4.81512 52.470644, 4.815126 52.47058, 4.815061 52.470558, 4.814992 52.470558, 4.814916 52.470594, 4.814918 52.470646)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118473436;2009-01-01;windmolen;131;BU04791620;GM0479;1509.0;1509BT;BU04791620;GM0479;1509.0;1509BT;BU04791620;GM0479;1509.0;1509BT;False;False;False;52.476004406458934;4.817541103714828;MULTIPOLYGON (((4.817585 52.47595, 4.817531 52.475947, 4.817488 52.475956, 4.817459 52.475973, 4.81744 52.476008, 4.817459 52.47604, 4.817515 52.47606, 4.817567 52.476061, 4.817605 52.476052, 4.81763 52.476026, 4.817635 52.476, 4.817627 52.475976, 4.817607 52.475957, 4.817585 52.47595)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118473554;2009-01-01;windmolen;129;BU04791620;GM0479;1509.0;1509BT;BU04791620;GM0479;1509.0;1509BT;BU04791620;GM0479;1509.0;1509BT;False;False;False;52.47805473347279;4.81327087929335;MULTIPOLYGON (((4.813359 52.478015, 4.813265 52.477995, 4.813236 52.477997, 4.813193 52.478026, 4.813179 52.478052, 4.813178 52.478084, 4.81324 52.478116, 4.813311 52.478105, 4.813344 52.478093, 4.813359 52.478067, 4.813364 52.478038, 4.813359 52.478015)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118474256;2016-01-01;transformatorstation;24266;BU00470006;GM0047;9641.0;9641KN;BU00470006;GM0047;9641.0;9641KN;BU00470006;GM0047;9641.0;9641KN;False;False;False;53.09084211180511;6.88021866738587;MULTIPOLYGON (((6.878776 53.09034, 6.879739 53.091801, 6.880521 53.091617, 6.881657 53.091351, 6.880704 53.089882, 6.88059 53.089907, 6.878776 53.09034)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.118476299;2016-01-01;transformatorstation;6495;BU17730728;GM1773;8121.0;8121RZ;BU17730728;GM1773;8121.0;8121RZ;BU17730728;GM1773;8121.0;8121RZ;False;False;False;52.35762958675373;6.126475538508524;MULTIPOLYGON (((6.125999 52.357277, 6.125767 52.357984, 6.125899 52.358003, 6.126143 52.358002, 6.126646 52.35799, 6.127132 52.35781, 6.127097 52.357258, 6.127097 52.357255, 6.125999 52.357277)));WarmteAtlas:EnergieTopo;;;
