PK_UID;type_leid0;jaar;diameter;materiaal;soort_lei0;effluent_z;effluent_w;Shape_Leng;wp_gj_z;wp_gj_w;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;waterschap;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
2;onbekend;0;0;;Effluentleiding;30000;32000;213.704464;627.0;627.0;Waterschap Aa en Maas;228855.0;176626.0;'s-Hertogenbosch;Noord-oost Brabant;1935;3750;774;1500;Noord-Brabant;Waterschap Aa en Maas;BU07961203;GM0796;5221.0;5221CD;BU07961203;GM0796;5221.0;5221CD;BU07961203;GM0796;5221.0;5221CD;False;False;False;51.722318272239036;5.276923559718274;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
20;1;0;0;;Effluentleiding;1072;1211;5.484801;22.4048;22.4048;Waterschap Brabantse Delta;8177.75;6311.43;Steenbergen;West-Brabant;73;138;29;55;Noord-Brabant;Waterschap Brabantse Delta;BU08510309;GM0851;n.a.;n.a.;BU08510309;GM0851;n.a.;n.a.;BU08510309;GM0851;n.a.;n.a.;False;False;False;51.65178709132203;4.359199088326837;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
21;1;0;0;;Effluentleiding;1072;1211;50.491384;22.4048;22.4048;Waterschap Brabantse Delta;8177.75;6311.43;Steenbergen;West-Brabant;73;138;29;55;Noord-Brabant;Waterschap Brabantse Delta;BU08510309;GM0851;4671.0;4671TH;BU08510309;GM0851;4671.0;4671TH;BU08510309;GM0851;4671.0;4671TH;False;False;False;51.65116429238234;4.360293743855582;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
22;0;0;0;;Effluentleiding;365;494;18.513837;7.6285;7.6285;Waterschap Brabantse Delta;2784.4;2148.95;Steenbergen;West-Brabant;30;52;12;21;Noord-Brabant;Waterschap Brabantse Delta;BU08510409;GM0851;4681.0;4681SN;BU08510409;GM0851;4681.0;4681SN;BU08510409;GM0851;4681.0;4681SN;False;False;False;51.574024603733044;4.220607367083892;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
23;1;0;0;;Effluentleiding;1072;1211;93.629359;22.4048;22.4048;Waterschap Brabantse Delta;8177.75;6311.43;Steenbergen;West-Brabant;73;138;29;55;Noord-Brabant;Waterschap Brabantse Delta;BU08510309;GM0851;4671.0;4671TH;BU08510309;GM0851;4671.0;4671TH;BU08510309;GM0851;4671.0;4671TH;False;False;False;51.65142228988827;4.359609807133276;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
24;3;0;0;;Effluentleiding;6340;6475;30.086852;132.506;132.506;Waterschap Brabantse Delta;48364.7;37326.9;Loon op Zand;Hart van Brabant;392;775;157;310;Noord-Brabant;Waterschap Brabantse Delta;BU08091041;GM0809;5171.0;5171VH;BU08091041;GM0809;5171.0;5171VH;BU08091041;GM0809;5171.0;5171VH;False;False;False;51.656193599982295;4.997347867132652;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
25;3;0;0;;Effluentleiding;6340;6475;15.499584;132.506;132.506;Waterschap Brabantse Delta;48364.7;37326.9;Loon op Zand;Hart van Brabant;392;775;157;310;Noord-Brabant;Waterschap Brabantse Delta;BU08091041;GM0809;5171.0;5171VH;BU08091041;GM0809;5171.0;5171VH;BU08091041;GM0809;5171.0;5171VH;False;False;False;51.65627821774966;4.997153181533607;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
26;3;0;0;;Effluentleiding;1593;2075;103.673381;33.2937;33.2937;Waterschap Brabantse Delta;12152.2;9378.84;Bergen op Zoom;West-Brabant;126;222;50;89;Noord-Brabant;Waterschap Brabantse Delta;BU07480409;GM0748;4661.0;4661PB;BU07480409;GM0748;4661.0;4661PB;BU07480409;GM0748;4661.0;4661PB;False;False;False;51.52759672502845;4.255003609159882;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
27;3;0;0;;Effluentleiding;1593;2075;143.11487;33.2937;33.2937;Waterschap Brabantse Delta;12152.2;9378.84;Bergen op Zoom;West-Brabant;126;222;50;89;Noord-Brabant;Waterschap Brabantse Delta;BU07480409;GM0748;4661.0;4661PB;BU07480409;GM0748;4661.0;4661PB;BU07480409;GM0748;4661.0;4661PB;False;False;False;51.52771936540973;4.253274529899665;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
28;3;0;0;;Effluentleiding;1078;1041;181.108793;22.5302;22.5302;Waterschap Brabantse Delta;8223.52;6346.76;Goirle;Hart van Brabant;63;128;25;51;Noord-Brabant;Waterschap Brabantse Delta;BU07852331;GM0785;5133.0;5133AC;BU07852331;GM0785;5133.0;5133AC;BU07852331;GM0785;5133.0;5133AC;False;False;False;51.534643206257165;5.025150465531305;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
