diam;ash;kw;x;y;land;naam;wt_type;gem_naam;prov_naam;ondergrond;lat;lon;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd
52.0;40.0;850.0;161899.0039;570233.1445;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.11883006911105;5.490252008733077;BU19001309;GM1900;BU19001309;GM1900;BU19001309;GM1900;False;False
70.0;98.0;1800.0;277344.036121;570303.934853;Duitsland;n.a.;n.a.;n.a.;n.a.;land;53.10557677371982;7.21414122818347;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
13.0;15.0;15.0;209745.630005;570429.100098;Nederland;n.a.;EAZ wind;Westerkwartier;Groningen;land;53.117844056834464;6.204892176471794;BU19691107;GM1969;BU19691107;GM1969;BU19691107;GM1969;False;False
70.0;98.0;1800.0;277014.822822;570516.640255;Duitsland;n.a.;n.a.;n.a.;n.a.;land;53.10756218791691;7.209307837016994;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
13.0;15.0;15.0;164855.005922;570546.616178;Nederland;n.a.;EAZ wind;Súdwest-Fryslân;Fryslân;land;53.12160069556808;5.534412883461524;BU19001400;GM1900;BU19001400;GM1900;BU19001400;GM1900;False;False
130.0;135.0;4200.0;257167.8;570586.8;Nederland;n.a.;n.a.;Veendam;Groningen;land;53.11233354961305;6.913057054470641;BU00470109;GM0047;BU00470109;GM0047;BU00470109;GM0047;False;False
13.0;15.0;15.0;250879.718085;570611.264762;Nederland;n.a.;EAZ wind;Veendam;Groningen;land;53.11371253858475;6.819182665326847;BU00470100;GM0047;BU00470100;GM0047;BU00470100;GM0047;False;False
70.0;98.0;1800.0;277396.562492;570620.7599;Duitsland;n.a.;n.a.;n.a.;n.a.;land;53.10841057291912;7.215045144626508;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
52.0;41.5;850.0;158120.7057;570642.226;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.12254132299411;5.433822604724185;BU19001307;GM1900;BU19001307;GM1900;BU19001307;GM1900;False;False
70.0;98.0;1800.0;277843.452424;570698.750347;Duitsland;n.a.;n.a.;n.a.;n.a.;land;53.10900909387296;7.2217452188075715;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
13.0;15.0;15.0;256583.257507;570735.204102;Nederland;n.a.;EAZ wind;Veendam;Groningen;land;53.11377756504932;6.904376669157199;BU00470109;GM0047;BU00470109;GM0047;BU00470109;GM0047;False;False
44.0;35.0;750.0;172320.6087;570751.7899;Nederland;n.a.;n.a.;Leeuwarden;Fryslân;land;53.123255289529176;5.645937880330678;BU00808117;GM0080;BU00808117;GM0080;BU00808117;GM0080;False;False
31.0;30.0;300.0;167217.1319;570777.2029;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.12362410613478;5.569704892923518;BU19002014;GM1900;BU19002014;GM1900;BU19002014;GM1900;False;False
13.0;15.0;15.0;174602.850626;570803.288322;Nederland;n.a.;EAZ wind;Súdwest-Fryslân;Fryslân;land;53.123639532386456;5.680032134400826;BU19002015;GM1900;BU19002015;GM1900;BU19002015;GM1900;False;False
70.0;98.0;1800.0;277651.893708;570803.525557;Duitsland;n.a.;n.a.;n.a.;n.a.;land;53.1099939633052;7.21892565474416;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
70.0;98.0;1800.0;277035.795974;570810.073731;Duitsland;n.a.;n.a.;n.a.;n.a.;land;53.11019308508302;7.2097316521247095;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
48.0;36.0;750.0;169767.7254;570859.97;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.12430369415513;5.607808823546917;BU19002011;GM1900;BU19002011;GM1900;BU19002011;GM1900;False;False
70.0;98.0;1800.0;277417.139453;570942.865131;Duitsland;n.a.;n.a.;n.a.;n.a.;land;53.11129907111549;7.215474260454039;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
13.0;15.0;15.0;268793.172006;570962.688412;Nederland;n.a.;EAZ wind;Westerwolde;Groningen;land;53.11337319617796;7.0867413726340756;BU19500200;GM1950;BU19500200;GM1950;BU19500200;GM1950;False;False
13.0;15.0;15.0;170696.547399;570986.888106;Nederland;n.a.;EAZ wind;Súdwest-Fryslân;Fryslân;land;53.125417782445346;5.621689716146116;BU19002011;GM1900;BU19002011;GM1900;BU19002011;GM1900;False;False
130.0;135.0;4200.0;257129.8;571045.2;Nederland;n.a.;n.a.;Veendam;Groningen;land;53.116458692235305;6.912634590144591;BU00470109;GM0047;BU00470109;GM0047;BU00470109;GM0047;False;False
13.0;15.0;15.0;210660.367126;571066.589111;Nederland;n.a.;EAZ wind;Westerkwartier;Groningen;land;53.12347789255393;6.218663228588794;BU19691107;GM1969;BU19691107;GM1969;BU19691107;GM1969;False;False
92.0;138.0;2350.0;277141.727721;571069.073484;Duitsland;n.a.;n.a.;n.a.;n.a.;land;53.11249538071093;7.211410764413108;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False
48.0;36.0;750.0;166354.1935;571097.409;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.12652036303577;5.556825768421912;BU19002014;GM1900;BU19002014;GM1900;BU19002014;GM1900;False;False
48.0;36.0;750.0;167786.2348;571105.8238;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.12656375628997;5.578219043974912;BU19002014;GM1900;BU19002014;GM1900;BU19002014;GM1900;False;False
16.0;20.0;80.0;157805.715885;571174.196046;Nederland;n.a.;BW80;Súdwest-Fryslân;Fryslân;land;53.12732324694133;5.429122094313622;BU19001307;GM1900;BU19001307;GM1900;BU19001307;GM1900;False;False
16.0;20.0;80.0;157742.28915;571179.622933;Nederland;n.a.;BW80;Súdwest-Fryslân;Fryslân;land;53.127372340972165;5.4281746018758295;BU19001307;GM1900;BU19001307;GM1900;BU19001307;GM1900;False;False
13.0;15.0;15.0;165519.450466;571201.37313;Nederland;n.a.;EAZ wind;Súdwest-Fryslân;Fryslân;land;53.12747158035978;5.544359104561935;BU19001407;GM1900;BU19001407;GM1900;BU19001407;GM1900;False;False
16.0;20.0;45.0;162375.403119;571225.591873;Nederland;n.a.;BW45;Súdwest-Fryslân;Fryslân;land;53.1277416615814;5.497390280747656;BU19001309;GM1900;BU19001309;GM1900;BU19001309;GM1900;False;False
13.0;15.0;15.0;231666.778505;571390.189848;Nederland;n.a.;EAZ wind;Tynaarlo;Drenthe;land;53.123796829636376;6.532482135495304;BU17301100;GM1730;BU17301100;GM1730;BU17301100;GM1730;False;False
13.0;15.0;15.0;176436.0;571509.0;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.12991075417063;5.707461960957354;BU00808104;GM0080;BU00808104;GM0080;BU00808104;GM0080;False;False
48.0;36.0;750.0;167992.9593;571523.9263;Nederland;n.a.;n.a.;Súdwest-Fryslân;Fryslân;land;53.13031575672898;5.5813240923741265;BU19002014;GM1900;BU19002014;GM1900;BU19002014;GM1900;False;False
13.0;15.0;15.0;172475.615841;571539.597841;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.130329290904676;5.648295965901906;BU00808117;GM0080;BU00808117;GM0080;BU00808117;GM0080;False;False
13.0;15.0;15.0;176451.950244;571634.204671;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.13103516586266;5.707708575869493;BU00808104;GM0080;BU00808104;GM0080;BU00808104;GM0080;False;False
14.0;15.0;10.0;181234.029848;571647.260891;Nederland;n.a.;BW10;Leeuwarden;Fryslân;land;53.13094001683419;5.779154500463118;BU00808102;GM0080;BU00808102;GM0080;BU00808102;GM0080;False;False
14.0;20.0;25.0;171316.711561;571690.143625;Nederland;n.a.;SWP25-14TG20;Waadhoeke;Fryslân;land;53.13171854840825;5.630989502090686;BU19495300;GM1949;BU19495300;GM1949;BU19495300;GM1949;False;False
13.0;15.0;15.0;166099.955378;571700.27335;Nederland;n.a.;EAZ wind;Súdwest-Fryslân;Fryslân;land;53.131942882001105;5.5530485012855495;BU19002014;GM1900;BU19002014;GM1900;BU19002014;GM1900;False;False
13.0;15.0;15.0;181999.127987;571714.073885;Nederland;n.a.;EAZ wind;Leeuwarden;Fryslân;land;53.1315024266528;5.790590704531371;BU00808102;GM0080;BU00808102;GM0080;BU00808102;GM0080;False;False
13.0;15.0;15.0;210716.473999;571755.737122;Nederland;n.a.;EAZ wind;Westerkwartier;Groningen;land;53.12966408811891;6.219620172289711;BU19691108;GM1969;BU19691108;GM1969;BU19691108;GM1969;False;False
13.0;15.0;15.0;213671.208206;571963.615378;Nederland;n.a.;n.a.;Westerkwartier;Groningen;land;53.13121705886101;6.263797283063241;BU19691209;GM1969;BU19691209;GM1969;BU19691209;GM1969;False;False
13.0;15.0;15.0;211435.836578;572020.094792;Nederland;n.a.;EAZ wind;Westerkwartier;Groningen;land;53.1319641963415;6.230412657396076;BU19691107;GM1969;BU19691107;GM1969;BU19691107;GM1969;False;False
16.0;20.0;45.0;163149.46333;572043.076184;Nederland;n.a.;BW45;Súdwest-Fryslân;Fryslân;land;53.13507618363879;5.508974807556613;BU19001309;GM1900;BU19001309;GM1900;BU19001309;GM1900;False;False
