P50;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
5.07143;BU00889998;GM0088;BU00889998;GM0088;BU00889998;GM0088;False;False;53.539773517012065;6.344987510292885;MULTIPOLYGON (((6.337347 53.535341, 6.337547 53.544325, 6.352629 53.544205, 6.352427 53.535222, 6.337347 53.535341)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
5.611463;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.539652844099244;6.360068548777082;MULTIPOLYGON (((6.352427 53.535222, 6.352629 53.544205, 6.367712 53.544084, 6.367506 53.5351, 6.352427 53.535222)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.259441;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53953028654258;6.375149489273242;MULTIPOLYGON (((6.367506 53.5351, 6.367712 53.544084, 6.382794 53.54396, 6.382585 53.534977, 6.367506 53.5351)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.272816;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.539405844367224;6.390230330263833;MULTIPOLYGON (((6.382585 53.534977, 6.382794 53.54396, 6.397877 53.543835, 6.397665 53.534851, 6.382585 53.534977)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.646883;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53927951759885;6.4053110702313845;MULTIPOLYGON (((6.397665 53.534851, 6.397877 53.543835, 6.412959 53.543707, 6.412744 53.534724, 6.397665 53.534851)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
7.377125;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53915130626341;6.420391707658494;MULTIPOLYGON (((6.412744 53.534724, 6.412959 53.543707, 6.428041 53.543578, 6.427823 53.534595, 6.412744 53.534724)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
7.495982;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.5390212103874;6.435472241027831;MULTIPOLYGON (((6.427823 53.534595, 6.428041 53.543578, 6.443123 53.543447, 6.442902 53.534464, 6.427823 53.534595)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
8.218365;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.538889229997444;6.4505526688221355;MULTIPOLYGON (((6.442902 53.534464, 6.443123 53.543447, 6.458205 53.543314, 6.45798 53.534331, 6.442902 53.534464)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
8.558187;BU19660901;GM1966;BU19660901;GM1966;BU19660901;GM1966;False;False;53.538755365120835;6.465632989524212;MULTIPOLYGON (((6.45798 53.534331, 6.458205 53.543314, 6.473287 53.543179, 6.473059 53.534196, 6.45798 53.534331)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
8.937031;BU19660901;GM1966;BU19660901;GM1966;BU19660901;GM1966;False;False;53.5386196157851;6.480713201616941;MULTIPOLYGON (((6.473059 53.534196, 6.473287 53.543179, 6.488369 53.543043, 6.488138 53.534059, 6.473059 53.534196)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
