X;Y;BronNaam;BronTemp;TypeBron;MWth;Status;CapFactor;VolFactor;ProdKost;UitMin;UitMax;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
261832;576350;Vleeswarenfabriek Scheemda BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU18950603;GM1895;9679.0;9679TG;BU18950603;GM1895;9679.0;9679TG;BU18950603;GM1895;9679.0;9679TG;False;False;False;53.16319658496701;6.984597587392928;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
196245;496143;McCain Foods Europe BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU02690103;GM0269;8091.0;8091BS;BU02690103;GM0269;8091.0;8091BS;BU02690103;GM0269;8091.0;8091BS;False;False;False;52.4514970834791;5.993938285124643;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
204557;483134;Hogeslag Olst Holding BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU17730113;GM1773;8121.0;8121BZ;BU17730113;GM1773;8121.0;8121BZ;BU17730113;GM1773;8121.0;8121BZ;False;False;False;52.33389686531343;6.11428194298249;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
225236;502681;Hyproca Dairy BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU01750114;GM0175;7731.0;7731AH;BU01750114;GM0175;7731.0;7731AH;BU01750114;GM0175;7731.0;7731AH;False;False;False;52.507297775943;6.421731314353293;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
237366;446093;Koffiebranderij Beukenhorst BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU15860113;GM1586;7131.0;7131PE;BU15860113;GM1586;7131.0;7131PE;BU15860113;GM1586;7131.0;7131PE;False;False;False;51.997097293115395;6.586574823292109;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
119836;404727;Banketbakkerij Merba BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08260801;GM0826;4902.0;4902VR;BU08260801;GM0826;4902.0;4902VR;BU08260801;GM0826;4902.0;4902VR;False;False;False;51.63029745861172;4.879324368279849;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
119608;404117;D8hler Holland BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08260800;GM0826;4903.0;4903RG;BU08260800;GM0826;4903.0;4903RG;BU08260800;GM0826;4903.0;4903RG;False;False;False;51.62480028587091;4.876093285738261;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
120247;404591;De Kroes BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08260801;GM0826;4902.0;4902TT;BU08260801;GM0826;4902.0;4902TT;BU08260801;GM0826;4902.0;4902TT;False;False;False;51.62910066280064;4.885273800248873;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
119682;404717;Delcave Van Gastel Wijnen BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU08260801;GM0826;4902.0;4902VR;BU08260801;GM0826;4902.0;4902VR;BU08260801;GM0826;4902.0;4902VR;False;False;False;51.63019790316372;4.877101225868759;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
216310;556046;Continental Candy Industries Oosterwolde BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU00851117;GM0085;8431.0;8431EX;BU00851117;GM0085;8431.0;8431EX;BU00851117;GM0085;8431.0;8431EX;False;False;False;52.98790149577351;6.300206656097456;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
119384;494018;Royaan BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU04310000;GM0431;1511.0;1511JZ;BU04310000;GM0431;1511.0;1511JZ;BU04310000;GM0431;1511.0;1511JZ;False;False;False;52.43279598965052;4.863498623850072;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
126403;524806;Teeling Petfood Opmeer BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU04320109;GM0432;1716.0;1716KE;BU04320109;GM0432;1716.0;1716KE;BU04320109;GM0432;1716.0;1716KE;False;False;False;52.70989793451903;4.964057975284465;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
