codering;categorie;scenario;jaar;ev_aantal;totaal
BU05051103;bestelauto;low;2025;2.150533511253488;0.0
BU05051104;bestelauto;low;2025;1.8941602402799576;0.0
BU05051105;bestelauto;low;2025;3.5392899295622327;0.0
BU05051106;bestelauto;low;2025;3.354609007407848;0.0
BU05051107;bestelauto;low;2025;0.8032411820858862;0.0
BU05051108;bestelauto;low;2025;1.3146073846469577;0.0
BU05051109;bestelauto;low;2025;3.99987781323734;0.0
BU05051110;bestelauto;low;2025;2.914146977134882;0.0
BU05051111;bestelauto;low;2025;2.343897712533291;0.0
BU05051900;bestelauto;low;2025;1.4244817039532638;1.0
BU05051901;bestelauto;low;2025;9.903817786162108;6.0
BU05051905;bestelauto;low;2025;5.192852874106689;3.0
BU05051914;bestelauto;low;2025;3.068062512573566;0.0
BU05051915;bestelauto;low;2025;2.194113469369664;1.0
BU05059800;bestelauto;low;2025;0.010388600780624;0.0
BU05059804;bestelauto;low;2025;4.147347552771812;0.0
BU00140000;bestelauto;low;2025;19.07886262728364;1.0
BU00140005;bestelauto;low;2025;8.902333705603795;8.0
BU00140100;bestelauto;low;2025;5.152123225503179;0.0
BU00140200;bestelauto;low;2025;1.296850710021166;0.0
BU00140201;bestelauto;low;2025;2.327853538018293;0.0
BU00140202;bestelauto;low;2025;3.157149282901143;3.0
BU00140203;bestelauto;low;2025;3.098696739160663;1.0
BU00140500;bestelauto;low;2025;1.603973457528132;0.0
BU00140501;bestelauto;low;2025;1.8826551656498756;0.0
BU00140502;bestelauto;low;2025;11.475079386547137;0.0
BU00140503;bestelauto;low;2025;1.095899331496871;0.0
BU00140504;bestelauto;low;2025;0.7287068995982747;0.0
BU00140505;bestelauto;low;2025;8.281884537325455;0.0
BU00140506;bestelauto;low;2025;14.075369008518656;0.0
BU00140507;bestelauto;low;2025;10.811179332240435;0.0
BU00140508;bestelauto;low;2025;7.293709490956443;0.0
BU00140510;bestelauto;low;2025;0.3702566036547872;0.0
BU00141000;bestelauto;low;2025;2.441286472099179;0.0
BU00141003;bestelauto;low;2025;0.5520186758370773;0.0
BU00141005;bestelauto;low;2025;0.8776877562457039;0.0
BU00141102;bestelauto;low;2025;3.5700768366344238;0.0
BU00141103;bestelauto;low;2025;1.815428777142853;0.0
BU00141203;bestelauto;low;2025;7.930182600648576;0.0
BU00141204;bestelauto;low;2025;8.239114897577508;0.0
BU00141301;bestelauto;low;2025;4.792549072621203;0.0
BU00141302;bestelauto;low;2025;0.0368533649932193;0.0
BU00141701;bestelauto;low;2025;6.756044255986044;0.0
BU00141705;bestelauto;low;2025;0.4575849798212077;0.0
BU00141706;bestelauto;low;2025;0.3996307345393872;0.0
BU00141707;bestelauto;low;2025;1.5045838153848656;0.0
BU00141800;bestelauto;low;2025;6.130332051064684;0.0
BU00141801;bestelauto;low;2025;1.1535327614967887;0.0
BU00141802;bestelauto;low;2025;3.6002892259885337;0.0
BU00141900;bestelauto;low;2025;4.017383139070794;0.0
BU00141901;bestelauto;low;2025;2.434464801453299;0.0
BU00141902;bestelauto;low;2025;1.471135454804818;0.0
BU00141903;bestelauto;low;2025;1.2067868497038552;0.0
BU00141904;bestelauto;low;2025;1.7451649672663403;0.0
BU00141905;bestelauto;low;2025;1.3832863618832554;0.0
BU05230101;bestelauto;low;2025;1.4390008031857155;1.0
BU05230102;bestelauto;low;2025;5.641157084476811;0.0
BU05230103;bestelauto;low;2025;3.902042387802368;0.0
BU05230104;bestelauto;low;2025;0.0306335513947336;0.0
BU05230105;bestelauto;low;2025;2.6552001585562763;1.0
BU05230106;bestelauto;low;2025;10.782315411794036;0.0
BU05230107;bestelauto;low;2025;7.792530642424408;0.0
BU05230108;bestelauto;low;2025;2.2551044141945336;1.0
BU05230201;bestelauto;low;2025;7.165386154546568;0.0
BU05230202;bestelauto;low;2025;5.447956512141605;0.0
BU05230301;bestelauto;low;2025;3.7108128845209176;0.0
BU05230302;bestelauto;low;2025;3.3843602543861504;0.0
BU05230303;bestelauto;low;2025;2.0189570782151423;0.0
BU05230305;bestelauto;low;2025;4.246489534303104;0.0
BU05230306;bestelauto;low;2025;3.327225375478227;0.0
BU05230307;bestelauto;low;2025;0.8503406859197676;0.0
BU05230309;bestelauto;low;2025;0.4833642833521763;0.0
BU05230310;bestelauto;low;2025;0.0177200899249256;0.0
BU05230401;bestelauto;low;2025;10.929755989972309;0.0
BU05230402;bestelauto;low;2025;6.562508623043159;0.0
BU05310102;bestelauto;low;2025;7.0508659294449885;0.0
BU05310103;bestelauto;low;2025;6.832477250599107;1.0
BU05310501;bestelauto;low;2025;11.983988727684096;1.0
BU05310502;bestelauto;low;2025;0.3479754803094919;0.0
BU05900101;bestelauto;low;2025;1.0762679251900562;0.0
BU05900102;bestelauto;low;2025;6.350839956115388;0.0
BU05900103;bestelauto;low;2025;3.9388049149794;0.0
BU05900105;bestelauto;low;2025;2.0997085380978477;0.0
BU05900106;bestelauto;low;2025;2.61626456664783;0.0
BU05900201;bestelauto;low;2025;3.1327938998140885;0.0
BU05900202;bestelauto;low;2025;2.0225316869498657;0.0
BU05900501;bestelauto;low;2025;4.248911999850148;1.0
BU05900502;bestelauto;low;2025;2.4683690891171377;1.0
BU05900503;bestelauto;low;2025;3.526897920963481;1.0
BU05900504;bestelauto;low;2025;0.3684942378093551;0.0
BU05900601;bestelauto;low;2025;3.075704380729136;0.0
BU05900602;bestelauto;low;2025;11.027452990309524;0.0
BU05900702;bestelauto;low;2025;3.9008842580244254;0.0
BU05900703;bestelauto;low;2025;3.6889883750988233;0.0
BU05900704;bestelauto;low;2025;1.6442535934280245;0.0
BU05900705;bestelauto;low;2025;1.1667058985805447;0.0
BU05900801;bestelauto;low;2025;0.0453674738088591;0.0
BU05900902;bestelauto;low;2025;0.4598487703722946;0.0
BU06420101;bestelauto;low;2025;1.403015714945251;0.0
BU06420102;bestelauto;low;2025;1.76532771012614;0.0
BU06420104;bestelauto;low;2025;1.579202239266812;0.0
BU06420106;bestelauto;low;2025;0.3644623267354838;0.0
BU06420107;bestelauto;low;2025;1.7778684773124256;0.0
BU06420108;bestelauto;low;2025;2.2941411088258468;0.0
BU06420109;bestelauto;low;2025;1.517898999448224;0.0
BU06420110;bestelauto;low;2025;0.8675496596619963;0.0
BU06420111;bestelauto;low;2025;0.8983078900343572;0.0
BU06420112;bestelauto;low;2025;2.1403433793437423;0.0
BU06420113;bestelauto;low;2025;0.5505678029612859;0.0
BU06420115;bestelauto;low;2025;1.1857509513693252;0.0
BU06420201;bestelauto;low;2025;0.8528327050506409;0.0
BU06420202;bestelauto;low;2025;0.2320679596613278;0.0
BU06420203;bestelauto;low;2025;1.7465455271283412;1.0
BU06420205;bestelauto;low;2025;0.3577589736222994;0.0
BU06420206;bestelauto;low;2025;1.109968162037431;0.0
BU06420207;bestelauto;low;2025;1.7154785241517136;0.0
BU06420208;bestelauto;low;2025;1.5500123609223997;0.0
BU06420209;bestelauto;low;2025;3.684322201845826;0.0
BU06420301;bestelauto;low;2025;5.431357789522236;0.0
BU06420302;bestelauto;low;2025;2.1326449122758304;0.0
BU06420303;bestelauto;low;2025;1.993343586454518;0.0
BU06420304;bestelauto;low;2025;0.8248954028603642;0.0
BU06420305;bestelauto;low;2025;0.7681285386623192;0.0
BU06420307;bestelauto;low;2025;1.1954352192327231;0.0
BU06420308;bestelauto;low;2025;0.4566168171717588;0.0
BU06420309;bestelauto;low;2025;0.5748109629653683;0.0
BU06420310;bestelauto;low;2025;1.488681576504132;0.0
BU06420311;bestelauto;low;2025;0.6394187725245182;0.0
BU06420312;bestelauto;low;2025;1.5774555104409174;0.0
BU06420313;bestelauto;low;2025;2.227508572184957;0.0
BU06420402;bestelauto;low;2025;1.6688794190869816;0.0
BU06420403;bestelauto;low;2025;2.1367551941729594;0.0
BU06420404;bestelauto;low;2025;1.523881191598208;0.0
BU06420405;bestelauto;low;2025;0.8541845779968228;0.0
BU06420406;bestelauto;low;2025;2.5868637699542414;0.0
BU06420407;bestelauto;low;2025;0.6854203437682256;0.0
BU06420408;bestelauto;low;2025;2.0785776238169573;0.0
BU06420410;bestelauto;low;2025;4.205382669363385;0.0
BU06420503;bestelauto;low;2025;0.064273731624685;0.0
BU06420504;bestelauto;low;2025;0.743376653805508;0.0
BU06420505;bestelauto;low;2025;0.4473761544866728;0.0
BU06420506;bestelauto;low;2025;1.0137461887083914;0.0
BU06420507;bestelauto;low;2025;1.4972804128042418;0.0
BU06420508;bestelauto;low;2025;2.181509208060604;0.0
BU06420509;bestelauto;low;2025;0.6976732726832432;0.0
BU06420510;bestelauto;low;2025;1.6587462848973566;0.0
BU06420511;bestelauto;low;2025;0.5363870561042616;0.0
BU06420512;bestelauto;low;2025;1.1743103210944366;0.0
BU06420513;bestelauto;low;2025;0.6150945937763885;0.0
BU06420514;bestelauto;low;2025;1.850149985716015;1.0
BU06420515;bestelauto;low;2025;0.3875227215914897;0.0
BU04820101;vrachtauto;low;2025;0.0655681117872049;0.0
BU04820102;vrachtauto;low;2025;0.0655681117872049;0.0
BU04820103;vrachtauto;low;2025;0.2881600612576201;0.0
BU04820201;vrachtauto;low;2025;0.075023322545471;0.0
BU04820202;vrachtauto;low;2025;0.2095047066393766;0.0
BU04820205;vrachtauto;low;2025;0.0655681117872049;0.0
BU04820301;vrachtauto;low;2025;0.0655681117872049;0.0
BU04820303;vrachtauto;low;2025;0.0655681117872049;0.0
BU04820305;vrachtauto;low;2025;0.0655681117872049;0.0
BU04820306;vrachtauto;low;2025;0.0655681117872049;0.0
BU04820307;vrachtauto;low;2025;0.0655681117872049;0.0
