PK_UID;ID;GRIDCODE;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
21;21;1600;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46638547850101;5.637710277687708;MULTIPOLYGON (((5.629047 53.46328, 5.629059 53.465526, 5.632823 53.465519, 5.632836 53.467765, 5.640378 53.469995, 5.640365 53.467749, 5.647894 53.467733, 5.645617 53.465781, 5.629047 53.46328)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
22;22;1550;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.46380252284547;5.837954793044162;MULTIPOLYGON (((5.839825 53.462672, 5.836061 53.462686, 5.836085 53.464933, 5.839849 53.464919, 5.839825 53.462672)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
23;23;1600;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.46374524929483;5.853010493719454;MULTIPOLYGON (((5.839825 53.462672, 5.839849 53.464919, 5.862433 53.464832, 5.866197 53.464817, 5.866172 53.462571, 5.839825 53.462672)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
24;24;1600;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.45711167430511;6.831499528828391;MULTIPOLYGON (((6.833305 53.454843, 6.829543 53.454889, 6.829694 53.45938, 6.833456 53.459335, 6.833305 53.454843)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
25;25;1600;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.45568892224235;6.8427432243946535;MULTIPOLYGON (((6.844592 53.454707, 6.84083 53.454753, 6.842808 53.457606, 6.844592 53.454707)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
26;26;1650;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.4616977715054;5.798411837261074;MULTIPOLYGON (((5.794637 53.460587, 5.794659 53.462834, 5.802186 53.462808, 5.802165 53.460562, 5.794637 53.460587)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
27;27;1550;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.46157041026328;5.834167459267355;MULTIPOLYGON (((5.832274 53.460454, 5.832297 53.4627, 5.836061 53.462686, 5.836038 53.46044, 5.832274 53.460454)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
28;28;1600;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.46137319066817;5.915285668037588;MULTIPOLYGON (((5.918837 53.460103, 5.910193 53.461052, 5.916827 53.462964, 5.918837 53.460103)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
29;29;1600;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.45375862839758;6.8163319705247805;MULTIPOLYGON (((6.818181 53.452778, 6.814419 53.452822, 6.816396 53.455676, 6.818181 53.452778)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
3;3;1600;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.54172808335226;6.592988456940592;MULTIPOLYGON (((6.591072 53.540624, 6.591135 53.54287, 6.594905 53.542832, 6.594842 53.540586, 6.591072 53.540624)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
30;30;1600;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.45353909562415;6.848315830052172;MULTIPOLYGON (((6.85204 53.452371, 6.844516 53.452462, 6.844592 53.454707, 6.852116 53.454616, 6.85204 53.452371)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
31;31;1600;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.46154346079721;5.627154901626215;MULTIPOLYGON (((5.625283 53.463288, 5.629047 53.46328, 5.627135 53.458063, 5.625283 53.463288)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
32;32;1550;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.45991141556106;5.692276253093767;MULTIPOLYGON (((5.700529 53.458623, 5.680601 53.459505, 5.68549 53.460907, 5.700545 53.460869, 5.700529 53.458623)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
33;33;1500;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.45973607330309;5.704300432082005;MULTIPOLYGON (((5.708056 53.458603, 5.700529 53.458623, 5.700545 53.460869, 5.708072 53.460849, 5.708056 53.458603)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
34;34;1550;BU00600008;GM0060;BU00600008;GM0060;BU00600008;GM0060;False;False;53.45950824656183;5.781454239851284;MULTIPOLYGON (((5.783326 53.458379, 5.779562 53.458391, 5.779583 53.460637, 5.783346 53.460625, 5.783326 53.458379)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
35;35;1600;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.45949586948505;5.785217815307661;MULTIPOLYGON (((5.783326 53.458379, 5.783346 53.460625, 5.78711 53.460613, 5.787089 53.458367, 5.783326 53.458379)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
36;36;1550;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.45929237431702;5.830302784461166;MULTIPOLYGON (((5.832274 53.460454, 5.830957 53.457721, 5.827677 53.459702, 5.832274 53.460454)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
37;37;1600;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.46016888662588;5.903782562842161;MULTIPOLYGON (((5.907519 53.457907, 5.903756 53.457923, 5.899992 53.457939, 5.900046 53.462431, 5.907573 53.462399, 5.907519 53.457907)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
38;38;1600;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.451598608394505;6.8294322631329685;MULTIPOLYGON (((6.825705 53.452688, 6.833229 53.452598, 6.829362 53.44951, 6.825705 53.452688)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
39;39;1550;BU00600009;GM0060;BU00600009;GM0060;BU00600009;GM0060;False;False;53.45755188748945;5.63967837831286;MULTIPOLYGON (((5.640299 53.456518, 5.636535 53.456526, 5.636548 53.458772, 5.645196 53.457811, 5.640299 53.456518)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
4;4;1650;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.54346726775404;6.583962145673594;MULTIPOLYGON (((6.576178 53.547511, 6.606344 53.54721, 6.60628 53.544964, 6.594969 53.545078, 6.594905 53.542832, 6.591135 53.54287, 6.591072 53.540624, 6.58713 53.536169, 6.567226 53.542372, 6.569883 53.546818, 6.576178 53.547511)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
40;40;1550;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.457618644081066;5.717457070598233;MULTIPOLYGON (((5.715583 53.458583, 5.719346 53.458572, 5.717442 53.455701, 5.715583 53.458583)));WarmteAtlas:WKOgeslWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:37;
