P50;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
4.335434;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.57546372458064;6.375979586130841;MULTIPOLYGON (((6.36833 53.571034, 6.368536 53.580017, 6.383631 53.579893, 6.383422 53.57091, 6.36833 53.571034)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
4.228726;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.57533914951617;6.391073091890842;MULTIPOLYGON (((6.383422 53.57091, 6.383631 53.579893, 6.398726 53.579768, 6.398514 53.570785, 6.383422 53.57091)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
5.00584;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.57521268784691;6.406166496340959;MULTIPOLYGON (((6.398514 53.570785, 6.398726 53.579768, 6.413821 53.57964, 6.413605 53.570657, 6.398514 53.570785)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.692053;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.575084339598966;6.421259797959491;MULTIPOLYGON (((6.413605 53.570657, 6.413821 53.57964, 6.428916 53.579511, 6.428697 53.570528, 6.413605 53.570657)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.118624;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.574954104798714;6.436352995224797;MULTIPOLYGON (((6.428697 53.570528, 6.428916 53.579511, 6.444011 53.57938, 6.443789 53.570397, 6.428697 53.570528)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
5.8824;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.57482198347314;6.451446086615313;MULTIPOLYGON (((6.443789 53.570397, 6.444011 53.57938, 6.459105 53.579247, 6.45888 53.570264, 6.443789 53.570397)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.237303;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.574687975649404;6.466539070609539;MULTIPOLYGON (((6.45888 53.570264, 6.459105 53.579247, 6.4742 53.579112, 6.473971 53.570129, 6.45888 53.570264)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
5.705562;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.59292036323306;6.4367940072720895;MULTIPOLYGON (((6.429135 53.588494, 6.429354 53.597477, 6.444455 53.597346, 6.444233 53.588363, 6.429135 53.588494)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.280499;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.574552081355165;6.481631945686051;MULTIPOLYGON (((6.473971 53.570129, 6.4742 53.579112, 6.489294 53.578975, 6.489063 53.569992, 6.473971 53.570129)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
7.124143;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;53.57441430061842;6.4967247103235;MULTIPOLYGON (((6.489063 53.569992, 6.489294 53.578975, 6.504388 53.578836, 6.504154 53.569853, 6.489063 53.569992)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
