diam;ash;kw;x;y;land;lat;lon;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd
18.0;40.0;80.0;173050.3536;495873.3438;NL;52.45032964893855;5.652725170865926;BU03030620;GM0303;BU03030620;GM0303;BU03030620;GM0303;False;False
18.0;40.0;80.0;174401.4448;497342.619;NL;52.463488265348374;5.6726847462216465;BU03030620;GM0303;BU03030620;GM0303;BU03030620;GM0303;False;False
18.0;40.0;80.0;175397.3494;508795.7376;NL;52.56638338095729;5.688039508327697;BU03030720;GM0303;BU03030720;GM0303;BU03030720;GM0303;False;False
18.0;34.0;80.0;179301.5144;510166.93;NL;52.57854639654201;5.745720142361394;BU03030550;GM0303;BU03030550;GM0303;BU03030550;GM0303;False;False
18.0;34.0;80.0;179602.9651;501452.8906;NL;52.50021900100351;5.749523364263715;BU03030550;GM0303;BU03030550;GM0303;BU03030550;GM0303;False;False
18.0;40.0;80.0;192073.9238;526506.8948;NL;52.72466964907471;5.935971802557986;BU01710426;GM0171;BU01710426;GM0171;BU01710426;GM0171;False;False
18.0;31.4;80.0;163342.4139;563172.9035;NL;53.05536695912931;5.51162879366743;BU19000009;GM1900;BU19000009;GM1900;BU19000009;GM1900;False;False
18.0;31.4;80.0;163821.0109;585080.4866;NL;53.25221437455978;5.519366690395002;BU19493800;GM1949;BU19493800;GM1949;BU19493800;GM1949;False;False
18.0;31.4;80.0;163859.4797;584498.3082;NL;53.24698261833952;5.519926946287059;BU19493800;GM1949;BU19493800;GM1949;BU19493800;GM1949;False;False
18.0;31.0;80.0;164636.9896;573694.8706;NL;53.149894096630234;5.531250440309301;BU19494800;GM1949;BU19494800;GM1949;BU19494800;GM1949;False;False
18.0;40.0;80.0;166589.1182;583772.5106;NL;53.2404087994783;5.56079186725088;BU19494900;GM1949;BU19494900;GM1949;BU19494900;GM1949;False;False
18.0;31.4;80.0;166882.2663;556158.8743;NL;52.9922719211544;5.564166391931935;BU19000808;GM1900;BU19000808;GM1900;BU19000808;GM1900;False;False
18.0;34.0;80.0;168019.9765;574505.8708;NL;53.15710999685331;5.581848149701414;BU19494800;GM1949;BU19494800;GM1949;BU19494800;GM1949;False;False
18.0;31.4;80.0;168360.2083;583170.2366;NL;53.234955784621924;5.587294401362291;BU19493600;GM1949;BU19493600;GM1949;BU19493600;GM1949;False;False
18.0;31.4;80.0;168409.1264;583103.7017;NL;53.234356714758086;5.5880242299096645;BU19493600;GM1949;BU19493600;GM1949;BU19493600;GM1949;False;False
18.0;31.4;80.0;168456.223;583040.6839;NL;53.23378928889117;5.588726907258329;BU19493600;GM1949;BU19493600;GM1949;BU19493600;GM1949;False;False
18.0;31.4;80.0;170314.8152;569213.2321;NL;53.109491146758074;5.6159031409384;BU19002010;GM1900;BU19002010;GM1900;BU19002010;GM1900;False;False
18.0;31.4;80.0;170427.7616;590387.8491;NL;53.29975277110989;5.618606110483691;BU19493200;GM1949;BU19493200;GM1949;BU19493200;GM1949;False;False
18.0;31.4;80.0;171621.1297;577417.7624;NL;53.18317555871914;5.635833094178316;BU19492600;GM1949;BU19492600;GM1949;BU19492600;GM1949;False;False
18.0;34.0;80.0;171737.964;565091.8742;NL;53.07241482434199;5.636941505724219;BU19002008;GM1900;BU19002008;GM1900;BU19002008;GM1900;False;False
18.0;31.4;80.0;173704.9548;573247.8725;NL;53.145637860474196;5.666761352275136;BU00808115;GM0080;BU00808115;GM0080;BU00808115;GM0080;False;False
18.0;31.0;80.0;174059.9552;566723.8745;NL;53.08700240067411;5.671681923843464;BU19002006;GM1900;BU19002006;GM1900;BU19002006;GM1900;False;False
18.0;31.0;80.0;175661.9485;569619.8743;NL;53.11296597746906;5.695776879975831;BU19002016;GM1900;BU19002016;GM1900;BU19002016;GM1900;False;False
18.0;31.4;80.0;176259.0785;578357.0984;NL;53.19145201470034;5.705270581089451;BU19492400;GM1949;BU19492400;GM1949;BU19492400;GM1949;False;False
18.0;31.4;80.0;177562.3088;587117.1585;NL;53.2701111070378;5.725383890402483;BU00806302;GM0080;BU00806302;GM0080;BU00806302;GM0080;False;False
18.0;31.4;80.0;177623.3165;575221.0189;NL;53.16321679960972;5.725460639323029;BU00808107;GM0080;BU00808107;GM0080;BU00808107;GM0080;False;False
18.0;31.4;80.0;180158.3694;574624.5549;NL;53.15774427820035;5.763316259576427;BU00808108;GM0080;BU00808108;GM0080;BU00808108;GM0080;False;False
18.0;31.4;80.0;181259.9154;594212.8697;NL;53.33369797048408;5.781386989068505;BU19700808;GM1970;BU19700808;GM1970;BU19700808;GM1970;False;False
18.0;31.4;80.0;181439.9174;588635.8715;NL;53.28357926236327;5.7836277209108;BU00806306;GM0080;BU00806306;GM0080;BU00806306;GM0080;False;False
18.0;31.4;80.0;183520.4295;586639.1934;NL;53.26553177038481;5.814642754539919;BU00806302;GM0080;BU00806302;GM0080;BU00806302;GM0080;False;False
18.0;34.0;80.0;183933.8607;567286.8792;NL;53.0916204397377;5.819099593298082;BU00808207;GM0080;BU00808207;GM0080;BU00808207;GM0080;False;False
18.0;31.4;80.0;184015.2149;556776.9719;NL;52.99717588714056;5.819373503418862;BU19401902;GM1940;BU19401902;GM1940;BU19401902;GM1940;False;False
18.0;40.0;80.0;185021.7004;593984.8536;NL;53.3314508219984;5.837830896317426;BU19700807;GM1970;BU19700807;GM1970;BU19700807;GM1970;False;False
18.0;31.4;80.0;185781.8932;597134.8717;NL;53.35971013265699;5.849544788823559;BU19700809;GM1970;BU19700809;GM1970;BU19700809;GM1970;False;False
18.0;34.0;80.0;185858.2;555243.0824;NL;52.98329004716755;5.846677450313126;BU19405001;GM1940;BU19405001;GM1940;BU19405001;GM1940;False;False
18.0;31.4;80.0;185990.8921;597414.8717;NL;53.362213783721266;5.8527110146211125;BU19700809;GM1970;BU19700809;GM1970;BU19700809;GM1970;False;False
18.0;34.0;80.0;186073.6953;545761.226;NL;52.89807304664261;5.848982371900596;BU19400702;GM1940;BU19400702;GM1940;BU19400702;GM1940;False;False
18.0;31.4;80.0;186647.8915;593686.8734;NL;53.328679502945825;5.862209558011596;BU19700803;GM1970;BU19700803;GM1970;BU19700803;GM1970;False;False
18.0;31.4;80.0;192900.6467;597350.1815;NL;53.361186068220945;5.95648773256352;BU19700708;GM1970;BU19700708;GM1970;BU19700708;GM1970;False;False
18.0;31.4;80.0;193051.8074;593863.1689;NL;53.329845246317305;5.958342376248257;BU19700604;GM1970;BU19700604;GM1970;BU19700604;GM1970;False;False
18.0;31.4;80.0;194540.4801;600207.148;NL;53.38673584869375;5.981471761841473;BU19700506;GM1970;BU19700506;GM1970;BU19700506;GM1970;False;False
