buurtcode;bestelautos_totaal;vrachtautos_totaal;bestelautos_ondergrens;bestelautos_bovengrens;vrachtautos_ondergrens;vrachtautos_bovengrens;bedrijfswagens_gewicht_methode;bedrijfswagens_pc4_gelijk_verdeeld;bedrijfswagens_pc4_dekkingsklasse;bedrijfswagens_rdw_peildatum;bedrijfswagens_cbs_split_periode
BU00861604;40;2;2;40;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00861605;13;1;5;13;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00861606;130;10;68;130;5;10;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00861607;7;0;7;326;0;15;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00861701;131;5;2;131;0;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00861702;103;4;2;103;0;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00861703;9;0;9;238;0;9;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900001;80;2;17;80;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900002;1112;21;875;1112;17;21;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900003;105;3;77;105;2;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900004;159;6;106;159;4;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900005;1166;22;688;1166;13;22;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900006;719;14;719;880;14;17;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900007;193;15;81;193;6;15;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900008;170;1;170;171;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900009;53;1;40;53;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900010;169;1;135;169;1;1;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU00900011;701;107;634;701;97;107;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900012;208;9;208;580;9;22;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU00900013;62;0;37;62;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900014;62;4;62;79;4;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900015;34;0;34;45;0;0;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU00900016;65;5;19;65;2;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900017;65;5;62;65;5;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900018;131;10;37;131;3;10;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900120;136;6;136;226;6;18;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900121;108;3;108;115;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900122;99;4;98;99;4;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900123;135;6;135;774;6;31;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU00900124;17;0;13;17;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00900125;40;3;40;76;3;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900126;85;5;49;85;2;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00900127;2;0;1;2;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00900128;27;0;26;27;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00900129;15;0;3;15;0;0;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU00900130;98;1;98;141;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900131;29;3;29;49;3;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00900132;36;2;33;36;2;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980001;11;1;11;64;1;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980002;11;1;11;60;1;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980003;9;1;9;82;1;8;bedrijfsvestigingen_hj;False;5.0;2026-07-08;2023JJ00
BU00980004;174;10;30;174;2;10;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980005;12;1;12;16;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980006;12;1;12;25;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980007;12;1;10;12;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980008;42;5;22;42;3;5;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU00980009;116;7;18;116;1;7;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980010;12;1;12;15;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980011;23;1;23;36;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980012;12;1;12;17;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980013;69;4;13;69;1;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980014;12;1;12;13;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980015;81;5;13;81;1;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980016;81;5;10;81;1;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980017;81;5;9;81;1;5;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980018;12;1;12;61;1;4;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980019;7;1;7;11;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980020;104;14;63;104;9;14;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980021;29;2;29;337;2;20;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980101;33;2;33;33;2;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980102;20;0;20;20;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980103;14;0;1;14;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980104;32;0;32;45;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980201;13;0;13;13;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980202;42;1;42;42;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980301;14;2;0;14;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980302;18;2;18;31;2;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980303;57;2;1;57;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980304;11;0;11;67;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980305;13;0;13;13;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980401;30;0;2;30;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980402;22;0;22;46;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980403;28;0;28;33;0;0;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU00980501;36;0;36;36;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU00980502;39;2;39;40;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU00980601;19;1;1;19;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
