gemeentecode;bestelauto_buurtsom_actueel;vrachtauto_buurtsom_actueel;bestelauto_cbs2023;vrachtauto_cbs2023;bestelauto_afwijking_pct;vrachtauto_afwijking_pct
GM0014;12858;767;11317.0;411.0;13.61668286648405;86.61800486618004
GM0034;18880;1441;31661.0;629.0;-40.36827642841351;129.09379968203498
GM0037;2446;107;2483.0;113.0;-1.4901329037454691;-5.3097345132743365
GM0047;1805;81;1543.0;73.0;16.979909267660403;10.95890410958904
GM0050;1915;226;1419.0;101.0;34.95419309372798;123.76237623762377
GM0059;2671;153;2490.0;145.0;7.269076305220883;5.517241379310345
GM0060;386;39;415.0;38.0;-6.9879518072289155;2.6315789473684212
GM0072;1123;95;969.0;79.0;15.89267285861713;20.253164556962027
GM0074;4150;441;3280.0;311.0;26.524390243902438;41.80064308681672
GM0080;6580;491;6306.0;417.0;4.345068189026324;17.74580335731415
GM0085;2249;195;1965.0;164.0;14.4529262086514;18.902439024390244
GM0086;2575;110;2313.0;95.0;11.327280587980978;15.789473684210526
GM0088;68;3;78.0;4.0;-12.820512820512821;-25.0
GM0090;6105;262;5671.0;226.0;7.652971257273849;15.929203539823009
GM0093;621;33;617.0;32.0;0.6482982171799028;3.125
GM0096;137;8;144.0;8.0;-4.861111111111111;0.0
GM0098;2376;111;2128.0;87.0;11.654135338345865;27.586206896551722
GM0106;3076;148;2636.0;165.0;16.69195751138088;-10.303030303030303
GM0109;3095;147;2651.0;122.0;16.748396831384383;20.491803278688526
GM0114;7575;445;6562.0;386.0;15.437366656507162;15.284974093264248
GM0118;4070;194;3939.0;199.0;3.3257171871033258;-2.512562814070352
GM0119;3881;296;1736.0;101.0;123.55990783410138;193.06930693069307
GM0141;5812;210;3690.0;192.0;57.50677506775068;9.375
GM0147;1427;91;1287.0;80.0;10.878010878010878;13.75
GM0148;3247;296;2603.0;228.0;24.740683826354207;29.82456140350877
GM0150;3958;182;3616.0;164.0;9.45796460176991;10.975609756097562
GM0153;5947;560;5748.0;487.0;3.4620737647877524;14.989733059548255
GM0158;1840;80;1617.0;76.0;13.790970933828076;5.2631578947368425
GM0160;5311;384;4767.0;325.0;11.411789385357668;18.153846153846153
GM0163;2350;106;2112.0;96.0;11.268939393939394;10.416666666666666
GM0164;4480;266;4206.0;259.0;6.514503090822634;2.7027027027027026
GM0166;3885;265;3197.0;199.0;21.520175164216454;33.165829145728644
GM0168;1194;62;1132.0;59.0;5.477031802120141;5.084745762711864
GM0171;4471;165;3781.0;135.0;18.24914043903729;22.22222222222222
GM0173;2074;113;1816.0;99.0;14.20704845814978;14.141414141414142
GM0175;1560;71;1415.0;65.0;10.247349823321555;9.23076923076923
GM0177;2894;201;2536.0;186.0;14.116719242902208;8.064516129032258
GM0180;739;34;2026.0;153.0;-63.524185587364265;-77.77777777777777
GM0183;3023;143;2797.0;123.0;8.080085806220952;16.260162601626018
GM0184;1794;66;1461.0;54.0;22.792607802874745;22.22222222222222
GM0189;2750;79;4018.0;97.0;-31.557989049278248;-18.556701030927837
GM0193;6575;167;6023.0;213.0;9.164868005977088;-21.5962441314554
GM0197;1881;100;1754.0;91.0;7.240592930444698;9.89010989010989
GM0200;9557;1016;8563.0;962.0;11.60808127992526;5.613305613305613
GM0202;4898;276;4558.0;623.0;7.459412022817025;-55.698234349919744
GM0203;7446;436;5982.0;365.0;24.473420260782348;19.45205479452055
GM0209;1718;112;1209.0;92.0;42.100909842845326;21.73913043478261
GM0213;1347;63;1182.0;60.0;13.959390862944163;5.0
GM0214;2950;286;2488.0;255.0;18.569131832797428;12.156862745098039
GM0216;1316;163;1232.0;146.0;6.818181818181818;11.643835616438356
GM0221;625;39;403.0;27.0;55.08684863523573;44.44444444444444
GM0222;3388;187;3295.0;167.0;2.8224582701062215;11.976047904191617
GM0225;1368;106;1267.0;98.0;7.971586424625099;8.16326530612245
GM0226;1360;118;1114.0;142.0;22.082585278276483;-16.901408450704224
GM0228;10283;1182;8683.0;860.0;18.426811010019577;37.44186046511628
GM0230;2698;120;1573.0;77.0;71.51938970120788;55.84415584415584
GM0232;1388;95;2350.0;138.0;-40.93617021276596;-31.159420289855074
GM0233;2285;260;1576.0;176.0;44.98730964467005;47.72727272727273
GM0243;2727;153;2608.0;125.0;4.5628834355828225;22.4
GM0244;692;37;579.0;29.0;19.516407599309154;27.586206896551722
GM0246;1296;81;1182.0;72.0;9.644670050761421;12.5
GM0252;605;35;713.0;43.0;-15.147265077138849;-18.6046511627907
GM0262;1962;121;1856.0;115.0;5.711206896551724;5.217391304347826
GM0263;3115;273;2587.0;218.0;20.40974101275609;25.229357798165136
GM0267;3545;373;3109.0;328.0;14.023801865551624;13.71951219512195
GM0268;4571;407;4837.0;423.0;-5.499276410998553;-3.7825059101654848
GM0269;2179;321;1858.0;218.0;17.27664155005382;47.24770642201835
GM0273;2466;191;2120.0;165.0;16.32075471698113;15.757575757575758
GM0274;1076;44;1146.0;50.0;-6.108202443280978;-12.0
GM0275;2058;62;1715.0;56.0;20.0;10.714285714285714
GM0277;47;10;31.0;7.0;51.61290322580645;42.857142857142854
GM0279;1079;76;803.0;57.0;34.371108343711086;33.333333333333336
GM0281;2667;197;2883.0;225.0;-7.492195629552549;-12.444444444444445
GM0285;1881;150;1612.0;125.0;16.687344913151364;20.0
GM0289;1028;55;953.0;44.0;7.869884575026233;25.0
GM0293;518;4;566.0;16.0;-8.480565371024735;-75.0
GM0294;1693;125;1551.0;118.0;9.15538362346873;5.932203389830509
GM0296;2868;235;2415.0;185.0;18.757763975155278;27.027027027027028
GM0297;3064;226;2482.0;234.0;23.448831587429492;-3.4188034188034186
GM0299;2213;110;2274.0;102.0;-2.6824978012313103;7.8431372549019605
GM0301;1713;135;1692.0;133.0;1.2411347517730495;1.5037593984962405
GM0302;1935;109;2186.0;112.0;-11.482159194876488;-2.6785714285714284
GM0303;2576;157;2546.0;155.0;1.178318931657502;1.2903225806451613
GM0307;25096;513;18718.0;343.0;34.07415322149802;49.56268221574344
GM0308;885;19;895.0;20.0;-1.1173184357541899;-5.0
GM0310;1938;122;1785.0;102.0;8.571428571428571;19.607843137254903
GM0312;627;29;861.0;41.0;-27.177700348432055;-29.26829268292683
GM0313;828;99;1607.0;219.0;-48.475420037336654;-54.794520547945204
GM0317;799;47;758.0;45.0;5.408970976253298;4.444444444444445
GM0321;14266;604;9582.0;170.0;48.88332289709873;255.2941176470588
GM0327;1576;40;1184.0;32.0;33.108108108108105;25.0
GM0331;1942;179;1650.0;159.0;17.696969696969695;12.578616352201259
GM0335;1369;115;1211.0;103.0;13.047068538398019;11.650485436893204
GM0339;866;60;721.0;50.0;20.110957004160888;20.0
GM0340;1328;67;1315.0;62.0;0.9885931558935361;8.064516129032258
GM0342;2251;183;2157.0;169.0;4.3579044969865555;8.284023668639053
GM0344;13274;819;15910.0;1083.0;-16.568196103079824;-24.37673130193906
GM0345;3541;225;3237.0;179.0;9.391411801050355;25.69832402234637
GM0351;1156;44;1157.0;45.0;-0.08643042350907519;-2.2222222222222223
GM0352;1186;42;1151.0;44.0;3.040834057341442;-4.545454545454546
GM0353;1370;67;1278.0;60.0;7.198748043818466;11.666666666666666
GM0355;1898;46;2014.0;48.0;-5.759682224428997;-4.166666666666667
GM0356;2887;134;2997.0;137.0;-3.670337003670337;-2.18978102189781
GM0358;1507;65;1958.0;176.0;-23.03370786516854;-63.06818181818182
GM0361;7356;645;6438.0;506.0;14.259086672879777;27.470355731225297
GM0362;2498;193;2243.0;135.0;11.368702630405707;42.96296296296296
GM0363;21136;995;21738.0;1086.0;-2.769344005888306;-8.37937384898711
GM0373;1400;55;1381.0;63.0;1.3758146270818248;-12.698412698412698
GM0375;2638;242;2218.0;268.0;18.935978358881876;-9.701492537313433
GM0376;673;17;399.0;25.0;68.67167919799499;-32.0
GM0377;357;2;473.0;5.0;-24.52431289640592;-60.0
GM0383;1518;132;1502.0;109.0;1.0652463382157125;21.10091743119266
GM0384;1025;87;929.0;75.0;10.333692142088267;16.0
GM0385;3022;110;2981.0;106.0;1.3753773901375377;3.7735849056603774
GM0388;896;22;917.0;25.0;-2.2900763358778624;-12.0
GM0392;6993;334;5414.0;242.0;29.1651274473587;38.01652892561984
GM0394;13269;1303;20018.0;1049.0;-33.714656808872014;24.21353670162059
GM0396;2133;68;1567.0;46.0;36.11997447351627;47.82608695652174
GM0397;469;10;544.0;20.0;-13.786764705882353;-50.0
GM0399;821;33;850.0;40.0;-3.411764705882353;-17.5
GM0400;2097;55;2071.0;61.0;1.2554321583775954;-9.836065573770492
