waterschap;res_gebied;min_uur;min_gj_ex;type;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
HHS van Delfland;Rotterdam-Den Haag;3082.0;348350;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05180702;GM0518;2583.0;2583GA;BU05180702;GM0518;2583.0;2583GA;BU05180702;GM0518;2583.0;2583GA;False;False;False;52.096539530629805;4.258107305909763;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030851;GM0603;2285.0;2285SE;BU06030851;GM0603;2285.0;2285SE;BU06030851;GM0603;2285.0;2285SE;False;False;False;52.04651268288294;4.304035832322188;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05183620;GM0518;2531.0;2531PB;BU05183620;GM0518;2531.0;2531PB;BU05183620;GM0518;2531.0;2531PB;False;False;False;52.048667833739145;4.301627098988315;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030642;GM0603;2285.0;2285SC;BU06030642;GM0603;2285.0;2285SC;BU06030642;GM0603;2285.0;2285SC;False;False;False;52.03845286353379;4.311079501995095;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030642;GM0603;2285.0;2285SC;BU06030642;GM0603;2285.0;2285SC;BU06030642;GM0603;2285.0;2285SC;False;False;False;52.041840940429594;4.308207343796989;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030641;GM0603;2284.0;2284TT;BU06030641;GM0603;2284.0;2284TT;BU06030641;GM0603;2284.0;2284TT;False;False;False;52.04286527476068;4.307351331332611;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030641;GM0603;2284.0;2284TT;BU06030641;GM0603;2284.0;2284TT;BU06030641;GM0603;2284.0;2284TT;False;False;False;52.043869995845604;4.306507919208068;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;BU06031064;GM0603;2286.0;2286KS;False;False;False;52.02431030701098;4.324784866382453;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030851;GM0603;2285.0;2285SE;BU06030851;GM0603;2285.0;2285SE;BU06030851;GM0603;2285.0;2285SE;False;False;False;52.0442010012901;4.306089692902624;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030851;GM0603;2285.0;2285SE;BU06030851;GM0603;2285.0;2285SE;BU06030851;GM0603;2285.0;2285SE;False;False;False;52.044533686896024;4.305670546332069;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030851;GM0603;2285.0;2285SE;BU06030851;GM0603;2285.0;2285SE;BU06030851;GM0603;2285.0;2285SE;False;False;False;52.0454944956885;4.304871324067839;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06030643;GM0603;2284.0;2284BK;BU06030643;GM0603;2284.0;2284BK;BU06030643;GM0603;2284.0;2284BK;False;False;False;52.038026955278774;4.311466556428213;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05182055;GM0518;2562.0;2562XN;BU05182055;GM0518;2562.0;2562XN;BU05182055;GM0518;2562.0;2562XN;False;False;False;52.07187006656129;4.27981176930383;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05182055;GM0518;2562.0;2562KP;BU05182055;GM0518;2562.0;2562KP;BU05182055;GM0518;2562.0;2562KP;False;False;False;52.072992393935706;4.278862790357061;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05182055;GM0518;2562.0;2562HH;BU05182055;GM0518;2562.0;2562HH;BU05182055;GM0518;2562.0;2562HH;False;False;False;52.074101053175;4.277887023165166;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
HHS van Delfland;Rotterdam-Den Haag;258.0;29161;Effluent;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU05182055;GM0518;2562.0;2562XR;BU05182055;GM0518;2562.0;2562XR;BU05182055;GM0518;2562.0;2562XR;False;False;False;52.0743262604554;4.277689894912701;WarmteAtlas:TEA_leidingen_minimale_potentie;;;
