PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
21;Data Facilities;Moezel;5;Den Haag;2491 CV;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;86392;453410;BU05184317;GM0518;2491;2491CV;BU05184317;GM0518;2491;2491CV;BU05184317;GM0518;2491;2491CV;False;False;False;52.06472954746737;4.386668248983733;WarmteAtlas:DataCentraWarmte_2021;;;
22;Data Facilities;Boyleweg;2;Spijkenisse;3208 KA;2;Klein;200-1000;0,5-2,5;4,4-8,8;3-6;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;80231;430207;BU19301601;GM1930;3208;3208KA;BU19301601;GM1930;3208;3208KA;BU19301601;GM1930;3208;3208KA;False;False;False;51.85540963097076;4.301888730005745;WarmteAtlas:DataCentraWarmte_2021;;;
23;Databarn;Zekeringstraat;35;Amsterdam;1014 BV;3;Klein;1000-2000;0,5-2,5;8,8-22;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;118514;489977;BU0363BB07;GM0363;1014;1014BV;BU0363BB07;GM0363;1014;1014BV;BU0363BB07;GM0363;1014;1014BV;False;False;False;52.39642163998756;4.851146110393799;WarmteAtlas:DataCentraWarmte_2021;;;
24;Databarn;Rivium Boulevard;62;Capelle a/d Ijssel;2909 LK;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;97167;436083;BU05020997;GM0502;2909;2909LK;BU05020997;GM0502;2909;2909LK;BU05020997;GM0502;2909;2909LK;False;False;False;51.91023491845127;4.546709303881581;WarmteAtlas:DataCentraWarmte_2021;;;
25;Datacenter Almere;Randstad;22, Nr. 153;Almere;1314 BB;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;144094;487829;BU00343401;GM0034;1316;1316BX;BU00343401;GM0034;1316;1316BX;BU00343401;GM0034;1316;1316BX;False;False;False;52.37822090607879;5.227038310983465;WarmteAtlas:DataCentraWarmte_2021;;;
26;Datacenter Fryslan;Archimedesweg;3;Leeuwarden;8912 AK;1;Klein;<200;<0,5;0,9-4,4;0,6-3;<1,2;20-25;(4) uitkoppeling pas mogelijk na een grote investering;179959;578499;BU00804104;GM0080;8912;8912AK;BU00804104;GM0080;8912;8912AK;BU00804104;GM0080;8912;8912AK;False;False;False;53.19256745228807;5.760636121938294;WarmteAtlas:DataCentraWarmte_2021;;;
27;Datacenter Fryslan;Francois Haverschmidtwei;3;Leeuwarden;8914 BC;2;Klein;200-1000;<0,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;180224;579854;BU00804105;GM0080;8914;8914BC;BU00804105;GM0080;8914;8914BC;BU00804105;GM0080;8914;8914BC;False;False;False;53.204730305196286;5.764707157259239;WarmteAtlas:DataCentraWarmte_2021;;;
28;Datacenter Groningen;Beneluxweg;4;Zuidbroek;9636 HV;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;253805;576605;BU19522002;GM1952;9636;9636HV;BU19522002;GM1952;9636;9636HV;BU19522002;GM1952;9636;9636HV;False;False;False;53.167026100226366;6.864693293209682;WarmteAtlas:DataCentraWarmte_2021;;;
2;Atom86;Boeing Avenue;271;Schiphol-Rijk;1119 PD;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;111566;476520;BU03940674;GM0394;1119;1119PD;BU03940674;GM0394;1119;1119PD;BU03940674;GM0394;1119;1119PD;False;False;False;52.274975236095365;4.750806320941612;WarmteAtlas:DataCentraWarmte_2021;;;
29;Datacenter Noordholland;Professor van der Waalstraat;1;Alkmaar;1821 BT;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;113242;515529;BU03610203;GM0361;1821;1821BT;BU03610203;GM0361;1821;1821BT;BU03610203;GM0361;1821;1821BT;False;False;False;52.625678366014874;4.770495316109635;WarmteAtlas:DataCentraWarmte_2021;;;
