PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
106;NorthC;Anthony Fokkerweg;40;Rotterdam;3088 GG;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;90346;432286;BU05992198;GM0599;3088;3088GG;BU05992198;GM0599;3088;3088GG;BU05992198;GM0599;3088;3088GG;False;False;False;51.87535945589381;4.448303654612603;WarmteAtlas:DataCentraWarmte_2021;;;
107;NorthC;Tempelhof;5;Rotterdam;3045 PV;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;90427;440951;BU05990455;GM0599;3045;3045PV;BU05990455;GM0599;3045;3045PV;BU05990455;GM0599;3045;3045PV;False;False;False;51.953243619263674;4.447853718312805;WarmteAtlas:DataCentraWarmte_2021;;;
108;NTT;Aviolanda;1;Rozenburg;1437 ED;5;Middel-klein;5000-10K;25-100;44-176;30-120;60-240;30-35;(3) uitkoppeling van warmte vraagt enige investering;111182;477515;BU03940677;GM0394;1437;1437ED;BU03940677;GM0394;1437;1437ED;BU03940677;GM0394;1437;1437ED;False;False;False;52.28388714606831;4.745051164531799;WarmteAtlas:DataCentraWarmte_2021;;;
109;Previder;Barnsteenstraat;15;Hengelo;7554 TC;3;Klein;1000-2000;5-12;8,8-22;6-15;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;249226;473780;BU01640600;GM0164;7554;7554TC;BU01640600;GM0164;7554;7554TC;BU01640600;GM0164;7554;7554TC;False;False;False;52.24400213247148;6.766893980075988;WarmteAtlas:DataCentraWarmte_2021;;;
110;Previder;Expolaan;50;Hengelo;7556 BE;4;Middel-klein;2000-5000;5-12;22-44;6-15;30-60;20-25;(1) uitkoppeling wamte vindt al plaats;249156;478372;BU01640700;GM0164;7556;7556BE;BU01640700;GM0164;7556;7556BE;BU01640700;GM0164;7556;7556BE;False;False;False;52.285276134448615;6.767149033406127;WarmteAtlas:DataCentraWarmte_2021;;;
111;QTS;Huibertgatweg;2;Eemshaven;9979 XZ;6;Middel-groot;10K-40K;12-25;8,8-22;30-120;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;252821;606620;BU19661401;GM1966;9979;9979XZ;BU19661401;GM1966;9979;9979XZ;BU19661401;GM1966;9979;9979XZ;False;False;False;53.436827389633805;6.859159651017312;WarmteAtlas:DataCentraWarmte_2021;;;
112;QTS;Zernikelaan;16;Groningen;9747 AA;4;Middel-klein;2000-5000;5-12;8,8-22;15-30;12-30;20-25;(2) uitkoppeling warmte is voorbereid;231193;584995;BU00141003;GM0014;9747;9747AA;BU00141003;GM0014;9747;9747AA;BU00141003;GM0014;9747;9747AA;False;False;False;53.246092361131275;6.528625720522811;WarmteAtlas:DataCentraWarmte_2021;;;
113;RAM Infotechnology;Ptolemaeuslaan;69;Utrecht;3528 BR;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;133852;453474;BU03440953;GM0344;3528;3528BR;BU03440953;GM0344;3528;3528BR;BU03440953;GM0344;3528;3528BR;False;False;False;52.06914934714831;5.078770050232788;WarmteAtlas:DataCentraWarmte_2021;;;
114;RUG Rekenhal;Nettelbosje;1;Groningen;9747 AJ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;231688;584105;BU00141003;GM0014;9747;9747AJ;BU00141003;GM0014;9747;9747AJ;BU00141003;GM0014;9747;9747AJ;False;False;False;53.238025885612004;6.535827053472741;WarmteAtlas:DataCentraWarmte_2021;;;
115;Sentia Gyrocenter;Gyroscoopweg;134-140;Amsterdam;1042 AZ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;117965;490432;BU0363BA05;GM0363;1042;1042AZ;BU0363BA05;GM0363;1042;1042AZ;BU0363BA05;GM0363;1042;1042AZ;False;False;False;52.400474032114694;4.8430302543116515;WarmteAtlas:DataCentraWarmte_2021;;;
116;Serverfarm;Archangelkade;1;Amsterdam;1013 BE;5;Middel-klein;5000-10K;12-25;44-176;30-120;60-240;20-25;(3) uitkoppeling van warmte vraagt enige investering;119880;489865;BU0363BB05;GM0363;1013;1013BE;BU0363BB05;GM0363;1013;1013BE;BU0363BB05;GM0363;1013;1013BE;False;False;False;52.395504194900866;4.871226528219618;WarmteAtlas:DataCentraWarmte_2021;;;
117;Serverius;Laan van de Ram;39;Apeldoorn;7324 BW;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;196929;473404;BU02000706;GM0200;7324;7324BW;BU02000706;GM0200;7324;7324BW;BU02000706;GM0200;7324;7324BW;False;False;False;52.24708562487943;6.001164747832543;WarmteAtlas:DataCentraWarmte_2021;;;
118;Serverius;De Linge;26;Dronten;8253 PJ;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;176563;506279;BU03030102;GM0303;8253;8253PJ;BU03030102;GM0303;8253;8253PJ;BU03030102;GM0303;8253;8253PJ;False;False;False;52.54372039608888;5.705067955817635;WarmteAtlas:DataCentraWarmte_2021;;;
119;Serverius;Ketelskamp;10;Meppel;7942 KG;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;209927;525919;BU01190901;GM0119;7942;7942KG;BU01190901;GM0119;7942;7942KG;BU01190901;GM0119;7942;7942KG;False;False;False;52.717874966741704;6.200112720031411;WarmteAtlas:DataCentraWarmte_2021;;;
120;Skylink;Bart van Slobbestraat;16B;Eygelshoven;6471 WV;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;203037;323099;BU09280200;GM0928;6471;6471WV;BU09280200;GM0928;6471;6471WV;BU09280200;GM0928;6471;6471WV;False;False;False;50.89565223391941;6.069964319908515;WarmteAtlas:DataCentraWarmte_2021;;;
121;SmartDC;Kloosterweg;1;Heerlen;6412 CN;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;196191;322639;BU09173103;GM0917;6412;6412CN;BU09173103;GM0917;6412;6412CN;BU09173103;GM0917;6412;6412CN;False;False;False;50.892050923794756;5.972612813013789;WarmteAtlas:DataCentraWarmte_2021;;;
122;SmartDC;Van Nelleweg;1;Rotterdam;3044 BC;4;Middel-klein;2000-5000;5-12;8,8-22;15-30;30-60;20-25;(2) uitkoppeling warmte is voorbereid;89478;437581;BU05991853;GM0599;3044;3044BC;BU05991853;GM0599;3044;3044BC;BU05991853;GM0599;3044;3044BC;False;False;False;51.92284562155512;4.43469282793907;WarmteAtlas:DataCentraWarmte_2021;;;
123;Solcon;Het Spaarne;11;Dronten;8253 PE;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;176372;505793;BU03030102;GM0303;8253;8253PE;BU03030102;GM0303;8253;8253PE;BU03030102;GM0303;8253;8253PE;False;False;False;52.539360164023456;5.702221238243384;WarmteAtlas:DataCentraWarmte_2021;;;
124;Switch;Keienbergweg;22;Amsterdam;1101 GB;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(2) uitkoppeling warmte is voorbereid;124230;480270;BU0363TA02;GM0363;1101;1101GB;BU0363TA02;GM0363;1101;1101GB;BU0363TA02;GM0363;1101;1101GB;False;False;False;52.309531509435;4.9360115161426075;WarmteAtlas:DataCentraWarmte_2021;;;
125;Switch;Treubweg;9;Diemen;1112 BA;5;Middel-klein;5000-10K;12-25;22-44;15-30;60-240;30-35;(2) uitkoppeling warmte is voorbereid;126786;482707;BU03840601;GM0384;1112;1112BA;BU03840601;GM0384;1112;1112BA;BU03840601;GM0384;1112;1112BA;False;False;False;52.33157097565042;4.97328616050233;WarmteAtlas:DataCentraWarmte_2021;;;
126;Switch;Polanerbaan;1;Woerden;3447 GN;4;Middel-klein;2000-5000;2,5-5;8,8-22;6-15;12-30;30-35;(2) uitkoppeling warmte is voorbereid;121076;455014;BU06320301;GM0632;3447;3447GN;BU06320301;GM0632;3447;3447GN;BU06320301;GM0632;3447;3447GN;False;False;False;52.082355558690914;4.892290720407357;WarmteAtlas:DataCentraWarmte_2021;;;
127;Systemec;Marinus Dammeweg;19;Venlo;5928 PW;1;Klein;<200;<0,5;<0,9;<0,6;1,2-6;20-25;(2) uitkoppeling warmte is voorbereid;208724;376864;BU09832803;GM0983;5928;5928PW;BU09832803;GM0983;5928;5928PW;BU09832803;GM0983;5928;5928PW;False;False;False;51.378393204958954;6.158861656963247;WarmteAtlas:DataCentraWarmte_2021;;;
128;Systemec;Marinus Dammeweg;25;Venlo;5928 PW;1;Klein;<200;<0,5;0,9-4,4;<0,6;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;208745;376845;BU09832803;GM0983;5928;5928PW;BU09832803;GM0983;5928;5928PW;BU09832803;GM0983;5928;5928PW;False;False;False;51.3782204342799;6.159160374185034;WarmteAtlas:DataCentraWarmte_2021;;;
129;T-Mobile;Gyroscoopweg;148;Amsterdan;1042 AZ;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;117942;490497;BU0363BA05;GM0363;1042;1042AZ;BU0363BA05;GM0363;1042;1042AZ;BU0363BA05;GM0363;1042;1042AZ;False;False;False;52.401056645934446;4.842685140839767;WarmteAtlas:DataCentraWarmte_2021;;;
130;Verizon;Kollenbergweg;13;Amsterdam;1101 AT;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;25-30;(4) uitkoppeling pas mogelijk na een grote investering;124200;479771;BU0363TA02;GM0363;1101;1101AR;BU0363TA02;GM0363;1101;1101AR;BU0363TA02;GM0363;1101;1101AR;False;False;False;52.30504509212947;4.935617198592856;WarmteAtlas:DataCentraWarmte_2021;;;
131;Verizon;Cateringweg;5;Schiphol;1118 AM;4;Middel-klein;2000-5000;0,5-2,5;8,8-22;6-15;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;115080;481757;BU03941663;GM0394;1118;1118AM;BU03941663;GM0394;1118;1118AM;BU03941663;GM0394;1118;1118AM;False;False;False;52.32230774660299;4.8016713198104926;WarmteAtlas:DataCentraWarmte_2021;;;
132;Verizon;Koperstraat;6;Rotterdam;3067 GL;2;Klein;200-1000;<0,5;0,9-4,4;0,6-3;1,2-6;25-30;(4) uitkoppeling pas mogelijk na een grote investering;97515;440470;BU05991449;GM0599;3067;3067GL;BU05991449;GM0599;3067;3067GL;BU05991449;GM0599;3067;3067GL;False;False;False;51.94969897127851;4.551032843234076;WarmteAtlas:DataCentraWarmte_2021;;;
50;Edgeconnex;Koolhovenlaan;12;Schiphol-Rijk;1119 NE;3;Klein;1000-2000;5-12;22-44;6-15;30-60;30-35;(4) uitkoppeling pas mogelijk na een grote investering;112619;477521;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;False;False;False;52.28405356979633;4.766108442119232;WarmteAtlas:DataCentraWarmte_2021;;;
51;Edgeconnex;Cessnalaan;55;Schiphol-Rijk;1119 NK;4;Middel-klein;2000-5000;12-25;44-176;30-120;60-240;30-35;(4) uitkoppeling pas mogelijk na een grote investering;112619;477521;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;False;False;False;52.28405356979633;4.766108442119232;WarmteAtlas:DataCentraWarmte_2021;;;
52;Edgeconnex;Cessnalaan;55;Schiphol-Rijk;1119 NK;4;Middel-klein;2000-5000;12-25;44-176;30-120;60-240;30-35;(4) uitkoppeling pas mogelijk na een grote investering;112619;477521;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;False;False;False;52.28405356979633;4.766108442119232;WarmteAtlas:DataCentraWarmte_2021;;;
53;Edgeconnex;Cessnalaan;32;Schiphol-Rijk;1119 NL;4;Middel-klein;2000-5000;12-25;44-176;30-120;60-240;30-35;(4) uitkoppeling pas mogelijk na een grote investering;112619;477521;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;False;False;False;52.28405356979633;4.766108442119232;WarmteAtlas:DataCentraWarmte_2021;;;
54;Edgeconnex;Koolhovenlaan;6;Schiphol-Rijk;1119 NE;6;Middel-groot;10K-40K;25-100;176-440;120-290;240-580;30-35;(3) uitkoppeling van warmte vraagt enige investering;112695;477551;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;BU03940674;GM0394;1119;1119NE;False;False;False;52.2843290339873;4.767218404165633;WarmteAtlas:DataCentraWarmte_2021;;;
55;Equans;Minckelersstraat;2;Landgraaf;6372 PP;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;200068;322677;BU08820008;GM0882;6372;6372PP;BU08820008;GM0882;6372;6372PP;BU08820008;GM0882;6372;6372PP;False;False;False;50.89210051358889;6.02771503730957;WarmteAtlas:DataCentraWarmte_2021;;;
56;Equans;Amerikalaan;35;Maastricht;6199 AE;4;Middel-klein;2000-5000;0,5-2,5;8,8-22;6-15;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;182693;326539;BU08880109;GM0888;6199;6199AE;BU08880109;GM0888;6199;6199AE;BU08880109;GM0888;6199;6199AE;False;False;False;50.92791833142279;5.7810806417878995;WarmteAtlas:DataCentraWarmte_2021;;;
57;e-quest;Schootense Dreef;26;Helmond;5708 HZ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;25-30;(4) uitkoppeling pas mogelijk na een grote investering;171243;387646;BU07941701;GM0794;5708;5708HZ;BU07941701;GM0794;5708;5708HZ;BU07941701;GM0794;5708;5708HZ;False;False;False;51.477630258703925;5.62101201423633;WarmteAtlas:DataCentraWarmte_2021;;;
58;Equinix;Duivendrechtsekade;80A;Amsterdam;1096 AH;3;Klein;1000-2000;5-12;4,4-8,8;3-6;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124049;483346;BU0363MQ07;GM0363;1096;1096AH;BU0363MQ07;GM0363;1096;1096AH;BU0363MQ07;GM0363;1096;1096AH;False;False;False;52.337166665734436;4.933074993768053;WarmteAtlas:DataCentraWarmte_2021;;;
59;Equinix;Luttenbergweg;4;Amsterdam;1101 EC;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124631;479277;BU0363TA02;GM0363;1101;1101EB;BU0363TA02;GM0363;1101;1101EB;BU0363TA02;GM0363;1101;1101EB;False;False;False;52.30062924039184;4.9419807709801855;WarmteAtlas:DataCentraWarmte_2021;;;
60;Equinix;Gyroscoopweg;2E-F;Amsterdam;1042 AB;4;Middel-klein;2000-5000;5-12;8,8-22;15-30;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;117657;490017;BU0363BA05;GM0363;1042;1042AB;BU0363BA05;GM0363;1042;1042AB;BU0363BA05;GM0363;1042;1042AB;False;False;False;52.39672347657774;4.838551023161207;WarmteAtlas:DataCentraWarmte_2021;;;
61;Equinix;Kuiperbergweg;13;Amsterdam;1101 AE;4;Middel-klein;2000-5000;5-12;8,8-22;15-30;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124357;479549;BU0363TA02;GM0363;1101;1101AE;BU0363TA02;GM0363;1101;1101AE;BU0363TA02;GM0363;1101;1101AE;False;False;False;52.30305864172537;4.937939218057058;WarmteAtlas:DataCentraWarmte_2021;;;
62;Equinix;Luttenbergweg;4;Amsterdam;1101 EC;4;Middel-klein;2000-5000;5-12;8,8-22;15-30;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124631;479277;BU0363TA02;GM0363;1101;1101EB;BU0363TA02;GM0363;1101;1101EB;BU0363TA02;GM0363;1101;1101EB;False;False;False;52.30062924039184;4.9419807709801855;WarmteAtlas:DataCentraWarmte_2021;;;
63;Equinix;Schepenbergweg;42;Amsterdam;1105 AT;5;Middel-klein;5000-10K;12-25;22-44;15-30;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124867;478510;BU0363TA04;GM0363;1105;1105AT;BU0363TA04;GM0363;1105;1105AT;BU0363TA04;GM0363;1105;1105AT;False;False;False;52.293748816640885;4.945509031774738;WarmteAtlas:DataCentraWarmte_2021;;;
64;Equinix;Science Park;610;Amsterdam;1098 XH;5;Middel-klein;5000-10K;12-25;22-44;15-30;60-240;20-25;(1) uitkoppeling wamte vindt al plaats;125922;485276;BU0363MN05;GM0363;1098;1098XH;BU0363MN05;GM0363;1098;1098XH;BU0363MN05;GM0363;1098;1098XH;False;False;False;52.35461462681381;4.960389138816386;WarmteAtlas:DataCentraWarmte_2021;;;
65;Equinix;Lemelerbergweg;28;Amsterdam;1101 AH;5;Middel-klein;5000-10K;12-25;44-176;30-120;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124451;479656;BU0363TA02;GM0363;1101;1101AH;BU0363TA02;GM0363;1101;1101AH;BU0363TA02;GM0363;1101;1101AH;False;False;False;52.3040255267329;4.939307645414352;WarmteAtlas:DataCentraWarmte_2021;;;
66;Equinix;Science Park;610;Amsterdam;1098 XH;6;Middel-groot;10K-40K;25-100;44-176;30-120;60-240;20-25;(1) uitkoppeling wamte vindt al plaats;125922;485276;BU0363MN05;GM0363;1098;1098XH;BU0363MN05;GM0363;1098;1098XH;BU0363MN05;GM0363;1098;1098XH;False;False;False;52.35461462681381;4.960389138816386;WarmteAtlas:DataCentraWarmte_2021;;;
67;Equinix;Auke Vleerstraat;1;Enschede;7521 PE;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;254883;473119;BU01530703;GM0153;7521;7521PE;BU01530703;GM0153;7521;7521PE;BU01530703;GM0153;7521;7521PE;False;False;False;52.237066317067416;6.849505469867265;WarmteAtlas:DataCentraWarmte_2021;;;
68;Equinix;Telfordstraat;3;Zwolle;8013 RL;2;Klein;200-1000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;206307;500369;BU01934110;GM0193;8013;8013RL;BU01934110;GM0193;8013;8013RL;BU01934110;GM0193;8013;8013RL;False;False;False;52.4886247194129;6.142592709760441;WarmteAtlas:DataCentraWarmte_2021;;;
69;Exa Infrastructure;Koolhovenlaan;120;Schiphol-Rijk;1119 NH;4;Middel-klein;2000-5000;0,5-2,5;8,8-22;6-15;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;111930;477009;BU03940674;GM0394;1119;1119NH;BU03940674;GM0394;1119;1119NH;BU03940674;GM0394;1119;1119NH;False;False;False;52.27939861003717;4.756077002632652;WarmteAtlas:DataCentraWarmte_2021;;;
70;Final Frontier;Cypergrasweg;3C;Almere;1313 AK;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;142545;488649;BU00342607;GM0034;1313;1313AK;BU00342607;GM0034;1313;1313AK;BU00342607;GM0034;1313;1313AK;False;False;False;52.3855577304524;5.204259344852688;WarmteAtlas:DataCentraWarmte_2021;;;
71;Global Switch;Johan Huizingalaan;759;Amsterdam;1066 VH;6;Middel-groot;10K-40K;25-100;44-176;30-120;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;116953;484157;BU0363FQ09;GM0363;1066;1066VH;BU0363FQ09;GM0363;1066;1066VH;BU0363FQ09;GM0363;1066;1066VH;False;False;False;52.34401001018791;4.828871426115847;WarmteAtlas:DataCentraWarmte_2021;;;
72;Global Switch;Johan Huizingalaan;759;Amsterdam;1066 VH;6;Middel-groot;10K-40K;25-100;44-176;30-120;60-240;20-25;(2) uitkoppeling warmte is voorbereid;116953;484157;BU0363FQ09;GM0363;1066;1066VH;BU0363FQ09;GM0363;1066;1066VH;BU0363FQ09;GM0363;1066;1066VH;False;False;False;52.34401001018791;4.828871426115847;WarmteAtlas:DataCentraWarmte_2021;;;
73;Global-e;Europalaan;5;Rijen;5121 DH;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;123769;398835;BU07840108;GM0784;5121;5121DH;BU07840108;GM0784;5121;5121DH;BU07840108;GM0784;5121;5121DH;False;False;False;51.577570866050166;4.936653572845727;WarmteAtlas:DataCentraWarmte_2021;;;
74;Global-e;Haansbergseweg;12;Rijen;5121 LJ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;123251;399006;BU07840108;GM0784;5121;5121LJ;BU07840108;GM0784;5121;5121LJ;BU07840108;GM0784;5121;5121LJ;False;False;False;51.57907884653424;4.929165467338541;WarmteAtlas:DataCentraWarmte_2021;;;
75;Globe Datacenter;Ravelijncenter;23;Den Helder;1785 LX;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;113647;550861;BU04000500;GM0400;1785;1785LX;BU04000500;GM0400;1785;1785LX;BU04000500;GM0400;1785;1785LX;False;False;False;52.94321221584872;4.7720345215599576;WarmteAtlas:DataCentraWarmte_2021;;;
76;Google;Oostpolder;4;Eemshaven;9979 XT;7;Hyperscale;40K-100K;>200;>440;>290;>580;20-25;(4) uitkoppeling pas mogelijk na een grote investering;252819;605225;BU19661401;GM1966;9979;9979XS;BU19661401;GM1966;9979;9979XS;BU19661401;GM1966;9979;9979XS;False;False;False;53.424297234946685;6.858700183505436;WarmteAtlas:DataCentraWarmte_2021;;;
77;Google;Tussenweg;12;Middenmeer;1775 RK;6;Middel-groot;10K-40K;100-200;176-440;120-290;240-580;20-25;(4) uitkoppeling pas mogelijk na een grote investering;130838;533816;BU19111080;GM1911;1775;1775RK;BU19111080;GM1911;1775;1775RK;BU19111080;GM1911;1775;1775RK;False;False;False;52.79108264032727;5.029020475782721;WarmteAtlas:DataCentraWarmte_2021;;;
78;Greenhouse;Industriestraat;24;Naaldwijk;5145 PV;3;Klein;1000-2000;0,5-2,5;8,8-22;3-6;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;74219;446525;BU17830155;GM1783;2671;2671CT;BU17830155;GM1783;2671;2671CT;BU17830155;GM1783;2671;2671CT;False;False;False;52.00121579654411;4.210804402371652;WarmteAtlas:DataCentraWarmte_2021;;;
79;Greenhouse;Industriestraat;53;Naaldwijk;5145 PD;4;Middel-klein;2000-5000;0,5-2,5;8,8-22;6-15;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;74118;446549;BU17830155;GM1783;2671;2671CT;BU17830155;GM1783;2671;2671CT;BU17830155;GM1783;2671;2671CT;False;False;False;52.001416765388456;4.209328188485492;WarmteAtlas:DataCentraWarmte_2021;;;
80;i-beheer;Monierweg;9;Coevorden;7741 KV;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;246187;519573;BU01091012;GM0109;7741;7741KV;BU01091012;GM0109;7741;7741KV;BU01091012;GM0109;7741;7741KV;False;False;False;52.65598205495653;6.734887128314868;WarmteAtlas:DataCentraWarmte_2021;;;
81;Interconnect;De Steenbok;1;Den Bosch;5215 MG;2;Klein;200-1000;0,5-2,5;4,4-8,8;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;153057;410882;BU07960212;GM0796;5215;5215MG;BU07960212;GM0796;5215;5215MG;BU07960212;GM0796;5215;5215MG;False;False;False;51.686720062874116;5.359104013361682;WarmteAtlas:DataCentraWarmte_2021;;;
82;Interconnect;Park Forum;1041;Eindhoven;5657 HJ;5;Middel-klein;5000-10K;5-12;22-44;15-30;60-240;20-25;(2) uitkoppeling warmte is voorbereid;155018;383618;BU07726360;GM0772;5657;5657HJ;BU07726360;GM0772;5657;5657HJ;BU07726360;GM0772;5657;5657HJ;False;False;False;51.44165841301477;5.387459807929047;WarmteAtlas:DataCentraWarmte_2021;;;
83;InterDC;Gildenbroederslaan;1;Doetinchem;7005 BM;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;217752;441045;BU02220503;GM0222;7005;7005BM;BU02220503;GM0222;7005;7005BM;BU02220503;GM0222;7005;7005BM;False;False;False;51.954294455632144;6.30008198872619;WarmteAtlas:DataCentraWarmte_2021;;;
84;Intermax;Schouwburgplein;30;Rotterdam;3012 CL;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;92217;437246;BU05990112;GM0599;3012;3012CL;BU05990112;GM0599;3012;3012CL;BU05990112;GM0599;3012;3012CL;False;False;False;51.92015074334852;4.47456657736014;WarmteAtlas:DataCentraWarmte_2021;;;
85;Iron Mountain;J.W. Lucasweg;35;Haarlem;2031 BE;6;Middel-groot;10K-40K;12-25;44-176;30-120;60-240;20-25;(3) uitkoppeling van warmte vraagt enige investering;105821;489565;BU03920602;GM0392;2031;2031BE;BU03920602;GM0392;2031;2031BE;BU03920602;GM0392;2031;2031BE;False;False;False;52.39172824231303;4.664731211889246;WarmteAtlas:DataCentraWarmte_2021;;;
86;ITB2;Grote Woudhuis;5;Apeldoorn;7325 WM;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;198664;468231;BU02000607;GM0200;7325;7325WM;BU02000607;GM0200;7325;7325WM;BU02000607;GM0200;7325;7325WM;False;False;False;52.200459185262005;6.025901381500782;WarmteAtlas:DataCentraWarmte_2021;;;
87;ITB2;Herfordstraat;18;Deventer;7418 EX;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;210177;472590;BU01500705;GM0150;7418;7418EX;BU01500705;GM0150;7418;7418EX;BU01500705;GM0150;7418;7418EX;False;False;False;52.23860245885382;6.195004424479278;WarmteAtlas:DataCentraWarmte_2021;;;
88;ITPT Networks;Science Park;404;Amsterdam;1098 XH;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;125761;485495;BU0363MN05;GM0363;1098;1098XH;BU0363MN05;GM0363;1098;1098XH;BU0363MN05;GM0363;1098;1098XH;False;False;False;52.35657432103972;4.95800696489583;WarmteAtlas:DataCentraWarmte_2021;;;
