OBJECTID;Potentieel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1042;3.0;BU07960804;GM0796;5236.0;5236BE;BU07960804;GM0796;5236.0;5236BE;BU07960804;GM0796;5236.0;5236BE;False;False;False;51.753016958922785;5.351604647007797;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1043;3.0;BU07960804;GM0796;5236.0;5236BE;BU07960804;GM0796;5236.0;5236BE;BU07960804;GM0796;5236.0;5236BE;False;False;False;51.75178530464266;5.350823592872499;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1044;3.0;BU08282109;GM0828;5398.0;5398KH;BU08282109;GM0828;5398.0;5398KH;BU08282109;GM0828;5398.0;5398KH;False;False;False;51.753827100504424;5.355760493815696;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1045;3.0;BU07970700;GM0797;5257.0;5257NC;BU07970700;GM0797;5257.0;5257NC;BU07970700;GM0797;5257.0;5257NC;False;False;False;51.7377710335654;5.2047870003014145;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1046;2.0;BU04893161;GM0489;2992.0;2992SC;BU04893161;GM0489;2992.0;2992SC;BU04893161;GM0489;2992.0;2992SC;False;False;False;51.835208589050644;4.5309042718334505;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1047;2.0;BU06420801;GM0642;2995.0;2995XD;BU06420801;GM0642;2995.0;2995XD;BU06420801;GM0642;2995.0;2995XD;False;False;False;51.83650124191642;4.559091037828088;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1048;3.41;BU19590291;GM1959;4254.0;4254LD;BU19590291;GM1959;4254.0;4254LD;BU19590291;GM1959;4254.0;4254LD;False;False;False;51.82455265958491;4.930212558404915;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1049;2.69;BU05051917;GM0505;3316.0;3316EN;BU05051917;GM0505;3316.0;3316LB;BU05051917;GM0505;3316.0;3316LB;False;False;False;51.7699719187132;4.630111805124402;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1050;2.97;BU05050200;GM0505;3311.0;3311TR;BU05050200;GM0505;3311.0;3311TR;BU05050200;GM0505;3311.0;3311TR;False;False;False;51.816625246339235;4.674750553975783;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1051;2.97;BU05050500;GM0505;3312.0;3312AL;BU05050500;GM0505;3312.0;3312AL;BU05050500;GM0505;3312.0;3312AL;False;False;False;51.80964808905891;4.696984266212959;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1052;3.67;BU05050301;GM0505;3314.0;3314CA;BU05050301;GM0505;3314.0;3314CA;BU05050301;GM0505;3314.0;3314CA;False;False;False;51.8060963538212;4.651715632023229;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1053;5.0;BU16760109;GM1676;4318.0;4318TM;BU16760109;GM1676;4318.0;4318TM;BU16760109;GM1676;4318.0;4318TM;False;False;False;51.74072902468387;3.8891693061091717;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1054;3.21;BU04893160;GM0489;2993.0;2993AL;BU04893160;GM0489;2993.0;2993AL;BU04893160;GM0489;2993.0;2993AL;False;False;False;51.84134414834032;4.493907260413556;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1055;3.06;BU19630400;GM1963;3297.0;3297LC;BU19630400;GM1963;3297.0;3297LC;BU19630400;GM1963;3297.0;3297LC;False;False;False;51.80263603977865;4.574346508263883;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1056;3.0;BU19630199;GM1963;3274.0;3274KH;BU19630199;GM1963;3274.0;3274KH;BU19630199;GM1963;3274.0;3274KH;False;False;False;51.82284963328739;4.553298955351485;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1057;3.12;BU19630050;GM1963;3261.0;3261ME;BU19630050;GM1963;3261.0;3261MG;BU19630050;GM1963;3261.0;3261MG;False;False;False;51.8295071054303;4.449871453410056;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1058;3.12;BU19630100;GM1963;3274.0;3274BC;BU19630100;GM1963;3274.0;3274BC;BU19630100;GM1963;3274.0;3274BC;False;False;False;51.825947076414415;4.472845618924647;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1059;2.17;BU19630599;GM1963;3299.0;3299LL;BU19630599;GM1963;3299.0;3299LL;BU19630599;GM1963;3299.0;3299LL;False;False;False;51.7878498308936;4.542423870109402;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1060;3.37;BU19630200;GM1963;3271.0;3271VD;BU19630200;GM1963;3271.0;3271VD;BU19630200;GM1963;3271.0;3271VD;False;False;False;51.79455178922051;4.482613385651526;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1061;3.06;BU19630500;GM1963;3299.0;3299AE;BU19630500;GM1963;3299.0;3299AE;BU19630500;GM1963;3299.0;3299AE;False;False;False;51.798551756386566;4.566925630595302;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1062;3.06;BU19630400;GM1963;3297.0;3297LC;BU19630400;GM1963;3297.0;3297LC;BU19630400;GM1963;3297.0;3297LC;False;False;False;51.7996535737691;4.579723875092353;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1063;3.0;BU19921002;GM1992;3227.0;3227CK;BU19921002;GM1992;3227.0;3227CK;BU19921002;GM1992;3227.0;3227CK;False;False;False;51.81668266385658;4.168524425086255;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1064;3.5;BU19240705;GM1924;3247.0;3247LL;BU19240705;GM1924;3247.0;3247LL;BU19240705;GM1924;3247.0;3247LL;False;False;False;51.76755298295431;4.10554566742073;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1065;3.5;BU19240705;GM1924;3247.0;3247LR;BU19240705;GM1924;3247.0;3247LR;BU19240705;GM1924;3247.0;3247LR;False;False;False;51.7550786632761;4.103720723616751;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1066;3.5;BU19240705;GM1924;3247.0;3247LH;BU19240705;GM1924;3247.0;3247LH;BU19240705;GM1924;3247.0;3247LH;False;False;False;51.766430550650696;4.107922874613769;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1067;3.0;BU05059804;GM0505;3329.0;3329LB;BU05059804;GM0505;3329.0;3329LB;BU05059804;GM0505;3329.0;3329LB;False;False;False;51.75370844828985;4.666596440249427;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1068;3.0;BU05059804;GM0505;3329.0;3329KH;BU05059804;GM0505;3329.0;3329KH;BU05059804;GM0505;3329.0;3329KH;False;False;False;51.7560957517083;4.686616564306752;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1069;2.97;BU19780406;GM1978;3381.0;3381JR;BU19780406;GM1978;3381.0;3381JR;BU19780406;GM1978;3381.0;3381JR;False;False;False;51.83247751114725;4.875045257291923;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1070;2.97;BU19780406;GM1978;3381.0;3381JR;BU19780406;GM1978;3381.0;3381JR;BU19780406;GM1978;3381.0;3381JR;False;False;False;51.83236034990999;4.8749740488104045;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1071;3.41;BU19781705;GM1978;4209.0;4209AZ;BU19781705;GM1978;4209.0;4209AZ;BU19781705;GM1978;4209.0;4209AZ;False;False;False;51.840820001595986;4.932064553405629;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1072;3.6;BU19240003;GM1924;3252.0;3252BB;BU19240003;GM1924;3252.0;3252BB;BU19240003;GM1924;3252.0;3252BB;False;False;False;51.814709182670455;3.9656326789543734;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1073;3.44;BU19240201;GM1924;3251.0;3251AP;BU19240201;GM1924;3251.0;3251AP;BU19240201;GM1924;3251.0;3251AP;False;False;False;51.80469804248025;4.030091563257992;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1074;3.0;BU05230405;GM0523;3373.0;3373AV;BU05230405;GM0523;3373.0;3373AV;BU05230405;GM0523;3373.0;3373AV;False;False;False;51.840921715985274;4.840065350497517;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1075;2.97;BU05230309;GM0523;3372.0;3372LA;BU05230309;GM0523;3372.0;3372LA;BU05230309;GM0523;3372.0;3372LA;False;False;False;51.82126768145113;4.85856503529892;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1076;3.0;BU06420905;GM0642;2995.0;2995XL;BU06420905;GM0642;2995.0;2995XL;BU06420905;GM0642;2995.0;2995XL;False;False;False;51.81984766605732;4.5643418532301405;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1077;3.61;BU19920300;GM1992;3224.0;3224AE;BU19920300;GM1992;3224.0;3224AE;BU19920300;GM1992;3224.0;3224AE;False;False;False;51.82367923077377;4.134527003135725;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1078;3.0;BU19631099;GM1963;3284.0;3284KR;BU19631099;GM1963;3284.0;3284KR;BU19631099;GM1963;3284.0;3284KR;False;False;False;51.75506438197419;4.317966337469037;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1079;3.0;BU19631099;GM1963;3284.0;3284KR;BU19631099;GM1963;3284.0;3284KR;BU19631099;GM1963;3284.0;3284KR;False;False;False;51.75506438197419;4.317966337469037;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1080;3.23;BU19305001;GM1930;3209.0;3209LG;BU19305001;GM1930;3209.0;3209LG;BU19305001;GM1930;3209.0;3209LG;False;False;False;51.81811483554788;4.339776493916895;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1081;3.45;BU19630799;GM1963;3291.0;3291AX;BU19630799;GM1963;3291.0;3291AX;BU19630799;GM1963;3291.0;3291AX;False;False;False;51.75025669442482;4.544419206343686;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1082;1.36;BU19241201;GM1924;3243.0;3243AE;BU19241201;GM1924;3243.0;3243AE;BU19241201;GM1924;3243.0;3243AE;False;False;False;51.73836254638892;4.245361995238551;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1083;3.61;BU19920005;GM1992;3221.0;3221LK;BU19920005;GM1992;3221.0;3221LK;BU19920005;GM1992;3221.0;3221LK;False;False;False;51.83237962996121;4.143337264353022;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1084;1.35;BU19591491;GM1959;4261.0;4261AH;BU19591491;GM1959;4261.0;4261AH;BU19591491;GM1959;4261.0;4261AH;False;False;False;51.763689056911666;5.134412112691253;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1085;2.5;BU08281100;GM0828;5368.0;5368AT;BU08281100;GM0828;5368.0;5368AT;BU08281100;GM0828;5368.0;5368AT;False;False;False;51.80490105628357;5.57222307318836;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1086;2.54;BU19630900;GM1963;3281.0;3281SG;BU19630900;GM1963;3281.0;3281SG;BU19630900;GM1963;3281.0;3281SG;False;False;False;51.73572312008392;4.44245244239701;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1087;2.69;BU05051919;GM0505;3316.0;3316EJ;BU05051919;GM0505;3316.0;3316EJ;BU05051919;GM0505;3316.0;3316EJ;False;False;False;51.760754776597885;4.644933419650415;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1088;2.69;BU05051917;GM0505;3316.0;3316KC;BU05051917;GM0505;3316.0;3316KC;BU05051917;GM0505;3316.0;3316KC;False;False;False;51.770603392428875;4.637290811556846;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1089;3.45;BU19630799;GM1963;3291.0;3291CD;BU19630799;GM1963;3291.0;3291CD;BU19630799;GM1963;3291.0;3291CD;False;False;False;51.767054210892404;4.546882577459566;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1090;2.97;BU06420107;GM0642;3332.0;3332JD;BU06420107;GM0642;3332.0;3332JD;BU06420107;GM0642;3332.0;3332JD;False;False;False;51.82799959305273;4.661429134456345;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
1091;3.45;BU19630799;GM1963;3291.0;3291LN;BU19630799;GM1963;3291.0;3291LN;BU19630799;GM1963;3291.0;3291LN;False;False;False;51.748108065051476;4.5197941853376085;WarmteAtlas:WarmteUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:45;
