PK_UID;ID;GRIDCODE;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
23;23;440;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.46202516741042;5.668483098156025;MULTIPOLYGON (((5.67045 53.46319, 5.669143 53.460454, 5.665856 53.462432, 5.67045 53.46319)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
24;24;440;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.46182941927476;5.807822844060227;MULTIPOLYGON (((5.80595 53.462795, 5.809714 53.462782, 5.807804 53.459912, 5.80595 53.462795)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
25;25;440;BU19661201;GM1966;BU19661201;GM1966;BU19661201;GM1966;False;False;53.45573822832233;6.669609866839938;MULTIPOLYGON (((6.667757 53.456717, 6.67152 53.456677, 6.669553 53.453821, 6.667757 53.456717)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
26;26;460;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.45375862839758;6.8163319705247805;MULTIPOLYGON (((6.818181 53.452778, 6.814419 53.452822, 6.816396 53.455676, 6.818181 53.452778)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
27;27;460;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.45353909562415;6.848315830052172;MULTIPOLYGON (((6.85204 53.452371, 6.844516 53.452462, 6.844592 53.454707, 6.852116 53.454616, 6.85204 53.452371)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
28;28;440;BU00600008;GM0060;BU00600008;GM0060;BU00600008;GM0060;False;False;53.459574219432895;5.760754531292235;MULTIPOLYGON (((5.756981 53.458463, 5.757001 53.460709, 5.764528 53.460686, 5.764508 53.458439, 5.756981 53.458463)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
29;29;440;BU00600008;GM0060;BU00600008;GM0060;BU00600008;GM0060;False;False;53.45958053049467;5.783336752288273;MULTIPOLYGON (((5.779583 53.460637, 5.78711 53.460613, 5.783317 53.457491, 5.779583 53.460637)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
3;3;460;BU19660901;GM1966;BU19660901;GM1966;BU19660901;GM1966;False;False;53.54082443450511;6.469185737949953;MULTIPOLYGON (((6.507893 53.53244, 6.502056 53.533493, 6.494717 53.536155, 6.491099 53.533546, 6.472379 53.536259, 6.450202 53.538762, 6.436533 53.53787, 6.443093 53.550832, 6.464643 53.545065, 6.499394 53.541729, 6.507893 53.53244)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
30;30;440;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.45949153684706;5.800195276111035;MULTIPOLYGON (((5.802143 53.458316, 5.797562 53.4591, 5.800881 53.461059, 5.802143 53.458316)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
31;31;440;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.460706966775405;5.831440159731661;MULTIPOLYGON (((5.832251 53.458208, 5.828487 53.458222, 5.828533 53.462714, 5.836061 53.462686, 5.832251 53.458208)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
32;32;440;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.46035111766656;5.904037653512848;MULTIPOLYGON (((5.907519 53.457907, 5.903756 53.457923, 5.899448 53.463188, 5.9063 53.46165, 5.907519 53.457907)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
33;33;460;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.451598608394505;6.8294322631329685;MULTIPOLYGON (((6.825705 53.452688, 6.833229 53.452598, 6.829362 53.44951, 6.825705 53.452688)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
34;34;460;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.45117905165208;6.85764417923105;MULTIPOLYGON (((6.863248 53.449987, 6.851963 53.450125, 6.85204 53.452371, 6.863326 53.452233, 6.863248 53.449987)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
35;35;440;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.457444128928444;5.721219224469662;MULTIPOLYGON (((5.715583 53.458583, 5.726873 53.458551, 5.726855 53.456305, 5.715566 53.456337, 5.715583 53.458583)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
36;36;440;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.45703175753531;5.834197438519392;MULTIPOLYGON (((5.832251 53.458208, 5.836831 53.457422, 5.833511 53.455465, 5.832251 53.458208)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
37;37;460;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.48754396682709;6.20932685141034;MULTIPOLYGON (((6.322592 53.507064, 6.324413 53.504173, 6.326359 53.507035, 6.335592 53.501799, 6.328141 53.499116, 6.316651 53.497044, 6.297864 53.49261, 6.278798 53.488345, 6.252542 53.477848, 6.218284 53.4753, 6.199559 53.473096, 6.157967 53.471208, 6.154261 53.46665, 6.146751 53.466876, 6.146551 53.464499, 6.146977 53.455746, 6.128015 53.455415, 6.116601 53.465535, 6.129218 53.485557, 6.162632 53.5028, 6.209409 53.501384, 6.270183 53.506348, 6.322592 53.507064)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
38;38;440;BU19661201;GM1966;BU19661201;GM1966;BU19661201;GM1966;False;False;53.45136009723535;6.643135591749359;MULTIPOLYGON (((6.641222 53.450257, 6.641287 53.452503, 6.64505 53.452463, 6.644984 53.450218, 6.641222 53.450257)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
39;39;420;BU00600009;GM0060;BU00600009;GM0060;BU00600009;GM0060;False;False;53.455234978877606;5.638409486408667;MULTIPOLYGON (((5.640285 53.454272, 5.636522 53.45428, 5.638421 53.457153, 5.640285 53.454272)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
4;4;480;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.5060904742905;6.3244547837022305;MULTIPOLYGON (((6.322592 53.507064, 6.326359 53.507035, 6.324413 53.504173, 6.322592 53.507064)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
40;40;440;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.45835602944196;5.696263497676878;MULTIPOLYGON (((5.700496 53.45413, 5.690116 53.454987, 5.692079 53.457796, 5.676734 53.459805, 5.68549 53.460907, 5.708072 53.460849, 5.708056 53.458603, 5.708039 53.456357, 5.700512 53.456377, 5.700496 53.45413)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
41;41;440;BU00600008;GM0060;BU00600008;GM0060;BU00600008;GM0060;False;False;53.45508667124526;5.773809757394069;MULTIPOLYGON (((5.775758 53.453911, 5.771177 53.454695, 5.774494 53.456654, 5.775758 53.453911)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
42;42;440;BU19661101;GM1966;BU19661101;GM1966;BU19661101;GM1966;False;False;53.44921202538184;6.633664861020153;MULTIPOLYGON (((6.62987 53.448128, 6.629935 53.450374, 6.63746 53.450296, 6.637394 53.44805, 6.62987 53.448128)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
43;43;460;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.447084015767274;6.82466996238233;MULTIPOLYGON (((6.821718 53.445996, 6.821793 53.448242, 6.830499 53.447014, 6.821718 53.445996)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
44;44;460;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.44697649435865;6.841192608683906;MULTIPOLYGON (((6.844287 53.445725, 6.835671 53.446772, 6.840601 53.448016, 6.844363 53.447971, 6.844287 53.445725)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
45;45;440;BU00600007;GM0060;BU00600007;GM0060;BU00600007;GM0060;False;False;53.45295621259557;5.702446025652175;MULTIPOLYGON (((5.700496 53.45413, 5.705078 53.45335, 5.701764 53.451389, 5.700496 53.45413)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
46;46;440;BU00600008;GM0060;BU00600008;GM0060;BU00600008;GM0060;False;False;53.4528762193038;5.762500525517799;MULTIPOLYGON (((5.764449 53.451701, 5.759868 53.452484, 5.763185 53.454444, 5.764449 53.451701)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
47;47;460;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.44425765710864;6.872458616953052;MULTIPOLYGON (((6.8743 53.443112, 6.870539 53.443158, 6.870617 53.445404, 6.874378 53.445357, 6.8743 53.443112)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
48;48;440;BU00600009;GM0060;BU00600009;GM0060;BU00600009;GM0060;False;False;53.454827138662644;5.633966196278422;MULTIPOLYGON (((5.625208 53.44981, 5.627501 53.457347, 5.649111 53.458616, 5.640285 53.454272, 5.638421 53.457153, 5.636522 53.45428, 5.633546 53.450798, 5.625208 53.44981)));WarmteAtlas:WKOgeslKoudeOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:34;
