codering;jaar;wtp_actiedoelen;wtp_energiedragers;wtp_energiebronnen_z_omz;wtp_wng_check;wtp_wng_type_wnet;wtp_util_check
BU18830507;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU18830606;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU18830700;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030004;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030005;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030009;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030203;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030205;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030300;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030301;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030302;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030303;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030309;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030400;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030401;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030402;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030403;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030409;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU19030500;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820004;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820005;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820006;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820007;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820008;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820009;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820010;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820011;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820012;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820020;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820103;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820104;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820105;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820120;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820201;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820202;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820203;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820204;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820205;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820206;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820207;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08820220;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08880001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08880002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08880101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08880102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08880103;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU08990124;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990126;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990134;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990135;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990136;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990144;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990201;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990202;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990203;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990204;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990205;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990207;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990208;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990209;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990225;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990242;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990243;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990314;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990315;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990316;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990317;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990318;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990332;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990333;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990337;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990339;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Nee;klein;Nee
BU08990340;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Nee;klein;Nee
BU08990345;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990428;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990429;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990430;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990431;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990438;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Nee;klein;Nee
BU08990441;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990506;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990510;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990511;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990512;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990513;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990519;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990520;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990521;2023;Aardgasvrij;DE;Omgeving;Ja;klein;Nee
BU08990522;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990523;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU08990527;2023;Aardgasvrij,Energiebesparing;DE;Omgeving;Ja;klein;Nee
BU09171000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09171001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
