OBJECTID;Potentieel;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
1175;0.0;BU17050009;GM1705;6681.0;6681KG;BU17050009;GM1705;6681.0;6681KG;BU17050009;GM1705;6681.0;6681KG;False;False;False;51.87280238373888;5.881660738910097;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1176;0.0;BU19780303;GM1978;2974.0;2974VC;BU19780303;GM1978;2974.0;2974VC;BU19780303;GM1978;2974.0;2974VC;False;False;False;51.87147729036586;4.799871857323135;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1177;0.0;BU19601109;GM1960;4151.0;4151BS;BU19601109;GM1960;4151.0;4151BS;BU19601109;GM1960;4151.0;4151BS;False;False;False;51.872681521081674;5.138193808969026;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1178;0.0;BU19780206;GM1978;2971.0;2971XC;BU19780206;GM1978;2971.0;2971XC;BU19780206;GM1978;2971.0;2971XC;False;False;False;51.86964318365221;4.7926357355978855;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1179;0.0;BU19780801;GM1978;4223.0;4223SJ;BU19780801;GM1978;4223.0;4223SJ;BU19780801;GM1978;4223.0;4223SJ;False;False;False;51.870214629383106;4.918954175342243;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1180;0.0;BU05970800;GM0597;2988.0;2988CE;BU05970800;GM0597;2988.0;2988CE;BU05970800;GM0597;2988.0;2988CE;False;False;False;51.86569257432682;4.582162856958255;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1181;0.0;BU19780205;GM1978;2971.0;2971VC;BU19780205;GM1978;2971.0;2971VC;BU19780205;GM1978;2971.0;2971VC;False;False;False;51.865819485978946;4.749129530421643;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1182;0.0;BU19781105;GM1978;2973.0;2973XE;BU19781105;GM1978;2973.0;2973XE;BU19781105;GM1978;2973.0;2973XE;False;False;False;51.866099015402064;4.802845818492198;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1183;0.0;BU19780205;GM1978;2971.0;2971VC;BU19780205;GM1978;2971.0;2971VC;BU19780205;GM1978;2971.0;2971VC;False;False;False;51.86489695891862;4.744787016126022;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
1184;0.0;BU19781605;GM1978;2969.0;2969LA;BU19781605;GM1978;2969.0;2969LA;BU19781605;GM1978;2969.0;2969LA;False;False;False;51.863717828719984;4.695441668187218;WarmteAtlas:KoudeUitGemalenStuwen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:52:57;
