PK_UID;Bedrijf;EU_ID;NL_ID;Straatnaam;Gemeente;Nr;PostCode;lat;lon;NUTSRegio;NACECode;NACENaam;Sector_Co0;Act_Code;Activiteit;Emissie;kton2010;kton2015;kton2016;kton2017;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
4;Smurfit Kappa Roermond Papier BV;9483;4301;MIJNHEERKENSWEG;Roermond;18;6041TA;51.20616000357389;6.002510002722518;Midden-Limburg;17.12;Manufacture of paper and paperboard;6;6.(b);Industrial plants for the production of paper and board and other primary wood products;CO2 EXCL BIOMASS;0;158;153;154;BU09570004;GM0957;6041;6041TA;BU09570004;GM0957;6041;6041TA;BU09570004;GM0957;6041;6041TA;False;False;False;WarmteAtlas:CO2emissieGroteIndustrie;;;
5;Rockwool B.V.;9717;4753;INDUSTRIEWEG;Roermond;15;6045JG;51.17061000291539;6.043710002895029;Midden-Limburg;23.99;Manufacture of other non-metallic mineral products n.e.c.;3;3.(f);Installations for melting mineral substances, including the production of mineral fibres;CO2 EXCL BIOMASS;147;125;0;142;BU09570202;GM0957;6045;6045JG;BU09570202;GM0957;6045;6045JG;BU09570202;GM0957;6045;6045JG;False;False;False;WarmteAtlas:CO2emissieGroteIndustrie;;;
