waterschap;res_gebied;naamgeving;min_uur;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Brabantse Delta;Hart van Brabant;RWZI Rijen;149.15625;21073.39;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07840113;GM0784;5121;5121PH;BU07840113;GM0784;5121;5121PH;BU07840113;GM0784;5121;5121PH;False;False;False;51.6034258137267;4.9223875690807315;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Nieuw-Vossemeer;8.85083333332;0.0;Minimale waarde < 20 m3/uur;BU08510409;GM0851;4681;4681SN;BU08510409;GM0851;4681;4681SN;BU08510409;GM0851;4681;4681SN;False;False;False;51.57379821489662;4.220332459790428;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Dinteloord;21.6970833333;3065.45;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU08510309;GM0851;4671;4671RN;BU08510309;GM0851;4671;4671RN;BU08510309;GM0851;4671;4671RN;False;False;False;51.65121281081832;4.361019410843184;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;Hart van Brabant;RWZI Kaatsheuvel;116.010416667;16390.41;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU08091041;GM0809;5171;5171VH;BU08091041;GM0809;5171;5171VH;BU08091041;GM0809;5171;5171VH;False;False;False;51.65475002911437;4.9972993169717626;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;West-Brabant;RWZI Halsteren;37.1770833333;5252.52;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07480409;GM0748;4661;4661PB;BU07480409;GM0748;4661;4661PB;BU07480409;GM0748;4661;4661PB;False;False;False;51.52763732851347;4.256143603366807;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Brabantse Delta;Hart van Brabant;RWZI Riel;18.65125;0.0;Minimale waarde < 20 m3/uur;BU07852331;GM0785;5133;5133AC;BU07852331;GM0785;5133;5133AC;BU07852331;GM0785;5133;5133AC;False;False;False;51.53426324604157;5.023781941585518;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap De Dommel;Noord-oost Brabant;RWZI ST. OEDENRODE;483.660416668;68333.47;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU19480303;GM1948;5492;5492VB;BU19480303;GM1948;5492;5492VB;BU19480303;GM1948;5492;5492VB;False;False;False;51.56116432523864;5.445128699849865;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap De Dommel;Metropoolregio Eindhoven;RWZI SOERENDONK;88.58;12514.93;Specifieke berekening minimaal potentieel;BU17060409;GM1706;6027;6027RC;BU17060409;GM1706;6027;6027RC;BU17060409;GM1706;6027;6027RC;False;False;False;51.31134170242612;5.590608858351208;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap De Dommel;Metropoolregio Eindhoven;RWZI HAPERT;141.04;19926.69;Specifieke berekening minimaal potentieel;BU17280209;GM1728;5527;5527JR;BU17280209;GM1728;5527;5527JR;BU17280209;GM1728;5527;5527JR;False;False;False;51.37746278508631;5.240055772410389;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Vallei en Veluwe;Stedendriehoek/cleantechregio;Terwolde;107.5;15188.03;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU02850109;GM0285;7396;7396NB;BU02850109;GM0285;7396;7396BW;BU02850202;GM0285;7396;7396BW;True;False;False;52.26154000960039;6.120816713788874;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
