X;Y;BronNaam;BronTemp;TypeBron;MWth;Status;CapFactor;VolFactor;ProdKost;UitMin;UitMax;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
102755;448073;Mooy Logistics B V;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM0627;;;;GM0627;;;;GM0627;;;False;False;False;52.01854834203833;4.626088032714024;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
174854;361770;Vrieshuis Weert BV;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM0988;;;;GM0988;;;;GM0988;;;False;False;False;51.24492488594883;5.671537586215093;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
149773;431802;Frigo Group Logistics BV;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.874736377373466;5.311299020711533;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
146687;432743;Koninklijke Fruitmasters Groep   Fruitmasters Veiling B V;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88315690139582;5.266463332678565;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
163355;431882;H S Coldstores B V;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM0668;;;;GM0668;;;;GM0668;;;False;False;False;51.875417023408865;5.50853079702139;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
75600;449989;ABC Logistics BV;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;52.032544802378204;4.2301081471722926;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
73144;445225;ADB Cool Company B V;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.989375740025324;4.195463140379834;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
75757;440297;International Fruit Forwarders BV;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.945468317992635;4.234636267616167;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
75564;449661;Van den Bos Freshpartners BV;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;52.02959203556422;4.229659798574124;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
74961;443470;Van Duijn Coldstore BV;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.973869062298164;4.222321162391016;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
75772;449828;Varekamp Coldstores Holland B V;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;52.03112255795371;4.232651508440814;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
73138;445259;Westland Preparatie B V;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM1783;;;;GM1783;;;;GM1783;;;False;False;False;51.989680399251576;4.195367684411792;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
244912;442543;HSF Distri Coldstores Winterswijk BV;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM0294;;;;GM0294;;;;GM0294;;;False;False;False;51.96402471182378;6.695498576332362;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
95613;461647;Frigomundo Coldstore B V;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM0638;;;;GM0638;;;;GM0638;;;False;False;False;52.139822088814775;4.5196901231255735;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
100742;451036;Ajuin BV;0.0;KoelVries;2.0;Optie B;0.0;0.0;;;;;GM1892;;;;GM1892;;;;GM1892;;;False;False;False;52.04498481349582;4.596294865415141;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
232953;437799;Koel  en Vrieshuis Lintelo BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0197;;;;GM0197;;;;GM0197;;;False;False;False;51.92319849827656;6.520443374305288;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
115598;492067;BCS Amsterdam BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0363;;;;GM0363;;;;GM0363;;;False;False;False;52.41500310651944;4.808060336510986;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
198925;468138;Grolleman Coldstore BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0200;;;;GM0200;;;;GM0200;;;False;False;False;52.19960263411256;6.0297068920156045;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
180025;380714;Vriescentrale Asten BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0743;;;;GM0743;;;;GM0743;;;False;False;False;51.41499993990543;5.74693058771556;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
167845;464010;Harthoorn Coldstores BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0203;;;;GM0203;;;;GM0203;;;False;False;False;52.164100466567696;5.574939841499669;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
238743;461762;E Coldstore Neede BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM1859;;;;GM1859;;;;GM1859;;;False;False;False;52.13769906089308;6.610466273653187;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
179816;429587;Frigolanda BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0209;;;;GM0209;;;;GM0209;;;False;False;False;51.854298628644685;5.747403320983552;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
105990;498596;Vriescentrum Vink Beverwijk BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0375;;;;GM0375;;;;GM0375;;;False;False;False;52.472903810715884;4.66589266248111;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
38466;388813;Kloosterboer Vlissingen VOF;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0654;;;;GM0654;;;;GM0654;;;False;False;False;51.476302601400256;3.7096931880953443;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
37823;388416;Kloosterboer Vlissingen VOF;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0654;;;;GM0654;;;;GM0654;;;False;False;False;51.47260200752007;3.7005731968982336;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
112063;401116;BV Nemijtek Vrieshuizen;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0758;;;;GM0758;;;;GM0758;;;False;False;False;51.597300295861814;4.767507513587761;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
188686;414831;Blokland Cold Stores Cuijk BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.721203977627056;5.874710322164848;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
215656;443089;Diepvries Doetinchem BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0222;;;;GM0222;;;;GM0222;;;False;False;False;51.97289734919025;6.269955480708088;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
123377;402946;Frigolanda BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0766;;;;GM0766;;;;GM0766;;;False;False;False;51.61450001209962;4.93062698288993;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
173253;501735;L C  van der Vliet;37.5;KoelVries;0.87;Optie B;0.0;0.0;;;;;GM0303;;;;GM0303;;;;GM0303;;;False;False;False;52.503003303923734;5.656026426974452;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
197233;441798;2Mates Coldstores BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0226;;;;GM0226;;;;GM0226;;;False;False;False;51.963001093750584;6.001696703915702;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
178422;313722;BV Overslagbedrijf A 2;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM1903;;;;GM1903;;;;GM1903;;;False;False;False;50.81290158003871;5.71950658525491;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
101123;398005;BV Vriesveem;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0777;;;;GM0777;;;;GM0777;;;False;False;False;51.568395861632524;4.610105847880361;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
172517;485587;BCS Harderwijk BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM0243;;;;GM0243;;;;GM0243;;;False;False;False;52.35789917938973;5.6443421190200285;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
118884;524722;Koel  en Vrieshuis gebr  Van Langen BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM1980;;;;GM1980;;;;GM1980;;;False;False;False;52.70869565477504;4.852813265513374;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
250231;607867;Sealane Eemshorn BV;0.0;KoelVries;0.0;Optie B;0.0;0.0;;;;;GM1966;;;;GM1966;;;;GM1966;;;False;False;False;53.44849852139554;6.820572780364339;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
