gml_id;bronactualiteit;type;opp_m2;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
nl.top10nl.129614195;2014-01-01;windturbinepark;20096651;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;52.58785968684608;4.224042184822368;MULTIPOLYGON (((4.201715 52.572244, 4.199667 52.572875, 4.194759 52.574388, 4.192101 52.575207, 4.187711 52.576559, 4.184599 52.577518, 4.184178 52.577793, 4.184049 52.57789, 4.183695 52.578199, 4.183651 52.57824, 4.183589 52.578306, 4.183308 52.578643, 4.183252 52.578719, 4.183229 52.578757, 4.183029 52.579113, 4.183009 52.579151, 4.182976 52.579232, 4.182858 52.579603, 4.18284 52.579678, 4.182833 52.579727, 4.18283 52.580399, 4.182806 52.585248, 4.182805 52.585428, 4.183104 52.590828, 4.183999 52.592607, 4.191289 52.600614, 4.193059 52.60223, 4.194431 52.602765, 4.200811 52.605255, 4.202313 52.605809, 4.208877 52.608231, 4.210106 52.608684, 4.210683 52.608819, 4.21088 52.608855, 4.211482 52.608939, 4.211591 52.608952, 4.211686 52.608959, 4.212301 52.608991, 4.212507 52.608993, 4.213124 52.608973, 4.226492 52.60869, 4.227325 52.608673, 4.240149 52.608167, 4.242237 52.608085, 4.242436 52.608052, 4.24302 52.607929, 4.243095 52.607912, 4.243209 52.60788, 4.243762 52.607708, 4.243881 52.607666, 4.243936 52.607644, 4.244441 52.607428, 4.244494 52.607404, 4.244598 52.60735, 4.245052 52.607092, 4.24514 52.607037, 4.245192 52.607, 4.24558 52.606707, 4.245698 52.606604, 4.246015 52.606282, 4.246069 52.606223, 4.246109 52.60617, 4.25168 52.599007, 4.251798 52.598904, 4.252115 52.598581, 4.252168 52.598522, 4.264451 52.589091, 4.264539 52.589037, 4.264592 52.588999, 4.264979 52.588706, 4.265097 52.588604, 4.265414 52.588281, 4.265467 52.588222, 4.265507 52.588169, 4.265747 52.587822, 4.265814 52.587704, 4.265973 52.58734, 4.265994 52.587284, 4.266012 52.587217, 4.266086 52.586844, 4.266096 52.586719, 4.266084 52.586342, 4.26608 52.586293, 4.266066 52.586218, 4.265967 52.585844, 4.265783 52.581442, 4.26578 52.581393, 4.265765 52.581318, 4.265667 52.580944, 4.265639 52.580863, 4.265621 52.580824, 4.265439 52.580465, 4.265418 52.580426, 4.265366 52.58035, 4.265103 52.580007, 4.265045 52.57994, 4.265003 52.579898, 4.264665 52.579582, 4.258417 52.572927, 4.258366 52.57285, 4.258102 52.572507, 4.258044 52.57244, 4.258002 52.572398, 4.257665 52.572083, 4.257541 52.571983, 4.257135 52.571699, 4.257059 52.57165, 4.256989 52.571611, 4.256522 52.571365, 4.256358 52.571289, 4.255839 52.571085, 4.255758 52.571055, 4.255659 52.571024, 4.255099 52.570866, 4.254907 52.570821, 4.254316 52.570712, 4.254238 52.570699, 4.24874 52.568585, 4.248658 52.568555, 4.24856 52.568525, 4.248 52.568366, 4.247807 52.568322, 4.247217 52.568212, 4.247139 52.568199, 4.247016 52.568184, 4.246403 52.568126, 4.246268 52.568117, 4.246201 52.568115, 4.245584 52.568109, 4.245518 52.56811, 4.245382 52.568116, 4.244766 52.568163, 4.244643 52.568175, 4.233809 52.568222, 4.233218 52.568112, 4.23314 52.568099, 4.233017 52.568084, 4.232404 52.568026, 4.232269 52.568017, 4.232203 52.568015, 4.231585 52.568009, 4.231519 52.56801, 4.231384 52.568016, 4.230156 52.568154, 4.21305 52.570075, 4.206291 52.570833, 4.201715 52.572244)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.129614223;2014-01-01;windturbinepark;25683668;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;52.40538369158257;4.164630053284323;MULTIPOLYGON (((4.11889 52.387671, 4.118883 52.387675, 4.118864 52.387688, 4.118857 52.387693, 4.118825 52.387715, 4.118732 52.387782, 4.118701 52.387805, 4.118674 52.387826, 4.118593 52.387892, 4.118567 52.387915, 4.118215 52.388223, 4.118213 52.388224, 4.118207 52.388229, 4.118205 52.388231, 4.118179 52.388255, 4.1181 52.388329, 4.118075 52.388354, 4.118051 52.38838, 4.117981 52.388457, 4.117958 52.388483, 4.117956 52.388484, 4.117952 52.38849, 4.117951 52.388491, 4.117672 52.388826, 4.117652 52.388851, 4.117594 52.388926, 4.117576 52.388951, 4.117557 52.388978, 4.117504 52.38906, 4.117487 52.389087, 4.117484 52.389093, 4.117474 52.389109, 4.117471 52.389115, 4.117271 52.389471, 4.117259 52.389493, 4.117224 52.38956, 4.117213 52.389583, 4.117201 52.389611, 4.117166 52.389697, 4.117155 52.389725, 4.117151 52.389735, 4.117142 52.389764, 4.117138 52.389773, 4.117021 52.390143, 4.117015 52.390162, 4.116999 52.39022, 4.116994 52.390239, 4.116988 52.390268, 4.116971 52.390356, 4.116966 52.390385, 4.116965 52.390399, 4.11696 52.39044, 4.116959 52.390454, 4.116926 52.390829, 4.116925 52.390845, 4.116923 52.390892, 4.116923 52.390899, 4.116922 52.390908, 4.116922 52.390937, 4.116924 52.391025, 4.116926 52.391055, 4.116927 52.391072, 4.116933 52.391125, 4.116935 52.391143, 4.116989 52.391517, 4.116991 52.391529, 4.116996 52.391564, 4.116998 52.391576, 4.117005 52.391605, 4.117026 52.391692, 4.117033 52.391721, 4.11704 52.391743, 4.117061 52.391806, 4.117069 52.391827, 4.117207 52.392194, 4.11721 52.392201, 4.117219 52.392224, 4.117222 52.392232, 4.117235 52.39226, 4.117274 52.392345, 4.117288 52.392373, 4.117301 52.392397, 4.117343 52.392469, 4.117357 52.392493, 4.117577 52.392845, 4.11758 52.392848, 4.117587 52.392859, 4.117589 52.392863, 4.117607 52.39289, 4.117664 52.392971, 4.118264 52.393628, 4.146873 52.424946, 4.146875 52.42495, 4.146882 52.424961, 4.146885 52.424965, 4.146903 52.424992, 4.14696 52.425073, 4.14698 52.4251, 4.147002 52.425126, 4.147067 52.425204, 4.14709 52.42523, 4.147388 52.425559, 4.147412 52.425585, 4.147487 52.42566, 4.147512 52.425685, 4.147539 52.42571, 4.147621 52.425782, 4.147649 52.425806, 4.147652 52.42581, 4.147664 52.425819, 4.147668 52.425822, 4.148038 52.426122, 4.148064 52.426143, 4.148142 52.426202, 4.148169 52.426222, 4.1482 52.426244, 4.148297 52.42631, 4.14833 52.426331, 4.148339 52.426337, 4.148366 52.426353, 4.148375 52.426359, 4.14881 52.426625, 4.148835 52.42664, 4.148912 52.426685, 4.148938 52.426699, 4.148974 52.426719, 4.149084 52.426776, 4.149121 52.426794, 4.149136 52.426802, 4.149182 52.426823, 4.149197 52.42683, 4.149689 52.427057, 4.149712 52.427067, 4.149782 52.427098, 4.149806 52.427108, 4.149846 52.427125, 4.149967 52.427173, 4.150008 52.427188, 4.15003 52.427196, 4.150097 52.42722, 4.150119 52.427227, 4.150657 52.427409, 4.150677 52.427416, 4.150736 52.427435, 4.150756 52.427442, 4.150799 52.427455, 4.15093 52.427493, 4.150974 52.427505, 4.151003 52.427512, 4.151092 52.427535, 4.151122 52.427542, 4.151697 52.427677, 4.151712 52.42768, 4.151757 52.42769, 4.151772 52.427694, 4.151817 52.427703, 4.151955 52.42773, 4.152001 52.427739, 4.152038 52.427745, 4.152201 52.42777, 4.204512 52.435834, 4.204515 52.435834, 4.204525 52.435835, 4.204528 52.435835, 4.204576 52.435837, 4.20472 52.435841, 4.204768 52.435842, 4.204816 52.435842, 4.20496 52.435841, 4.205008 52.43584, 4.205012 52.43584, 4.205021 52.435839, 4.205024 52.435839, 4.205639 52.435819, 4.205684 52.435817, 4.205818 52.43581, 4.205863 52.435808, 4.20591 52.435804, 4.206053 52.435791, 4.206101 52.435786, 4.20611 52.435785, 4.206139 52.435782, 4.206148 52.435781, 4.206752 52.435708, 4.20679 52.435704, 4.206902 52.435688, 4.20694 52.435683, 4.206986 52.435675, 4.207125 52.435651, 4.207171 52.435642, 4.207186 52.435639, 4.207232 52.43563, 4.207247 52.435627, 4.207829 52.435504, 4.207859 52.435498, 4.207949 52.435477, 4.207979 52.43547, 4.208024 52.435459, 4.208156 52.435424, 4.2082 52.435412, 4.20822 52.435406, 4.208281 52.435387, 4.208301 52.435381, 4.208849 52.43521, 4.208872 52.435203, 4.208939 52.435181, 4.208962 52.435173, 4.209004 52.435159, 4.209127 52.435113, 4.209168 52.435098, 4.209192 52.435088, 4.209264 52.435058, 4.209288 52.435048, 4.209792 52.434832, 4.209807 52.434825, 4.209854 52.434805, 4.20987 52.434798, 4.209908 52.43478, 4.210021 52.434725, 4.210058 52.434706, 4.210085 52.434692, 4.210164 52.434649, 4.21019 52.434635, 4.21064 52.434378, 4.210649 52.434372, 4.210677 52.434356, 4.210686 52.434351, 4.21072 52.43433, 4.21082 52.434267, 4.210853 52.434245, 4.210881 52.434226, 4.210962 52.434168, 4.210989 52.434148, 4.211376 52.433856, 4.21138 52.433853, 4.211392 52.433843, 4.211396 52.43384, 4.211425 52.433817, 4.211511 52.433746, 4.211539 52.433722, 4.211566 52.433698, 4.211644 52.433624, 4.211669 52.433599, 4.211986 52.433276, 4.21201 52.433251, 4.21208 52.433174, 4.212102 52.433148, 4.212124 52.433121, 4.212185 52.433041, 4.212205 52.433015, 4.212208 52.433011, 4.212215 52.433, 4.212218 52.432997, 4.212458 52.43265, 4.212473 52.432627, 4.212519 52.432555, 4.212533 52.432531, 4.212549 52.432504, 4.212593 52.43242, 4.212607 52.432392, 4.21261 52.432384, 4.212621 52.432361, 4.212624 52.432354, 4.212782 52.43199, 4.212791 52.431969, 4.212816 52.431906, 4.212824 52.431885, 4.212833 52.431857, 4.212859 52.43177, 4.212867 52.431741, 4.21287 52.431729, 4.212877 52.431694, 4.21288 52.431682, 4.212954 52.431309, 4.212957 52.431292, 4.212966 52.431239, 4.212969 52.431221, 4.212972 52.431192, 4.212979 52.431104, 4.212979 52.431094, 4.21298 52.431074, 4.21298 52.431059, 4.21298 52.431012, 4.21298 52.430996, 4.212969 52.43062, 4.212968 52.430606, 4.212966 52.430565, 4.212965 52.430551, 4.212962 52.430522, 4.21295 52.430434, 4.212945 52.430405, 4.212941 52.430385, 4.212928 52.430327, 4.212923 52.430308, 4.212826 52.429936, 4.212824 52.429927, 4.212816 52.429898, 4.212813 52.429888, 4.212803 52.429859, 4.212773 52.429773, 4.212762 52.429744, 4.212752 52.429722, 4.212721 52.429654, 4.21271 52.429631, 4.21253 52.429271, 4.211866 52.428394, 4.172613 52.376421, 4.171048 52.374346, 4.171017 52.374323, 4.171011 52.374319, 4.170992 52.374305, 4.170986 52.374301, 4.170582 52.374017, 4.170557 52.374, 4.170479 52.373948, 4.170452 52.373931, 4.170418 52.37391, 4.170315 52.373848, 4.17028 52.373828, 4.170268 52.373822, 4.170232 52.373802, 4.17022 52.373796, 4.169756 52.373549, 4.169731 52.373536, 4.169657 52.373499, 4.169633 52.373487, 4.169594 52.373469, 4.169479 52.373416, 4.16944 52.373399, 4.169421 52.373391, 4.169365 52.373368, 4.169347 52.373361, 4.168831 52.373156, 4.168809 52.373148, 4.168744 52.373123, 4.168722 52.373115, 4.168681 52.3731, 4.168555 52.373057, 4.168512 52.373043, 4.168486 52.373035, 4.168409 52.373012, 4.168383 52.373004, 4.167826 52.372845, 4.167808 52.372841, 4.167756 52.372826, 4.167738 52.372821, 4.167694 52.37281, 4.16756 52.372778, 4.167515 52.372767, 4.167481 52.37276, 4.167381 52.37274, 4.167347 52.372733, 4.16676 52.372624, 4.166747 52.372621, 4.16671 52.372615, 4.166698 52.372612, 4.166652 52.372605, 4.166512 52.372583, 4.166465 52.372577, 4.166424 52.372572, 4.166302 52.372558, 4.166261 52.372553, 4.165653 52.372495, 4.165647 52.372494, 4.165628 52.372492, 4.165622 52.372492, 4.165574 52.372488, 4.165431 52.372478, 4.165383 52.372475, 4.165335 52.372473, 4.165191 52.372468, 4.165143 52.372468, 4.164529 52.372461, 4.164481 52.372461, 4.164337 52.372463, 4.164289 52.372463, 4.164241 52.372465, 4.164097 52.372473, 4.164049 52.372475, 4.164043 52.372476, 4.164024 52.372477, 4.164017 52.372478, 4.163407 52.372524, 4.163366 52.372527, 4.163243 52.372539, 4.163202 52.372543, 4.163154 52.372549, 4.163014 52.372567, 4.162967 52.372574, 4.162954 52.372576, 4.162917 52.372582, 4.162905 52.372584, 4.162311 52.372681, 4.162277 52.372687, 4.162176 52.372705, 4.162142 52.372712, 4.162097 52.372721, 4.159583 52.373584, 4.154276 52.375405, 4.15161 52.37632, 4.146537 52.378061, 4.143346 52.379155, 4.138691 52.380752, 4.135402 52.38188, 4.130932 52.383412, 4.127235 52.384679, 4.123076 52.386105, 4.119309 52.387396, 4.11889 52.387671)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.129614372;2014-01-01;windturbinepark;28068615;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;52.609758675148754;4.421788147965238;MULTIPOLYGON (((4.457623 52.582464, 4.457154 52.582009, 4.456612 52.581585, 4.456004 52.581195, 4.455336 52.580844, 4.454613 52.580536, 4.453844 52.580272, 4.453035 52.580057, 4.439063 52.577148, 4.436334 52.576579, 4.435457 52.576519, 4.434575 52.576511, 4.433696 52.576558, 4.432829 52.576658, 4.431982 52.576809, 4.431165 52.577011, 4.430384 52.577262, 4.429649 52.577559, 4.428965 52.577899, 4.428341 52.578279, 4.417109 52.586377, 4.415152 52.587788, 4.392391 52.604185, 4.39046 52.605576, 4.385554 52.609107, 4.384878 52.609594, 4.379888 52.613185, 4.378355 52.614288, 4.36095 52.626808, 4.360279 52.627291, 4.359789 52.627738, 4.359375 52.628213, 4.359041 52.628711, 4.358789 52.629226, 4.358623 52.629754, 4.358545 52.630289, 4.358554 52.630827, 4.358652 52.631361, 4.358836 52.631887, 4.359106 52.632399, 4.359457 52.632892, 4.359888 52.633361, 4.360394 52.633802, 4.360969 52.63421, 4.361608 52.634581, 4.362305 52.634912, 4.363052 52.635199, 4.363843 52.635439, 4.364668 52.63563, 4.365521 52.63577, 4.366393 52.635857, 4.367275 52.635892, 4.368158 52.635872, 4.369033 52.6358, 4.369893 52.635674, 4.370727 52.635498, 4.371528 52.635271, 4.372289 52.634997, 4.375241 52.633011, 4.379301 52.630279, 4.381377 52.628781, 4.385401 52.625878, 4.387874 52.625817, 4.391512 52.627183, 4.402441 52.632768, 4.403509 52.633314, 4.413519 52.638498, 4.414709 52.639114, 4.415457 52.6394, 4.416248 52.63964, 4.417074 52.639831, 4.417928 52.63997, 4.4188 52.640058, 4.419681 52.640092, 4.420564 52.640072, 4.42144 52.639999, 4.422299 52.639873, 4.423133 52.639696, 4.423935 52.639469, 4.424695 52.639195, 4.427776 52.637036, 4.432655 52.633617, 4.438261 52.629715, 4.438855 52.629317, 4.43938 52.628885, 4.445054 52.624817, 4.451392 52.620094, 4.452479 52.619284, 4.460761 52.613514, 4.461671 52.612855, 4.467654 52.608515, 4.468178 52.608083, 4.468629 52.607621, 4.469003 52.607134, 4.469295 52.606626, 4.469502 52.606104, 4.469623 52.605571, 4.469656 52.605034, 4.469601 52.604498, 4.458673 52.584171, 4.458514 52.583873, 4.458015 52.582946, 4.457623 52.582464)));WarmteAtlas:EnergieTopo;;;
nl.top10nl.130776525;2018-01-01;windturbinepark;82965369;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;False;False;False;54.03861347336477;5.965011794474354;MULTIPOLYGON (((6.021184 54.010602, 6.020598 54.011602, 6.017555 54.016795, 5.985696 54.071078, 5.985602 54.071205, 5.985518 54.071335, 5.985447 54.071467, 5.985386 54.071601, 5.985338 54.071737, 5.985302 54.071874, 5.985278 54.072012, 5.985265 54.072151, 5.985265 54.07229, 5.985277 54.072428, 5.985302 54.072566, 5.985338 54.072704, 5.985386 54.072839, 5.985446 54.072974, 5.985518 54.073106, 5.985601 54.073236, 5.985696 54.073363, 5.985801 54.073487, 5.985918 54.073608, 5.986044 54.073725, 5.986181 54.073838, 5.986327 54.073947, 5.986483 54.074051, 5.986648 54.074151, 5.986821 54.074245, 5.987002 54.074334, 5.987191 54.074417, 5.987387 54.074495, 5.987589 54.074566, 5.987798 54.074631, 5.988011 54.07469, 5.98823 54.074742, 5.988453 54.074788, 5.988679 54.074827, 5.988909 54.074859, 5.989141 54.074884, 5.989375 54.074901, 5.992211 54.075115, 6.051341 54.079562, 6.054819 54.079823, 6.055054 54.07984, 6.055289 54.079851, 6.055525 54.079855, 6.055761 54.079851, 6.055996 54.07984, 6.05623 54.079823, 6.056462 54.079798, 6.056692 54.079766, 6.056919 54.079727, 6.057142 54.079681, 6.05736 54.079629, 6.057574 54.07957, 6.057782 54.079505, 6.057985 54.079434, 6.058181 54.079356, 6.058369 54.079273, 6.058551 54.079184, 6.058724 54.07909, 6.058889 54.07899, 6.059044 54.078886, 6.059191 54.078777, 6.059328 54.078664, 6.059454 54.078547, 6.059571 54.078426, 6.059676 54.078302, 6.059771 54.078175, 6.059854 54.078045, 6.059926 54.077913, 6.063561 54.071615, 6.100944 54.006754, 6.101059 54.006553, 6.101119 54.006419, 6.101168 54.006283, 6.101204 54.006146, 6.101228 54.006008, 6.10124 54.005869, 6.10124 54.00573, 6.101228 54.005592, 6.101204 54.005454, 6.101167 54.005316, 6.101119 54.005181, 6.101059 54.005046, 6.100988 54.004914, 6.100904 54.004784, 6.10081 54.004657, 6.100705 54.004533, 6.100589 54.004412, 6.100462 54.004295, 6.100326 54.004182, 6.100179 54.004073, 6.100024 54.003969, 6.099859 54.003869, 6.099687 54.003775, 6.099506 54.003686, 6.099317 54.003603, 6.099122 54.003525, 6.09892 54.003454, 6.098712 54.003389, 6.098498 54.00333, 6.09828 54.003278, 6.098058 54.003232, 6.097831 54.003193, 6.097602 54.003161, 6.09737 54.003136, 6.097137 54.003119, 6.096902 54.003108, 6.096369 54.003111, 6.084177 54.003175, 6.08187 54.003187, 6.070461 54.003245, 6.068655 54.003255, 6.067456 54.003261, 6.033474 54.003428, 6.028848 54.00345, 6.028613 54.003446, 6.028377 54.00345, 6.028142 54.003461, 6.027909 54.003479, 6.027677 54.003503, 6.027447 54.003535, 6.027221 54.003574, 6.026999 54.00362, 6.02678 54.003672, 6.026567 54.003731, 6.026359 54.003796, 6.026157 54.003867, 6.025962 54.003945, 6.025773 54.004028, 6.025592 54.004117, 6.025419 54.004211, 6.025255 54.004311, 6.025099 54.004415, 6.024953 54.004524, 6.024817 54.004637, 6.02469 54.004754, 6.024574 54.004875, 6.024469 54.004999, 6.024374 54.005126, 6.024291 54.005256, 6.02422 54.005388, 6.024159 54.005523, 6.021184 54.010602)), ((5.810935 54.057066, 5.810809 54.057184, 5.810692 54.057304, 5.810587 54.057428, 5.810493 54.057556, 5.810409 54.057686, 5.810338 54.057818, 5.810277 54.057952, 5.810229 54.058088, 5.810193 54.058225, 5.810169 54.058363, 5.810156 54.058502, 5.810156 54.05864, 5.810169 54.058779, 5.810193 54.058917, 5.810229 54.059054, 5.810277 54.05919, 5.810337 54.059324, 5.810409 54.059457, 5.810492 54.059586, 5.810587 54.059714, 5.810692 54.059838, 5.810808 54.059959, 5.810935 54.060076, 5.811072 54.060189, 5.811218 54.060298, 5.811374 54.060402, 5.811539 54.060501, 5.811712 54.060596, 5.811893 54.060684, 5.812082 54.060768, 5.812277 54.060845, 5.81248 54.060917, 5.812688 54.060982, 5.812901 54.061041, 5.81312 54.061093, 5.813343 54.061139, 5.813569 54.061177, 5.813799 54.061209, 5.814379 54.061257, 5.907627 54.068919, 5.907859 54.068944, 5.908093 54.068962, 5.908328 54.068972, 5.908564 54.068976, 5.9088 54.068972, 5.909035 54.068962, 5.909269 54.068944, 5.909502 54.068919, 5.909731 54.068887, 5.909958 54.068848, 5.910181 54.068803, 5.910399 54.06875, 5.910613 54.068692, 5.910821 54.068626, 5.911024 54.068555, 5.911219 54.068477, 5.911408 54.068394, 5.911589 54.068305, 5.911762 54.068211, 5.911927 54.068112, 5.912083 54.068007, 5.912229 54.067898, 5.912366 54.067785, 5.912493 54.067668, 5.912609 54.067547, 5.912714 54.067423, 5.912809 54.067296, 5.912892 54.067166, 5.912964 54.067034, 5.915258 54.063091, 5.947287 54.007951, 5.947724 54.007198, 5.94776 54.007061, 5.947785 54.006923, 5.947797 54.006784, 5.947797 54.006645, 5.947785 54.006507, 5.94776 54.006369, 5.947724 54.006232, 5.947676 54.006096, 5.947616 54.005961, 5.947544 54.005829, 5.947461 54.005699, 5.947367 54.005572, 5.947261 54.005448, 5.947145 54.005327, 5.947019 54.00521, 5.946882 54.005097, 5.946736 54.004988, 5.94658 54.004884, 5.946416 54.004785, 5.946243 54.00469, 5.946062 54.004601, 5.945874 54.004518, 5.945678 54.004441, 5.945476 54.004369, 5.945268 54.004304, 5.945055 54.004245, 5.944837 54.004193, 5.944614 54.004147, 5.944388 54.004108, 5.944159 54.004077, 5.943927 54.004052, 5.943693 54.004034, 5.943458 54.004023, 5.942935 54.004026, 5.930588 54.004081, 5.879336 54.004299, 5.879101 54.004296, 5.878865 54.004299, 5.87863 54.00431, 5.878397 54.004328, 5.878165 54.004353, 5.877936 54.004385, 5.87771 54.004423, 5.877487 54.004469, 5.877427 54.004483, 5.877269 54.004521, 5.877055 54.00458, 5.876847 54.004645, 5.876645 54.004717, 5.87645 54.004794, 5.876261 54.004878, 5.87608 54.004967, 5.864967 54.013634, 5.810935 54.057066)));WarmteAtlas:EnergieTopo;;;
