PK_UID;jaar;naamgeving;effluent_z;effluent_w;temp_z;temp_w;waterschap;wp_gj_z;wp_gj_w;opmerking;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
20.0;0.0;RWZI Nieuw-Vossemeer;365.0;494.0;18.7;8.0;Brabantse Delta;7.6285;10.3246;Aangeleverd door Waterschap;Brabantse Delta;3768.0;2908.0;Steenbergen;West-Brabant;30.0;52.0;12.0;21.0;Noord-Brabant;BU08510409;GM0851;4681;4681SN;BU08510409;GM0851;4681;4681SN;BU08510409;GM0851;4681;4681SN;False;False;False;51.57379821489662;4.220332459790428;WarmteAtlas:AquathermieRWZI;;;
21.0;0.0;RWZI Dinteloord;1072.0;1211.0;19.3;7.2;Brabantse Delta;22.4048;25.3099;Aangeleverd door Waterschap;Brabantse Delta;9238.0;7130.0;Steenbergen;West-Brabant;73.0;138.0;29.0;55.0;Noord-Brabant;BU08510309;GM0851;4671;4671RN;BU08510309;GM0851;4671;4671RN;BU08510309;GM0851;4671;4671RN;False;False;False;51.65121281081832;4.361019410843184;WarmteAtlas:AquathermieRWZI;;;
22.0;0.0;RWZI Kaatsheuvel;6340.0;6475.0;19.4;9.4;Brabantse Delta;132.506;135.3275;Aangeleverd door Waterschap;Brabantse Delta;49395.0;38122.0;Loon op Zand;Hart van Brabant;392.0;775.0;157.0;310.0;Noord-Brabant;BU08091041;GM0809;5171;5171VH;BU08091041;GM0809;5171;5171VH;BU08091041;GM0809;5171;5171VH;False;False;False;51.65475002911437;4.9972993169717626;WarmteAtlas:AquathermieRWZI;;;
23.0;0.0;RWZI Halsteren;1593.0;2075.0;20.3;9.8;Brabantse Delta;33.2937;43.3675;Aangeleverd door Waterschap;Brabantse Delta;15829.0;12217.0;Bergen op Zoom;West-Brabant;126.0;222.0;50.0;89.0;Noord-Brabant;BU07480409;GM0748;4661;4661PB;BU07480409;GM0748;4661;4661PB;BU07480409;GM0748;4661;4661PB;False;False;False;51.52763732851347;4.256143603366807;WarmteAtlas:AquathermieRWZI;;;
24.0;0.0;RWZI Riel;1078.0;1041.0;21.1;8.1;Brabantse Delta;22.5302;21.7569;Aangeleverd door Waterschap;Brabantse Delta;7941.0;6129.0;Goirle;Hart van Brabant;63.0;128.0;25.0;51.0;Noord-Brabant;BU07852331;GM0785;5133;5133AC;BU07852331;GM0785;5133;5133AC;BU07852331;GM0785;5133;5133AC;False;False;False;51.53426324604157;5.023781941585518;WarmteAtlas:AquathermieRWZI;;;
25.0;0.0;RWZI ST. OEDENRODE;26995.0;26995.0;0.0;0.0;Waterschap De Dommel;564.1955;564.1955;Aangeleverd door Waterschap;Waterschap De Dommel;205931.0;158934.0;Meierijstad;Noord-oost Brabant;1632.0;3265.0;653.0;1306.0;Noord-Brabant;BU19480303;GM1948;5492;5492VB;BU19480303;GM1948;5492;5492VB;BU19480303;GM1948;5492;5492VB;False;False;False;51.56116432523864;5.445128699849865;WarmteAtlas:AquathermieRWZI;;;
26.0;0.0;RWZI SOERENDONK;9930.0;9930.0;0.0;0.0;Waterschap De Dommel;207.537;207.537;Aangeleverd door Waterschap;Waterschap De Dommel;75751.0;58463.0;Cranendonck;Metropoolregio Eindhoven;600.0;1201.0;240.0;480.0;Noord-Brabant;BU17060409;GM1706;6027;6027RC;BU17060409;GM1706;6027;6027RC;BU17060409;GM1706;6027;6027RC;False;False;False;51.31134170242612;5.590608858351208;WarmteAtlas:AquathermieRWZI;;;
27.0;0.0;RWZI HAPERT;20604.0;20604.0;0.0;0.0;Waterschap De Dommel;430.6236;430.6236;Aangeleverd door Waterschap;Waterschap De Dommel;157178.0;121307.0;Bladel;Metropoolregio Eindhoven;1246.0;2492.0;498.0;997.0;Noord-Brabant;BU17280209;GM1728;5527;5527JR;BU17280209;GM1728;5527;5527JR;BU17280209;GM1728;5527;5527JR;False;False;False;51.37746278508631;5.240055772410389;WarmteAtlas:AquathermieRWZI;;;
28.0;0.0;RWZI BIEST-HOUTAKKER;17960.0;17960.0;0.0;0.0;Waterschap De Dommel;375.364;375.364;Aangeleverd door Waterschap;Waterschap De Dommel;137008.0;105740.0;Hilvarenbeek;Hart van Brabant;1086.0;2172.0;434.0;869.0;Noord-Brabant;BU07980209;GM0798;5084;5084HW;BU07980209;GM0798;5084;5084HW;BU07980209;GM0798;5084;5084HW;False;False;False;51.50008784375368;5.17187973469966;WarmteAtlas:AquathermieRWZI;;;
29.0;0.0;RWZI HAAREN;16407.0;16407.0;0.0;0.0;Waterschap De Dommel;342.9063;342.9063;Aangeleverd door Waterschap;Waterschap De Dommel;125161.0;96597.0;Haaren;Noord-oost Brabant;992.0;1984.0;397.0;794.0;Noord-Brabant;BU08242004;GM0824;5076;5076NA;BU08241701;GM0824;5076;5076NA;BU08241701;GM0824;5076;5076NA;True;False;False;51.586463890135356;5.222790545271608;WarmteAtlas:AquathermieRWZI;;;
3.0;0.0;R.W.Z.I. Den Bosch;30000.0;32000.0;21.5;13.8;Aa en Maas;627.0;668.8;Aangeleverd door Waterschap;Aa en Maas;244112.0;188401.0;'s-Hertogenbosch;Noord-oost Brabant;1935.0;3750.0;774.0;1500.0;Noord-Brabant;BU07961203;GM0796;5221;5221CD;BU07961203;GM0796;5221;5221CD;BU07961203;GM0796;5221;5221CD;False;False;False;51.72061620443044;5.281902731057455;WarmteAtlas:AquathermieRWZI;;;
30.0;0.0;RWZI EINDHOVEN;117281.0;117281.0;0.0;0.0;Waterschap De Dommel;2451.1729;2451.1729;Aangeleverd door Waterschap;Waterschap De Dommel;894678.0;690495.0;Eindhoven;Metropoolregio Eindhoven;7092.0;14185.0;2837.0;5674.0;Noord-Brabant;BU07723370;GM0772;5631;5631AG;BU07723370;GM0772;5631;5631AG;BU07723370;GM0772;5631;5631AG;False;False;False;51.46028553276558;5.503247121588894;WarmteAtlas:AquathermieRWZI;;;
31.0;0.0;RWZI BOXTEL;28132.0;28132.0;0.0;0.0;Waterschap De Dommel;587.9588;587.9588;Aangeleverd door Waterschap;Waterschap De Dommel;214605.0;165628.0;Boxtel;Noord-oost Brabant;1701.0;3402.0;680.0;1361.0;Noord-Brabant;BU07570007;GM0757;5283;5283SC;BU07570007;GM0757;5283;5283SC;BU07570007;GM0757;5283;5283SC;False;False;False;51.60870055808679;5.327657074046705;WarmteAtlas:AquathermieRWZI;;;
32.0;0.0;SVI MIERLO;0.0;0.0;0.0;0.0;Waterschap De Dommel;0.0;0.0;Aangeleverd door Waterschap;Waterschap De Dommel;0.0;0.0;Geldrop-Mierlo;Metropoolregio Eindhoven;0.0;0.0;0.0;0.0;Noord-Brabant;BU17710109;GM1771;5731;5731PX;BU17710114;GM1771;5731;5731PX;BU17710114;GM1771;5731;5731PX;True;False;False;51.44275390124136;5.573125111860866;WarmteAtlas:AquathermieRWZI;;;
33.0;0.0;RWZI TILBURG;106833.0;106833.0;0.0;0.0;Waterschap De Dommel;2232.8097;2232.8097;Aangeleverd door Waterschap;Waterschap De Dommel;814976.0;628982.0;Tilburg;Hart van Brabant;6461.0;12921.0;2584.0;5168.0;Noord-Brabant;BU08556501;GM0855;5048;5048TD;BU08556501;GM0855;5048;5048TB;BU08556501;GM0855;5048;5048TB;False;False;False;51.60004877457195;5.067584339569449;WarmteAtlas:AquathermieRWZI;;;
34.0;0.0;rwzi Walcheren;22950.0;22950.0;18.5;11.0;Waterschap Scheldestromen;479.655;479.655;Aangeleverd door Waterschap;Waterschap Scheldestromen;175074.0;135119.0;Vlissingen;Zeeland;1388.0;2776.0;555.0;1110.0;Zeeland;BU07180601;GM0718;4389;4389TD;BU07180601;GM0718;4389;4389TD;BU07180601;GM0718;4389;4389TD;False;False;False;51.4435438343867;3.614490177345584;WarmteAtlas:AquathermieRWZI;;;
35.0;0.0;rwzi Willem Annapolder;14208.0;14208.0;21.6;12.6;Waterschap Scheldestromen;296.9472;296.9472;Aangeleverd door Waterschap;Waterschap Scheldestromen;108386.0;83650.0;Kapelle;Zeeland;859.0;1718.0;344.0;687.0;Zeeland;BU06780009;GM0678;4421;4421RT;BU06780009;GM0678;4421;4421RT;BU06780009;GM0678;4421;4421RT;False;False;False;51.45007351528039;3.9347477963256035;WarmteAtlas:AquathermieRWZI;;;
36.0;0.0;rwzi Camperlandpolder;2933.0;2442.0;20.0;10.2;Waterschap Scheldestromen;61.2997;51.0378;Aangeleverd door Waterschap;Waterschap Scheldestromen;18629.0;14377.0;Noord-Beveland;Zeeland;148.0;325.0;59.0;130.0;Zeeland;BU16950309;GM1695;4493;4493PD;BU16950309;GM1695;4493;4493PD;BU16950309;GM1695;4493;4493PD;False;False;False;51.57299720484727;3.7341097199021216;WarmteAtlas:AquathermieRWZI;;;
37.0;0.0;RWZI BATH;60710.0;77230.0;20.9;12.2;Waterschap Scheldestromen;1268.839;1614.107;Aangeleverd door Waterschap;Waterschap Scheldestromen;589149.0;454694.0;Reimerswaal;Zeeland;4670.0;8342.0;1868.0;3337.0;Zeeland;BU07030409;GM0703;4411;4411PC;BU07030409;GM0703;4411;4411PC;BU07030409;GM0703;4411;4411PC;False;False;False;51.39899796298928;4.249449150764745;WarmteAtlas:AquathermieRWZI;;;
38.0;0.0;rwzi Waarde;4314.0;4314.0;20.9;11.2;Waterschap Scheldestromen;90.1626;90.1626;Aangeleverd door Waterschap;Waterschap Scheldestromen;32909.0;25399.0;Reimerswaal;Zeeland;261.0;522.0;104.0;209.0;Zeeland;BU07030309;GM0703;4414;4414RH;BU07030309;GM0703;4414;4414RH;BU07030309;GM0703;4414;4414RH;False;False;False;51.42635820753435;4.053509160479671;WarmteAtlas:AquathermieRWZI;;;
39.0;0.0;rwzi Mastgat;2065.0;2065.0;20.4;10.0;Waterschap Scheldestromen;43.1585;43.1585;Aangeleverd door Waterschap;Waterschap Scheldestromen;15753.0;12158.0;Schouwen-Duiveland;Zeeland;125.0;250.0;50.0;100.0;Zeeland;BU16760509;GM1676;4311;4311RD;BU16760509;GM1676;4311;4311RD;BU16760509;GM1676;4311;4311RD;False;False;False;51.632169089344394;4.062855518981384;WarmteAtlas:AquathermieRWZI;;;
4.0;0.0;R.W.Z.I. Dinther;29000.0;30000.0;22.8;13.5;Aa en Maas;606.1;627.0;Aangeleverd door Waterschap;Aa en Maas;228855.0;176626.0;Bernheze;Noord-oost Brabant;1814.0;3568.0;726.0;1427.0;Noord-Brabant;BU17210504;GM1721;5473;5473XL;BU17210504;GM1721;5473;5473XL;BU17210504;GM1721;5473;5473XL;False;False;False;51.63525196233995;5.529918363552972;WarmteAtlas:AquathermieRWZI;;;
40.0;0.0;rwzi De Verseput;3371.0;3371.0;20.8;12.0;Waterschap Scheldestromen;70.4539;70.4539;Aangeleverd door Waterschap;Waterschap Scheldestromen;25716.0;19847.0;Schouwen-Duiveland;Zeeland;204.0;408.0;82.0;163.0;Zeeland;BU16761009;GM1676;4321;4321TD;BU16761009;GM1676;4321;4321TD;BU16761009;GM1676;4321;4321TD;False;False;False;51.67834144178038;3.872639135244112;WarmteAtlas:AquathermieRWZI;;;
41.0;0.0;rwzi Westerschouwen;4853.0;3668.0;19.7;10.6;Waterschap Scheldestromen;101.4277;76.6612;Aangeleverd door Waterschap;Waterschap Scheldestromen;27981.0;21595.0;Schouwen-Duiveland;Zeeland;222.0;515.0;89.0;206.0;Zeeland;BU16761208;GM1676;4328;4328NP;BU16761208;GM1676;4328;4328NP;BU16761208;GM1676;4328;4328NP;False;False;False;51.69009474668677;3.7629422223519993;WarmteAtlas:AquathermieRWZI;;;
42.0;0.0;rwzi Sint Maartensdijk;2573.0;2573.0;20.5;10.4;Waterschap Scheldestromen;53.7757;53.7757;Aangeleverd door Waterschap;Waterschap Scheldestromen;19628.0;15149.0;Tholen;Zeeland;156.0;311.0;62.0;124.0;Zeeland;BU07160309;GM0716;4695;4695PP;BU07160309;GM0716;4695;4695PP;BU07160309;GM0716;4695;4695PP;False;False;False;51.555042762365076;4.07454181291422;WarmteAtlas:AquathermieRWZI;;;
43.0;0.0;rwzi Tholen;1738.0;1738.0;21.0;11.0;Waterschap Scheldestromen;36.3242;36.3242;Aangeleverd door Waterschap;Waterschap Scheldestromen;13258.0;10233.0;Tholen;Zeeland;105.0;210.0;42.0;84.0;Zeeland;BU07160000;GM0716;4691;4691RZ;BU07160000;GM0716;4691;4691RZ;BU07160000;GM0716;4691;4691RZ;False;False;False;51.54104871993535;4.232003959453946;WarmteAtlas:AquathermieRWZI;;;
44.0;0.0;rwzi Hulst;2576.0;2576.0;20.6;10.6;Waterschap Scheldestromen;53.8384;53.8384;Aangeleverd door Waterschap;Waterschap Scheldestromen;19651.0;15166.0;Hulst;Zeeland;156.0;312.0;62.0;125.0;Zeeland;BU06770303;GM0677;4567;4567PJ;BU06770303;GM0677;4567;4567PJ;BU06770303;GM0677;4567;4567PJ;False;False;False;51.279400693249855;4.075594322783597;WarmteAtlas:AquathermieRWZI;;;
45.0;0.0;rwzi Kloosterzande;1112.0;1112.0;20.2;10.6;Waterschap Scheldestromen;23.2408;23.2408;Aangeleverd door Waterschap;Waterschap Scheldestromen;8483.0;6547.0;Hulst;Zeeland;67.0;134.0;27.0;54.0;Zeeland;BU06771501;GM0677;4588;4588KH;BU06771501;GM0677;4588;4588KH;BU06771501;GM0677;4588;4588KH;False;False;False;51.37618663163887;4.024589180562258;WarmteAtlas:AquathermieRWZI;;;
46.0;0.0;rwzi Terneuzen;3848.0;3848.0;20.4;13.2;Waterschap Scheldestromen;80.4232;80.4232;Aangeleverd door Waterschap;Waterschap Scheldestromen;29354.0;22655.0;Terneuzen;Zeeland;233.0;466.0;93.0;186.0;Zeeland;BU07152204;GM0715;4538;4538BJ;BU07152204;GM0715;4538;4538BJ;BU07152204;GM0715;4538;4538BJ;False;False;False;51.29663637842804;3.8385439813305124;WarmteAtlas:AquathermieRWZI;;;
47.0;0.0;rwzi Breskens;1632.0;1632.0;0.0;0.0;Waterschap Scheldestromen;34.1088;34.1088;Aangeleverd door Waterschap;Waterschap Scheldestromen;12450.0;9608.0;Sluis;Zeeland;99.0;198.0;40.0;79.0;Zeeland;BU17141009;GM1714;4511;4511PR;BU17141009;GM1714;4511;4511PR;BU17141009;GM1714;4511;4511PR;False;False;False;51.38551196972489;3.5858396341991505;WarmteAtlas:AquathermieRWZI;;;
48.0;0.0;rwzi Retranchement;2551.0;1633.0;0.0;0.0;Waterschap Scheldestromen;53.3159;34.1297;Aangeleverd door Waterschap;Waterschap Scheldestromen;12457.0;9614.0;Sluis;Zeeland;99.0;253.0;40.0;101.0;Zeeland;BU17140109;GM1714;4525;4525ND;BU17140109;GM1714;4525;4525ND;BU17140109;GM1714;4525;4525ND;False;False;False;51.36412376449775;3.3801874796791145;WarmteAtlas:AquathermieRWZI;;;
49.0;0.0;rwzi Oostburg;1565.0;1565.0;20.7;11.1;Waterschap Scheldestromen;32.7085;32.7085;Aangeleverd door Waterschap;Waterschap Scheldestromen;11939.0;9214.0;Sluis;Zeeland;95.0;189.0;38.0;76.0;Zeeland;BU17140509;GM1714;4501;4501PK;BU17140509;GM1714;4501;4501PK;BU17140509;GM1714;4501;4501PK;False;False;False;51.3391368266224;3.5022235954812597;WarmteAtlas:AquathermieRWZI;;;
5.0;0.0;R.W.Z.I. Aarle-Rixtel;34000.0;38000.0;21.8;12.9;Aa en Maas;710.6;794.2;Aangeleverd door Waterschap;Aa en Maas;289883.0;223726.0;Laarbeek;Metropoolregio Eindhoven;2298.0;4354.0;919.0;1742.0;Noord-Brabant;BU16590109;GM1659;5735;5735SC;BU16590109;GM1659;5735;5735SC;BU16590109;GM1659;5735;5735SC;False;False;False;51.503674635384975;5.662607581579918;WarmteAtlas:AquathermieRWZI;;;
50.0;0.0;rwzi Groede;758.0;434.0;0.0;0.0;Waterschap Scheldestromen;15.8422;9.0706;Aangeleverd door Waterschap;Waterschap Scheldestromen;3311.0;2555.0;Sluis;Zeeland;26.0;72.0;10.0;29.0;Zeeland;BU17140909;GM1714;4503;4503PL;BU17140909;GM1714;4503;4503PL;BU17140909;GM1714;4503;4503PL;False;False;False;51.394979050987274;3.5029993020994032;WarmteAtlas:AquathermieRWZI;;;
6.0;0.0;R.W.Z.I. Asten;7000.0;8000.0;20.5;11.2;Aa en Maas;146.3;167.2;Aangeleverd door Waterschap;Aa en Maas;61028.0;47100.0;Asten;Metropoolregio Eindhoven;484.0;907.0;194.0;363.0;Noord-Brabant;BU07430702;GM0743;5721;5721TC;BU07430702;GM0743;5721;5721TC;BU07430702;GM0743;5721;5721TC;False;False;False;51.39233906635029;5.744614859849256;WarmteAtlas:AquathermieRWZI;;;
7.0;0.0;R.W.Z.I. Oijen;28000.0;33000.0;20.8;12.6;Aa en Maas;585.2;689.7;Aangeleverd door Waterschap;Aa en Maas;251741.0;194288.0;Oss;Noord-oost Brabant;1996.0;3689.0;798.0;1476.0;Noord-Brabant;BU08282009;GM0828;5394;5394LW;BU08282009;GM0828;5394;5394LW;BU08282009;GM0828;5394;5394LW;False;False;False;51.81222084506408;5.487586571501574;WarmteAtlas:AquathermieRWZI;;;
8.0;0.0;RWZI Chaam;1152.0;881.0;18.8;8.1;Brabantse Delta;24.0768;18.4129;Aangeleverd door Waterschap;Brabantse Delta;6721.0;5187.0;Alphen-Chaam;West-Brabant;53.0;123.0;21.0;49.0;Noord-Brabant;BU17230207;GM1723;4861;4861TA;BU17230207;GM1723;4861;4861TA;BU17230207;GM1723;4861;4861TA;False;False;False;51.51177828617094;4.852482370487898;WarmteAtlas:AquathermieRWZI;;;
9.0;0.0;RWZI Lage zwaluwe;901.0;1226.0;20.6;9.7;Brabantse Delta;18.8309;25.6234;Aangeleverd door Waterschap;Brabantse Delta;9353.0;7218.0;Drimmelen;West-Brabant;74.0;129.0;30.0;52.0;Noord-Brabant;BU17190601;GM1719;4926;4926CZ;BU17190601;GM1719;4926;4926CZ;BU17190601;GM1719;4926;4926CZ;False;False;False;51.71687109409496;4.71483060331655;WarmteAtlas:AquathermieRWZI;;;
100.0;0.0;RWZI Houten;20520.0;20520.0;0.0;0.0;De Stichtse Rijnlanden;428.868;428.868;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;De Stichtse Rijnlanden;156537.0;120812.0;Houten;U10/U16;1241.0;2482.0;496.0;993.0;Utrecht;BU03212054;GM0321;3992;3992LK;BU03212054;GM0321;3992;3992LK;BU03212054;GM0321;3992;3992LK;False;False;False;52.027839239228946;5.131014928355307;WarmteAtlas:AquathermieRWZI;;;
101.0;0.0;RWZI Lopik;5616.0;5616.0;0.0;0.0;De Stichtse Rijnlanden;117.3744;117.3744;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;De Stichtse Rijnlanden;42842.0;33064.0;Lopik;U10/U16;340.0;679.0;136.0;272.0;Utrecht;BU03310009;GM0331;3411;3411ML;BU03310009;GM0331;3411;3411ML;BU03310009;GM0331;3411;3411ML;False;False;False;51.969526053782026;4.95874409724724;WarmteAtlas:AquathermieRWZI;;;
102.0;0.0;RWZI Bunnik;6480.0;6480.0;0.0;0.0;De Stichtse Rijnlanden;135.432;135.432;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;De Stichtse Rijnlanden;49433.0;38151.0;Bunnik;U10/U16;392.0;784.0;157.0;314.0;Utrecht;BU03120000;GM0312;3981;3981AK;BU03120000;GM0312;3981;3981AK;BU03120000;GM0312;3981;3981AK;False;False;False;52.06337560044604;5.219503235046639;WarmteAtlas:AquathermieRWZI;;;
103.0;0.0;RWZI Rhenen;15120.0;15120.0;0.0;0.0;De Stichtse Rijnlanden;316.008;316.008;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;De Stichtse Rijnlanden;115343.0;89019.0;Rhenen;FoodValley;914.0;1829.0;366.0;732.0;Utrecht;BU03400901;GM0340;3911;3911TN;BU03400901;GM0340;3911;3911TN;BU03400901;GM0340;3911;3911TN;False;False;False;51.97352506747588;5.531281376624557;WarmteAtlas:AquathermieRWZI;;;
