buurtcode;bestelautos_totaal;vrachtautos_totaal;bestelautos_ondergrens;bestelautos_bovengrens;vrachtautos_ondergrens;vrachtautos_bovengrens;bedrijfswagens_gewicht_methode;bedrijfswagens_pc4_gelijk_verdeeld;bedrijfswagens_pc4_dekkingsklasse;bedrijfswagens_rdw_peildatum;bedrijfswagens_cbs_split_periode
BU08880000;190;11;186;190;11;11;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU08880100;158;11;30;158;2;11;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU08880109;289;60;289;397;60;68;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350000;67;4;45;67;3;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350001;10;1;10;70;1;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350002;38;2;32;38;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350003;110;6;52;110;3;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350004;48;3;48;51;3;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350005;28;1;28;39;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350006;86;3;57;86;1;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350100;71;6;19;71;2;6;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350101;22;2;7;22;1;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350102;7;0;7;10;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350103;56;1;7;56;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU09350104;6;0;6;18;0;0;bedrijfsvestigingen_hj;False;2.0;2026-07-08;2023JJ00
BU09350105;9;1;9;130;1;9;bedrijfsvestigingen_hj;False;3.0;2026-07-08;2023JJ00
BU09350200;98;4;59;98;2;4;bedrijfsvestigingen_hj;False;4.0;2026-07-08;2023JJ00
BU09350201;59;1;57;59;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350202;14;0;14;15;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350203;15;1;15;16;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU09350204;43;2;36;43;2;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
