gemeentecode;gemeentenaam;latitude;longitude;pv_potentie_dak_tj;pv_potentie_veld_lbg4_tj;pv_potentie_veld_lbg10_tj;pv_potentie_veld_lbg100_tj;pv_potentie_water_tj;pv_potentie_totaal_tj;pv_potentie_totaal_gwh;pv_kans2030;wind_potentie_land_aantal;wind_potentie_land_tj;wind_potentie_water_aantal;wind_potentie_water_tj;wind_potentie_totaal_tj;wind_potentie_totaal_gwh;wind_vermogen_per_turbine_kw;province;provinciecode;res_regio;res_regiocode;elec_verbruik_a_kwh;elec_verbruik_bf_kwh;elec_verbruik_gi_kwh;elec_verbruik_hj_kwh;elec_verbruik_kl_kwh;elec_verbruik_mn_kwh;elec_verbruik_oq_kwh;elec_verbruik_ru_kwh;gas_verbruik_a_m3;gas_verbruik_bf_m3;gas_verbruik_gi_m3;gas_verbruik_hj_m3;gas_verbruik_kl_m3;gas_verbruik_mn_m3;gas_verbruik_oq_m3;gas_verbruik_ru_m3;elec_verbruik_totaal_kwh;gas_verbruik_totaal_m3;elec_eenheid;gas_eenheid;energie_bron;energie_bron_url;elec_bijgeschat_kwh;gas_bijgeschat_m3;bijschatting_niveaus;elec_bijgeschat_aandeel;gas_bijgeschat_aandeel;pv_potentie_bron;pv_potentie_bron_url;wind_potentie_bron;wind_potentie_bron_url;bestelautos_totaal;vrachtautos_totaal;bestelautos_ondergrens;bestelautos_bovengrens;vrachtautos_ondergrens;vrachtautos_bovengrens;bestelauto_cbs2023;vrachtauto_cbs2023;bestelauto_afwijking_pct;vrachtauto_afwijking_pct
GM0085;Ooststellingwerf;52.982369138844724;6.282968476265707;1460.17;2332.28;5830.7;58306.98;0.0;3792.45;1053.54;Kansrijk;163.0;10384.92;0.0;0.0;10384.92;2884.7;5600.0;Friesland;PV21;Friesland;ES02;10508000.0;39738042.78081699;12853000.0;2334028.627838105;425000.0;1776035.704165486;4960140.1869158875;1534000.0;830000.0;2718745.0945529584;1385038.3518225038;75596.49122807017;51000.0;76000.0;900000.0;325000.0;74128247.29973647;6361379.937603532;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;14700247.299736466;323379.937603532;res+thema;0.1983;0.0508;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;2249;195;454;4044;23;362;1965;164;14.4529262086514;18.902439024390244
GM0086;Opsterland;53.04915043966112;6.112756703293454;1502.49;2615.49;6538.74;65387.37;0.0;4117.98;1143.97;Kansrijk;142.0;9984.24;0.0;0.0;9984.24;2773.4;5600.0;Friesland;PV21;Friesland;ES02;9299000.0;29740006.042870257;15481000.0;3632038.4995064167;1819442.3076923075;1089046.1887220177;7855000.0;1092000.0;601000.0;1502246.0738643748;1352042.789223455;242526.31578947368;207000.0;148660.9195402299;1155000.0;308000.0;70007533.03879099;5516476.098417534;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;19393533.038790997;458476.0984175332;res+thema;0.277;0.0831;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;2576;110;1247;3897;43;170;2313;95;11.37051448335495;15.789473684210526
GM0088;Schiermonnikoog;53.49121656208518;6.226621226611597;52.92;100.15;250.38;2503.76;0.0;153.07;42.52;Kansrijk;12.0;892.58;0.0;0.0;892.58;247.94;5600.0;Friesland;PV21;Friesland;ES02;193000.0;2777390.399070768;2731000.0;344001.9743336624;77269.23076923078;60864.99726337936;533271.186440678;261833.33333333334;63000.0;255714.9615322409;734003.4865293185;7385.964912280701;11002.284843869003;15944.444444444445;57250.0;50477.876106194686;6978631.121211052;1194779.0183683482;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;2578631.121211052;278779.01836834825;res+thema;0.3695;0.2333;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;67;4;51;83;3;4;78;4;-14.102564102564102;0.0
GM0090;Smallingerland;53.113422698387595;6.038929733845015;1811.66;1293.94;3234.85;32348.46;0.37;3105.97;862.84;Kansrijk;47.0;3316.32;2.0;170.15;3486.47;968.46;5600.0;Friesland;PV21;Friesland;ES02;4876000.0;88554207.21971537;29599000.0;7143074.03751234;3096000.0;4295078.775857183;21352000.0;4970000.0;507317.0731707317;6762312.738160386;2664080.5071315374;339000.0;363000.0;602000.0;3366000.0;1122000.0;163885360.0330849;15725710.318462655;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;360.03308489952883;1139710.318462655;res+thema;0.0;0.0725;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;6105;260;3945;8323;203;322;5671;226;7.652971257273849;15.044247787610619
GM0093;Terschelling;53.39760586139377;5.329085055304409;207.69;219.99;549.98;5499.82;0.0;427.68;118.81;Kansrijk;64.0;4967.42;0.0;0.0;4967.42;1379.84;5600.0;Friesland;PV21;Friesland;ES02;650000.0;4898816.250759803;10838000.0;1654011.8460019743;175000.0;365010.4845565316;2163000.0;356000.0;39000.0;137436.27363823945;2069019.968304279;76315.78947368421;70000.0;69000.0;229000.0;191000.0;21099838.58131831;2880772.0314162024;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;3516838.5813183086;81772.03141620259;res+thema;0.1667;0.0284;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;622;33;213;1030;11;55;617;32;0.8103727714748784;3.125
GM0096;Vlieland;53.25856126284106;4.975100019170083;43.69;0.23;0.57;5.72;0.0;43.92;12.2;Kansrijk;23.0;1785.17;0.0;0.0;1785.17;495.88;5600.0;Friesland;PV21;Friesland;ES02;122625.0;1745381.2002431368;4343000.0;599005.9230009872;59000.0;68003.1170303202;740859.8130841121;243333.33333333334;12682.926829268294;73419.60756423662;906004.7543581616;37157.89473684211;23118.811881188118;5394.636015325671;99750.0;60564.601769911504;7921208.386691889;1218093.2331549341;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;1343208.3866918897;87093.23315493397;res+thema;0.1696;0.0715;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;138;7;46;230;2;13;144;8;-4.166666666666667;-12.5
GM0098;Weststellingwerf;52.8757626117165;6.017688689893007;1475.6;2697.97;6744.92;67449.21;0.0;4173.57;1159.42;Kansrijk;151.0;9649.99;0.0;0.0;9649.99;2680.55;5600.0;Friesland;PV21;Friesland;ES02;11748000.0;46844456.47067843;11455000.0;8459035.538005922;409000.0;906033.437234344;6087000.0;1429666.6666666667;654000.0;2738423.5248099044;1187040.2535657687;58000.0;65000.0;101000.0;1117000.0;381000.0;87338192.11258535;6301463.778375673;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;18971192.11258536;419463.77837567305;res+thema;0.2172;0.0666;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;2379;111;1398;3359;60;158;2128;87;11.795112781954888;27.586206896551722
GM0106;Assen;53.001272981452395;6.5524662374659135;1672.97;494.31;1235.77;12357.65;0.0;2167.28;602.07;Kansrijk;42.0;2652.15;0.0;0.0;2652.15;736.71;5600.0;Drenthe;PV22;Drenthe;ES03;1551019.8412698412;54672204.73933649;31403000.0;21375308.64197531;4296000.0;7830000.0;40342144.04703577;11484049.429657795;259000.0;1029180.5309734513;3235118.644067797;308000.0;594000.0;694000.0;7164144.047035767;1872156.6701014834;172953726.69927523;15155599.892178498;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;39038726.6992752;650599.892178498;res+thema;0.2257;0.0429;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;3079;148;733;5332;12;282;2636;165;16.80576631259484;-10.303030303030303
GM0109;Coevorden;52.74025546722427;6.735911618268435;1904.47;3394.62;8486.55;84865.46;0.0;5299.09;1472.09;Kansrijk;159.0;10161.24;0.0;0.0;10161.24;2822.57;5600.0;Drenthe;PV22;Drenthe;ES03;15630123.015873017;133163616.17424242;26095000.0;9844120.37037037;1253000.0;1229000.0;9597063.204311613;3459000.0;657000.0;15563143.95280236;5632081.703607127;255000.0;120000.0;116000.0;1420063.204311612;706077.2833723654;200270922.76479742;24469366.144093465;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;19617922.764797423;366.1440934645125;res+thema;0.098;0.0;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;3088;147;1351;4692;48;231;2651;122;16.484345529988683;20.491803278688526
GM0114;Emmen;52.749652722701505;6.961960449090878;3862.16;3400.12;8500.31;85003.07;0.0;7262.28;2017.46;Kansrijk;217.0;13835.91;0.0;0.0;13835.91;3843.31;5600.0;Drenthe;PV22;Drenthe;ES03;31818128.306878306;151763534.0909091;59304000.0;18321373.456790123;6176000.0;4857000.0;49830169.034786865;8295285.171102662;43885000.0;14435481.415929204;6603216.862233811;599000.0;618000.0;407000.0;6271342.763600429;2972914.8889929745;330365490.06046706;75791955.93075642;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;48776490.06046705;5227955.930756418;res+thema;0.1476;0.069;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;7570;445;4091;11059;214;675;6562;386;15.361170374885706;15.284974093264248
