gemeentecode;gemeentenaam;latitude;longitude;pv_potentie_dak_tj;pv_potentie_veld_lbg4_tj;pv_potentie_veld_lbg10_tj;pv_potentie_veld_lbg100_tj;pv_potentie_water_tj;pv_potentie_totaal_tj;pv_potentie_totaal_gwh;pv_kans2030;wind_potentie_land_aantal;wind_potentie_land_tj;wind_potentie_water_aantal;wind_potentie_water_tj;wind_potentie_totaal_tj;wind_potentie_totaal_gwh;wind_vermogen_per_turbine_kw;province;provinciecode;res_regio;res_regiocode;elec_verbruik_a_kwh;elec_verbruik_bf_kwh;elec_verbruik_gi_kwh;elec_verbruik_hj_kwh;elec_verbruik_kl_kwh;elec_verbruik_mn_kwh;elec_verbruik_oq_kwh;elec_verbruik_ru_kwh;gas_verbruik_a_m3;gas_verbruik_bf_m3;gas_verbruik_gi_m3;gas_verbruik_hj_m3;gas_verbruik_kl_m3;gas_verbruik_mn_m3;gas_verbruik_oq_m3;gas_verbruik_ru_m3;elec_verbruik_totaal_kwh;gas_verbruik_totaal_m3;elec_eenheid;gas_eenheid;energie_bron;energie_bron_url;elec_bijgeschat_kwh;gas_bijgeschat_m3;bijschatting_niveaus;elec_bijgeschat_aandeel;gas_bijgeschat_aandeel;pv_potentie_bron;pv_potentie_bron_url;wind_potentie_bron;wind_potentie_bron_url;bestelautos_totaal;vrachtautos_totaal;bestelautos_ondergrens;bestelautos_bovengrens;vrachtautos_ondergrens;vrachtautos_bovengrens;bestelauto_cbs2023;vrachtauto_cbs2023;bestelauto_afwijking_pct;vrachtauto_afwijking_pct
GM0014;Groningen;53.21859224655735;6.620634737666885;4203.64;1557.35;3893.38;38933.83;42.86;5803.85;1612.31;Kansrijk;60.0;4010.73;2.0;170.15;4180.88;1161.36;5600.0;Groningen;PV20;Groningen;ES01;5254000.0;136991384.61538464;127866000.0;875100997.8579692;21411000.0;27583000.0;216014000.0;23173000.0;733000.0;75735256.41421923;10703000.0;2447543.933054393;3011000.0;4365544.473390399;25359507.767421216;3949525.383707202;1433393382.4733539;126304377.97179243;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;928542382.4733537;2229377.9717924343;res+thema;0.6478;0.0177;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;12836;757;3840;21103;183;1317;11317;411;13.422285057877529;84.18491484184915
GM0034;Almere;52.367190417580254;5.246623266291973;3476.64;492.86;1232.16;12321.57;25.83;3995.33;1109.9;Kansrijk;62.0;3930.29;286.0;24331.51;28261.8;7850.51;5600.0;Flevoland;PV24;Flevoland;ES06;9478000.0;100882598.34123223;115969165.47861508;107609621.3130352;21102396.226415094;20136942.77108434;64332364.604462475;15416553.271028038;10193000.0;6037786.022433132;2709495.417515275;499621.31303520454;552257.4257425743;231000.0;2801578.6004056796;773553.2710280374;454927642.0058725;23798292.0501599;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;6269642.005872447;784292.0501599027;res+thema;0.0138;0.033;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;18939;1446;12304;25344;1033;1846;31661;629;-40.1819272922523;129.88871224165342
GM0037;Stadskanaal;53.00215290931226;7.010328236901805;1154.94;1299.98;3249.96;32499.61;0.0;2454.92;681.98;Kansrijk;60.0;3802.48;0.0;0.0;3802.48;1056.25;5600.0;Groningen;PV20;Groningen;ES01;3848000.0;17333000.0;13561000.0;3628030.3347280333;2044000.0;2072000.0;11907000.0;2198000.0;363000.0;2152208.0794525817;1360000.0;77030.33472803347;188000.0;407035.35541496094;2099039.502885042;544041.3223140496;56591030.33472803;7190354.594794668;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;30.334728033472803;517354.5947946677;res+thema;0.0;0.072;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;2429;105;1548;3730;69;160;2483;113;-2.1747885622231173;-7.079646017699115
GM0047;Veendam;53.088984983649;6.880092245564062;1026.2;876.57;2191.42;21914.18;0.0;1902.77;528.59;Kansrijk;40.0;2524.33;0.0;0.0;2524.33;701.2;5600.0;Groningen;PV20;Groningen;ES01;3219000.0;124469069.67710368;11033000.0;3295028.242677824;1481571.4285714286;4689000.0;8512000.0;1059000.0;258000.0;38339613.450670905;1102000.0;158145.8897366478;254000.0;646033.4946036472;1346036.3959165558;841034.238488784;157757669.34835297;42944863.469416544;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;84899669.34835294;38270863.469416544;res+thema;0.5382;0.8912;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;1789;81;1151;2452;50;111;1543;73;15.942968243681142;10.95890410958904
GM0050;Zeewolde;52.34597320128446;5.4510663505717005;1191.74;2895.62;7239.05;72390.53;10.78;4098.14;1138.46;Kansrijk;202.0;11699.25;21.0;1786.58;13485.83;3746.07;5600.0;Flevoland;PV24;Flevoland;ES06;22722000.0;76746447.86729857;38028497.45417515;16588043.767840153;6100547.1698113205;1535364.4578313252;8143591.277890466;1618054.2056074766;939000.0;1851039.689387403;4541061.608961304;151043.76784015223;178653.46534653465;109000.0;732053.752535497;194054.20560747664;171482546.20045444;8695906.489678368;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;673546.2004544723;118906.48967836688;res+thema;0.0039;0.0137;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;1827;225;1344;2419;155;296;1419;101;28.752642706131077;122.77227722772277
GM0059;Achtkarspelen;53.21666950468409;6.143134451680166;1168.75;1208.3;3020.74;30207.38;0.0;2377.05;660.34;Kansrijk;44.0;3104.64;0.0;0.0;3104.64;862.4;5600.0;Friesland;PV21;Friesland;ES02;4728000.0;73017785.5318904;9758047.87058435;3641035.751840168;762068.2046138415;463000.0;4153029.686864579;975631.5789473684;287000.0;10520484.681325383;1089143.6117530537;155869.8532226567;150000.0;67000.0;961000.0;379037.61574074073;97498598.62474072;13609535.762041835;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;23732598.62474072;1787535.7620418356;res+thema;0.2434;0.1313;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;2672;153;1597;3746;94;212;2490;145;7.309236947791165;5.517241379310345
GM0060;Ameland;53.45043338045267;5.749471349597436;218.93;316.25;790.62;7906.25;0.0;535.18;148.67;Kansrijk;23.0;1785.17;0.0;0.0;1785.17;495.88;5600.0;Friesland;PV21;Friesland;ES02;615000.0;3564582.4996501026;6475623.952201886;1191006.309148265;166022.0661985958;243000.0;764005.2867019114;669000.0;57000.0;247828.66365068877;3206042.5883129747;30388.797627527656;52692.307692307695;49000.0;223160.0;102009.83796296296;13688240.11390076;3968122.195246462;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;6221240.113900761;205122.19524646163;res+thema;0.4545;0.0517;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;385;39;266;506;21;56;415;38;-7.228915662650603;2.6315789473684212
GM0072;Harlingen;53.175367784584175;5.451738312014926;475.25;269.82;674.54;6745.38;0.0;745.07;206.98;Kansrijk;10.0;776.16;0.0;0.0;776.16;215.6;5600.0;Friesland;PV21;Friesland;ES02;2345000.0;34308876.74993387;8227024.430505117;4916044.164037855;979040.1203610832;1317000.0;5384021.553477023;985000.0;1218125.0;2819296.412414404;827073.2915153516;279721.5833926936;350545.45454545453;101067.79661016949;661000.0;309679.4151983439;58462007.01831494;6566508.953676417;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;30287007.018314946;2593508.953676417;res+thema;0.5181;0.395;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;1105;95;588;1642;53;137;969;79;14.035087719298245;20.253164556962027
GM0074;Heerenveen;52.9959910877167;5.978001741411763;2031.38;2150.6;5376.5;53765.0;0.06;4182.04;1161.77;Kansrijk;117.0;8220.24;0.0;0.0;8220.24;2283.4;5600.0;Friesland;PV21;Friesland;ES02;8309000.0;186406367.1978573;35981074.6120832;22088089.37960042;4538206.619859578;14277000.0;22838607.963997997;12120000.0;509000.0;23975142.00862676;2931223.836249587;570089.3796004206;307000.0;762000.0;2873000.0;1642466.9035640927;306558345.7733985;33569922.12804086;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;31521345.773398478;2541922.1280408623;res+thema;0.1028;0.0757;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;4146;441;3520;4744;342;534;3280;311;26.402439024390244;41.80064308681672
GM0080;Leeuwarden;53.17002142767744;5.797916549181638;3386.39;2858.5;7146.26;71462.61;29.45;6274.34;1743.01;Kansrijk;88.0;6209.28;0.0;0.0;6209.28;1724.8;5600.0;Friesland;PV21;Friesland;ES02;11982000.0;95792133.5078534;65284185.209640145;27478240.79915878;18394349.047141425;12481000.0;66056212.28141521;13794000.0;458000.0;38895678.0104712;6146555.628920436;1936240.7991587801;2000000.0;1633000.0;11653000.0;2556294.4548751526;311262120.84520894;65278768.89342557;kWh;m3;Regionale Klimaatmonitor (Open Data Service) — sectoraal elektriciteit-/aardgasverbruik per gemeente;https://klimaatmonitor.databank.nl/content/handleiding-open-data-service;1120.8452089623427;1466768.8934255727;res+thema;0.0;0.0225;RVO / Kadaster / NP RES — Dataset zon op gebouw (technische potentie zon-op-dak en zon-op-veld), niet publiek downloadbaar, per RES-regio/gemeente op aanvraag;https://www.regionale-energiestrategie.nl/werkwijze/data+monitoring/data+overzicht/2661076.aspx;Over Morgen / Nationale Energie Atlas — Potentie windenergie op land;https://data.overheid.nl/dataset/6064-ruimtelijke-belemmeringen-en-potentie-voor-windenergie-op-land;6581;486;4090;8913;309;663;6306;417;4.36092610212496;16.546762589928058
