child_transformer_id;parent_transformer_id
OS BASISWEG 10-1i;Station Amsterdam Hemweg 150
OS ZAANDAM WEST 10-1i;Station Amsterdam Hemweg 150
OS WESTZAANSTRAAT 10-1i;Station Amsterdam Hemweg 150
OS TIEL 10-2i;Station Tiel 150
OS HUIZEN 10-1i;Station 's Graveland 150
OS OUDORP 10-1i;Station Oterleek 150
OS VENSERWEG 10-12i;Station Venserweg 150
OS PAMPUS 10-1i;Station Pampus 150 (CBL)
OS SCHIPLUIDENLAAN 10-1i;Station Amsterdam Hemweg 150
OS Heiloo 10-1i + 10-2i;Station Oterleek 150
OS HEERENVEEN 10-1i;Station Heerenveen 110
OS WESTHAVEN 10-1i;Station Amsterdam Hemweg 150
OS MARNIXSTRAAT 10-1i;Station Amsterdam Hemweg 150
OS FREDERIKSPLEIN 10-1i;Station Amsterdam Hoogte Kadijk 150
OS MARNEZIJL 10-2i;Station Marnezijl 110
OS SNEEK 10-1i;Station Sneek 110
OS BIJLMER ZUID 10-1i;Station Bijlmer Zuid 150
OS HATTEM 10-1i;Station Hattem 150 (CBL)
OS DRONTEN 10-1i;Station Dronten 150 (CBL)
OS NOORDWIJK 10-1i;Station Sassenheim 150 kV
OS NAARDEN 50-1i;Station 's Graveland 150
OS DRUTEN 10-1i;Station Druten 150
OS VAASSEN 10-1i;Station Vaassen 150
OS ALPHEN CENTRUM 10-2i;Station Alphen a/d Rijn 150 kV
OS RHIJNSPOOR 10-1i;Station Amsterdam Hoogte Kadijk 150
OS VLIEGENBOS 10-1i;Station Amsterdam Noord Papaverweg 150
OS TEERSDIJK 10-2i;Station Teersdijk 150
OS APELDOORN 10-2i;Station Apeldoorn 150
OS DE VAART 10-3i;Station Almere De Vaart 150 (CBL)
OS BEVERWIJK 50-1i;Station Velsen 150
OS VELSEN 10-1i;Station Velsen 150
OS LEIDEN NOORD 10-1i;Station Leiden 150 kV
OS SCHIPHOL OOST 50-1i;Station Amstelveen 150
OS WAGENINGEN 10-1i;Station Dodewaard 150
OS HERBAYUM 10-1i;Station Herbayum 110
OS EDAM 10-2i;Station Wijdewormer 150
OS EIBERGEN 10-3i;Station Eibergen 110 kV
OS NIEUW VENNEP 10-1i;Station Haarlemmermeer 150
OS SCHAGEN 10-1i;Station Oterleek 150
Emmeloord inst. 2+3;Station Emmeloord Zuidervaart 110 kV
OS ZUIDERVELD 10-1i;Station Zuiderveld 150 (CBL)
OS HOORN GELDELOZEWEG 50-1i;Station Westwoud 150
OS LEMMER 20-4i;Station Lemmer 110
OS DODEWAARD 10-1i;Station Dodewaard 150
OS PRESIKHAAF 10-1i;Station Kattenberg 150
OS NUNSPEET 10-1i;Station Harderwijk 150 (CBL)
OS ZUTPHEN 10-1i;Station Zutphen 150
OS MARNEZIJL 20-3i;Station Marnezijl 110
OS BERGUM CENTRALE 10-1i;Station Bergum 110
OS DOETINCHEM 10-5i;Station Doetinchem 150
OS DOETINCHEM 20-6i;Station Doetinchem 150
OS EMMELOORD 10-1i;Station Emmeloord Zuidervaart 110 kV
OS HERBAYUM 20KV 20-1i;Station Herbayum 110
OS IJMUIDEN 50-1i;Station Velsen 150
OS OUDEHASKE 20-4i;Station Oudehaske 110
OS WEESP 10-1i;Station Amstelveen 150
OS PLATVOET 10-1i;Station Deventer Platvoet 110 kV
Medemblik Transformator 1;Station Westwoud 150
OS ALKMAAR 10-1i;Station Oterleek 150
OS WORMERVEER 50-1i;Station Wijdewormer 150
OS WARMENHUIZEN 10-1i;Station Oterleek 150
OS HOORN HOLENWEG 10-2i;Station Westwoud 150
OS DEN HELDER VOGELWIJK 10-1i;Station Anna Paulowna 150
OS ZOETERWOUDE 10-2i;Station Alphen a/d Rijn 150 kV
OS NIEUWKOOP 10-1i;Station Alphen a/d Rijn 150 kV
OS AALSMEER BLOEMENVEILING 10-1i;Station Amstelveen 150
OS OTERLEEK 10-2i;Station Oterleek 150
OS ALPHEN CENTRUM 10-1i;Station Alphen a/d Rijn 150 kV
OS LEIDERDORP 10-1i;Station Leiden 150 kV
OS WAARDERPOLDER 10-1i;Station Waarderpolder 150
OS ULKESLUIS 10-1i;Station Anna Paulowna 150
OS DRACHTEN 10-1i;Station Drachten 110
OS MEDEMBLIK 10-2i;Station Westwoud 150
OS HARDERWIJK 10-2i;Station Harderwijk 150 (CBL)
OS TIEL 10-1i;Station Tiel 150
OS WINSELINGSEWEG 10-2i;Station Nijmegen 150
OS BERGUM CENTRALE 10-2i;Station Bergum 110
OS ARNHEM 10-1i;Station Arnhem 150
OS KATWIJK 10-3i;Station Sassenheim 150 kV
OS OVERVEEN 10-1i;Station Vijfhuizen 150
OS KARPERWEG 10-4i;Station Nieuwe Meer 150
OS WESTWOUD 10-4i;Station Westwoud 150
OS CULEMBORG 10-1i;Station Tiel 150
OS WINSELINGSEWEG 10-3i;Station Nijmegen 150
OS DOETINCHEM 20-7i;Station Doetinchem 150
OS KROMMENIE 50-1i;Station Wijdewormer 150
OS HAARLEMMERMEER 20-2i;Station Haarlemmermeer 150
OS HARDERWIJK 10-1i;Station Harderwijk 150 (CBL)
OS ZALTBOMMEL 10-1i;Station Zaltbommel 150
RS HOOGWOUD 10-5i;Station De Weel 150
OS GORREDIJK 10-1i;Station Gorredijk 110
OS ENKHUIZEN 10-1i;Station Westwoud 150
OS RIJKSUNIVERSITEIT LEIDEN 10-1i;Station Leiden 150 kV
OS ZUIDBROEK 20-1i;Station Zuidbroek 150
OS ZALTBOMMEL 20-5i;Station Zaltbommel 150
OS SINT ANNAMOLEN 10-1i;Station Nijmegen 150
OS OOSTERBEEK 10-1i;Station Kattenberg 150
OS RIJNSBURG 10-1i;Station Leiden 150 kV
Amstelveen;Station Amstelveen 150
OS BIJLMER NOORD 20-4i;Station Bijlmer Noord 150
OS UILENBURG 50-1i;Station Amsterdam Noord Papaverweg 150
OS ZEVENAAR 10-1i;Station Zevenaar 150
OS ZEEWOLDE 20KV 20-7i;Station Zeewolde 150 (CBL)
OS PURMEREND SCHAEPMANSTRAAT 50-1i;Station Wijdewormer 150
OS KARPERWEG 10-3i;Station Nieuwe Meer 150
OS WOUDHUIS 10-2i;Station Woudhuis 150
OS LOCHEM 10-1i;Station Lochem 150
OS OVERVEEN 10-2i;Station Vijfhuizen 150
OS RAUWERD 10-1i;Station Rauwerd 110
OS ANNA PAULOWNA 10-2i;Station Anna Paulowna 150
OS WATERGRAAFSMEER 10-2i;Station Watergraafsmeer 150
OS 'S-GRAVELAND 50-2i;Station 's Graveland 150
OS ZALTBOMMEL 10-2i;Station Zaltbommel 150
OS ALPHEN WEST 10-1i;Station Alphen a/d Rijn 150 kV
OS LISSE 10-2i;Station Sassenheim 150 kV
OS HOOFDDORP 10-1i;Station Haarlemmermeer 150
OS DRACHTEN 10-2i;Station Drachten 110
OS ULFT 10-1i;Station Ulft 150
OS WOLVEGA 10-2i;Station Wolvega 110
OS LISSE 10-1i;Station Sassenheim 150 kV
OS BASISWEG 10-2i;Station Amsterdam Hemweg 150
OS RENKUM 10-1i;Station Renkum 150
OS MARNIXSTRAAT 10-2i;Station Amsterdam Hemweg 150
OS KATWIJK 10-2i;Station Sassenheim 150 kV
OS IJPOLDER 10-4i;Station Amsterdam Hemweg 150
OS SCHENKENSCHANS 10-9i;Station Schenkenschans 110kV
OS HAARLEMMERMEER 10-1i;Station Haarlemmermeer 150
OS ZEVENAAR 10-3i;Station Zevenaar 150
OS SLOTERMEER 10-1i;Station Amsterdam Hemweg 150
OS HILLEGOM 10-1i;Station Sassenheim 150 kV
OS ULFT 20-3i;Station Ulft 150
OS DE WEEL 20-1i;Station De Weel 150
OS OUDEHASKE 10-2i;Station Oudehaske 110
OS OOSTERHOUT 20-2i;Station Oosterhout 150 kV
OS DOETINCHEM 10-3i;Station Doetinchem 150
VLH DE VOORST 61 10-1i;Station Vollenhove 110 kV
OS TEXEL 10-1i;Station Anna Paulowna 150
Bijlmer Noord 10kV totaal;Station Bijlmer Noord 150
OS ROZENBURG 10-1i;Station Haarlemmermeer 150
OS WINSELINGSEWEG 10-1i;Station Nijmegen 150
OS PURMEREND KWADIJKERKOOGWEG 50-1i;Station Wijdewormer 150
OS KATTENBERG (D 219) 10-1i;Station Kattenberg 150
OS ZEEWOLDE 20KV 20-8i;Station Zeewolde 150 (CBL)
OS ZEEWOLDE 10-1i;Station Zeewolde 150 (CBL)
OS TIEL 20-4i;Station Tiel 150
RS HOOGWOUD 10-4i;Station De Weel 150
OS WINTERSWIJK 10-1i;Station Winterswijk 150
OS ZEVENHUIZEN 10-1i;Station Alphen a/d Rijn 150 kV
OS DOKKUM 20kV 20-1i;Station Dokkum 110
OS ENKHUIZEN 10-2i;Station Westwoud 150
OS DODEWAARD 10-3i;Station Dodewaard 150
OS HARSELAAR 10-1i;Station Harselaar 150 (CBL)
OS OOSTERWOLDE 10-1i;Station Oosterwolde 110
OS WASSENAAR 10-1i;Station Leiden 150 kV
OS SCHAGEN 10-4i;Station Oterleek 150
OS EMMELOORD 20-5i;Station Emmeloord Zuidervaart 110 kV
OS SCHAGEN 10-2i;Station Oterleek 150
OS OUDORP 10-2i;Station Oterleek 150
OS EDE 10-2i;Station Ede 150
OS BERGUM KOUMARWEI 20-1i;Station Bergum 110
OS LUTTELGEEST 20-1i;Station Luttelgeest Kalenbergerweg 110kV
OS HERBAYUM 20KV 20-2i;Station Herbayum 110
OS SASSENHEIM 10-1i;Station Sassenheim 150 kV
OS RIJKSUNIVERSITEIT LEIDEN 10-2i;Station Leiden 150 kV
OS NIJKERK 10-1i;Station Harderwijk 150 (CBL)
OS UITGEEST 50-1i;Station Velsen 150
OS MEDEMBLIK 10-1i;Station Westwoud 150
OS WEESP 10-2i;Station Amstelveen 150
Lemmer 10kV;Station Lemmer 110
OS HARSELAAR 20-3i;Station Harselaar 150 (CBL)
OS OTERLEEK 10-4i;Station Oterleek 150
OS HILVERSUM RAAFSTRAAT 10-1i;Station 's Graveland 150
OS OOSTERWOLDE 10-2i;Station Oosterwolde 110
OS SEXTANTWEG 10-1i;Station Amsterdam Hemweg 150
OS CRAILO 10-1i;Station 's Graveland 150
OS OOSTERHOUT 20-1i;Station Oosterhout 150 kV
OS SCHENKENSCHANS 10-1i;Station Schenkenschans 110kV
OS EDE 10-1i;Station Ede 150
OS CULEMBORG 10-9i;Station Tiel 150
OS ZEVENHUIZEN 10-2i;Station Alphen a/d Rijn 150 kV
OS WESTHAVEN 10-2i;Station Amsterdam Hemweg 150
OS OUDEHASKE 10-1i;Station Oudehaske 110
OS WERVERSHOOF 10-1i;Station Westwoud 150
OS IJBURG 20-2i;Station Diemen 150
