child_transformer_id;parent_transformer_id
CM38;Station Driebergen 150
CM60;Station Oudenrijn 150
CM38;Station Soest 150
CM56;Station Ypenburg 150 kV
CM12;Station Breukelen 150
TS067_10;Station Nieuwegein 150
CM19/30;Station Ommoord 150 kV
CM80;Station Willem Anna Polder 150
CM10;Station Nieuwegein 150
CM85;Station Tinte 150
TH058_25_1;Station Maasvlakte 150
TZ001_23;Station Rotterdam Zuidwijk 150 kV
CM85;Station Europoort 150
CM14;Station Merwedekanaal
TH003_13;Station Krimpen a/d IJssel 150 kV
TH008_13;Station Dordrecht Merwedehaven 150 kV
TT103_10;Station Delft 150 kV
TH039_25;Station Ommoord 150 kV
CM56/78;Station Ypenburg 150 kV
TT052_10;Station Voorburg 150 kV
TT054_10;Station Rijswijk 150 kV
TT054_25;Station Rijswijk 150 kV
Westerlee;Station Westerlee 150 kV
De Lier;Station De Lier 150 kV
